Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
RHO GTPases Activate PAKs R-HSA-5627123,-1.9710056220967016,0.0966148684854274,0.001,LIMK1;PKN1;CDC42;ARHGEF7;PKN2;MYL6;CALM1,wald_stat,Reactome_2022
SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,-1.860365176937651,0.24431346053786238,0.0017241379310344827,RPN2;SEC61G;SRP72;DDOST;SRP19;SSR4;SEC61B;SRP54;SRP68;SPCS2;RSL24D1,wald_stat,Reactome_2022
mRNA 3-End Processing R-HSA-72187,-1.8008353909129777,0.24292531587571542,0.001,U2AF2;RBM8A;ALYREF;MAGOH;WDR33;RNPS1;CPSF7;SLU7;SARNP;THOC7;SRSF9;DDX39A;PABPN1;NCBP1;NUDT21;SRSF5;CPSF6;SRSF2,wald_stat,Reactome_2022
Semaphorin Interactions R-HSA-373755,-1.798305674662382,0.20078124393293414,0.001,LIMK1;PKN1;FARP2;ARHGEF7;RHOC;PLXNA4;RNMT;PKN2;MYL6;PLXNA3;TYROBP;CD72,wald_stat,Reactome_2022
Collagen Formation R-HSA-1474290,-1.7032959754745323,0.23570696363255128,0.012915129151291513,PPIB;P4HB;CTSS;CD151;P3H1;PCOLCE;COL6A2;PLOD1;PLEC;COL18A1,wald_stat,Reactome_2022
mRNA Splicing - Major Pathway R-HSA-72163,-1.6948427296302295,0.23594188042153003,0.001,SF3B6;U2AF2;RBM8A;ALYREF;MAGOH;SRSF10;CRNKL1;RBM5;WDR33;SNRNP27;CWC25;PHF5A;EFTUD2;U2SURP;RNPS1;SNW1;SYF2;CPSF7;BUD31;CWC15;SLU7;SNRPB2;PTBP1;TRA2B;POLR2C;SMNDC1;HNRNPH1;POLR2D;SRSF9;POLR2G;PQBP1;CTNNBL1;HNRNPL;PABPN1;NCBP1;TFIP11;SNRPC;NUDT21;SRSF5;CPSF6;SRSF2;POLR2E;CDC5L;PCBP1;SF3A2;HNRNPM;PPIH;CPSF1;SRRM2;POLR2J;SNU13;SRRM1;HNRNPUL1;SF3B2,wald_stat,Reactome_2022
mRNA Splicing R-HSA-72172,-1.672747706298269,0.24049606271695825,0.001,SF3B6;U2AF2;RBM8A;ALYREF;MAGOH;SRSF10;CRNKL1;RBM5;WDR33;SNRNP27;CWC25;PHF5A;EFTUD2;U2SURP;RNPS1;SNW1;SYF2;CPSF7;BUD31;CWC15;SLU7;SNRPB2;PTBP1;TRA2B;POLR2C;SMNDC1;HNRNPH1;POLR2D;SRSF9;POLR2G;PQBP1;CTNNBL1;HNRNPL;PABPN1;NCBP1;TFIP11;SNRPC;NUDT21;SRSF5;CPSF6;ZCRB1;SRSF2;POLR2E;SNRNP25;CDC5L;PCBP1;SF3A2;HNRNPM;PPIH;CPSF1;SRRM2;POLR2J;SNU13;SRRM1;HNRNPUL1;SF3B2,wald_stat,Reactome_2022
Complex I Biogenesis R-HSA-6799198,-1.6693795369548192,0.2340575211516473,0.0034071550255536627,NDUFB7;NDUFA1;NDUFC2;NDUFA13;NDUFB6;NDUFB8;NDUFA12;NDUFB1;NDUFA10;NDUFS6;NDUFB11;NDUFA9;NDUFS3;COA1;NDUFV1;NDUFB9;NDUFA5;NDUFS8,wald_stat,Reactome_2022
Mitochondrial Protein Import R-HSA-1268020,-1.6541885893314234,0.24226777366733002,0.0034423407917383822,GFER;GRPEL2;TIMM17A;ATP5MC1;TIMM8B;TIMM23;BCS1L;MTX1;FXN;CS;NDUFB8;TOMM22;COX19;GRPEL1;CHCHD5;TIMM8A;TIMM22;TOMM5;TOMM40;TIMM21;PMPCA;IDH3G;CHCHD2;VDAC1,wald_stat,Reactome_2022
Signaling By FGFR2 IIIa TM R-HSA-8851708,-1.6480805059501507,0.23141032539257267,0.014234875444839857,POLR2C;POLR2D;POLR2G;NCBP1;POLR2E;POLR2J,wald_stat,Reactome_2022
FGFR2 Mutant Receptor Activation R-HSA-1839126,-1.6480805059501507,0.23141032539257267,0.014234875444839857,POLR2C;POLR2D;POLR2G;NCBP1;POLR2E;POLR2J,wald_stat,Reactome_2022
Formation Of HIV-1 Elongation Complex Containing HIV-1 Tat R-HSA-167200,-1.6435256268114817,0.23098727178125167,0.008333333333333333,ELOA;ERCC3;POLR2C;POLR2D;POLR2G;ELOB;NCBP1;MNAT1;ELL;CCNT1;POLR2E;CDK7;NELFCD;POLR2J;NELFA;CDK9,wald_stat,Reactome_2022
VEGFR2 Mediated Vascular Permeability R-HSA-5218920,-1.6352986225661252,0.23943684798562442,0.012962962962962963,PKN1;AKT1;ARHGEF7;PKN2;CALM1;MAPKAP1;VAV3;MLST8,wald_stat,Reactome_2022
RHOJ GTPase Cycle R-HSA-9013409,-1.6329594096212896,0.23371728961680735,0.00510204081632653,PKN1;CDC42;GIT1;LAMTOR1;ARHGEF7;ARHGAP21;PREX1;CPNE8;PKN2;ARHGAP26;PIK3R1;ARHGAP5;WIPF2;TRIO;OPHN1;VANGL1,wald_stat,Reactome_2022
Signaling By FGFR3 R-HSA-5654741,-1.6316613041657733,0.2269005738958911,0.016304347826086956,NRAS;GALNT3;SPRY2;PPP2CA;PPP2CB;PIK3R1;MKNK1;UBB,wald_stat,Reactome_2022
NR1H2 And NR1H3-mediated Signaling R-HSA-9024446,-1.6316261370195557,0.21830176517640115,0.014414414414414415,FASN;NCOA1;MYLIP;TNRC6A;AGO4;ARL4C;AGO2;SREBF1;TBL1X,wald_stat,Reactome_2022
"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",-1.6225080058894914,0.22765572459209904,0.0016025641025641025,ATP5MC1;NDUFB7;NDUFA1;NDUFC2;COX7B;UQCRFS1;NDUFA13;UQCR11;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;COQ10B;COX6A1;COX19;NDUFB1;ATP5ME;SURF1;UQCRQ;NDUFA10;NDUFS6;NDUFB11;LRPPRC;NDUFA9;COX8A;NDUFS3;SDHA;COA1;DMAC2L;NDUFV1;COX16;NDUFB9;UQCRC1;NDUFA5;NDUFS8,wald_stat,Reactome_2022
"Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170",-1.6186007888320788,0.2280126760766511,0.016042780748663103,SEC24C;CALR;SEC24B;BECN1;PDIA3;SEC24A;SEC13;TAPBP;ATG14;HSPA5;HLA-F;HLA-B;HLA-E;ERAP1,wald_stat,Reactome_2022
