Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
"Positive Regulation Of mRNA Splicing, Via Spliceosome (GO:0048026)",-2.1598119948704917,0.06601512078185506,0.001,SNW1;RBM3;NUP98;TRA2B;CIRBP;WDR77,wald_stat,GO_Biological_Process_2023
Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412),-1.9576244011662018,0.2530579629971111,0.001,FXYD7;PPIF;FXYD2;FXYD5;FHL1;YWHAE;RANGRF,wald_stat,GO_Biological_Process_2023
Positive Regulation Of RNA Splicing (GO:0033120),-1.874001606140453,0.3283497183986386,0.001,SNW1;PIK3R1;RBM3;NUP98;TRA2B;CIRBP;WDR77;RBMXL1;DYRK1A,wald_stat,GO_Biological_Process_2023
Protein Secretion (GO:0009306),1.8732216478028736,0.2043010520853771,0.001,PORCN;PCSK5;TVP23B;PRF1;MIA2;TANGO2;NAGPA;MON1A;TVP23C;TMEM167A;PREB;MEN1;AP1B1,wald_stat,GO_Biological_Process_2023
"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",-1.8600324509858432,0.268914536126086,0.001,SRRM1;MAGOH;SAP18;SNW1;RBM3;NUP98;JMJD6;TRA2B;SRSF9;RBM38;CIRBP;SRSF6;RBM39;WDR77;HNRNPA0;SRSF10;SRSF7;WTAP;HNRNPA1;RNPS1;RBMXL1;HNRNPK;FXR1;DDX5;YTHDC1;SRSF3;NCL;RBM15;RBM5,wald_stat,GO_Biological_Process_2023
Actomyosin Structure Organization (GO:0031032),1.856562841683239,0.13369008938305782,0.001,F11R;WDR1;PDLIM1;EPB41L4A;FLII;ALKBH4;MYH9;ARRB1;EPB41;ITGB1;ROCK1;KCTD13;ZYX;RHOA,wald_stat,GO_Biological_Process_2023
Regulation Of Necroptotic Process (GO:0060544),-1.8543566797649054,0.22729912175085784,0.008547008547008548,BIRC2;CYLD;CFLAR;ITCH;PARP1;OGT;BIRC3;CASP8,wald_stat,GO_Biological_Process_2023
Positive Regulation Of T Cell Cytokine Production (GO:0002726),-1.8419730297034878,0.20667478989874885,0.006993006993006993,XCL1;HLA-A;CD81;IL18R1;CD55;DENND1B;MALT1,wald_stat,GO_Biological_Process_2023
Regulation Of Type II Interferon Production (GO:0032649),-1.8062697851616345,0.23317946024067013,0.001,XCL1;HLA-A;MYDGF;SLC7A5;HSPD1;HMGB1;PDE4D;IL18R1;CRTAM;LGALS9;PDE4B;ZC3H12A;IFNL1;PTPN22;SLAMF6;BTN3A1;ISG15;CD2;LGALS9B;C1QBP;HLA-DRB1;ZFPM1,wald_stat,GO_Biological_Process_2023
Bile Acid Metabolic Process (GO:0008206),1.7737940934196075,0.3539962930142939,0.0013003901170351106,OSBPL3;ACOT8;ABCD3;GBA2;ACAA1;SCP2,wald_stat,GO_Biological_Process_2023
Regulation Of DNA Binding (GO:0051101),-1.7292088897006843,0.3624359572337141,0.005988023952095809,IFI16;NME1;NFKBIA;PYHIN1;HMGB1;CSNK2B;GZMA;HMGB2;CPNE1;SUMO1;SIRT2;SUMO3,wald_stat,GO_Biological_Process_2023
Response To Type II Interferon (GO:0034341),-1.707482336703958,0.3706339134092385,0.006172839506172839,XCL1;XCL2;NUB1;GCH1;SLC22A5;IFITM3;LGALS9;IFITM2;IRF8;EPRS1;SHFL,wald_stat,GO_Biological_Process_2023
Regulation Of Mitochondrion Organization (GO:0010821),1.7069121601460941,0.7152890521744942,0.001,HTRA2;SREBF2;MUL1;SIRT7;HDAC6;MARCHF5;PINK1;MTCH2;TMEM102;FKBP8;GSK3B;CSNK2A2;MFF;GSK3A;PLSCR3;RHOT1;MYO19;VPS35;GOLPH3,wald_stat,GO_Biological_Process_2023
Establishment Of Protein Localization To Extracellular Region (GO:0035592),1.6917518174106758,0.6966948319962168,0.002442002442002442,TVP23B;PRF1;MIA2;TANGO2;MON1A;TVP23C;TMEM167A;PREB;MEN1,wald_stat,GO_Biological_Process_2023
Nucleotide-Excision Repair (GO:0006289),1.6698405993491088,0.7842524257470928,0.0011173184357541898,ERCC6;ERCC5;HUS1;DDB2;RNF111;ERCC4;RAD23B;TP53;RPA2;COMMD1;MRPL36;GTF2H3;GTF2H5;SIRT1;GTF2H4;ERCC3;XAB2;UVSSA;POLL;ERCC8;ERCC1;KAT5;MMS19,wald_stat,GO_Biological_Process_2023
"Vesicle Targeting, Rough ER To cis-Golgi (GO:0048207)",-1.6672782282421825,0.39385491846144194,0.008097165991902834,TMED10;TMED2;TRAPPC2L;TRAPPC6A;TRAPPC2,wald_stat,GO_Biological_Process_2023
COPII Vesicle Coating (GO:0048208),-1.6672782282421825,0.39385491846144194,0.008097165991902834,TMED10;TMED2;TRAPPC2L;TRAPPC6A;TRAPPC2,wald_stat,GO_Biological_Process_2023
Amino Acid Catabolic Process (GO:0009063),1.642405589940508,0.9413450056257763,0.0038022813688212928,BLMH;MCCC2;CARNS1;BCKDHB;CARNMT1,wald_stat,GO_Biological_Process_2023
U2-type Prespliceosome Assembly (GO:1903241),-1.6358623800354724,0.44603353665518086,0.018433179723502304,SF3B6;SNRPD1;SNRPB2;SF3A1;SNRPF;SNRPD2;SF3B2;PHF5A;SNRPG;SF3B1,wald_stat,GO_Biological_Process_2023
COPII-coated Vesicle Budding (GO:0090114),-1.6326266443303854,0.42078416353562514,0.012121212121212121,TMED10;TMED2;SAR1A;TRAPPC2L;TRAPPC6A;SEC24C;RAB1A;TRAPPC2;CSNK1D,wald_stat,GO_Biological_Process_2023
Rho Protein Signal Transduction (GO:0007266),-1.6286506227125965,0.4018231301371738,0.005747126436781609,CDC42;ARHGEF1;ARHGAP4;ARHGDIA;WAS;GNA13;ARHGAP5;TNFRSF25;CFL1;GNA12;EPS8,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Type II Interferon Production (GO:0032729),-1.6284802305709545,0.3755526871145533,0.006024096385542169,HLA-A;MYDGF;SLC7A5;HSPD1;PDE4D;IL18R1;CRTAM;LGALS9;PDE4B;IFNL1;PTPN22;SLAMF6;ISG15;CD2,wald_stat,GO_Biological_Process_2023
post-Golgi Vesicle-Mediated Transport (GO:0006892),1.6199553018907922,1.0,0.0022701475595913734,SCAMP2;SCAMP3;VTI1B;RAB10;CCDC22;GOPC;GGA1;SCAMP1;VTI1A;GGA2;SEC16A;EPS15;SYS1;COMMD1;GBF1;CCDC93;EXOC2;EXOC6;VPS13A;AP4M1;AP2A1;ARFGEF2;DOP1B;EXOC5;SCFD1;VPS35L;LLGL1;EXOC8,wald_stat,GO_Biological_Process_2023
Organelle Fusion (GO:0048284),1.6170722128855546,0.990331828004232,0.008905852417302799,CIDEB;RCC1L;VPS11;MFN1;EEA1;MFN2;MIGA2;VPS18;MFF,wald_stat,GO_Biological_Process_2023
Endosomal Transport (GO:0016197),1.6157834476903847,0.904479358241575,0.001,AGAP2;HGS;SNX17;TRIM27;BLOC1S1;TBC1D10B;UBE2O;EHD1;PLEKHA3;RGP1;WASHC5;TBC1D10C;VPS16;VTI1B;RAB35;RAB10;CCDC22;GGA1;VTI1A;TBC1D23;SNX12;PICALM;CLEC16A;EPS15;AP5S1;CLTC;ANKRD27;ACAP2;SNX18;REPS1;CHMP3;RHOBTB3;GBF1;TOM1;STX6;RAB6A;NSG1;EIPR1;ITSN2;CCDC93;ANKFY1;VPS51;SNX5;ALS2;TMEM87B;VPS39;CMTM6;TBC1D17;ARHGAP1;AP5Z1;RAB29;CHMP1A;STX12;SLC66A2;STX16;VPS35;RAB9A;RBSN,wald_stat,GO_Biological_Process_2023
Response To Tumor Necrosis Factor (GO:0034612),-1.6149977189098237,0.3846837001442657,0.001,XCL1;XCL2;GATA3;NUB1;NFKBIA;GCH1;SLC22A5;NFE2L2;CHUK;ZC3H12A;INPP5K;YTHDC2;ZFP36L2;ZFP36,wald_stat,GO_Biological_Process_2023
Regulation Of p38MAPK Cascade (GO:1900744),-1.611874068255009,0.36966944797682394,0.030612244897959183,GADD45B;CYLD;GADD45G;LGALS9;ZC3H12A;RELL1;MINK1;PTPN22,wald_stat,GO_Biological_Process_2023
Negative Regulation Of NIK/NF-kappaB Signaling (GO:1901223),-1.6112761640636313,0.3505704943480865,0.02127659574468085,CYLD;NLRP2;CPNE1;ZC3H12A;HDAC9;DDX3X,wald_stat,GO_Biological_Process_2023
Regulation Of Organelle Organization (GO:0033043),1.6102883072178482,0.876346238920057,0.002188183807439825,S100A9;S100A8;TBC1D25;F11R;ZEB2;VPS11;TAOK1;MUL1;SIRT7;ATP13A2;INO80D;ACTR8;CLEC16A;PREB;PINK1;INO80;MAVS;NF2;TOM1;DIAPH1;EZR;ATG5;INO80C;RUVBL1;CAPN2;RUVBL2;MFF;RHOT1;INO80B;RDX;VPS35;RBSN;GOLPH3;TECPR1;SYT11,wald_stat,GO_Biological_Process_2023
Lysosome Organization (GO:0007040),1.608630899156852,0.819322537222578,0.008547008547008548,VPS33A;GNPTAB;NAGPA;TMEM165;TMEM175;MBTPS1;HPS4;AKTIP;HOOK2;GBA1;SPG11;VPS18;MTOR;TPP1;GAA,wald_stat,GO_Biological_Process_2023
Cytoplasmic Microtubule Organization (GO:0031122),1.6075398323558838,0.7654952571933484,0.010778443113772455,CCDC88C;KATNA1;MBD1;CCDC88B;TUBGCP6;FSD1;KATNB1;KATNAL1;HOOK2;CLIP1;EZR;TUBGCP2;TUBGCP4;RHOA;RAB11A;SLAIN1;CEP126;DYNC1H1;KPNB1;CHP1,wald_stat,GO_Biological_Process_2023
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-1.6065600097540578,0.34213409346385565,0.001,NDUFB9;COX7B;UQCRFS1;NDUFA1;UQCR11;NDUFB6;UQCRQ;NDUFS8;NDUFS3;COX6A1;NDUFC2;SDHB;NDUFB1;UQCC3;SDHD;CYC1;NDUFS6;NDUFA4;NDUFB8;COX7A2;COX8A;NDUFB7;NDUFA3;NDUFA7,wald_stat,GO_Biological_Process_2023
Chemokine-Mediated Signaling Pathway (GO:0070098),-1.604136204565072,0.3300756039092754,0.013043478260869565,XCL1;XCL2;OXSR1,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002702),-1.6019626133383875,0.3183025991760033,0.01904761904761905,XCL1;SLC7A5;DNAJB9;VAMP3;PHB1;PTPN22,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Cytokine Production Involved In Immune Response (GO:0002720),-1.5978921005246436,0.3109535769448342,0.034934497816593885,XCL1;KIR2DL4;HLA-A;SLC7A5;CD55;MALT1;CD160;PLCG2,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Mitochondrion Organization (GO:0010822),1.5974943573129103,0.8004593229006727,0.009422850412249705,CIDEB;HTRA2;BNIP3;MUL1;RALBP1;FAM162A;CHCHD10;MARCHF5;ZDHHC6;TP53;PINK1;MLLT11;BCL2L11;BBC3;DDHD1;GSK3B;MFF;GSK3A,wald_stat,GO_Biological_Process_2023
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),-1.595084476681459,0.3027240704907062,0.007936507936507936,NDUFB9;NDUFB11;NDUFA1;ATP5ME;NDUFB6;NDUFS8;NDUFS3;NDUFC2;SDHB;NDUFB1;SDHD;NDUFS6;NDUFB8;NDUFB7;NDUFA3;NDUFA7;ATP5F1C;NDUFA13;ATP5MG,wald_stat,GO_Biological_Process_2023
Histone Deubiquitination (GO:0016578),1.5924426066057735,0.790026833363638,0.008433734939759036,SUPT7L;TAF7;ENY2;ATXN7;TAF6;TRRAP;ATXN7L3;TAF9;MPND;USP3;TAF5L,wald_stat,GO_Biological_Process_2023
Very Long-Chain Fatty Acid Metabolic Process (GO:0000038),1.5903444534372098,0.7572437325134557,0.016260162601626018,ACOT4;ABCD3;ACAA1;HACD2;TECR;PEX2;HACD3,wald_stat,GO_Biological_Process_2023
Regulation Of Cardiac Muscle Contraction (GO:0055117),-1.5862057938263805,0.3074233565821682,0.03587443946188341,RGS2;CALM3;PDE4D;PDE4B;ZC3H12A;PRKACA;SLC9A1;ATP1B1;P2RX4,wald_stat,GO_Biological_Process_2023
Lipid Droplet Organization (GO:0034389),1.5856279881659214,0.7516883111831997,0.01540436456996149,CIDEB;BSCL2;PPID;RNF213;PNPLA2;LDAF1;PPIA;FAF2;PLIN3;KAT5;CDS2,wald_stat,GO_Biological_Process_2023
Regulation Of Erythrocyte Differentiation (GO:0045646),1.5730475501819234,0.8092016325685789,0.013496932515337423,STAT3;NCKAP1L;MAPK14;MED1;ZFP36L1;HIF1A;STAT1;HSPA1A;STAT5B;FAM210B,wald_stat,GO_Biological_Process_2023
