Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,-1.9611256081765778,0.20920732546931659,0.001,KIR3DL1;KIR3DL2;KIR2DL4;HLA-A;LAIR2;KLRF1;CD96;SELL;SH2D1A;HCST;CD81;KIR2DL3;CRTAM;TREML1;HLA-B;CD3E;ICAM3;SH2D1B;CD160;NPDC1;LAIR1;SLAMF6;ICAM1;KLRG1;CD300A,wald_stat,Reactome_2022
DNA Methylation R-HSA-5334118,-1.8205147410989513,0.3616529734857178,0.001,H3-3B;H2BC12;H2AX;H2AJ;DNMT1;H2AZ1;H2AC20,wald_stat,Reactome_2022
Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886,-1.8135160418342995,0.2578601918575297,0.005154639175257732,H3-3B;H2BC12;PKN1;H2AX;H2AJ,wald_stat,Reactome_2022
SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,-1.7224669188909087,0.39246645553158616,0.001,SEC61G;TRAM1;RSL24D1;SRP68;SSR4;SRPRB;SEC61A1;RPN2;SRP19;SPCS2;SSR2;SRP14;SSR3;DDOST;FAU,wald_stat,Reactome_2022
Meiotic Synapsis R-HSA-1221632,-1.7171537602950322,0.32564985235844,0.001,H2BC12;H2AX;H2AJ;TERF1;SMC3;RAD21;H2AZ1;TERF2IP;PMEPA1;H2AC20;REC8;SUN1;SMC1A;H2AZ2;POT1,wald_stat,Reactome_2022
RHO GTPases Activate NADPH Oxidases R-HSA-5668599,1.7007224372830911,1.0,0.002617801047120419,S100A9;S100A8;MAPK14;PRKCZ;PIK3C3;CYBA,wald_stat,Reactome_2022
Chemokine Receptors Bind Chemokines R-HSA-380108,-1.6944940443578256,0.31462186931044506,0.024,XCL1;XCL2,wald_stat,Reactome_2022
Inhibition Of DNA Recombination At Telomere R-HSA-9670095,-1.6346889116999364,0.4005752665962883,0.01935483870967742,H3-3B;H2BC12;H2AX;H2AJ;TERF1;POLR2G;POLR2L;POLR2J;H2AZ1;TERF2IP;POLR2F;H2AC20,wald_stat,Reactome_2022
RNA Polymerase II Transcription Termination R-HSA-73856,-1.624435372555817,0.37705971450865194,0.001,SRRM1;U2AF1;MAGOH;SRSF5;PAPOLA;ZC3H11A;SRSF9;SRSF2;CPSF1;FYTTD1;SRSF6;CPSF6;SLBP;SNRPF;SRSF7;POLDIP3;THOC7;RNPS1,wald_stat,Reactome_2022
NGF-stimulated Transcription R-HSA-9031628,-1.6217653529203349,0.3423720227318704,0.009852216748768473,EGR1;RNASEH2A;ID2;CDK5;JUND;DNM2;ID1;MEF2D;CHD4,wald_stat,Reactome_2022
Peroxisomal Lipid Metabolism R-HSA-390918,1.6203262832827972,1.0,0.012738853503184714,ACOT8;PHYH;ACOT4;ACAA1;PECR;MLYCD,wald_stat,Reactome_2022
mRNA 3-End Processing R-HSA-72187,-1.5930727636538626,0.3708970180994782,0.001,SRRM1;U2AF1;MAGOH;SRSF5;PAPOLA;ZC3H11A;SRSF9;SRSF2;CPSF1;FYTTD1;SRSF6;CPSF6;SRSF7;POLDIP3;THOC7;RNPS1,wald_stat,Reactome_2022
"Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170",-1.5845003012214138,0.35501849170550687,0.01015228426395939,HLA-A;SEC24C;TAPBP;PDIA3;HLA-B;SAR1B;HSPA5;CALR;ATG14;SEC24A;B2M;SEC13;CANX;SEC24D,wald_stat,Reactome_2022
Complement Cascade R-HSA-166658,-1.5747107773956692,0.3467868198670971,0.03296703296703297,GZMM;CD81;CD55;CPNE1,wald_stat,Reactome_2022
RNA Polymerase I Promoter Opening R-HSA-73728,-1.555660803137167,0.3615282225462608,0.030303030303030304,H3-3B;H2BC12;H2AX;H2AJ,wald_stat,Reactome_2022
Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927,1.550293000170244,1.0,0.01575757575757576,STAT3;CRK;DOK1;CDK4;ERBB2;CDKN1B;PTPN1;HIF1A;PELP1;NRG2;ARHGAP35;UBA52;RHOA;UBC;KHDRBS1;CBL,wald_stat,Reactome_2022
Transcriptional Regulation Of White Adipocyte Differentiation R-HSA-381340,1.5363854274207613,1.0,0.009070294784580499,MED27;SREBF2;FAM120B;MED24;MED12;MED25;HELZ2;CDK4;NCOA6;MED7;MED17;MBD4;CCND3;NCOR1;CDK19;MED8;NCOA3;TNF,wald_stat,Reactome_2022
Lysosome Vesicle Biogenesis R-HSA-432720,1.531679185573292,1.0,0.01278772378516624,HGS;BLOC1S1;HSPA8;CLTC;VAMP8;ARRB1;AP1B1;VAMP2;AP1S1;AP4M1;GNS,wald_stat,Reactome_2022
Keratan Sulfate Biosynthesis R-HSA-2022854,-1.5255501354741223,0.4105375201900653,0.055299539170506916,B3GNT7;B4GALT1;B4GALT4;SLC35D2;B3GNT2,wald_stat,Reactome_2022
PRC2 Methylates Histones And DNA R-HSA-212300,-1.5214274781964925,0.3925745730124488,0.03424657534246575,H3-3B;H2BC12;H2AX;H2AJ;DNMT1;H2AZ1;H2AC20;PHF1;H2AZ2,wald_stat,Reactome_2022
Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,1.51480838304028,1.0,0.0267515923566879,COL13A1;P3H1;COLGALT2;PLOD1;PLOD3,wald_stat,Reactome_2022
