Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Reactome_2022__RMTs Methylate Histone Arginines R-HSA-3214858,-0.718122374274879,-2.0267985017970718,1.449275e-02,5.826189e-01,1.870000e-01,5/9,11.54%,RBBP7;H2AX;H2AZ1;SMARCE1;SMARCA2
prerank,Reactome_2022__RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243,-0.7808490193793757,-1.9256385161065033,4.048583e-03,7.257710e-01,3.780000e-01,4/6,11.54%,CSNK2B;CBX4;SMARCE1;SMARCA2
prerank,Reactome_2022__ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,-0.6618708420229096,-1.9160333639133935,4.366812e-03,5.212204e-01,4.030000e-01,4/9,6.94%,CHD4;RBBP7;H2AX;H2AZ1
prerank,Reactome_2022__Amino Acids Regulate mTORC1 R-HSA-9639288,-0.7316484453573493,-1.8880766704017844,7.662835e-03,5.000312e-01,4.710000e-01,4/7,9.03%,LAMTOR5;ATP6V0C;LAMTOR1;TCIRG1
prerank,Reactome_2022__EPHB-mediated Forward Signaling R-HSA-3928662,-0.5554786104049187,-1.8195195007407723,1.000000e-03,6.631044e-01,6.270000e-01,9/13,16.19%,ARPC3;CDC42;PKN1;ACTG1;ARPC1B;ROCK1;ARPC2;LYN;RHOA
prerank,Reactome_2022__Transcriptional Regulation By Small RNAs R-HSA-5578749,-0.5346691290328988,-1.7896003725876233,1.388889e-02,6.853948e-01,7.020000e-01,9/15,20.73%,POLR2J;POLR2K;H2AX;H2AZ1;RAN;POLR2G;POLR2E;H2AZ2;H3-3B
prerank,Reactome_2022__RNA Polymerase I Promoter Clearance R-HSA-73854,-0.4940075042475628,-1.7895409618953446,1.212121e-02,5.145466e-01,7.020000e-01,5/16,6.94%,CHD4;POLR2K;RBBP7;H2AX;H2AZ1
prerank,Reactome_2022__RNA Polymerase I Transcription R-HSA-73864,-0.4940075042475628,-1.7895409618953446,1.212121e-02,5.145466e-01,7.020000e-01,5/16,6.94%,CHD4;POLR2K;RBBP7;H2AX;H2AZ1
prerank,Reactome_2022__Sphingolipid Metabolism R-HSA-428157,-0.7813551395247846,-1.7784250964086963,1.369863e-02,4.902986e-01,7.180000e-01,3/5,5.93%,ESYT2;SPTSSB;GLTP
prerank,Reactome_2022__Activation Of HOX Genes During Differentiation R-HSA-5619507,-0.48897071130595066,-1.7389596017152584,1.438849e-02,5.682036e-01,7.850000e-01,6/18,6.94%,CREBBP;POLR2J;POLR2K;RBBP7;H2AX;H2AZ1
prerank,Reactome_2022__EPH-Ephrin Signaling R-HSA-2682334,-0.43328389536985484,-1.655838548897905,2.173913e-02,8.307006e-01,9.050000e-01,12/20,16.19%,ARPC3;CDC42;PKN1;AP2M1;ACTG1;ARPC1B;ROCK1;MYL6;VAV3;ARPC2;LYN;RHOA
prerank,Reactome_2022__CDC42 GTPase Cycle R-HSA-9013148,0.5320336072785079,1.6111285116361913,4.400440e-03,1.000000e+00,9.070000e-01,15/34,20.35%,CDC42SE2;TAGAP;ARHGAP45;KTN1;FNBP1;LBR;STOM;DEF6;ARHGAP30;IQGAP2;FMNL1;WIPF1;ARFGAP3;GNA13;DOCK10
prerank,Reactome_2022__Diseases Of Mitotic Cell Cycle R-HSA-9675126,0.7141449689681858,1.604928488931264,1.562500e-02,1.000000e+00,9.180000e-01,5/9,16.77%,ATRX;CDKN1B;CCND2;CCND3;ANAPC16
prerank,Reactome_2022__Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,0.6393033204339634,1.5923345774122257,7.281553e-03,1.000000e+00,9.440000e-01,6/13,9.56%,KIF2A;DYNC1H1;PPP2R1A;BUB3;PPP1CC;PPP2R5C
prerank,Reactome_2022__Resolution Of Sister Chromatid Cohesion R-HSA-2500257,0.6189446817714084,1.5921526303555034,1.199041e-02,1.000000e+00,9.440000e-01,6/15,9.56%,KIF2A;DYNC1H1;PPP2R1A;BUB3;PPP1CC;PPP2R5C
prerank,Reactome_2022__Translocation Of SLC2A4 (GLUT4) To Plasma Membrane R-HSA-1445148,0.6764544939825198,1.5866816074912948,1.293661e-02,1.000000e+00,9.590000e-01,6/10,17.57%,RAB14;VAMP2;LNPEP;MYH9;YWHAZ;KIFAP3
prerank,Reactome_2022__MicroRNA (miRNA) Biogenesis R-HSA-203927,-0.5885064717145118,-1.5780100571244156,6.334842e-02,1.000000e+00,9.670000e-01,5/8,17.68%,POLR2J;POLR2K;RAN;POLR2G;POLR2E
prerank,Reactome_2022__Regulation Of PTEN Gene Transcription R-HSA-8943724,-0.46483587333740406,-1.5741473973487725,3.296703e-02,1.000000e+00,9.680000e-01,6/13,8.81%,CHD4;LAMTOR5;RBBP7;CBX4;LAMTOR1;MAF1
