Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	2/199	2.172624e-02	1.315829e-01	0	0	9.562485e+00	3.661700e+01	MAP3K8;CST7
MSigDB_Hallmark_2020	Estrogen Response Late	2/200	2.193049e-02	1.315829e-01	0	0	9.513709e+00	3.634120e+01	PRSS23;S100A9
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	1/87	9.545498e-02	2.064868e-01	0	0	1.051321e+01	2.469660e+01	MAP3K8
MSigDB_Hallmark_2020	Coagulation	1/138	1.472915e-01	2.064868e-01	0	0	6.582614e+00	1.260795e+01	PRSS23
MSigDB_Hallmark_2020	Mitotic Spindle	1/199	2.055640e-01	2.064868e-01	0	0	4.540634e+00	7.183273e+00	PALLD
MSigDB_Hallmark_2020	Xenobiotic Metabolism	1/200	2.064868e-01	2.064868e-01	0	0	4.517588e+00	7.126581e+00	PTGDS
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	1/200	2.064868e-01	2.064868e-01	0	0	4.517588e+00	7.126581e+00	MAP3K8
MSigDB_Hallmark_2020	Interferon Gamma Response	1/200	2.064868e-01	2.064868e-01	0	0	4.517588e+00	7.126581e+00	XCL1
MSigDB_Hallmark_2020	Complement	1/200	2.064868e-01	2.064868e-01	0	0	4.517588e+00	7.126581e+00	S100A9
MSigDB_Hallmark_2020	G2-M Checkpoint	1/200	2.064868e-01	2.064868e-01	0	0	4.517588e+00	7.126581e+00	HIRA
MSigDB_Hallmark_2020	Adipogenesis	1/200	2.064868e-01	2.064868e-01	0	0	4.517588e+00	7.126581e+00	ABCB8
MSigDB_Hallmark_2020	Estrogen Response Early	1/200	2.064868e-01	2.064868e-01	0	0	4.517588e+00	7.126581e+00	PRSS23
GO_Biological_Process_2023	Neutrophil Chemotaxis (GO:0030593)	3/70	6.915173e-05	4.484457e-03	0	0	4.457463e+01	4.269896e+02	XCL2;XCL1;S100A9
GO_Biological_Process_2023	Granulocyte Chemotaxis (GO:0071621)	3/73	7.839426e-05	4.484457e-03	0	0	4.265786e+01	4.032771e+02	XCL2;XCL1;S100A9
GO_Biological_Process_2023	Positive Regulation Of T Cell Chemotaxis (GO:0010820)	2/12	8.290811e-05	4.484457e-03	0	0	1.901619e+02	1.787099e+03	XCL2;XCL1
GO_Biological_Process_2023	Neutrophil Migration (GO:1990266)	3/77	9.192511e-05	4.484457e-03	0	0	4.034392e+01	3.749780e+02	XCL2;XCL1;S100A9
GO_Biological_Process_2023	Regulation Of T Cell Chemotaxis (GO:0010819)	2/13	9.791390e-05	4.484457e-03	0	0	1.728658e+02	1.595797e+03	XCL2;XCL1
GO_Biological_Process_2023	Positive Regulation Of Lymphocyte Chemotaxis (GO:0140131)	2/17	1.702452e-04	6.497692e-03	0	0	1.267429e+02	1.099909e+03	XCL2;XCL1
GO_Biological_Process_2023	Eosinophil Chemotaxis (GO:0048245)	2/24	3.438115e-04	9.502152e-03	0	0	8.638528e+01	6.889587e+02	XCL2;XCL1
GO_Biological_Process_2023	Eosinophil Migration (GO:0072677)	2/24	3.438115e-04	9.502152e-03	0	0	8.638528e+01	6.889587e+02	XCL2;XCL1
GO_Biological_Process_2023	Positive Regulation Of T Cell Migration (GO:2000406)	2/25	3.734470e-04	9.502152e-03	0	0	8.262526e+01	6.521392e+02	XCL2;XCL1
GO_Biological_Process_2023	Lymphocyte Migration (GO:0072676)	2/41	1.009406e-03	2.204928e-02	0	0	4.868864e+01	3.358734e+02	XCL2;XCL1
GO_Biological_Process_2023	Monocyte Chemotaxis (GO:0002548)	2/42	1.059136e-03	2.204928e-02	0	0	4.746905e+01	3.251773e+02	XCL2;XCL1
GO_Biological_Process_2023	Lymphocyte Chemotaxis (GO:0048247)	2/44	1.162071e-03	2.217620e-02	0	0	4.520408e+01	3.054689e+02	XCL2;XCL1
GO_Biological_Process_2023	Chemokine-Mediated Signaling Pathway (GO:0070098)	2/57	1.942816e-03	3.402122e-02	0	0	3.449697e+01	2.153859e+02	XCL2;XCL1
GO_Biological_Process_2023	Cellular Response To Chemokine (GO:1990869)	2/59	2.079900e-03	3.402122e-02	0	0	3.328321e+01	2.055383e+02	XCL2;XCL1
GO_Biological_Process_2023	Positive Regulation Of GTPase Activity (GO:0043547)	3/234	2.355382e-03	3.453526e-02	0	0	1.282208e+01	7.758707e+01	AGAP2;XCL2;XCL1
GO_Biological_Process_2023	Inflammatory Response (GO:0006954)	3/236	2.412944e-03	3.453526e-02	0	0	1.271073e+01	7.660639e+01	XCL2;XCL1;S100A9
GO_Biological_Process_2023	Cellular Response To Type II Interferon (GO:0071346)	2/66	2.594763e-03	3.495299e-02	0	0	2.963244e+01	1.764393e+02	XCL2;XCL1
GO_Biological_Process_2023	Response To Type II Interferon (GO:0034341)	2/80	3.785434e-03	4.674688e-02	0	0	2.429670e+01	1.354929e+02	XCL2;XCL1
GO_Biological_Process_2023	Cellular Response To Interleukin-1 (GO:0071347)	2/81	3.878562e-03	4.674688e-02	0	0	2.398794e+01	1.331880e+02	XCL2;XCL1
