Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	1/87	2.582082e-02	5.852673e-02	0	0	4.629767e+01	1.692909e+02	MAP3K8
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	1/199	5.824136e-02	5.852673e-02	0	0	1.999596e+01	5.685170e+01	MAP3K8
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	1/200	5.852673e-02	5.852673e-02	0	0	1.989447e+01	5.646592e+01	MAP3K8
MSigDB_Hallmark_2020	Interferon Gamma Response	1/200	5.852673e-02	5.852673e-02	0	0	1.989447e+01	5.646592e+01	XCL1
GO_Biological_Process_2023	Positive Regulation Of T Cell Chemotaxis (GO:0010820)	2/12	4.943298e-06	2.891449e-04	0	0	9.992000e+02	1.220770e+04	XCL2;XCL1
GO_Biological_Process_2023	Regulation Of T Cell Chemotaxis (GO:0010819)	2/13	5.841311e-06	2.891449e-04	0	0	9.083182e+02	1.094574e+04	XCL2;XCL1
GO_Biological_Process_2023	Positive Regulation Of Lymphocyte Chemotaxis (GO:0140131)	2/17	1.017948e-05	3.359229e-04	0	0	6.659667e+02	7.655378e+03	XCL2;XCL1
GO_Biological_Process_2023	Eosinophil Chemotaxis (GO:0048245)	2/24	2.063923e-05	3.701110e-04	0	0	4.539091e+02	4.896915e+03	XCL2;XCL1
GO_Biological_Process_2023	Eosinophil Migration (GO:0072677)	2/24	2.063923e-05	3.701110e-04	0	0	4.539091e+02	4.896915e+03	XCL2;XCL1
GO_Biological_Process_2023	Positive Regulation Of T Cell Migration (GO:2000406)	2/25	2.243097e-05	3.701110e-04	0	0	4.341522e+02	4.647629e+03	XCL2;XCL1
GO_Biological_Process_2023	Lymphocyte Migration (GO:0072676)	2/41	6.118115e-05	7.760939e-04	0	0	2.558333e+02	2.482011e+03	XCL2;XCL1
GO_Biological_Process_2023	Monocyte Chemotaxis (GO:0002548)	2/42	6.423166e-05	7.760939e-04	0	0	2.494250e+02	2.407703e+03	XCL2;XCL1
GO_Biological_Process_2023	Lymphocyte Chemotaxis (GO:0048247)	2/44	7.055399e-05	7.760939e-04	0	0	2.375238e+02	2.270522e+03	XCL2;XCL1
GO_Biological_Process_2023	Chemokine-Mediated Signaling Pathway (GO:0070098)	2/57	1.188261e-04	1.146187e-03	0	0	1.812636e+02	1.638234e+03	XCL2;XCL1
GO_Biological_Process_2023	Cellular Response To Chemokine (GO:1990869)	2/59	1.273541e-04	1.146187e-03	0	0	1.748860e+02	1.568472e+03	XCL2;XCL1
GO_Biological_Process_2023	Cellular Response To Type II Interferon (GO:0071346)	2/66	1.595090e-04	1.315950e-03	0	0	1.557031e+02	1.361376e+03	XCL2;XCL1
GO_Biological_Process_2023	Neutrophil Chemotaxis (GO:0030593)	2/70	1.794914e-04	1.366896e-03	0	0	1.465147e+02	1.263746e+03	XCL2;XCL1
GO_Biological_Process_2023	Granulocyte Chemotaxis (GO:0071621)	2/73	1.952442e-04	1.380655e-03	0	0	1.403028e+02	1.198363e+03	XCL2;XCL1
GO_Biological_Process_2023	Neutrophil Migration (GO:1990266)	2/77	2.172678e-04	1.400299e-03	0	0	1.327933e+02	1.120029e+03	XCL2;XCL1
GO_Biological_Process_2023	Response To Type II Interferon (GO:0034341)	2/80	2.345494e-04	1.400299e-03	0	0	1.276667e+02	1.067018e+03	XCL2;XCL1
GO_Biological_Process_2023	Cellular Response To Interleukin-1 (GO:0071347)	2/81	2.404553e-04	1.400299e-03	0	0	1.260443e+02	1.050324e+03	XCL2;XCL1
GO_Biological_Process_2023	Response To Interleukin-1 (GO:0070555)	2/85	2.648048e-04	1.456427e-03	0	0	1.199458e+02	9.879355e+02	XCL2;XCL1
GO_Biological_Process_2023	Response To Tumor Necrosis Factor (GO:0034612)	2/108	4.272697e-04	2.226300e-03	0	0	9.381132e+01	7.277971e+02	XCL2;XCL1
GO_Biological_Process_2023	Cellular Response To Tumor Necrosis Factor (GO:0071356)	2/119	5.184246e-04	2.566202e-03	0	0	8.494444e+01	6.425806e+02	XCL2;XCL1
GO_Biological_Process_2023	Positive Regulation Of Hydrolase Activity (GO:0051345)	2/176	1.128492e-03	5.251206e-03	0	0	5.695402e+01	3.865397e+02	XCL2;XCL1
GO_Biological_Process_2023	Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)	2/179	1.166935e-03	5.251206e-03	0	0	5.598023e+01	3.780555e+02	XCL2;XCL1
GO_Biological_Process_2023	Positive Regulation Of T-helper 1 Cell Cytokine Production (GO:2000556)	1/5	1.499220e-03	6.184282e-03	0	0	9.995000e+02	6.499559e+03	XCL1
GO_Biological_Process_2023	Regulation Of T-helper 1 Cell Cytokine Production (GO:2000554)	1/5	1.499220e-03	6.184282e-03	0	0	9.995000e+02	6.499559e+03	XCL1
GO_Biological_Process_2023	Regulation Of GTPase Activity (GO:0043087)	2/214	1.661623e-03	6.580028e-03	0	0	4.665566e+01	2.985944e+02	XCL2;XCL1
GO_Biological_Process_2023	Negative Regulation Of CD4-positive, Alpha-Beta T Cell Proliferation (GO:2000562)	1/6	1.798841e-03	6.594112e-03	0	0	7.995600e+02	5.053709e+03	XCL1
GO_Biological_Process_2023	Regulation Of Natural Killer Cell Chemotaxis (GO:2000501)	1/6	1.798841e-03	6.594112e-03	0	0	7.995600e+02	5.053709e+03	XCL1
GO_Biological_Process_2023	Positive Regulation Of GTPase Activity (GO:0043547)	2/234	1.982201e-03	6.594112e-03	0	0	4.259052e+01	2.650641e+02	XCL2;XCL1
GO_Biological_Process_2023	Inflammatory Response (GO:0006954)	2/236	2.015763e-03	6.594112e-03	0	0	4.222222e+01	2.620631e+02	XCL2;XCL1
GO_Biological_Process_2023	Positive Regulation Of T-helper 2 Cell Cytokine Production (GO:2000553)	1/7	2.098387e-03	6.594112e-03	0	0	6.662667e+02	4.108591e+03	XCL1
GO_Biological_Process_2023	Regulation Of ERK1 And ERK2 Cascade (GO:0070372)	2/244	2.152734e-03	6.594112e-03	0	0	4.080992e+01	2.506144e+02	XCL2;XCL1
GO_Biological_Process_2023	Cytokine-Mediated Signaling Pathway (GO:0019221)	2/257	2.384574e-03	6.594112e-03	0	0	3.870392e+01	2.337227e+02	XCL2;XCL1
GO_Biological_Process_2023	Regulation Of CD8-positive, Alpha-Beta T Cell Proliferation (GO:2000564)	1/8	2.397859e-03	6.594112e-03	0	0	5.710571e+02	3.445290e+03	XCL1
GO_Biological_Process_2023	Regulation Of T-helper 1 Type Immune Response (GO:0002825)	1/8	2.397859e-03	6.594112e-03	0	0	5.710571e+02	3.445290e+03	XCL1
