Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Estrogen Response Late	2/200	1.225968e-02	1.103371e-01	0	0	1.332323e+01	5.864140e+01	PRSS23;S100A9
MSigDB_Hallmark_2020	Coagulation	1/138	1.110848e-01	1.571144e-01	0	0	9.053832e+00	1.989545e+01	PRSS23
MSigDB_Hallmark_2020	Mitotic Spindle	1/199	1.563901e-01	1.571144e-01	0	0	6.245265e+00	1.158748e+01	PALLD
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	1/199	1.563901e-01	1.571144e-01	0	0	6.245265e+00	1.158748e+01	CST7
MSigDB_Hallmark_2020	Xenobiotic Metabolism	1/200	1.571144e-01	1.571144e-01	0	0	6.213568e+00	1.149996e+01	PTGDS
MSigDB_Hallmark_2020	Complement	1/200	1.571144e-01	1.571144e-01	0	0	6.213568e+00	1.149996e+01	S100A9
MSigDB_Hallmark_2020	G2-M Checkpoint	1/200	1.571144e-01	1.571144e-01	0	0	6.213568e+00	1.149996e+01	HIRA
MSigDB_Hallmark_2020	Adipogenesis	1/200	1.571144e-01	1.571144e-01	0	0	6.213568e+00	1.149996e+01	ABCB8
MSigDB_Hallmark_2020	Estrogen Response Early	1/200	1.571144e-01	1.571144e-01	0	0	6.213568e+00	1.149996e+01	PRSS23
GO_Biological_Process_2023	Zymogen Inhibition (GO:0097341)	1/5	4.243144e-03	9.117744e-02	0	0	3.121719e+02	1.705224e+03	CST7
GO_Biological_Process_2023	Regulation Of Circadian Sleep/Wake Cycle (GO:0042749)	1/5	4.243144e-03	9.117744e-02	0	0	3.121719e+02	1.705224e+03	PTGDS
GO_Biological_Process_2023	Regulation Of Circadian Sleep/Wake Cycle, Sleep (GO:0045187)	1/5	4.243144e-03	9.117744e-02	0	0	3.121719e+02	1.705224e+03	PTGDS
GO_Biological_Process_2023	Astrocyte Differentiation (GO:0048708)	1/5	4.243144e-03	9.117744e-02	0	0	3.121719e+02	1.705224e+03	S100A9
GO_Biological_Process_2023	Autocrine Signaling (GO:0035425)	1/5	4.243144e-03	9.117744e-02	0	0	3.121719e+02	1.705224e+03	S100A9
GO_Biological_Process_2023	Inhibition Of Cysteine-Type Endopeptidase Activity (GO:0097340)	1/7	5.935662e-03	9.117744e-02	0	0	2.080938e+02	1.066850e+03	CST7
GO_Biological_Process_2023	Leukocyte Aggregation (GO:0070486)	1/7	5.935662e-03	9.117744e-02	0	0	2.080938e+02	1.066850e+03	S100A9
GO_Biological_Process_2023	Cyclooxygenase Pathway (GO:0019371)	1/8	6.780906e-03	9.117744e-02	0	0	1.783571e+02	8.906522e+02	PTGDS
GO_Biological_Process_2023	Peptidyl-Cysteine Modification (GO:0018198)	1/9	7.625474e-03	9.117744e-02	0	0	1.560547e+02	7.609634e+02	S100A9
GO_Biological_Process_2023	Signal Release (GO:0023061)	1/10	8.469366e-03	9.117744e-02	0	0	1.387083e+02	6.618190e+02	PORCN
GO_Biological_Process_2023	Endoplasmic Reticulum Membrane Organization (GO:0090158)	1/11	9.312583e-03	9.117744e-02	0	0	1.248312e+02	5.837595e+02	ATL1
GO_Biological_Process_2023	Dendrite Self-Avoidance (GO:0070593)	1/12	1.015513e-02	9.117744e-02	0	0	1.134773e+02	5.208353e+02	PALLD
GO_Biological_Process_2023	Axonogenesis (GO:0007409)	2/188	1.089404e-02	9.117744e-02	0	0	1.419140e+01	6.413859e+01	PALLD;ATL1
GO_Biological_Process_2023	Negative Regulation Of Neuroinflammatory Response (GO:0150079)	1/13	1.099699e-02	9.117744e-02	0	0	1.040156e+02	4.691243e+02	CST7
GO_Biological_Process_2023	Prostanoid Biosynthetic Process (GO:0046457)	1/14	1.183819e-02	9.117744e-02	0	0	9.600962e+01	4.259394e+02	PTGDS
GO_Biological_Process_2023	Regulation Of Microglial Cell Activation (GO:1903978)	1/14	1.183819e-02	9.117744e-02	0	0	9.600962e+01	4.259394e+02	CST7
GO_Biological_Process_2023	Lipoprotein Biosynthetic Process (GO:0042158)	1/14	1.183819e-02	9.117744e-02	0	0	9.600962e+01	4.259394e+02	PORCN
GO_Biological_Process_2023	Negative Regulation Of Macrophage Activation (GO:0043031)	1/15	1.267871e-02	9.117744e-02	0	0	8.914732e+01	3.893804e+02	CST7
