Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Aerobic Respiration (GO:0009060),-0.4039254628748962,-1.736353118591664,1.000000e-03,4.717794e-01,2.750000e-01,13/27,23.02%,NDUFA6;SDHC;NDUFS8;UQCRC2;NDUFS6;NDUFB8;NDUFB11;ATP5F1D;NDUFA13;NDUFB9;MDH2;NDUFS5;NDUFA12
prerank,Lymphocyte Differentiation (GO:0030098),0.6388171488310479,1.727653764072369,2.336449e-03,5.177656e-01,3.620000e-01,11/18,22.12%,PTPRC;PIK3CD;KLF6;IKZF1;RHOH;LCK;PTPN22;PLCG2;ITGA4;ZAP70;ZBTB7A
prerank,Regulation Of DNA Binding (GO:0051101),-0.4991295710678037,-1.7245466262874343,2.597403e-02,2.526928e-01,2.940000e-01,5/17,4.86%,SIRT2;CSNK2B;NFKBIA;HMGB2;HMGB1
prerank,Negative Regulation Of Wnt Signaling Pathway (GO:0030178),0.6223821082397533,1.6810809057012919,5.787037e-03,4.830550e-01,5.560000e-01,8/18,21.31%,CCDC88C;PFDN5;RNF213;STK4;TLE1;GPI;GSK3B;TLE4
prerank,B Cell Activation (GO:0042113),0.6129146980372759,1.676746138351945,5.813953e-03,3.397133e-01,5.730000e-01,11/19,22.12%,PTPRC;RASGRP1;PIK3CD;KLF6;CASP8;PLCG2;ITGA4;ZAP70;HSPD1;PHB2;ZBTB7A
prerank,Regulation Of Stress Fiber Assembly (GO:0051492),-0.4284828170504176,-1.6507390260520827,1.000000e-03,2.671262e-01,4.060000e-01,8/20,10.47%,S100A10;CDC42;RHOC;DYNLL1;ACTG1;GPR65;PFN1;ROCK1
prerank,T Cell Receptor Signaling Pathway (GO:0050852),0.5461947526337391,1.64760785761983,7.717751e-03,3.721741e-01,7.040000e-01,18/31,34.40%,PTPRC;PIK3CD;FYN;BTN3A3;LCK;PTPN22;PLCG2;ZAP70;SKAP1;CSK;BTN3A2;CD3G;KHDRBS1;FYB1;RBCK1;CD8A;TXK;INPP5D
prerank,Response To UV (GO:0009411),-0.42896727156984416,-1.6445123113617661,2.962963e-02,2.097156e-01,4.160000e-01,8/19,14.58%,CREBBP;CDKN2D;ZBTB1;SDF4;XPA;UBE2B;ATF4;CIRBP
prerank,Cilium Organization (GO:0044782),0.5962139977756717,1.5980058607684247,9.378664e-03,5.399417e-01,8.720000e-01,9/16,29.11%,EHD1;SEPTIN6;PHIP;CEP78;SEPTIN7;KIFAP3;ARF4;ABLIM1;ACTR3
prerank,Regulation Of Wnt Signaling Pathway (GO:0030111),0.6001329927457979,1.5745781051411627,1.740139e-02,5.910434e-01,9.220000e-01,6/16,13.19%,CRBN;PPP2R1A;PPP1CA;CDC73;TLE1;GPI
prerank,Cellular Respiration (GO:0045333),-0.30974505352818227,-1.5720233854203318,1.000000e-03,2.672986e-01,5.540000e-01,15/45,16.77%,NDUFA6;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;NDUFB11;COX7A2;COX8A;COX4I1;COX6C;NDUFA13
prerank,Aerobic Electron Transport Chain (GO:0019646),-0.33452650445354193,-1.56734860486367,1.000000e-03,2.281344e-01,5.600000e-01,13/39,16.35%,NDUFA6;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;COX7A2;COX8A;COX4I1;COX6C
prerank,Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),0.5621747245837375,1.5581251859328644,1.430274e-02,6.089496e-01,9.500000e-01,9/20,18.91%,TAGAP;ARHGAP25;CYRIB;ARHGEF3;ARHGAP45;ARHGEF1;ARHGAP30;ARHGAP15;GNA13
prerank,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-0.32929295057475516,-1.5549811582224757,1.000000e-03,2.097618e-01,5.900000e-01,13/40,16.35%,NDUFA6;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;COX7A2;COX8A;COX4I1;COX6C
prerank,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",-0.4137376457451475,-1.5320749967166802,3.787879e-02,2.113313e-01,6.350000e-01,4/17,11.22%,NDUFA6;NDUFS8;NDUFS6;NDUFB8
