Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cytosolic DNA-sensing pathway,-0.5566449101034117,-1.949232471803872,1.000000e-03,6.885626e-02,2.300000e-02,3/15,5.34%,NFKBIA;POLR2K;CCL4L2
prerank,Cardiac muscle contraction,-0.45313413276876857,-1.7922262451139013,1.000000e-03,1.249614e-01,7.800000e-02,9/21,16.35%,UQCRFS1;COX5B;UQCRC2;TPM3;COX6A1;COX7A2;COX8A;COX4I1;COX6C
prerank,Thermogenesis,-0.32905515319195816,-1.7457640491184117,1.000000e-03,1.037094e-01,9.700000e-02,24/72,16.77%,NDUFA6;COX17;UQCRFS1;ACTB;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;ACTG1;SMARCE1;COX6A1;NDUFB8;SMARCA2;ATP5PF;ATP5F1C;NDUFB11;COX7A2;COX8A;PRKAG1;COX4I1;ATP5F1D;COX6C;NDUFA13
prerank,Oxidative phosphorylation,-0.3454094503625031,-1.7420679290874097,1.000000e-03,7.778207e-02,9.700000e-02,21/62,16.77%,NDUFA6;COX17;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;ATP6V0C;NDUFS6;TCIRG1;COX6A1;NDUFB8;ATP5PF;ATP5F1C;NDUFB11;COX7A2;COX8A;COX4I1;ATP5F1D;COX6C;NDUFA13
prerank,Huntington disease,-0.3102451340977633,-1.6875051011098054,1.000000e-03,8.160742e-02,1.180000e-01,33/100,16.77%,VDAC1;PSMB1;NDUFA6;CREBBP;UQCRFS1;VDAC2;POLR2J;SDHC;POLR2K;TUBB4B;NDUFS8;COX5B;UQCRC2;ADRM1;PSMB4;NDUFS6;AP2M1;COX6A1;PSMA1;NDUFB8;PSMD7;ATP5PF;ATP5F1C;NDUFB11;COX7A2;PSMA6;COX8A;PSMA3;COX4I1;POLR2G;ATP5F1D;COX6C;NDUFA13
prerank,Oocyte meiosis,0.5887818185507053,1.5994720939914402,6.802721e-03,6.966307e-01,4.330000e-01,7/20,16.40%,PPP3CC;PPP2R1A;MAPK1;PPP1CA;PPP1CC;PPP2R5C;YWHAZ
prerank,Lysosome,-0.41163567103017706,-1.53691166374693,2.580645e-02,1.530139e-01,2.380000e-01,6/18,13.25%,CD63;M6PR;LAPTM4A;ATP6V0C;TCIRG1;CD164
prerank,Cellular senescence,0.488880067027868,1.5290199869088439,4.291845e-03,7.842334e-01,6.560000e-01,14/40,16.19%,ETS1;PPP3CC;PIK3CD;CCND2;MAPK1;CAPN2;PPP1CA;RBL2;PPP1CC;NFATC2;ZFP36L1;HLA-E;CCND3;ATM
prerank,Parkinson disease,-0.2764482405053347,-1.526438297241661,1.000000e-03,1.420843e-01,2.520000e-01,33/106,16.88%,VDAC1;PSMB1;NDUFA6;UQCRFS1;VDAC2;UBB;GNAI2;SDHC;TUBB4B;NDUFS8;COX5B;UQCRC2;ADRM1;PSMB4;NDUFS6;COX6A1;PSMA1;PARK7;NDUFB8;ATF4;PSMD7;ATP5PF;ATP5F1C;NDUFB11;COX7A2;PSMA6;COX8A;PSMA3;COX4I1;ATP5F1D;COX6C;NDUFA13;TXN
prerank,Phospholipase D signaling pathway,0.5441306680340978,1.4903153031303347,3.089245e-02,7.860498e-01,7.820000e-01,7/19,18.91%,PIK3CD;FYN;CYTH1;MAPK1;DGKD;PLCG2;GNA13
prerank,Amyotrophic lateral sclerosis,-0.2671313409309409,-1.4692590546631532,1.000000e-03,1.702280e-01,3.200000e-01,30/116,13.35%,VDAC1;PSMB1;NDUFA6;SRSF3;UQCRFS1;ACTB;SDHC;TUBB4B;NDUFS8;GABARAPL2;COX5B;NXT1;UQCRC2;ADRM1;PSMB4;NDUFS6;ACTG1;PFN1;COX6A1;PSMA1;ATXN2L;NDUFB8;ATF4;PSMD7;ATP5PF;ATP5F1C;NDUFB11;COX7A2;PSMA6;COX8A
prerank,Non-alcoholic fatty liver disease,-0.265652001685783,-1.4529457645530814,1.000000e-03,1.634982e-01,3.410000e-01,19/63,16.77%,NDUFA6;UQCRFS1;CDC42;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;FOS;COX6A1;NDUFB8;ATF4;NDUFB11;COX7A2;COX8A;PRKAG1;COX4I1;COX6C;NDUFA13
prerank,Pertussis,-0.3966314989394561,-1.4457078866703441,8.552632e-02,1.545440e-01,3.510000e-01,7/16,17.95%,ITGAM;GNAI2;CFL1;FOS;IRF1;RHOA;CALM3
prerank,Vascular smooth muscle contraction,0.5238701757578614,1.4380427174389234,4.914286e-02,9.630018e-01,9.040000e-01,6/19,10.31%,PRKCH;MAPK1;MYH9;PPP1CA;PPP1CC;ARHGEF1
prerank,Adherens junction,-0.3908766946894425,-1.4176433177721965,7.741935e-02,1.627512e-01,3.780000e-01,6/17,8.71%,CSNK2B;CREBBP;CDC42;ACTB;ACP1;ACTG1
prerank,VEGF signaling pathway,0.5445640981187359,1.4059406695695706,7.319953e-02,1.000000e+00,9.530000e-01,6/15,18.38%,PPP3CC;PIK3CD;SH2D2A;MAPK1;NFATC2;PLCG2
prerank,PI3K-Akt signaling pathway,0.44454595724980445,1.388489704151535,3.817603e-02,9.970229e-01,9.700000e-01,15/42,18.59%,PIK3CD;CDKN1B;CCND2;MCL1;GNG2;PPP2R1A;MAPK1;RBL2;PPP2R5C;CCND3;EIF4B;GSK3B;YWHAZ;COL6A2;ITGA4
prerank,Retrograde endocannabinoid signaling,-0.3093417222291354,-1.3681857967601592,4.705882e-02,1.955178e-01,4.480000e-01,8/30,12.77%,NDUFA6;GNAI2;GNB1;NDUFS8;NDUFS6;NDUFB8;GNB2;NDUFB11
