Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
UV Response Dn,1.7814979359422674,0.008706886866644198,0.001,ATRX;SYNE1;PIK3CD;CDKN1B;FYN;CITED2;ADD3;CELF2;NIPBL;PHF3,wald_stat,MSigDB_Hallmark_2020
Reactive Oxygen Species Pathway,-1.5624701105752368,0.15076560659599528,0.027972027972027972,NDUFA6;LAMTOR5;LSP1;CDKN2D,wald_stat,MSigDB_Hallmark_2020
IL-2/STAT5 Signaling,1.4998317430181498,0.29472812043590607,0.014705882352941176,CDC42SE2;PRKCH;IL10RA;EOMES;CCND2;CST7;ODC1;PTGER2;SLC2A3;RORA;KLF6;PIM1;RHOH;CCND3,wald_stat,MSigDB_Hallmark_2020
Oxidative Phosphorylation,-1.4629527300233294,0.16372202591283863,0.001,VDAC1;NDUFA6;COX17;UQCRFS1;VDAC2;SDHC;NDUFS8;ACAA2;COX5B;UQCRC2;ATP6V0C;NDUFS6;LDHA;TCIRG1;COX6A1;NDUFB8;ATP5PF;ATP5F1C;COX7A2;COX8A,wald_stat,MSigDB_Hallmark_2020
DNA Repair,-1.3771186598481546,0.17981939536709854,0.04878048780487805,COX17;POLR2J;NT5C;POLR2K;GTF2A2;ADRM1,wald_stat,MSigDB_Hallmark_2020
KRAS Signaling Up,1.3646208360927852,0.7064187544470658,0.083710407239819,ETS1;IL10RA;CCND2;CD37;CCSER2,wald_stat,MSigDB_Hallmark_2020
heme Metabolism,1.2121081054703657,1.0,0.1786492374727669,TNRC6B;H4C3;ARL2BP;CAST;EPB41;RNF19A;ADD1;CCND3;LRP10;KLF3;FBXO7;TCEA1;RAD23A;USP15;GYPC;TOP1;BTG2,wald_stat,MSigDB_Hallmark_2020
Allograft Rejection,1.2083610786074501,1.0,0.16241062308478038,ETS1;PTPRC;CCND2;EIF3A;IL16;FGR;STAT4;LCK;HLA-E;CCND3;GZMB;ITGAL;ZAP70;HIF1A;NPM1;PRF1;ABI1;CSK;CD74;CD2;CD3G;FYB1,wald_stat,MSigDB_Hallmark_2020
Pperoxisome,-1.120381383062163,0.5212014134275619,0.28289473684210525,CTBP1;GSTK1;HSD17B11;TSPO;PRDX5,wald_stat,MSigDB_Hallmark_2020
Epithelial Mesenchymal Transition,-1.1102679784038558,0.43580683156654887,0.2871287128712871,GADD45B;PPIB;CD44;EMP3;ID2,wald_stat,MSigDB_Hallmark_2020
Myogenesis,-1.104134385368235,0.37612877895563407,0.31297709923664124,SIRT2;LSP1;GADD45B;GABARAPL2,wald_stat,MSigDB_Hallmark_2020
Mitotic Spindle,1.061335093316745,1.0,0.3913978494623656,ARHGEF3;DYNC1H1;SPTAN1;MYH9;EPB41;SUN2;UXT;KIFAP3;ABI1;CAPZB,wald_stat,MSigDB_Hallmark_2020
Hypoxia,1.0549314248118782,1.0,0.4110878661087866,ETS1;CDKN1B;ISG20;CITED2;MYH9;SLC2A3;RORA;KLF6;GPI;PIM1,wald_stat,MSigDB_Hallmark_2020
Complement,1.0332209636714962,1.0,0.44750795334040294,KIF2A;EHD1;RASGRP1;FYN;GNG2;SPOCK2;PIM1;LCK;GZMB;DOCK10;CBLB;PLEK;USP15;GRB2;CALM1,wald_stat,MSigDB_Hallmark_2020
Androgen Response,1.023166447067633,1.0,0.45057471264367815,PIAS1;IDI1;HMGCS1;CCND3;IQGAP2;PA2G4;SPCS3;MYL12A,wald_stat,MSigDB_Hallmark_2020
G2-M Checkpoint,1.0173549132758704,1.0,0.4724576271186441,ATRX;CDKN1B;ODC1;LBR;BUB3;SFPQ;HNRNPU;NCL;PRPF4B;HIF1A;SLC38A1;HNRNPD;CUL5;TOP1;HSPA8;KPNB1;G3BP1;DBF4,wald_stat,MSigDB_Hallmark_2020
Coagulation,0.9760302901577349,1.0,0.5239808153477218,FYN;USP11;ISCU;CAPN2,wald_stat,MSigDB_Hallmark_2020
Glycolysis,0.9209757043426716,1.0,0.6052631578947368,KIF2A;ISG20;CHST12;CITED2,wald_stat,MSigDB_Hallmark_2020
p53 Pathway,0.9135410341500739,1.0,0.6384120171673819,CCND2;PITPNC1;ISCU;STOM;DEF6;ZFP36L1;CCND3;CYFIP2;SLC3A2;H1-2;DCXR;LDHB;BTG1;BTG2;TOB1;BAX;SOCS1,wald_stat,MSigDB_Hallmark_2020
Fatty Acid Metabolism,0.905045502091587,1.0,0.6278026905829597,ODC1;IDI1;HMGCS1;SDHA;RAP1GDS1;SERINC1,wald_stat,MSigDB_Hallmark_2020
Estrogen Response Early,0.8967238089345463,1.0,0.6338983050847458,RASGRP1;FCMR;ADD3,wald_stat,MSigDB_Hallmark_2020
TGF-beta Signaling,0.8609473345105759,1.0,0.6789099526066351,SLC20A1;PPP1CA;ARID4B;SMAD7,wald_stat,MSigDB_Hallmark_2020
Unfolded Protein Response,0.8492671872285095,1.0,0.7160087719298246,EIF4A2;IMP3;SRPRA;YWHAZ;SPCS1;EIF4A3;NPM1;EEF2;CNOT2;FUS;DNAJC3;LSM4;SPCS3;BANF1;HSPA5;XBP1;HSPA9;HERPUD1;KIF5B,wald_stat,MSigDB_Hallmark_2020
Apoptosis,0.8296876741387854,1.0,0.7670514165792235,CDKN1B;CCND2;ISG20;MCL1;SPTAN1;SLC20A1,wald_stat,MSigDB_Hallmark_2020
Inflammatory Response,0.8240198847663729,1.0,0.7598299681190224,IL10RA;RASGRP1;PTGER2;KLF6;LCK;EIF2AK2;HIF1A;PTGER4;ABI1;IL18R1;IL7R,wald_stat,MSigDB_Hallmark_2020
mTORC1 Signaling,-0.8128873249268574,0.9079589432946323,0.8666666666666667,PDAP1;ENO1;DDIT4;M6PR;GAPDH;SEC11A;LDHA;HSPE1,wald_stat,MSigDB_Hallmark_2020
