Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Cytosolic DNA-sensing pathway,-1.949232471803872,0.06885625965996908,0.001,NFKBIA;POLR2K;CCL4L2,wald_stat,KEGG_2021_Human
Cardiac muscle contraction,-1.7922262451139013,0.1249613601236476,0.001,UQCRFS1;COX5B;UQCRC2;TPM3;COX6A1;COX7A2;COX8A;COX4I1;COX6C,wald_stat,KEGG_2021_Human
Thermogenesis,-1.7457640491184117,0.10370942812982997,0.001,NDUFA6;COX17;UQCRFS1;ACTB;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;ACTG1;SMARCE1;COX6A1;NDUFB8;SMARCA2;ATP5PF;ATP5F1C;NDUFB11;COX7A2;COX8A;PRKAG1;COX4I1;ATP5F1D;COX6C;NDUFA13,wald_stat,KEGG_2021_Human
Oxidative phosphorylation,-1.7420679290874097,0.07778207109737248,0.001,NDUFA6;COX17;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;ATP6V0C;NDUFS6;TCIRG1;COX6A1;NDUFB8;ATP5PF;ATP5F1C;NDUFB11;COX7A2;COX8A;COX4I1;ATP5F1D;COX6C;NDUFA13,wald_stat,KEGG_2021_Human
Huntington disease,-1.6875051011098054,0.08160741885625966,0.001,VDAC1;PSMB1;NDUFA6;CREBBP;UQCRFS1;VDAC2;POLR2J;SDHC;POLR2K;TUBB4B;NDUFS8;COX5B;UQCRC2;ADRM1;PSMB4;NDUFS6;AP2M1;COX6A1;PSMA1;NDUFB8;PSMD7;ATP5PF;ATP5F1C;NDUFB11;COX7A2;PSMA6;COX8A;PSMA3;COX4I1;POLR2G;ATP5F1D;COX6C;NDUFA13,wald_stat,KEGG_2021_Human
Lysosome,-1.53691166374693,0.15301391035548687,0.025806451612903226,CD63;M6PR;LAPTM4A;ATP6V0C;TCIRG1;CD164,wald_stat,KEGG_2021_Human
Parkinson disease,-1.526438297241661,0.14208434533009492,0.001,VDAC1;PSMB1;NDUFA6;UQCRFS1;VDAC2;UBB;GNAI2;SDHC;TUBB4B;NDUFS8;COX5B;UQCRC2;ADRM1;PSMB4;NDUFS6;COX6A1;PSMA1;PARK7;NDUFB8;ATF4;PSMD7;ATP5PF;ATP5F1C;NDUFB11;COX7A2;PSMA6;COX8A;PSMA3;COX4I1;ATP5F1D;COX6C;NDUFA13;TXN,wald_stat,KEGG_2021_Human
Amyotrophic lateral sclerosis,-1.4692590546631532,0.17022797527047914,0.001,VDAC1;PSMB1;NDUFA6;SRSF3;UQCRFS1;ACTB;SDHC;TUBB4B;NDUFS8;GABARAPL2;COX5B;NXT1;UQCRC2;ADRM1;PSMB4;NDUFS6;ACTG1;PFN1;COX6A1;PSMA1;ATXN2L;NDUFB8;ATF4;PSMD7;ATP5PF;ATP5F1C;NDUFB11;COX7A2;PSMA6;COX8A,wald_stat,KEGG_2021_Human
Non-alcoholic fatty liver disease,-1.4529457645530814,0.16349819680577024,0.001,NDUFA6;UQCRFS1;CDC42;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;FOS;COX6A1;NDUFB8;ATF4;NDUFB11;COX7A2;COX8A;PRKAG1;COX4I1;COX6C;NDUFA13,wald_stat,KEGG_2021_Human
Pertussis,-1.4457078866703441,0.15454404945904174,0.08552631578947369,ITGAM;GNAI2;CFL1;FOS;IRF1;RHOA;CALM3,wald_stat,KEGG_2021_Human
Adherens junction,-1.4176433177721965,0.1627511591962906,0.07741935483870968,CSNK2B;CREBBP;CDC42;ACTB;ACP1;ACTG1,wald_stat,KEGG_2021_Human
Retrograde endocannabinoid signaling,-1.3681857967601592,0.19551777434312212,0.047058823529411764,NDUFA6;GNAI2;GNB1;NDUFS8;NDUFS6;NDUFB8;GNB2;NDUFB11,wald_stat,KEGG_2021_Human
Diabetic cardiomyopathy,-1.3508175964584117,0.19891808346213294,0.038461538461538464,VDAC1;NDUFA6;UQCRFS1;VDAC2;SDHC;NDUFS8;GAPDH;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;ATP5PF;ATP5F1C;NDUFB11;COX7A2;COX8A;COX4I1;ATP5F1D;COX6C;NDUFA13,wald_stat,KEGG_2021_Human
Neutrophil extracellular trap formation,-1.3417817358239554,0.19673217045705454,0.06097560975609756,VDAC1;VDAC2;ITGAM;ACTB;HMGB1;H2AX;H2AZ1;ACTG1;H3-3A,wald_stat,KEGG_2021_Human
Phagosome,-1.3152445044537222,0.2128593508500773,0.06896551724137931,ITGAM;ACTB;RAB5C;M6PR;TUBB4B;SEC61G;ATP6V0C;ACTG1;TCIRG1,wald_stat,KEGG_2021_Human
Vibrio cholerae infection,-1.2907263247359206,0.22442040185471407,0.1317365269461078,ACTB;SEC61G;ATP6V0C;ACTG1;TCIRG1,wald_stat,KEGG_2021_Human
Alzheimer disease,-1.2650244495026965,0.240171833803073,0.001,VDAC1;PSMB1;CSNK2B;NDUFA6;UQCRFS1;VDAC2;SDHC;TUBB4B;NDUFS8;GAPDH;COX5B;UQCRC2;ADRM1;PSMB4;NDUFS6;COX6A1;PSMA1;NDUFB8;ATF4;PSMD7;ATP5PF;ATP5F1C;NDUFB11;COX7A2;PSMA6;COX8A,wald_stat,KEGG_2021_Human
Bacterial invasion of epithelial cells,-1.2613495101792862,0.23065430190623393,0.12096774193548387,ARPC3;CDC42;ACTB;ACTG1;ARPC1B;ARPC2;ARPC5L;RHOA,wald_stat,KEGG_2021_Human
