Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,RHO GTPases Activate PAKs R-HSA-5627123,-0.7124740908514262,-1.9710056220967016,1.000000e-03,9.661487e-02,7.900000e-02,7/15,10.58%,LIMK1;PKN1;CDC42;ARHGEF7;PKN2;MYL6;CALM1
prerank,Cargo Trafficking To Periciliary Membrane R-HSA-5620920,0.5210044868089705,1.8915122525710695,1.000000e-03,2.899322e-01,2.200000e-01,14/33,18.82%,ARF4;RAB11A;TCP1;ARL13B;CCT3;PTGES2;BBS2;PDE6D;CCT8;CCT4;EXOC1;PRKD2;CCT2;BBS9
prerank,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,-0.5632785109721183,-1.860365176937651,1.724138e-03,2.443135e-01,2.870000e-01,11/28,14.28%,RPN2;SEC61G;SRP72;DDOST;SRP19;SSR4;SEC61B;SRP54;SRP68;SPCS2;RSL24D1
prerank,COPII-mediated Vesicle Transport R-HSA-204005,-0.4791911335800852,-1.8013942538175405,5.145798e-03,3.227899e-01,4.730000e-01,16/52,12.23%,RAB1A;TFG;NAPG;TRAPPC10;STX5;SEC24C;PPP6R1;TRAPPC2L;TRAPPC6A;SEC24B;CSNK1D;TBC1D20;TMED2;SEC24A;SEC13;TRAPPC5
prerank,mRNA 3-End Processing R-HSA-72187,-0.4697167702041883,-1.8008353909129777,1.000000e-03,2.429253e-01,4.750000e-01,18/56,12.36%,U2AF2;RBM8A;ALYREF;MAGOH;WDR33;RNPS1;CPSF7;SLU7;SARNP;THOC7;SRSF9;DDX39A;PABPN1;NCBP1;NUDT21;SRSF5;CPSF6;SRSF2
prerank,Semaphorin Interactions R-HSA-373755,-0.5176165045618604,-1.798305674662382,1.000000e-03,2.007812e-01,4.870000e-01,12/38,14.00%,LIMK1;PKN1;FARP2;ARHGEF7;RHOC;PLXNA4;RNMT;PKN2;MYL6;PLXNA3;TYROBP;CD72
prerank,EPH-Ephrin Signaling R-HSA-2682334,-0.4705541537686664,-1.7404501485604527,1.697793e-03,3.164970e-01,6.980000e-01,13/51,9.58%,LIMK1;NCK2;PKN1;CDC42;GIT1;ARHGEF7;CLTB;YES1;PKN2;EPHA4;APH1A;ARPC2;MYL6
prerank,HIV Elongation Arrest And Recovery R-HSA-167287,-0.5119186732624542,-1.7375285118581116,3.448276e-03,2.793740e-01,7.050000e-01,13/32,18.23%,ELOA;POLR2C;POLR2D;POLR2G;ELOB;ELL;CCNT1;POLR2E;NELFCD;CCNT2;POLR2J;NELFA;CDK9
prerank,Respiratory Electron Transport R-HSA-611105,-0.41260150954533126,-1.7300408898407273,1.000000e-03,2.654133e-01,7.390000e-01,33/90,18.51%,NDUFB7;NDUFA1;NDUFC2;COX7B;UQCRFS1;NDUFA13;UQCR11;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;COQ10B;COX6A1;COX19;NDUFB1;SURF1;UQCRQ;NDUFA10;NDUFS6;NDUFB11;LRPPRC;NDUFA9;COX8A;NDUFS3;SDHA;COA1;NDUFV1;COX16;NDUFB9;UQCRC1;NDUFA5;NDUFS8
prerank,Pausing And Recovery Of Tat-mediated HIV Elongation R-HSA-167238,-0.511293236717367,-1.7202359177604953,8.576329e-03,2.612180e-01,7.660000e-01,12/30,18.23%,ELOA;POLR2C;POLR2D;POLR2G;ELOB;ELL;CCNT1;POLR2E;NELFCD;POLR2J;NELFA;CDK9
prerank,Interleukin-12 Family Signaling R-HSA-447115,0.45393605898774775,1.7126920095698468,4.504505e-03,8.727550e-01,7.520000e-01,12/41,7.89%,HNRNPF;S100A9;STAT3;STAT4;SOD1;CAPZA1;TCP1;IFNG;IL27RA;HNRNPA2B1;RALA;RAP1B
prerank,TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008,-0.5192546340812438,-1.7124276789327728,7.434944e-03,2.567512e-01,8.050000e-01,7/28,9.63%,BCL6;RABGGTA;CREBBP;FASN;BBC3;TRIAP1;PIDD1
prerank,CD28 Co-Stimulation R-HSA-389356,-0.5123146984359904,-1.703329205391292,6.980803e-03,2.569330e-01,8.230000e-01,11/28,14.59%,MAP3K8;PKN1;CDC42;AKT1;ARHGEF7;YES1;PKN2;PIK3R1;MAPKAP1;LYN;MLST8
prerank,Collagen Formation R-HSA-1474290,-0.543863518512277,-1.7032959754745323,1.291513e-02,2.357070e-01,8.240000e-01,10/21,21.44%,PPIB;P4HB;CTSS;CD151;P3H1;PCOLCE;COL6A2;PLOD1;PLEC;COL18A1
prerank,mRNA Splicing - Major Pathway R-HSA-72163,-0.3685953650470973,-1.6948427296302295,1.000000e-03,2.359419e-01,8.460000e-01,54/177,17.98%,SF3B6;U2AF2;RBM8A;ALYREF;MAGOH;SRSF10;CRNKL1;RBM5;WDR33;SNRNP27;CWC25;PHF5A;EFTUD2;U2SURP;RNPS1;SNW1;SYF2;CPSF7;BUD31;CWC15;SLU7;SNRPB2;PTBP1;TRA2B;POLR2C;SMNDC1;HNRNPH1;POLR2D;SRSF9;POLR2G;PQBP1;CTNNBL1;HNRNPL;PABPN1;NCBP1;TFIP11;SNRPC;NUDT21;SRSF5;CPSF6;SRSF2;POLR2E;CDC5L;PCBP1;SF3A2;HNRNPM;PPIH;CPSF1;SRRM2;POLR2J;SNU13;SRRM1;HNRNPUL1;SF3B2
prerank,Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505,0.476597950258535,1.6916272220586777,6.535948e-03,7.145461e-01,8.140000e-01,10/30,7.89%,HNRNPF;S100A9;STAT4;SOD1;CAPZA1;TCP1;IFNG;HNRNPA2B1;RALA;RAP1B
