Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
RHO GTPases Activate PAKs R-HSA-5627123,-1.9710056220967016,0.0966148684854274,0.001,LIMK1;PKN1;CDC42;ARHGEF7;PKN2;MYL6;CALM1,wald_stat,Reactome_2022
Cargo Trafficking To Periciliary Membrane R-HSA-5620920,1.8915122525710695,0.2899321599025886,0.001,ARF4;RAB11A;TCP1;ARL13B;CCT3;PTGES2;BBS2;PDE6D;CCT8;CCT4;EXOC1;PRKD2;CCT2;BBS9,wald_stat,Reactome_2022
SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,-1.860365176937651,0.24431346053786238,0.0017241379310344827,RPN2;SEC61G;SRP72;DDOST;SRP19;SSR4;SEC61B;SRP54;SRP68;SPCS2;RSL24D1,wald_stat,Reactome_2022
COPII-mediated Vesicle Transport R-HSA-204005,-1.8013942538175405,0.322789905437903,0.005145797598627788,RAB1A;TFG;NAPG;TRAPPC10;STX5;SEC24C;PPP6R1;TRAPPC2L;TRAPPC6A;SEC24B;CSNK1D;TBC1D20;TMED2;SEC24A;SEC13;TRAPPC5,wald_stat,Reactome_2022
mRNA 3-End Processing R-HSA-72187,-1.8008353909129777,0.24292531587571542,0.001,U2AF2;RBM8A;ALYREF;MAGOH;WDR33;RNPS1;CPSF7;SLU7;SARNP;THOC7;SRSF9;DDX39A;PABPN1;NCBP1;NUDT21;SRSF5;CPSF6;SRSF2,wald_stat,Reactome_2022
Semaphorin Interactions R-HSA-373755,-1.798305674662382,0.20078124393293414,0.001,LIMK1;PKN1;FARP2;ARHGEF7;RHOC;PLXNA4;RNMT;PKN2;MYL6;PLXNA3;TYROBP;CD72,wald_stat,Reactome_2022
EPH-Ephrin Signaling R-HSA-2682334,-1.7404501485604527,0.3164969829695035,0.001697792869269949,LIMK1;NCK2;PKN1;CDC42;GIT1;ARHGEF7;CLTB;YES1;PKN2;EPHA4;APH1A;ARPC2;MYL6,wald_stat,Reactome_2022
HIV Elongation Arrest And Recovery R-HSA-167287,-1.7375285118581116,0.27937402857608806,0.0034482758620689655,ELOA;POLR2C;POLR2D;POLR2G;ELOB;ELL;CCNT1;POLR2E;NELFCD;CCNT2;POLR2J;NELFA;CDK9,wald_stat,Reactome_2022
Respiratory Electron Transport R-HSA-611105,-1.7300408898407273,0.26541325940249594,0.001,NDUFB7;NDUFA1;NDUFC2;COX7B;UQCRFS1;NDUFA13;UQCR11;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;COQ10B;COX6A1;COX19;NDUFB1;SURF1;UQCRQ;NDUFA10;NDUFS6;NDUFB11;LRPPRC;NDUFA9;COX8A;NDUFS3;SDHA;COA1;NDUFV1;COX16;NDUFB9;UQCRC1;NDUFA5;NDUFS8,wald_stat,Reactome_2022
Pausing And Recovery Of Tat-mediated HIV Elongation R-HSA-167238,-1.7202359177604953,0.26121797775689626,0.008576329331046312,ELOA;POLR2C;POLR2D;POLR2G;ELOB;ELL;CCNT1;POLR2E;NELFCD;POLR2J;NELFA;CDK9,wald_stat,Reactome_2022
