Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,-0.4432397460820678,-1.9611256081765778,1.000000e-03,2.092073e-01,1.080000e-01,25/61,14.83%,KIR3DL1;KIR3DL2;KIR2DL4;HLA-A;LAIR2;KLRF1;CD96;SELL;SH2D1A;HCST;CD81;KIR2DL3;CRTAM;TREML1;HLA-B;CD3E;ICAM3;SH2D1B;CD160;NPDC1;LAIR1;SLAMF6;ICAM1;KLRG1;CD300A
prerank,DNA Methylation R-HSA-5334118,-0.5257867579067206,-1.8205147410989513,1.000000e-03,3.616530e-01,3.160000e-01,7/22,12.61%,H3-3B;H2BC12;H2AX;H2AJ;DNMT1;H2AZ1;H2AC20
prerank,Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886,-0.5195556479261235,-1.8135160418342995,5.154639e-03,2.578602e-01,3.300000e-01,5/24,1.52%,H3-3B;H2BC12;PKN1;H2AX;H2AJ
prerank,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,-0.46410226389033554,-1.7224669188909087,1.000000e-03,3.924665e-01,5.210000e-01,15/28,18.89%,SEC61G;TRAM1;RSL24D1;SRP68;SSR4;SRPRB;SEC61A1;RPN2;SRP19;SPCS2;SSR2;SRP14;SSR3;DDOST;FAU
prerank,Meiotic Synapsis R-HSA-1221632,-0.41468610485365676,-1.7171537602950322,1.000000e-03,3.256499e-01,5.320000e-01,15/41,17.23%,H2BC12;H2AX;H2AJ;TERF1;SMC3;RAD21;H2AZ1;TERF2IP;PMEPA1;H2AC20;REC8;SUN1;SMC1A;H2AZ2;POT1
prerank,RHO GTPases Activate NADPH Oxidases R-HSA-5668599,0.6746716617263934,1.7007224372830911,2.617801e-03,1.000000e+00,6.720000e-01,6/15,10.15%,S100A9;S100A8;MAPK14;PRKCZ;PIK3C3;CYBA
prerank,Chemokine Receptors Bind Chemokines R-HSA-380108,-0.5125605683331131,-1.6944940443578256,2.400000e-02,3.146219e-01,5.860000e-01,2/17,0.07%,XCL1;XCL2
prerank,Inhibition Of DNA Recombination At Telomere R-HSA-9670095,-0.40769639296236404,-1.6346889116999364,1.935484e-02,4.005753e-01,7.020000e-01,12/38,12.61%,H3-3B;H2BC12;H2AX;H2AJ;TERF1;POLR2G;POLR2L;POLR2J;H2AZ1;TERF2IP;POLR2F;H2AC20
prerank,RNA Polymerase II Transcription Termination R-HSA-73856,-0.3585938649225501,-1.624435372555817,1.000000e-03,3.770597e-01,7.260000e-01,18/64,9.51%,SRRM1;U2AF1;MAGOH;SRSF5;PAPOLA;ZC3H11A;SRSF9;SRSF2;CPSF1;FYTTD1;SRSF6;CPSF6;SLBP;SNRPF;SRSF7;POLDIP3;THOC7;RNPS1
prerank,NGF-stimulated Transcription R-HSA-9031628,-0.474225162420725,-1.6217653529203349,9.852217e-03,3.423720e-01,7.320000e-01,9/19,16.19%,EGR1;RNASEH2A;ID2;CDK5;JUND;DNM2;ID1;MEF2D;CHD4
prerank,Peroxisomal Lipid Metabolism R-HSA-390918,0.5902206142008641,1.6203262832827972,1.273885e-02,1.000000e+00,9.430000e-01,6/20,14.29%,ACOT8;PHYH;ACOT4;ACAA1;PECR;MLYCD
prerank,mRNA 3-End Processing R-HSA-72187,-0.3630891288292222,-1.5930727636538626,1.000000e-03,3.708970e-01,7.800000e-01,16/56,9.51%,SRRM1;U2AF1;MAGOH;SRSF5;PAPOLA;ZC3H11A;SRSF9;SRSF2;CPSF1;FYTTD1;SRSF6;CPSF6;SRSF7;POLDIP3;THOC7;RNPS1
