Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Protein export,-1.8174581499898446,0.189563550831954,0.001,SEC61G;SRP9;SRP68;SRPRB;SEC61A1;SRP19;HSPA5;SEC63;SPCS2,wald_stat,KEGG_2021_Human
Hematopoietic cell lineage,-1.8031823095565478,0.10465487702180794,0.006097560975609756,CD7;HLA-DRB5;IL7R;CD44;CD55;CD3E;IL4R;CD38;CD2;HLA-DRB1;CD8B;CD5;ITGB3;ITGA6;HLA-DQA2;ITGA5;IL2RA,wald_stat,KEGG_2021_Human
Viral protein interaction with cytokine and cytokine receptor,-1.7512695565535918,0.10202204992691967,0.013333333333333334,XCL1;XCL2;IL18RAP;IL2RB;IL18R1;IL2RG;TNFSF14;LTA,wald_stat,KEGG_2021_Human
Bladder cancer,1.6469112441787865,0.5859878701213405,0.006112469437652812,DAPK2;CDK4;ERBB2;CDKN2A;TP53;KRAS;ARAF;THBS1;BRAF;RAF1,wald_stat,KEGG_2021_Human
Spliceosome,-1.6240322282089987,0.18413334494874697,0.001,U2AF1;MAGOH;SRSF5;SNRNP27;SNW1;SF3B6;HNRNPM;SNRPD1;TRA2B;HNRNPA1L2;SRSF9;SNRPB2;SYF2;SF3A1;SRSF2;SRSF6;LSM4;PRPF18;SRSF10;CWC15;SNRPF;SRSF7;HNRNPA1;SNU13;SNRPD2;RP9;LSM7;U2SURP;SF3B2;CCDC12;PCBP1;SLU7;PHF5A;RBMXL1;HNRNPK;PQBP1;DDX5;SNRNP40;SNRPG;SF3B1;ALYREF;BUD31;PPIE;SRSF3;WBP11,wald_stat,KEGG_2021_Human
Antigen processing and presentation,-1.6190996146067944,0.1516508406655632,0.001,KIR3DL1;KIR3DL2;KIR2DL4;HLA-A;HLA-DRB5;CTSS;TAPBP;PDIA3;KIR2DL3;KLRC2;HLA-B;HSP90AB1;HSPA5;CALR,wald_stat,KEGG_2021_Human
"Valine, leucine and isoleucine degradation",1.5935449365605963,0.580394740670843,0.008130081300813009,MCCC2;ALDH9A1;HMGCL;ACAA1;BCKDHB;PCCB;HADH;AUH;ACAT1;ACSF3;ACADSB;MCEE;PCCA;OXCT1;AACS;HADHA,wald_stat,KEGG_2021_Human
Nucleotide excision repair,1.593432898656652,0.38721665426520285,0.004678362573099415,ERCC6;RFC2;ERCC5;DDB2;ERCC4;RFC4;RAD23B;CCNH;RPA2;GTF2H3;GTF2H5;RBX1;GTF2H4;ERCC3;LIG1;CDK7,wald_stat,KEGG_2021_Human
Legionellosis,-1.5846285584878022,0.16060245278818325,0.007874015748031496,HBS1L;ARF1;SAR1A;EEF1G;HSPD1;RAB1A;NFKBIA,wald_stat,KEGG_2021_Human
Graft-versus-host disease,-1.543534673076402,0.1763053858184096,0.020202020202020204,KIR3DL1;KIR3DL2;HLA-A;HLA-DRB5;KIR2DL3;HLA-B,wald_stat,KEGG_2021_Human
Biosynthesis of unsaturated fatty acids,1.538356354268847,0.5502778897835494,0.028720626631853787,SCD5;ACOT4;ACAA1;HACD2;TECR;SCP2;HACD3,wald_stat,KEGG_2021_Human
Peroxisome,1.5282527721436379,0.48926975470043194,0.007945516458569807,SOD2;FAR1;ACOT8;PHYH;AGPS;ABCD3;HMGCL;MVK;ACAA1;SOD1;PEX11B;PEX14;SCP2;PEX2;PECR;MLYCD;GNPAT;MPV17,wald_stat,KEGG_2021_Human
Oxidative phosphorylation,-1.4840725548816727,0.23448616313848478,0.001,NDUFB9;COX7B;ATP5MC1;UQCRFS1;NDUFB11;NDUFA1;UQCR11;ATP6V1G1;ATP5ME;NDUFB6;UQCRQ;NDUFS8;ATP6V1H;NDUFS3;COX6A1;NDUFC2;TCIRG1;SDHB;NDUFB1;PPA1;SDHD;CYC1;NDUFS6;NDUFA4;NDUFB8;COX7A2;COX8A;NDUFB7;NDUFA3;NDUFA7;ATP5F1C;NDUFA13;ATP6V1F;ATP5MG,wald_stat,KEGG_2021_Human
Inflammatory bowel disease,-1.4197444762969627,0.3168168604182194,0.04864864864864865,HLA-DRB5;IFNGR1;IL18RAP;GATA3;IL18R1;IL2RG;IL21R,wald_stat,KEGG_2021_Human
Basal transcription factors,1.4192765295056033,1.0,0.0457280385078219,GTF2F2;TAF7;GTF2A1;TAF6;CCNH;TAF15;TAF9;GTF2H3;GTF2H5;TAF5L;GTF2H4;ERCC3;CDK7;TBP;TAF5;GTF2B,wald_stat,KEGG_2021_Human
Cytokine-cytokine receptor interaction,-1.409365522882825,0.30507883962017596,0.001,XCL1;XCL2;IL7R;IFNGR1;IL18RAP;IL2RB;IL18R1;IL2RG;IL21R;TNFSF14;LTA;TNFRSF9;TNFRSF25;IFNL1;TNFSF13B;IL4R;TNFRSF11A;IL15RA;CD70;CXCR3;IFNLR1,wald_stat,KEGG_2021_Human
Mitophagy,1.4046505960558837,1.0,0.026905829596412557,MAPK9;ATG9A;CSNK2A1;BNIP3;MFN1;NBR1;BCL2L1;SP1;MFN2;TP53;PINK1;TBK1;HIF1A;KRAS;CITED2;RHOT2;ATG5;UBA52;CSNK2A2;UBC;EIF2AK3;TBC1D17;RHOT1,wald_stat,KEGG_2021_Human
Systemic lupus erythematosus,-1.397945966857436,0.29673158098979163,0.03225806451612903,H3-3B;H2BC12;HLA-DRB5;H2AX;H2AJ;SNRPD1;H4C3,wald_stat,KEGG_2021_Human
Long-term depression,-1.3946929373261305,0.27644684496326627,0.057692307692307696,PPP2CA;GUCY1A1;PPP2CB;GNAI3;GNAQ;GNAS;GNA13;ITPR3;PRKCA;GNA12;IGF1R,wald_stat,KEGG_2021_Human
NF-kappa B signaling pathway,-1.3945971421431382,0.255333596913874,0.014084507042253521,GADD45B;BIRC2;CYLD;NFKBIA;CFLAR;CSNK2B;GADD45G;TNFSF14;CHUK;MALT1;PARP1;LTA;TRAF1;TRAF5;TNFSF13B;PLCG2;TNFRSF11A;BCL2A1;ICAM1;NFKB2;BIRC3,wald_stat,KEGG_2021_Human
"Parathyroid hormone synthesis, secretion and action",-1.3607878348803695,0.29294902907586945,0.06299212598425197,RUNX2;EGR1;ARHGEF1;GATA3;PDE4D;GNAI3;GNAQ;PDE4B;GNAS;ATF4;GNA13;PRKACA;ITPR3;PRKCA;GNA12;ATF2;JUND;MEF2D;ADCY9;CREB3L4,wald_stat,KEGG_2021_Human
Ferroptosis,-1.3575369322725102,0.27973787883187656,0.06593406593406594,FTL;FTH1;MAP1LC3B;SAT1;SLC3A2;PCBP1;VDAC3;PCBP2;SLC40A1;VDAC2;SAT2,wald_stat,KEGG_2021_Human
Lysine degradation,1.35337816602536,1.0,0.07068366164542295,EHMT2;ALDH9A1;COLGALT2;EZH1;CAMKMT;PLOD1;PLOD3;KMT5C;HADH;KMT2A;ACAT1;NSD2;KMT2D;SETDB2;NSD1;DHTKD1;HADHA;TMLHE,wald_stat,KEGG_2021_Human
Mineral absorption,-1.3324086206412162,0.30680663240119643,0.10052910052910052,FTL;FTH1;ATP2B1;FXYD2,wald_stat,KEGG_2021_Human
cGMP-PKG signaling pathway,-1.3146104117780795,0.3219792664866278,0.029850746268656716,RGS2;PPIF;GUCY1A1;ATP2B1;FXYD2;PPP3CA;CALM3;IRS2;GNAI3;GNAQ;ATF4;GNA13;NFATC3;SLC25A5;ITPR3;GNA12;AKT1;ATF2;VDAC1;VDAC3;PPP1CB;MEF2D;ADCY9;ATP1B1;CREB3L4;VDAC2,wald_stat,KEGG_2021_Human
Arachidonic acid metabolism,1.313679184334527,1.0,0.12774193548387097,PTGDS;PTGES2;GPX7;CBR1;PLAAT3;LTA4H;AKR1C3,wald_stat,KEGG_2021_Human
