Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
TNF-alpha Signaling via NF-kB,-2.3332083888193305,0.001,0.001,MAP3K8;DUSP2;MAFF;IER3;GADD45B;REL;EGR1;B4GALT1;IL7R;BIRC2;TGIF1;ATP2B1;GPR183;IER2;CD69;SAT1;IRS2;NFKBIA;CD44;CFLAR;ID2;GCH1;TIPARP;FOSL2;NFE2L2;KLF10;PDE4B;ZC3H12A;DUSP4;TNFRSF9;TRAF1;PFKFB3;ZFP36;IRF1;DRAM1;PMEPA1;KDM6B;BHLHE40;SOCS3;EIF1;IFIT2;BCL2A1;ICAM1;IL15RA;NFKB2;BIRC3,wald_stat,MSigDB_Hallmark_2020
Apical Surface,-1.7738352031146778,0.01888276947285602,0.00796812749003984,CRYBG1;B4GALT1;GATA3;IL2RB;IL2RG;CD160;MDGA1,wald_stat,MSigDB_Hallmark_2020
Estrogen Response Late,-1.6397396791031364,0.02937319695777603,0.015384615384615385,DUSP2;SLC7A5;PPIF;JAK1;FABP5;PDCD4;CLIC3;RNASEH2A;CHPT1;CD44;ID2;SLC22A5;DYNLT3;GALE;NRIP1;AFF1;LSR;IGFBP4;NXT1;UGDH;DNAJC1;ZFP36,wald_stat,MSigDB_Hallmark_2020
Inflammatory Response,-1.486488072390517,0.05664830841856806,0.018867924528301886,IL7R;ATP2B1;GPR183;RGS1;SELL;IL18RAP;CD69;IL2RB;TAPBP;NFKBIA;GCH1;IL18R1;CD55;GNAI3;PDE4B;TIMP1;LTA;TNFRSF9;IRF1;IL4R;RGS16;ICAM1;IL15RA;ADRM1;CD70;BEST1;LY6E,wald_stat,MSigDB_Hallmark_2020
Estrogen Response Early,-1.4359067492008102,0.07469184369263047,0.001,SLC7A5;B4GALT1;PPIF;CLIC3;CHPT1;ELF1;ABLIM1;CD44;SLC22A5;PMAIP1;DYNLT3;TIPARP;NRIP1;AFF1;KLF10;IGFBP4;NXT1;UNC119;BHLHE40;DHRS3;TIAM1;FASN;SNX24;IGF1R;SVIL;RRP12;ELOVL5;ADCY9;FLNB;SYNGR1;MICB;SLC2A1;RARA;NADSYN1;TBC1D30;SLC1A4,wald_stat,MSigDB_Hallmark_2020
IL-2/STAT5 Signaling,-1.376148503538241,0.09791065652592011,0.001,MAP3K8;SOCS1;MAFF;GADD45B;IFNGR1;ITGAE;SELL;SLC1A5;ABCB1;IL2RB;HOPX;CD44;NFKBIZ;CD81;IL18R1;IFITM3;GPR65;HUWE1;IRF8;P4HA1;SNX9;PDCD2L;TNFRSF9;TRAF1,wald_stat,MSigDB_Hallmark_2020
Myc Targets V1,-1.3125525981705684,0.1312802068112847,0.043478260869565216,U2AF1;EEF1B2;HSPD1;HSPE1;NME1;GOT2;YWHAE;SNRPD1;EIF3J;ACP1;RSL1D1;TRA2B;TYMS;SNRPB2;PSMA1;SF3A1;SRSF2;NPM1;SET;PABPC1;DUT;SRSF7;HNRNPA1;MRPL9;MCM4;MCM2;USP1;ETF1;EPRS1;APEX1;SNRPD2;RAN;H2AZ1;RNPS1;ILF2;IFRD1;LSM7;PSMA4;HSP90AB1;VBP1;TRIM28;CYC1;PCBP1;LDHA;ERH;BUB3;EIF4A1;VDAC1;SNRPG;SSBP1;RANBP1;C1QBP;VDAC3;SRSF3;KPNA2;SERBP1;PSMD8;EIF4E;CANX;RACK1;NAP1L1;EXOSC7;PSMA2;SRM;HNRNPU;PSMD7;PCNA,wald_stat,MSigDB_Hallmark_2020
IL-6/JAK/STAT3 Signaling,-1.2921098316044706,0.13480199318122213,0.05357142857142857,MAP3K8;SOCS1;IFNGR1;CD44;IL18R1;IL2RG;PTPN2;IRF1;IL4R;SOCS3;CD38;IL15RA,wald_stat,MSigDB_Hallmark_2020
Apoptosis,-1.222320227484292,0.1967537954949442,0.024390243902439025,DIABLO;IER3;GADD45B;IFNGR1;CYLD;CD69;SAT1;GSN;PDCD4;DPYD;CD44;CFLAR;GCH1;PMAIP1;IFITM3;CREBBP;CASP4;DNAJC3;HMGB2;SC5D;TIMP1;TSPO;ETF1,wald_stat,MSigDB_Hallmark_2020
KRAS Signaling Up,-1.2073866302232978,0.19722003671649618,0.060240963855421686,IL7R;TRIB2;CTSS;GUCY1A1;ABCB1;ID2;MMD;CCSER2;IL2RG;GADD45G;GYPC;IRF8;LCP1;TRAF1;HDAC9;DUSP6;F13A1;RGS16;USP12;LAT2;BIRC3,wald_stat,MSigDB_Hallmark_2020
