Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),3/70,6.915173402286287e-05,0.0044844565253664,0,0,44.57462686567164,426.98959658989946,XCL2;XCL1;S100A9
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),3/73,7.839425689063196e-05,0.0044844565253664,0,0,42.65785714285714,403.27713873263485,XCL2;XCL1;S100A9
GO_Biological_Process_2023,Positive Regulation Of T Cell Chemotaxis (GO:0010820),2/12,8.290811266862965e-05,0.0044844565253664,0,0,190.1619047619048,1787.0992964962534,XCL2;XCL1
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),3/77,9.19251078780767e-05,0.0044844565253664,0,0,40.34391891891892,374.9780211851579,XCL2;XCL1;S100A9
GO_Biological_Process_2023,Regulation Of T Cell Chemotaxis (GO:0010819),2/13,9.791389793376443e-05,0.0044844565253664,0,0,172.86580086580088,1595.7971671855132,XCL2;XCL1
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Chemotaxis (GO:0140131),2/17,0.0001702451946228144,0.0064976915947707,0,0,126.74285714285716,1099.9088411626703,XCL2;XCL1
GO_Biological_Process_2023,Eosinophil Chemotaxis (GO:0048245),2/24,0.00034381145881898543,0.0095021515615466,0,0,86.38528138528139,688.9586534300897,XCL2;XCL1
GO_Biological_Process_2023,Eosinophil Migration (GO:0072677),2/24,0.00034381145881898543,0.0095021515615466,0,0,86.38528138528139,688.9586534300897,XCL2;XCL1
GO_Biological_Process_2023,Positive Regulation Of T Cell Migration (GO:2000406),2/25,0.0003734470046022705,0.0095021515615466,0,0,82.62525879917185,652.1392267357223,XCL2;XCL1
GO_Biological_Process_2023,Lymphocyte Migration (GO:0072676),2/41,0.0010094057125574,0.0220492816255298,0,0,48.688644688644686,335.8734312472782,XCL2;XCL1
GO_Biological_Process_2023,Monocyte Chemotaxis (GO:0002548),2/42,0.0010591357986062,0.0220492816255298,0,0,47.46904761904762,325.1773112597911,XCL2;XCL1
GO_Biological_Process_2023,Lymphocyte Chemotaxis (GO:0048247),2/44,0.001162071491037,0.0221761976206238,0,0,45.204081632653065,305.4688914851312,XCL2;XCL1
GO_Biological_Process_2023,Chemokine-Mediated Signaling Pathway (GO:0070098),2/57,0.0019428161280176,0.0340212187284675,0,0,34.4969696969697,215.38585768961525,XCL2;XCL1
GO_Biological_Process_2023,Cellular Response To Chemokine (GO:1990869),2/59,0.0020798998349281,0.0340212187284675,0,0,33.283208020050125,205.53830578252817,XCL2;XCL1
GO_Biological_Process_2023,Positive Regulation Of GTPase Activity (GO:0043547),3/234,0.0023553815841605,0.0345352649650314,0,0,12.822077922077922,77.58706709062062,AGAP2;XCL2;XCL1
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),3/236,0.0024129442770327,0.0345352649650314,0,0,12.710729613733903,76.60639272527119,XCL2;XCL1;S100A9
GO_Biological_Process_2023,Cellular Response To Type II Interferon (GO:0071346),2/66,0.002594763239101,0.0349529871620087,0,0,29.632440476190474,176.43925514435907,XCL2;XCL1
GO_Biological_Process_2023,Response To Type II Interferon (GO:0034341),2/80,0.0037854340886344,0.0467468788668556,0,0,24.296703296703296,135.49286712603902,XCL2;XCL1
GO_Biological_Process_2023,Cellular Response To Interleukin-1 (GO:0071347),2/81,0.0038785620020535,0.0467468788668556,0,0,23.98794454490657,133.18804409713496,XCL2;XCL1
GO_Biological_Process_2023,Response To Interleukin-1 (GO:0070555),2/85,0.004261697129685,0.0486607113686022,0,0,22.82730923694779,124.5934582992268,XCL2;XCL1
GO_Biological_Process_2023,Regulation Of Circadian Sleep/Wake Cycle (GO:0042749),1/5,0.0057372891133286,0.0486607113686022,0,0,226.9659090909091,1171.3185051583378,PTGDS
GO_Biological_Process_2023,"Regulation Of Circadian Sleep/Wake Cycle, Sleep (GO:0045187)",1/5,0.0057372891133286,0.0486607113686022,0,0,226.9659090909091,1171.3185051583378,PTGDS
GO_Biological_Process_2023,Positive Regulation Of T-helper 1 Cell Cytokine Production (GO:2000556),1/5,0.0057372891133286,0.0486607113686022,0,0,226.9659090909091,1171.3185051583378,XCL1
GO_Biological_Process_2023,Zymogen Inhibition (GO:0097341),1/5,0.0057372891133286,0.0486607113686022,0,0,226.9659090909091,1171.3185051583378,CST7
GO_Biological_Process_2023,Regulation Of T-helper 1 Cell Cytokine Production (GO:2000554),1/5,0.0057372891133286,0.0486607113686022,0,0,226.9659090909091,1171.3185051583378,XCL1
GO_Biological_Process_2023,Astrocyte Differentiation (GO:0048708),1/5,0.0057372891133286,0.0486607113686022,0,0,226.9659090909091,1171.3185051583378,S100A9
GO_Biological_Process_2023,Autocrine Signaling (GO:0035425),1/5,0.0057372891133286,0.0486607113686022,0,0,226.9659090909091,1171.3185051583378,S100A9
