Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Transcriptional Regulation By Small RNAs R-HSA-5578749,-1.808956414521439,0.816714595926991,0.02112676056338028,POLR2J;POLR2K;H2AX;H2AZ1;RAN;POLR2G;POLR2E;H2AZ2;H3-3B,wald_stat,Reactome_2022
RNA Polymerase I Promoter Clearance R-HSA-73854,-1.8028455309657454,0.27223819864233034,0.006097560975609756,CHD4;POLR2K;RBBP7;H2AX;H2AZ1,wald_stat,Reactome_2022
RNA Polymerase I Transcription R-HSA-73864,-1.8028455309657454,0.27223819864233034,0.006097560975609756,CHD4;POLR2K;RBBP7;H2AX;H2AZ1,wald_stat,Reactome_2022
Activation Of HOX Genes During Differentiation R-HSA-5619507,-1.7344959396016384,0.3302277128939492,0.014925373134328358,CREBBP;POLR2J;POLR2K;RBBP7;H2AX;H2AZ1,wald_stat,Reactome_2022
EPH-Ephrin Signaling R-HSA-2682334,-1.6558138593327012,0.425024942778332,0.021739130434782608,ARPC3;CDC42;PKN1;AP2M1;ACTG1;ARPC1B;ROCK1;MYL6;VAV3;ARPC2;LYN;RHOA,wald_stat,Reactome_2022
CDC42 GTPase Cycle R-HSA-9013148,1.6101856026573993,1.0,0.0087527352297593,CDC42SE2;TAGAP;ARHGAP45;KTN1;FNBP1;LBR;STOM;DEF6;ARHGAP30;IQGAP2;FMNL1;WIPF1;ARFGAP3;GNA13;DOCK10,wald_stat,Reactome_2022
Resolution Of Sister Chromatid Cohesion R-HSA-2500257,1.592153759060655,0.7546413147119861,0.011990407673860911,KIF2A;DYNC1H1;PPP2R1A;BUB3;PPP1CC;PPP2R5C,wald_stat,Reactome_2022
Mitotic Prometaphase R-HSA-68877,1.5469816135689438,0.8393752999171138,0.0111731843575419,KIF2A;TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;BUB3;CEP78;PPP1CC;PPP2R5C,wald_stat,Reactome_2022
mRNA Splicing - Minor Pathway R-HSA-72165,-1.5353626376572422,0.7160142418373535,0.01020408163265306,SNRPF;POLR2J;POLR2K;SF3B5;SNRPE;SF3B6,wald_stat,Reactome_2022
Mitotic Spindle Checkpoint R-HSA-69618,1.5295882270270162,0.7572961654233739,0.018823529411764704,KIF2A;DYNC1H1;PPP2R1A;BUB3;PPP1CC;PPP2R5C;ANAPC16;NUDC,wald_stat,Reactome_2022
Loss Of Nlp From Mitotic Centrosomes R-HSA-380259,1.5281899120342592,0.5141560877721066,0.021303258145363407,TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;CEP78,wald_stat,Reactome_2022
AURKA Activation By TPX2 R-HSA-8854518,1.5281899120342592,0.5141560877721066,0.021303258145363407,TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;CEP78,wald_stat,Reactome_2022
Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320,1.5245437938667834,0.45985806965110343,0.028708133971291867,TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;CEP78,wald_stat,Reactome_2022
Complex I Biogenesis R-HSA-6799198,-1.5117675300567506,0.7059938125141483,0.030927835051546393,NDUFA6;NDUFS8;NDUFS6;NDUFB8;NDUFB11;NDUFA13;NDUFB9;NDUFS5;NDUFA12,wald_stat,Reactome_2022
Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912,1.5116081122765612,0.4626907005440574,0.026731470230862697,TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;CEP78,wald_stat,Reactome_2022
Estrogen-dependent Gene Expression R-HSA-9018519,-1.5046792810088645,0.6359748224661071,0.021052631578947368,CREBBP;POLR2J;POLR2K;GTF2A2;H2AX;H2AZ1;FOS;HSP90AA1;CCNT1;POLR2G;JUND;POLR2E;CTSD;H2AZ2;H3-3B,wald_stat,Reactome_2022
Centrosome Maturation R-HSA-380287,1.4865253901805295,0.5341412139606093,0.04428904428904429,TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;CEP78,wald_stat,Reactome_2022
Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949,-1.471297783349593,0.6838364275420441,0.02702702702702703,CREBBP;NFKBIA;UBB;POLR2K,wald_stat,Reactome_2022
Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942,1.4545662264821635,0.6641109054536617,0.04566744730679157,TUBA1A;DYNC1H1;SSNA1;PPP2R1A;UBA52;AKAP9;CEP78,wald_stat,Reactome_2022
Reproduction R-HSA-1474165,1.4534649418019145,0.6101933010060219,0.061004784688995214,SYNE1;SYNE2;SUN2;ATM;TINF2,wald_stat,Reactome_2022
Gene Silencing By RNA R-HSA-211000,-1.4527132516375518,0.6825400551675568,0.0743801652892562,POLR2J;POLR2K;H2AX;H2AZ1;RAN;HSP90AA1;POLR2G;POLR2E;H2AZ2;H3-3B,wald_stat,Reactome_2022
Meiosis R-HSA-1500620,1.449731595112052,0.5803061179975196,0.05854241338112306,SYNE1;SYNE2;SUN2;ATM;TINF2,wald_stat,Reactome_2022
Oxidative Stress Induced Senescence R-HSA-2559580,-1.4308413011284373,0.6939801204722856,0.09090909090909091,UBB;CDKN2D;RBBP7;CBX4;H2AX;H2AZ1;FOS,wald_stat,Reactome_2022
