Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505,0.6429144376570359,2.194494997353953,1.000000e-03,3.578230e-03,3.000000e-03,10/30,5.02%,S100A9;RALA;GSTO1;ANXA2;CAPZA1;SOD1;STAT4;HNRNPA2B1;TCP1;HNRNPF
prerank,Interleukin-12 Family Signaling R-HSA-447115,0.5800122077624332,2.107946697555617,1.000000e-03,8.498297e-03,1.400000e-02,12/41,5.02%,S100A9;RALA;GSTO1;ANXA2;STAT3;CAPZA1;SOD1;STAT1;STAT4;HNRNPA2B1;TCP1;HNRNPF
prerank,Interleukin-12 Signaling R-HSA-9020591,0.5834778588554562,2.062069965797488,1.000000e-03,1.192743e-02,2.800000e-02,10/36,5.02%,S100A9;RALA;GSTO1;ANXA2;CAPZA1;SOD1;STAT4;HNRNPA2B1;TCP1;HNRNPF
prerank,CD28 Co-Stimulation R-HSA-389356,-0.5936230066109105,-1.970301865321583,1.000000e-03,1.151532e-01,9.000000e-02,12/28,15.99%,PKN1;MAP3K8;AKT1;YES1;ARHGEF7;CDC42;PIK3R1;MLST8;FYN;PRR5;MAPKAP1;PKN2
prerank,Cargo Concentration In ER R-HSA-5694530,0.6144916798219611,1.900442420711548,1.000000e-03,7.491920e-02,2.270000e-01,9/21,5.62%,MIA3;MCFD2;CTSZ;SEC22B;CNIH1;LMAN1;PREB;CD59;SEC23A
prerank,"Transport Of Bile Salts And Organic Acids, Metal Ions And Amine Compounds R-HSA-425366",0.5627234766392759,1.8878161492755128,1.000000e-03,6.977549e-02,2.600000e-01,8/30,13.76%,SLC39A8;SLC44A1;SLC6A6;SLC16A3;SLC39A6;SLC11A2;SLC44A2;EMB
prerank,Diseases Associated With TLR Signaling Cascade R-HSA-5602358,0.6401948053736088,1.8864719569831843,1.000000e-03,5.844443e-02,2.600000e-01,7/18,10.52%,S100A8;S100A9;TICAM1;IRAK4;NFKB2;NFKB1;NFKBIA
prerank,Metal Ion SLC Transporters R-HSA-425410,0.6500353387779421,1.8744653744905189,1.956947e-03,5.763507e-02,2.890000e-01,3/15,6.78%,SLC39A8;SLC39A6;SLC11A2
prerank,VEGFR2 Mediated Vascular Permeability R-HSA-5218920,-0.5910624976560497,-1.8290687199692972,1.000000e-03,3.838440e-01,4.200000e-01,10/20,16.35%,PKN1;AKT1;ARHGEF7;VAV3;CALM1;MLST8;PRR5;MAPKAP1;PKN2;HSP90AA1
prerank,RHO GTPases Activate PAKs R-HSA-5627123,-0.6528141343456789,-1.8167221944456988,1.915709e-03,2.887969e-01,4.490000e-01,8/15,17.50%,LIMK1;PKN1;ARHGEF7;CDC42;CALM1;MYL6;PKN2;FLNA
prerank,NR1H2 And NR1H3-mediated Signaling R-HSA-9024446,-0.5393547779970341,-1.7914341258014077,8.000000e-03,2.900764e-01,5.340000e-01,10/28,13.54%,MYLIP;ARL4C;NCOA1;FASN;TNRC6A;AGO4;GPS2;AGO2;TBL1X;SREBF1
prerank,Semaphorin Interactions R-HSA-373755,-0.50491292229634,-1.7714280719088644,1.000000e-03,2.811932e-01,5.920000e-01,13/38,17.54%,LIMK1;PKN1;RHOC;ARHGEF7;PLXNA4;FARP2;FYN;PLXNA3;MYL6;SEMA4D;PKN2;HSP90AA1;CD72
prerank,G0 And Early G1 R-HSA-1538133,0.6126969851667807,1.7433070415231302,1.204819e-02,1.952372e-01,7.060000e-01,6/16,10.49%,HDAC1;MAX;RBL2;MYC;RBBP4;TFDP1
prerank,mRNA 3-End Processing R-HSA-72187,-0.4467280922262633,-1.720802813897406,1.919386e-03,3.860374e-01,7.570000e-01,19/56,14.73%,U2AF2;ALYREF;DDX39A;WDR33;MAGOH;SRSF9;PABPN1;SRSF2;SLU7;CPSF7;NCBP1;RBM8A;THOC7;RNPS1;SARNP;DDX39B;CPSF1;CPSF6;SRSF5
prerank,G-protein Beta:Gamma Signaling R-HSA-397795,-0.5571020871489734,-1.7140212060083095,9.259259e-03,3.510998e-01,7.730000e-01,7/20,8.79%,PKN1;AKT1;CDC42;PLCB1;GNB1;GNGT2;PLCB2
prerank,Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,0.5719282973784829,1.7139719082126357,5.847953e-03,2.215521e-01,7.740000e-01,8/18,21.70%,JUN;LMNA;PRDX1;PRDX2;CDC25B;CDKN2A;GOLGA2;BCL2L11
prerank,CD28 Dependent PI3K/Akt Signaling R-HSA-389357,-0.5669686243381136,-1.7092860421339602,1.165049e-02,3.211952e-01,7.850000e-01,7/19,14.61%,MAP3K8;AKT1;PIK3R1;MLST8;FYN;PRR5;MAPKAP1
prerank,Formation Of HIV-1 Elongation Complex Containing HIV-1 Tat R-HSA-167200,-0.4683839858723139,-1.7026235624781723,3.610108e-03,3.022010e-01,8.030000e-01,16/42,15.41%,ELOA;ERCC3;POLR2D;NCBP1;CCNT1;POLR2G;CDK9;ELL;ELOB;MNAT1;POLR2C;POLR2E;CDK7;NELFB;POLR2J;NELFA
prerank,Costimulation By CD28 Family R-HSA-388841,-0.4437687415431189,-1.6792112959300163,1.964637e-03,3.395374e-01,8.720000e-01,16/49,15.99%,PKN1;MAP3K8;AKT1;PPP2CA;YES1;ARHGEF7;CDC42;PIK3R1;MLST8;FYN;CD3D;PPP2CB;PRR5;HLA-DRB5;MAPKAP1;PKN2
prerank,Pausing And Recovery Of Tat-mediated HIV Elongation R-HSA-167238,-0.5002081283690765,-1.6721714216257324,9.380863e-03,3.304049e-01,8.840000e-01,12/30,15.41%,ELOA;POLR2D;CCNT1;POLR2G;CDK9;ELL;ELOB;POLR2C;POLR2E;NELFB;POLR2J;NELFA
prerank,Deregulated CDK5 Triggers Neurodegenerative Pathways In Alzheimers Disease Models R-HSA-8862803,0.5832941552964334,1.664485861487015,1.886792e-02,3.128268e-01,8.920000e-01,7/15,21.70%,JUN;LMNA;PRDX1;PRDX2;CDC25B;GOLGA2;BCL2L11
prerank,E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654,0.4375102629510864,1.6561411766841854,4.210526e-03,3.060200e-01,9.070000e-01,19/47,20.50%,UBE2D2;UBE2B;SHPRH;RRAGA;PRKDC;PAF1;SELENOS;RNF20;UBE2D3;CTR9;VCP;CDC73;UBE2E1;H2BC15;H2BC9;LEO1;UBC;RAD18;UBE2L3
prerank,Cargo Trafficking To Periciliary Membrane R-HSA-5620920,0.48289262809127453,1.6546231851692819,9.652510e-03,2.850657e-01,9.120000e-01,15/33,23.50%,ARF4;ARL13B;RAB11A;TCP1;CCT3;CCT2;BBS2;EXOC1;PDE6D;CCT8;CCT4;BBS9;BBS4;PTGES2;EXOC2
prerank,Regulation Of TP53 Degradation R-HSA-6804757,-0.4738343554555709,-1.635303659157692,1.006036e-02,4.222284e-01,9.360000e-01,10/29,16.64%,AKT1;PPP2CA;USP7;MLST8;PPP2CB;PRR5;UBB;PHF20;MAPKAP1;MDM4
prerank,Formation Of HIV Elongation Complex In Absence Of HIV Tat R-HSA-167152,-0.44448038338101437,-1.6229275860616519,1.119403e-02,4.320143e-01,9.450000e-01,16/44,15.41%,ELOA;ERCC3;POLR2D;NCBP1;CCNT1;POLR2G;CDK9;ELL;ELOB;MNAT1;POLR2C;POLR2E;CDK7;NELFB;POLR2J;NELFA
prerank,EPH-Ephrin Signaling R-HSA-2682334,-0.4329998506611119,-1.6184827834689393,5.660377e-03,4.162749e-01,9.500000e-01,12/51,11.17%,LIMK1;PKN1;GIT1;NCK2;YES1;ARHGEF7;VAV3;CDC42;CLTB;FYN;ARPC2;MYL6
prerank,Beta-catenin Independent WNT Signaling R-HSA-3858494,-0.3731355706075357,-1.6181132587631057,1.000000e-03,3.895468e-01,9.510000e-01,40/105,22.21%,PRKCB;RYK;TCF7;CLTB;CALM1;NRAS;PSME4;PLCB1;GNB1;GNGT2;PFN1;TNRC6A;PSMD6;AGO4;PSMB6;PRKCA;PSME2;PLCB2;SMURF2;PSMF1;PSMD9;UBB;AGO2;SMURF1;PSME1;NFATC1;PDE6B;PDE6G;AP2A1;PSMA1;PSMB3;ITPR3;GNG2;PSMA2;DVL3;PSMD3;AP2A2;PSMC2;ARRB2;MOV10
prerank,RHO GTPases Activate ROCKs R-HSA-5627117,-0.5717721093503448,-1.6175942674554942,1.754386e-02,3.663654e-01,9.510000e-01,3/16,1.52%,LIMK1;PKN1;RHOC
prerank,RNA Polymerase II Transcription Termination R-HSA-73856,-0.4058978311467301,-1.6118605078781185,7.707129e-03,3.602973e-01,9.540000e-01,19/64,14.73%,U2AF2;ALYREF;DDX39A;WDR33;MAGOH;SRSF9;PABPN1;SRSF2;SLU7;CPSF7;NCBP1;RBM8A;THOC7;RNPS1;SARNP;DDX39B;CPSF1;CPSF6;SRSF5
