Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505,2.194494997353953,0.003578230235574671,0.001,S100A9;RALA;GSTO1;ANXA2;CAPZA1;SOD1;STAT4;HNRNPA2B1;TCP1;HNRNPF,wald_stat,Reactome_2022
Interleukin-12 Family Signaling R-HSA-447115,2.107946697555617,0.008498296809489844,0.001,S100A9;RALA;GSTO1;ANXA2;STAT3;CAPZA1;SOD1;STAT1;STAT4;HNRNPA2B1;TCP1;HNRNPF,wald_stat,Reactome_2022
Interleukin-12 Signaling R-HSA-9020591,2.062069965797488,0.011927434118582237,0.001,S100A9;RALA;GSTO1;ANXA2;CAPZA1;SOD1;STAT4;HNRNPA2B1;TCP1;HNRNPF,wald_stat,Reactome_2022
CD28 Co-Stimulation R-HSA-389356,-1.970301865321583,0.11515320298180735,0.001,PKN1;MAP3K8;AKT1;YES1;ARHGEF7;CDC42;PIK3R1;MLST8;FYN;PRR5;MAPKAP1;PKN2,wald_stat,Reactome_2022
Cargo Concentration In ER R-HSA-5694530,1.900442420711548,0.07491919555734468,0.001,MIA3;MCFD2;CTSZ;SEC22B;CNIH1;LMAN1;PREB;CD59;SEC23A,wald_stat,Reactome_2022
"Transport Of Bile Salts And Organic Acids, Metal Ions And Amine Compounds R-HSA-425366",1.8878161492755128,0.0697754895937061,0.001,SLC39A8;SLC44A1;SLC6A6;SLC16A3;SLC39A6;SLC11A2;SLC44A2;EMB,wald_stat,Reactome_2022
Diseases Associated With TLR Signaling Cascade R-HSA-5602358,1.8864719569831843,0.05844442718105296,0.001,S100A8;S100A9;TICAM1;IRAK4;NFKB2;NFKB1;NFKBIA,wald_stat,Reactome_2022
Metal Ion SLC Transporters R-HSA-425410,1.8744653744905189,0.05763506558014917,0.0019569471624266144,SLC39A8;SLC39A6;SLC11A2,wald_stat,Reactome_2022
VEGFR2 Mediated Vascular Permeability R-HSA-5218920,-1.8290687199692972,0.38384400993935786,0.001,PKN1;AKT1;ARHGEF7;VAV3;CALM1;MLST8;PRR5;MAPKAP1;PKN2;HSP90AA1,wald_stat,Reactome_2022
RHO GTPases Activate PAKs R-HSA-5627123,-1.8167221944456988,0.2887969217638978,0.0019157088122605363,LIMK1;PKN1;ARHGEF7;CDC42;CALM1;MYL6;PKN2;FLNA,wald_stat,Reactome_2022
NR1H2 And NR1H3-mediated Signaling R-HSA-9024446,-1.7914341258014077,0.290076401797029,0.008,MYLIP;ARL4C;NCOA1;FASN;TNRC6A;AGO4;GPS2;AGO2;TBL1X;SREBF1,wald_stat,Reactome_2022
Semaphorin Interactions R-HSA-373755,-1.7714280719088644,0.281193154709861,0.001,LIMK1;PKN1;RHOC;ARHGEF7;PLXNA4;FARP2;FYN;PLXNA3;MYL6;SEMA4D;PKN2;HSP90AA1;CD72,wald_stat,Reactome_2022
G0 And Early G1 R-HSA-1538133,1.7433070415231302,0.19523718722854297,0.012048192771084338,HDAC1;MAX;RBL2;MYC;RBBP4;TFDP1,wald_stat,Reactome_2022
mRNA 3-End Processing R-HSA-72187,-1.720802813897406,0.38603740428186845,0.0019193857965451055,U2AF2;ALYREF;DDX39A;WDR33;MAGOH;SRSF9;PABPN1;SRSF2;SLU7;CPSF7;NCBP1;RBM8A;THOC7;RNPS1;SARNP;DDX39B;CPSF1;CPSF6;SRSF5,wald_stat,Reactome_2022
G-protein Beta:Gamma Signaling R-HSA-397795,-1.7140212060083095,0.3510997658261636,0.009259259259259259,PKN1;AKT1;CDC42;PLCB1;GNB1;GNGT2;PLCB2,wald_stat,Reactome_2022
Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,1.7139719082126357,0.22155208875266502,0.005847953216374269,JUN;LMNA;PRDX1;PRDX2;CDC25B;CDKN2A;GOLGA2;BCL2L11,wald_stat,Reactome_2022
CD28 Dependent PI3K/Akt Signaling R-HSA-389357,-1.7092860421339602,0.32119518403139835,0.011650485436893204,MAP3K8;AKT1;PIK3R1;MLST8;FYN;PRR5;MAPKAP1,wald_stat,Reactome_2022
Formation Of HIV-1 Elongation Complex Containing HIV-1 Tat R-HSA-167200,-1.7026235624781723,0.3022009983014627,0.0036101083032490976,ELOA;ERCC3;POLR2D;NCBP1;CCNT1;POLR2G;CDK9;ELL;ELOB;MNAT1;POLR2C;POLR2E;CDK7;NELFB;POLR2J;NELFA,wald_stat,Reactome_2022
Costimulation By CD28 Family R-HSA-388841,-1.6792112959300163,0.33953744422064336,0.0019646365422396855,PKN1;MAP3K8;AKT1;PPP2CA;YES1;ARHGEF7;CDC42;PIK3R1;MLST8;FYN;CD3D;PPP2CB;PRR5;HLA-DRB5;MAPKAP1;PKN2,wald_stat,Reactome_2022
Pausing And Recovery Of Tat-mediated HIV Elongation R-HSA-167238,-1.6721714216257324,0.3304049477763719,0.009380863039399626,ELOA;POLR2D;CCNT1;POLR2G;CDK9;ELL;ELOB;POLR2C;POLR2E;NELFB;POLR2J;NELFA,wald_stat,Reactome_2022
Deregulated CDK5 Triggers Neurodegenerative Pathways In Alzheimers Disease Models R-HSA-8862803,1.664485861487015,0.31282677834511563,0.018867924528301886,JUN;LMNA;PRDX1;PRDX2;CDC25B;GOLGA2;BCL2L11,wald_stat,Reactome_2022
