Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
"Positive Regulation Of mRNA Splicing, Via Spliceosome (GO:0048026)",-2.147557849220667,0.06516678515173059,0.003787878787878788,SNW1;RBM3;NUP98;TRA2B;CIRBP;WDR77,wald_stat,GO_Biological_Process_2023
"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",-1.9492358315444716,0.24763378357657623,0.001,SRRM1;MAGOH;SAP18;SNW1;RBM3;NUP98;JMJD6;TRA2B;SRSF9;RBM38;CIRBP;RBM39;SRSF6;HNRNPA0;WDR77;SRSF10;SRSF7;HNRNPA1;WTAP;RNPS1;HNRNPK;RBMXL1;FXR1;DDX5;YTHDC1;SRSF3;NCL;RBM5;RBM15;FAM172A;HNRNPU,wald_stat,GO_Biological_Process_2023
Positive Regulation Of RNA Splicing (GO:0033120),-1.9235928890874796,0.19984480779864042,0.001,SNW1;PIK3R1;RBM3;NUP98;TRA2B;CIRBP;WDR77;RBMXL1;DYRK1A,wald_stat,GO_Biological_Process_2023
Protein Secretion (GO:0009306),1.8805557328336628,0.18193856764501687,0.001,PORCN;PCSK5;TVP23B;PRF1;MIA2;TANGO2;NAGPA;MON1A;TVP23C;TMEM167A;PREB;MEN1;AP1B1,wald_stat,GO_Biological_Process_2023
Regulation Of Necroptotic Process (GO:0060544),-1.8643785287487304,0.245027112170507,0.013043478260869565,BIRC2;CYLD;CFLAR;ITCH;PARP1;OGT;BIRC3;CASP8,wald_stat,GO_Biological_Process_2023
Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412),-1.830944510425024,0.25649646635721157,0.004524886877828055,FXYD7;PPIF;FXYD2;FXYD5;FHL1;YWHAE;RANGRF;MINK1,wald_stat,GO_Biological_Process_2023
Positive Regulation Of T Cell Cytokine Production (GO:0002726),-1.8085009007326207,0.2519782359200249,0.012295081967213115,XCL1;HLA-A;CD81;IL18R1;CD55;DENND1B;MALT1,wald_stat,GO_Biological_Process_2023
Actomyosin Structure Organization (GO:0031032),1.804683971316305,0.3343355637394253,0.002403846153846154,F11R;WDR1;PDLIM1;EPB41L4A;FLII;ALKBH4;MYH9;ARRB1;EPB41;ITGB1;ROCK1;KCTD13;ZYX;RHOA,wald_stat,GO_Biological_Process_2023
Regulation Of Type II Interferon Production (GO:0032649),-1.7847627426231556,0.2597361865333262,0.001,XCL1;HLA-A;MYDGF;SLC7A5;HSPD1;HMGB1;PDE4D;IL18R1;CRTAM;LGALS9;PDE4B;ZC3H12A;IFNL1;PTPN22;SLAMF6;BTN3A1;ISG15;CD2;LGALS9B;C1QBP;ZFPM1;HLA-DRB1,wald_stat,GO_Biological_Process_2023
Bile Acid Metabolic Process (GO:0008206),1.7444273239775894,0.5551939796177834,0.001,OSBPL3;ACOT8;ABCD3;GBA2;ACAA1;SCP2,wald_stat,GO_Biological_Process_2023
Nucleotide-Excision Repair (GO:0006289),1.7369224389841327,0.46492806654647995,0.001,ERCC6;ERCC5;HUS1;DDB2;RNF111;ERCC4;TP53;RAD23B;RPA2;COMMD1;MRPL36;GTF2H3;GTF2H5;SIRT1;GTF2H4;ERCC3;XAB2;UVSSA;POLL;ERCC8;ERCC1;KAT5;MMS19,wald_stat,GO_Biological_Process_2023
Regulation Of DNA Binding (GO:0051101),-1.7280313407947212,0.347827715747362,0.001,IFI16;NME1;PYHIN1;NFKBIA;HMGB1;GZMA;CSNK2B;HMGB2;CPNE1;SUMO1;SIRT2;SUMO3,wald_stat,GO_Biological_Process_2023
Regulation Of Mitochondrion Organization (GO:0010821),1.7200274419638908,0.46741330986740415,0.0023501762632197414,HTRA2;SREBF2;MUL1;SIRT7;HDAC6;MARCHF5;PINK1;MTCH2;TMEM102;FKBP8;CSNK2A2;GSK3B;MFF;GSK3A;RHOT1;PLSCR3;MYO19;VPS35;GOLPH3,wald_stat,GO_Biological_Process_2023
Response To Type II Interferon (GO:0034341),-1.717229181742014,0.3368398716953896,0.001,XCL1;XCL2;NUB1;SLC22A5;GCH1;IFITM3;IFITM2;LGALS9;IRF8;EPRS1;SHFL,wald_stat,GO_Biological_Process_2023
Establishment Of Protein Localization To Extracellular Region (GO:0035592),1.7017163827242205,0.49923692874414416,0.0012484394506866417,TVP23B;PRF1;MIA2;TANGO2;MON1A;TVP23C;TMEM167A;PREB;MEN1,wald_stat,GO_Biological_Process_2023
U2-type Prespliceosome Assembly (GO:1903241),-1.6924784291324801,0.35998132117815973,0.013157894736842105,SF3B6;SNRPD1;SNRPB2;SF3A1;SNRPF;SNRPD2;SF3B2;PHF5A;SNRPG;SF3B1;DDX46,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Cytokine Production Involved In Immune Response (GO:0002720),-1.679745455905632,0.3580618631427815,0.009259259259259259,XCL1;KIR2DL4;HLA-A;SLC7A5;CD55;MALT1;CD160;PLCG2,wald_stat,GO_Biological_Process_2023
Amino Acid Catabolic Process (GO:0009063),1.6387150986629047,0.956048320114021,0.006361323155216285,BLMH;MCCC2;CARNS1;BCKDHB;CARNMT1,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002702),-1.6377943439052993,0.4410705241686298,0.016877637130801686,XCL1;SLC7A5;DNAJB9;VAMP3;PHB1;PTPN22,wald_stat,GO_Biological_Process_2023
Very Long-Chain Fatty Acid Metabolic Process (GO:0000038),1.6318041482446095,0.9146164334835191,0.003989361702127659,ACOT4;ABCD3;ACAA1;HACD2;TECR;PEX2;HACD3,wald_stat,GO_Biological_Process_2023
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),-1.623061466003461,0.4519567191753868,0.001,NDUFB9;NDUFB11;NDUFA1;ATP5ME;NDUFB6;NDUFS8;NDUFS3;NDUFC2;SDHB;NDUFB1;SDHD;NDUFS6;NDUFB8;NDUFB7;NDUFA3;NDUFA7;NDUFA13;ATP5F1C;ATP5MG,wald_stat,GO_Biological_Process_2023
Lysosome Organization (GO:0007040),1.6217435048559996,0.9154240073089767,0.004722550177095631,VPS33A;GNPTAB;NAGPA;TMEM165;TMEM175;MBTPS1;HPS4;HOOK2;AKTIP;GBA1;SPG11;VPS18;MTOR;GAA;TPP1,wald_stat,GO_Biological_Process_2023
Cytoplasmic Microtubule Organization (GO:0031122),1.6196936828964337,0.8438573359122998,0.007042253521126761,CCDC88C;KATNA1;MBD1;CCDC88B;TUBGCP6;FSD1;KATNB1;KATNAL1;HOOK2;CLIP1;EZR;TUBGCP2;TUBGCP4;RHOA;RAB11A;SLAIN1;CEP126;DYNC1H1;KPNB1;CHP1,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Type II Interferon Production (GO:0032729),-1.6192595961121463,0.4299145911867026,0.005847953216374269,HLA-A;MYDGF;SLC7A5;HSPD1;PDE4D;IL18R1;CRTAM;LGALS9;PDE4B;IFNL1;PTPN22;SLAMF6;ISG15;CD2,wald_stat,GO_Biological_Process_2023
Endosomal Transport (GO:0016197),1.6174857105002514,0.7882867837140703,0.0010298661174047373,AGAP2;HGS;SNX17;TRIM27;BLOC1S1;UBE2O;TBC1D10B;EHD1;PLEKHA3;RGP1;WASHC5;TBC1D10C;VPS16;VTI1B;RAB35;RAB10;CCDC22;GGA1;VTI1A;TBC1D23;SNX12;PICALM;AP5S1;ANKRD27;CLEC16A;EPS15;CLTC;ACAP2;SNX18;REPS1;CHMP3;TOM1;NSG1;GBF1;STX6;RHOBTB3;RAB6A;EIPR1;ITSN2;CCDC93;ANKFY1;SNX5;ALS2;VPS51;TMEM87B;VPS39;CMTM6;TBC1D17;ARHGAP1;AP5Z1;RAB29;STX12;SLC66A2;RAB9A;CHMP1A;VPS35;STX16;RBSN,wald_stat,GO_Biological_Process_2023
Response To Tumor Necrosis Factor (GO:0034612),-1.6173050424098698,0.4067276283936678,0.001,XCL1;XCL2;GATA3;NUB1;NFKBIA;SLC22A5;GCH1;NFE2L2;CHUK;ZC3H12A;INPP5K;YTHDC2;ZFP36L2;ZFP36;TNFRSF11A;AKT1,wald_stat,GO_Biological_Process_2023
COPII Vesicle Coating (GO:0048208),-1.6155101477363114,0.36263399266786545,0.0091324200913242,TMED10;TMED2;TRAPPC2L;TRAPPC6A;TRAPPC2,wald_stat,GO_Biological_Process_2023
"Vesicle Targeting, Rough ER To cis-Golgi (GO:0048207)",-1.6155101477363114,0.36263399266786545,0.0091324200913242,TMED10;TMED2;TRAPPC2L;TRAPPC6A;TRAPPC2,wald_stat,GO_Biological_Process_2023
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-1.6148238516805569,0.3442254406792524,0.001,NDUFB9;COX7B;UQCRFS1;NDUFA1;UQCR11;NDUFB6;UQCRQ;NDUFS8;NDUFS3;COX6A1;NDUFC2;SDHB;NDUFB1;UQCC3;SDHD;NDUFS6;NDUFA4;NDUFB8;COX7A2;CYC1;COX8A;NDUFB7;NDUFA3;NDUFA7,wald_stat,GO_Biological_Process_2023
