Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,-1.9944483019219028,0.16254362327163493,0.001,KIR3DL1;KIR3DL2;KIR2DL4;HLA-A;LAIR2;KLRF1;CD96;SELL;SH2D1A;HCST;CD81;KIR2DL3;CRTAM;TREML1;HLA-B;CD3E;ICAM3;SH2D1B;CD160;LAIR1;NPDC1;SLAMF6;ICAM1;KLRG1;CD300A;B2M,wald_stat,Reactome_2022
Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886,-1.8412699076917818,0.3439685765192679,0.0049261083743842365,H3-3B;H2BC12;PKN1;H2AX;H2AJ,wald_stat,Reactome_2022
DNA Methylation R-HSA-5334118,-1.8398250683931616,0.23150152405354066,0.004830917874396135,H3-3B;H2BC12;H2AX;H2AJ;DNMT1;H2AZ1;H2AC20;H2AZ2,wald_stat,Reactome_2022
SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,-1.740445693391811,0.37270103517839526,0.001,SEC61G;TRAM1;RSL24D1;SRP68;SSR4;SRPRB;SEC61A1;SRP19;RPN2;SPCS2;SSR2;SRP14;SSR3;DDOST;FAU,wald_stat,Reactome_2022
Meiotic Synapsis R-HSA-1221632,-1.6968873749987488,0.40094093740336617,0.0078125,H2BC12;H2AX;H2AJ;TERF1;SMC3;RAD21;H2AZ1;TERF2IP;PMEPA1;H2AC20;REC8;SUN1;SMC1A;H2AZ2;POT1,wald_stat,Reactome_2022
RHO GTPases Activate NADPH Oxidases R-HSA-5668599,1.6902790680945443,1.0,0.001,S100A9;S100A8;MAPK14;PRKCZ;PIK3C3;CYBA,wald_stat,Reactome_2022
Inhibition Of DNA Recombination At Telomere R-HSA-9670095,-1.6667022635798732,0.4167574717890572,0.006134969325153374,H3-3B;H2BC12;H2AX;H2AJ;TERF1;POLR2G;POLR2L;POLR2J;H2AZ1;TERF2IP;POLR2F;H2AC20,wald_stat,Reactome_2022
mRNA 3-End Processing R-HSA-72187,-1.6578588065992639,0.3792684543004815,0.001,SRRM1;U2AF1;MAGOH;SRSF5;PAPOLA;ZC3H11A;SRSF9;SRSF2;FYTTD1;CPSF1;SRSF6;CPSF6;SRSF7;POLDIP3;THOC7;RNPS1,wald_stat,Reactome_2022
Peroxisomal Lipid Metabolism R-HSA-390918,1.6442145693118522,1.0,0.00628140703517588,ACOT8;PHYH;ACOT4;ACAA1;PECR;MLYCD,wald_stat,Reactome_2022
RNA Polymerase II Transcription Termination R-HSA-73856,-1.6316771630456035,0.39199282884952363,0.001,SRRM1;U2AF1;MAGOH;SRSF5;PAPOLA;ZC3H11A;SRSF9;SRSF2;FYTTD1;CPSF1;SRSF6;CPSF6;SLBP;SNRPF;SRSF7;POLDIP3;THOC7;RNPS1,wald_stat,Reactome_2022
Complement Cascade R-HSA-166658,-1.6161176165858981,0.3836467337152057,0.028925619834710745,GZMM;CD81;CD55;CPNE1,wald_stat,Reactome_2022
RNA Polymerase I Promoter Opening R-HSA-73728,-1.615805927087099,0.34643135869005026,0.03111111111111111,H3-3B;H2BC12;H2AX;H2AJ,wald_stat,Reactome_2022
Chemokine Receptors Bind Chemokines R-HSA-380108,-1.6086933272157875,0.3258335441707797,0.024390243902439025,XCL1;XCL2,wald_stat,Reactome_2022
"Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170",-1.5937296388005644,0.3309705595068055,0.02617801047120419,HLA-A;SEC24C;TAPBP;PDIA3;HLA-B;SAR1B;CALR;HSPA5;ATG14;SEC24A;B2M;SEC13;CANX;SEC24D,wald_stat,Reactome_2022
PRC2 Methylates Histones And DNA R-HSA-212300,-1.5870735494867643,0.3207931648095981,0.017241379310344827,H3-3B;H2BC12;H2AX;H2AJ;DNMT1;H2AZ1;H2AC20;PHF1;H2AZ2,wald_stat,Reactome_2022
Condensation Of Prophase Chromosomes R-HSA-2299718,-1.5671712562065971,0.34209217105581463,0.018292682926829267,H3-3B;H2BC12;H2AX;H2AJ;SET;H2AZ1;H2AC20;SMC4;PHF8;H2AZ2,wald_stat,Reactome_2022
NGF-stimulated Transcription R-HSA-9031628,-1.5664277077043485,0.3207089671285457,0.024630541871921183,EGR1;RNASEH2A;ID2;CDK5;DNM2;JUND;MEF2D;CHD4;ID1,wald_stat,Reactome_2022
Defective Pyroptosis R-HSA-9710421,-1.5647282485108516,0.30374313439648953,0.016483516483516484,H3-3B;H2BC12;H2AX;H2AJ;DNMT1;H2AZ1;H2AC20,wald_stat,Reactome_2022
Lysosome Vesicle Biogenesis R-HSA-432720,1.5329096441045449,1.0,0.0171990171990172,HGS;BLOC1S1;HSPA8;CLTC;VAMP8;ARRB1;AP1B1;VAMP2;AP1S1;AP4M1;GNS,wald_stat,Reactome_2022
Transcriptional Regulation Of White Adipocyte Differentiation R-HSA-381340,1.5274507129884478,1.0,0.008888888888888889,MED27;SREBF2;FAM120B;MED24;MED12;MED25;HELZ2;CDK4;NCOA6;MED7;MED17;MBD4;CCND3;NCOR1;CDK19;MED8;NCOA3;TNF,wald_stat,Reactome_2022
Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,1.5222235489913014,1.0,0.015727391874180863,COL13A1;P3H1;COLGALT2;PLOD1;PLOD3,wald_stat,Reactome_2022
Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471,1.5182540826305684,1.0,0.014634146341463415,STAT3;USP11;WRAP53;FBXW4;CCT7;TP53;AP3M1;CCT3;FBXO4;CCT5;ARFGEF2;SKIC2;CCT2;XRN2;FBXW2;KIFC3;FBXL5;DCAF7;FBXW5;FBXL3;LONP2;NOP56,wald_stat,Reactome_2022
Formation Of A Pool Of Free 40S Subunits R-HSA-72689,-1.513176420859833,0.3900853799133295,0.043824701195219126,EIF3G;RSL24D1;EIF3J;EIF3E;EIF3M,wald_stat,Reactome_2022
Interleukin-7 Signaling R-HSA-1266695,-1.5123188344361254,0.3707855379344534,0.0390625,SOCS1;PIK3R1;IL7R;JAK1;IRS2;IL2RG,wald_stat,Reactome_2022
Transport Of Mature mRNA Derived From An Intron-Containing Transcript R-HSA-159236,-1.511675625742506,0.35282595099313424,0.011111111111111112,SRRM1;U2AF1;MAGOH;SRSF5;ZC3H11A;NUP98;SRSF9;TPR;SRSF2;FYTTD1;SRSF6;SEH1L;NUP155;SRSF7;POLDIP3;THOC7;NXT1;RNPS1,wald_stat,Reactome_2022
Transport Of Mature Transcript To Cytoplasm R-HSA-72202,-1.5109445504369938,0.3371548791801034,0.001,SRRM1;U2AF1;MAGOH;SRSF5;ZC3H11A;NUP98;SRSF9;TPR;SRSF2;FYTTD1;CPSF1;SRSF6;SEH1L;NUP155;SLBP;SRSF7;POLDIP3;THOC7;NXT1;RNPS1,wald_stat,Reactome_2022
Keratan Sulfate Biosynthesis R-HSA-2022854,-1.5018978855687652,0.33978575600698674,0.04979253112033195,B3GNT7;B4GALT1;B4GALT4;SLC35D2;B3GNT2,wald_stat,Reactome_2022
Assembly Of ORC Complex At Origin Of Replication R-HSA-68616,-1.5010612017344669,0.32628132274728555,0.03349282296650718,H3-3B;H2BC12;H2AX;H2AJ,wald_stat,Reactome_2022
Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927,1.4960301310735478,1.0,0.031476997578692496,STAT3;CRK;DOK1;CDK4;ERBB2;CDKN1B;PTPN1;HIF1A;PELP1;NRG2;ARHGAP35;UBA52;RHOA;UBC;KHDRBS1;CBL,wald_stat,Reactome_2022
Reproduction R-HSA-1474165,-1.4949781458208975,0.32458755161006764,0.018518518518518517,H3-3B;H2BC12;B4GALT1;H2AX;H2AJ;TERF1;SMC3;RAD21;H2AZ1;TERF2IP;BLM;PMEPA1;H2AC20;REC8;SUN1;SMC1A;H2AZ2;POT1,wald_stat,Reactome_2022
TRAF6 Mediated IRF7 Activation R-HSA-933541,1.4646857418085357,1.0,0.048556430446194225,TRIM4;TRAF6;TBK1;MAVS;SIKE1;IRF3;TRIM25;RIGI;IRF7;TANK,wald_stat,Reactome_2022
Energy Dependent Regulation Of mTOR By LKB1-AMPK R-HSA-380972,1.4646733646365513,1.0,0.04767726161369193,STRADA;PRKAB2;RRAGC;TSC2;PPM1A;SLC38A9;STK11;RPTOR;CAB39;RRAGB;MTOR,wald_stat,Reactome_2022
Processing Of SMDT1 R-HSA-8949664,-1.4596562600377117,0.3817996470871189,0.05384615384615385,MCUB;AFG3L2;STOML2;PHB1;MAIP1,wald_stat,Reactome_2022
mRNA Splicing - Major Pathway R-HSA-72163,-1.4586773343527666,0.36882625789636436,0.001,SRRM1;U2AF1;MAGOH;SRSF5;SNW1;SNRNP27;SF3B6;HNRNPM;PAPOLA;POLR2G;TRA2B;SNRPB2;SYF2;SRSF9;SF3A1;SRSF2;HNRNPH1;HNRNPUL1;CPSF1;SRSF6;CPSF6;POLR2L;HNRNPA0;LSM4;POLR2J;SNRPF;SRSF10;CWC15;SRSF7;HNRNPA1;SNU13;SNRPD2;RNPS1;LSM7;U2SURP;SF3B2;PCBP1;POLR2F;HNRNPK;MTREX;PHF5A;SLU7;PQBP1;ELAVL1;CCAR1;DDX5;DNAJC8;SNRPG;SNRNP40;ALYREF;SF3B1;BUD31;PCBP2;TFIP11;SRSF3;PPIE;WBP11;CWC25;SNRPC;DDX46;RBM5,wald_stat,Reactome_2022
Interferon Alpha/Beta Signaling R-HSA-909733,-1.44936416433472,0.3742165934373382,0.03361344537815126,SOCS1;HLA-A;EGR1;JAK1;IFI6;IFITM3;IFITM2;HLA-B;IP6K2;IRF8;IRF1;OAS1;MX2;OAS2;SOCS3;ISG15;IFIT2,wald_stat,Reactome_2022
