Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Reactome_2022__RMTs Methylate Histone Arginines R-HSA-3214858,-0.7181205385724458,-2.0267970939909143,1.449275e-02,6.191717e-01,1.860000e-01,5/9,11.54%,RBBP7;H2AX;H2AZ1;SMARCE1;SMARCA2
prerank,Reactome_2022__RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243,-0.7808445925677964,-1.9256256681499826,4.048583e-03,7.809553e-01,3.910000e-01,4/6,11.54%,CSNK2B;CBX4;SMARCE1;SMARCA2
prerank,Reactome_2022__ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,-0.6618676691080667,-1.916027595067551,4.366812e-03,5.605834e-01,4.150000e-01,4/9,6.94%,CHD4;RBBP7;H2AX;H2AZ1
prerank,Reactome_2022__Amino Acids Regulate mTORC1 R-HSA-9639288,-0.7316481693515883,-1.888076551039186,7.662835e-03,5.297913e-01,4.720000e-01,4/7,9.03%,LAMTOR5;ATP6V0C;LAMTOR1;TCIRG1
prerank,Reactome_2022__EPHB-mediated Forward Signaling R-HSA-3928662,-0.5554717477005979,-1.8195044110902199,1.000000e-03,6.930729e-01,6.260000e-01,9/13,16.19%,ARPC3;CDC42;PKN1;ACTG1;ARPC1B;ROCK1;ARPC2;LYN;RHOA
prerank,Reactome_2022__Transcriptional Regulation By Small RNAs R-HSA-5578749,-0.5346697220559474,-1.808956414521439,2.112676e-02,6.281597e-01,6.590000e-01,9/15,20.73%,POLR2J;POLR2K;H2AX;H2AZ1;RAN;POLR2G;POLR2E;H2AZ2;H3-3B
prerank,Reactome_2022__RNA Polymerase I Promoter Clearance R-HSA-73854,-0.49401105684516944,-1.8028455309657454,6.097561e-03,4.851011e-01,6.620000e-01,5/16,6.94%,CHD4;POLR2K;RBBP7;H2AX;H2AZ1
prerank,Reactome_2022__RNA Polymerase I Transcription R-HSA-73864,-0.49401105684516944,-1.8028455309657454,6.097561e-03,4.851011e-01,6.620000e-01,5/16,6.94%,CHD4;POLR2K;RBBP7;H2AX;H2AZ1
prerank,Reactome_2022__Sphingolipid Metabolism R-HSA-428157,-0.781353122786934,-1.778420499437756,1.369863e-02,5.033267e-01,7.170000e-01,3/5,5.93%,ESYT2;SPTSSB;GLTP
prerank,Reactome_2022__Activation Of HOX Genes During Differentiation R-HSA-5619507,-0.4889683317692192,-1.7344959396016384,1.492537e-02,5.962025e-01,8.010000e-01,6/18,6.94%,CREBBP;POLR2J;POLR2K;RBBP7;H2AX;H2AZ1
prerank,Reactome_2022__EPH-Ephrin Signaling R-HSA-2682334,-0.43327547621703927,-1.6558138593327012,2.173913e-02,8.399673e-01,9.030000e-01,12/20,16.19%,ARPC3;CDC42;PKN1;AP2M1;ACTG1;ARPC1B;ROCK1;MYL6;VAV3;ARPC2;LYN;RHOA
prerank,Reactome_2022__CDC42 GTPase Cycle R-HSA-9013148,0.5320390915942621,1.6101856026573993,8.752735e-03,1.000000e+00,9.100000e-01,15/34,20.35%,CDC42SE2;TAGAP;ARHGAP45;KTN1;FNBP1;LBR;STOM;DEF6;ARHGAP30;IQGAP2;FMNL1;WIPF1;ARFGAP3;GNA13;DOCK10
prerank,Reactome_2022__Diseases Of Mitotic Cell Cycle R-HSA-9675126,0.7141433922384888,1.6049272848355254,1.562500e-02,1.000000e+00,9.180000e-01,5/9,16.77%,ATRX;CDKN1B;CCND2;CCND3;ANAPC16
prerank,Reactome_2022__MicroRNA (miRNA) Biogenesis R-HSA-203927,-0.5885042180847171,-1.6042304204521878,3.913043e-02,9.968332e-01,9.510000e-01,5/8,17.68%,POLR2J;POLR2K;RAN;POLR2G;POLR2E
prerank,Reactome_2022__Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,0.6393031975766122,1.5923356248935323,7.281553e-03,1.000000e+00,9.430000e-01,6/13,9.56%,KIF2A;DYNC1H1;PPP2R1A;BUB3;PPP1CC;PPP2R5C
