Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	3/199	1.997932e-04	2.197725e-03	0	0	3.365986e+01	2.867224e+02	CD83;GSTO1;AHR
MSigDB_Hallmark_2020	DNA Repair	1/150	8.640125e-02	1.136443e-01	0	0	1.210433e+01	2.964052e+01	RALA
MSigDB_Hallmark_2020	Xenobiotic Metabolism	1/200	1.136443e-01	1.136443e-01	0	0	9.040201e+00	1.965956e+01	GSTO1
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	1/200	1.136443e-01	1.136443e-01	0	0	9.040201e+00	1.965956e+01	CD83
MSigDB_Hallmark_2020	Interferon Gamma Response	1/200	1.136443e-01	1.136443e-01	0	0	9.040201e+00	1.965956e+01	PELI1
MSigDB_Hallmark_2020	Complement	1/200	1.136443e-01	1.136443e-01	0	0	9.040201e+00	1.965956e+01	S100A9
MSigDB_Hallmark_2020	G2-M Checkpoint	1/200	1.136443e-01	1.136443e-01	0	0	9.040201e+00	1.965956e+01	HMGA1
MSigDB_Hallmark_2020	heme Metabolism	1/200	1.136443e-01	1.136443e-01	0	0	9.040201e+00	1.965956e+01	SLC25A37
MSigDB_Hallmark_2020	E2F Targets	1/200	1.136443e-01	1.136443e-01	0	0	9.040201e+00	1.965956e+01	HMGA1
MSigDB_Hallmark_2020	Estrogen Response Late	1/200	1.136443e-01	1.136443e-01	0	0	9.040201e+00	1.965956e+01	S100A9
MSigDB_Hallmark_2020	Inflammatory Response	1/200	1.136443e-01	1.136443e-01	0	0	9.040201e+00	1.965956e+01	AHR
GO_Biological_Process_2023	Response To Molecule Of Bacterial Origin (GO:0002237)	4/69	6.287678e-08	1.389577e-05	0	0	1.532538e+02	2.541269e+03	PELI1;AHR;S100A9;S100A8
GO_Biological_Process_2023	Leukocyte Aggregation (GO:0070486)	2/7	6.918336e-06	7.644762e-04	0	0	7.993200e+02	9.496989e+03	S100A9;S100A8
GO_Biological_Process_2023	Peptidyl-Cysteine Modification (GO:0018198)	2/9	1.185217e-05	8.731098e-04	0	0	5.708857e+02	6.475556e+03	S100A9;S100A8
GO_Biological_Process_2023	Regulation Of Organelle Organization (GO:0033043)	3/100	2.582269e-05	1.407758e-03	0	0	6.835395e+01	7.221087e+02	RDX;S100A9;S100A8
GO_Biological_Process_2023	Response To Lipid (GO:0033993)	3/110	3.434912e-05	1.407758e-03	0	0	6.193458e+01	6.366215e+02	PELI1;S100A9;S100A8
GO_Biological_Process_2023	Regulation Of Cytoskeleton Organization (GO:0051493)	3/114	3.821967e-05	1.407758e-03	0	0	5.969069e+01	6.071833e+02	RALA;S100A9;S100A8
GO_Biological_Process_2023	Response To Lipopolysaccharide (GO:0032496)	3/159	1.029035e-04	3.248811e-03	0	0	4.237607e+01	3.890851e+02	PELI1;S100A9;S100A8
GO_Biological_Process_2023	Defense Response To Fungus (GO:0050832)	2/29	1.327809e-04	3.668072e-03	0	0	1.478593e+02	1.319912e+03	S100A9;S100A8
GO_Biological_Process_2023	Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	4/525	1.964708e-04	4.824450e-03	0	0	1.868234e+01	1.594537e+02	PELI1;S100A9;S100A8;LIMS1
GO_Biological_Process_2023	Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244)	2/39	2.415361e-04	5.337947e-03	0	0	1.078432e+02	8.981716e+02	S100A9;S100A8
GO_Biological_Process_2023	Regulation Of Inflammatory Response (GO:0050727)	3/240	3.465375e-04	6.751221e-03	0	0	2.777918e+01	2.213312e+02	AHR;S100A9;S100A8
GO_Biological_Process_2023	Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)	2/48	3.665821e-04	6.751221e-03	0	0	8.670435e+01	6.859431e+02	S100A9;S100A8
GO_Biological_Process_2023	Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235)	2/62	6.116860e-04	1.039866e-02	0	0	6.642667e+01	4.915103e+02	S100A9;S100A8
GO_Biological_Process_2023	Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919)	2/67	7.140069e-04	1.127111e-02	0	0	6.130154e+01	4.441062e+02	S100A9;S100A8
GO_Biological_Process_2023	Neutrophil Chemotaxis (GO:0030593)	2/70	7.791064e-04	1.147883e-02	0	0	5.858824e+01	4.193373e+02	S100A9;S100A8
GO_Biological_Process_2023	Granulocyte Chemotaxis (GO:0071621)	2/73	8.469757e-04	1.169885e-02	0	0	5.610423e+01	3.968722e+02	S100A9;S100A8
GO_Biological_Process_2023	Neutrophil Migration (GO:1990266)	2/77	9.417620e-04	1.224291e-02	0	0	5.310133e+01	3.699972e+02	S100A9;S100A8
GO_Biological_Process_2023	Positive Regulation Of Growth (GO:0045927)	2/81	1.041437e-03	1.278654e-02	0	0	5.040253e+01	3.461219e+02	S100A9;S100A8
GO_Biological_Process_2023	Positive Regulation Of Inflammatory Response (GO:0050729)	2/104	1.708445e-03	1.960191e-02	0	0	3.899216e+01	2.484647e+02	S100A9;S100A8
GO_Biological_Process_2023	Positive Regulation Of Cell Growth (GO:0030307)	2/106	1.773928e-03	1.960191e-02	0	0	3.823846e+01	2.422238e+02	S100A9;S100A8
