Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,3/199,0.00019979316242090065,0.0021977247866299,0,0,33.65986394557823,286.7223926579154,CD83;GSTO1;AHR
GO_Biological_Process_2023,Response To Molecule Of Bacterial Origin (GO:0002237),4/69,6.287677893870235e-08,1.3895768145453217e-05,0,0,153.25384615384615,2541.26890359104,PELI1;AHR;S100A9;S100A8
GO_Biological_Process_2023,Leukocyte Aggregation (GO:0070486),2/7,6.918336203504576e-06,0.0007644761504872557,0,0,799.32,9496.988892240155,S100A9;S100A8
GO_Biological_Process_2023,Peptidyl-Cysteine Modification (GO:0018198),2/9,1.1852169299324696e-05,0.0008731098050502526,0,0,570.8857142857142,6475.556453852173,S100A9;S100A8
GO_Biological_Process_2023,Regulation Of Organelle Organization (GO:0033043),3/100,2.5822694403897266e-05,0.0014077576777208,0,0,68.35395189003437,722.1087027443646,RDX;S100A9;S100A8
GO_Biological_Process_2023,Response To Lipid (GO:0033993),3/110,3.434912233589225e-05,0.0014077576777208,0,0,61.93457943925234,636.6214599635133,PELI1;S100A9;S100A8
GO_Biological_Process_2023,Regulation Of Cytoskeleton Organization (GO:0051493),3/114,3.8219665458485375e-05,0.0014077576777208,0,0,59.69069069069069,607.1832784354182,RALA;S100A9;S100A8
GO_Biological_Process_2023,Response To Lipopolysaccharide (GO:0032496),3/159,0.00010290351209622948,0.0032488108818952,0,0,42.376068376068375,389.0851430238389,PELI1;S100A9;S100A8
GO_Biological_Process_2023,Defense Response To Fungus (GO:0050832),2/29,0.00013278088986713743,0.0036680720825796,0,0,147.85925925925926,1319.9115485815607,S100A9;S100A8
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),4/525,0.00019647081229043903,0.004824449946243,0,0,18.682341650671784,159.45372388184038,PELI1;S100A9;S100A8;LIMS1
GO_Biological_Process_2023,Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244),2/39,0.0002415360833479079,0.0053379474419887,0,0,107.84324324324324,898.1715543742162,S100A9;S100A8
GO_Biological_Process_2023,Regulation Of Inflammatory Response (GO:0050727),3/240,0.0003465375445121919,0.006751220919326,0,0,27.77918424753868,221.33118917602707,AHR;S100A9;S100A8
GO_Biological_Process_2023,Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242),2/48,0.00036658213136612,0.006751220919326,0,0,86.70434782608696,685.9430634910701,S100A9;S100A8
GO_Biological_Process_2023,Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235),2/62,0.0006116859859072667,0.0103986617604235,0,0,66.42666666666666,491.5102701763712,S100A9;S100A8
GO_Biological_Process_2023,Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919),2/67,0.0007140068594000316,0.011271108280529,0,0,61.30153846153846,444.1062282714842,S100A9;S100A8
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),2/70,0.0007791063560372328,0.0114788336456152,0,0,58.588235294117645,419.3372670889321,S100A9;S100A8
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),2/73,0.0008469756722727654,0.0116988514732675,0,0,56.10422535211268,396.8722341307689,S100A9;S100A8
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),2/77,0.0009417620184047382,0.0122429062392615,0,0,53.101333333333336,369.9972374727496,S100A9;S100A8
GO_Biological_Process_2023,Positive Regulation Of Growth (GO:0045927),2/81,0.0010414372915721,0.012786535635413,0,0,50.40253164556962,346.1219220422897,S100A9;S100A8
GO_Biological_Process_2023,Positive Regulation Of Inflammatory Response (GO:0050729),2/104,0.0017084445064334,0.0196019094863576,0,0,38.9921568627451,248.4647289250997,S100A9;S100A8
GO_Biological_Process_2023,Positive Regulation Of Cell Growth (GO:0030307),2/106,0.0017739284603038,0.0196019094863576,0,0,38.238461538461536,242.22378008037745,S100A9;S100A8
GO_Biological_Process_2023,Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043280),2/109,0.0018743777837072,0.0197255947713949,0,0,37.160747663551405,233.35011686390425,S100A9;S100A8
GO_Biological_Process_2023,Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),3/456,0.0022220114767887,0.0223211152895598,0,0,14.374540103016924,87.81898765825838,HMGA1;AHR;LIMS1
GO_Biological_Process_2023,Positive Regulation Of Defense Response (GO:0031349),2/124,0.0024163697244848,0.0228365627450516,0,0,32.5672131147541,196.23338369839547,S100A9;S100A8
GO_Biological_Process_2023,Positive Regulation Of Hemoglobin Biosynthetic Process (GO:0046985),1/5,0.0029966530298936,0.0228365627450516,0,0,454.1818181818182,2638.914119276588,SLC25A37
GO_Biological_Process_2023,Dermatan Sulfate Metabolic Process (GO:0030205),1/5,0.0029966530298936,0.0228365627450516,0,0,454.1818181818182,2638.914119276588,DSE
GO_Biological_Process_2023,Dermatan Sulfate Proteoglycan Metabolic Process (GO:0050655),1/5,0.0029966530298936,0.0228365627450516,0,0,454.1818181818182,2638.914119276588,DSE
GO_Biological_Process_2023,Astrocyte Differentiation (GO:0048708),1/5,0.0029966530298936,0.0228365627450516,0,0,454.1818181818182,2638.914119276588,S100A9
GO_Biological_Process_2023,Autocrine Signaling (GO:0035425),1/5,0.0029966530298936,0.0228365627450516,0,0,454.1818181818182,2638.914119276588,S100A9
GO_Biological_Process_2023,Negative Regulation Of Cell Size (GO:0045792),1/5,0.0029966530298936,0.0228365627450516,0,0,454.1818181818182,2638.914119276588,RDX
GO_Biological_Process_2023,Regulation Of Gene Expression (GO:0010468),4/1127,0.0034466301418004,0.0241259522401642,0,0,8.399376669634906,47.62747517806768,RDX;HMGA1;AHR;LIMS1
