Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,UV Response Dn,0.6454945909353225,1.7814979359422674,1.000000e-03,8.706887e-03,1.000000e-02,10/21,14.10%,ATRX;SYNE1;PIK3CD;CDKN1B;FYN;CITED2;ADD3;CELF2;NIPBL;PHF3
prerank,Reactive Oxygen Species Pathway,-0.44723584199909194,-1.5624701105752368,2.797203e-02,1.507656e-01,6.611570e-02,4/15,2.30%,NDUFA6;LAMTOR5;LSP1;CDKN2D
prerank,IL-2/STAT5 Signaling,0.47254260131734654,1.4998317430181498,1.470588e-02,2.947281e-01,4.640000e-01,14/49,14.80%,CDC42SE2;PRKCH;IL10RA;EOMES;CCND2;CST7;ODC1;PTGER2;SLC2A3;RORA;KLF6;PIM1;RHOH;CCND3
prerank,Oxidative Phosphorylation,-0.2681797550997702,-1.4629527300233294,1.000000e-03,1.637220e-01,1.353306e-01,20/80,13.35%,VDAC1;NDUFA6;COX17;UQCRFS1;VDAC2;SDHC;NDUFS8;ACAA2;COX5B;UQCRC2;ATP6V0C;NDUFS6;LDHA;TCIRG1;COX6A1;NDUFB8;ATP5PF;ATP5F1C;COX7A2;COX8A
prerank,DNA Repair,-0.3086507581560637,-1.3771186598481546,4.878049e-02,1.798194e-01,2.138430e-01,6/37,6.41%,COX17;POLR2J;NT5C;POLR2K;GTF2A2;ADRM1
prerank,KRAS Signaling Up,0.4764333895425156,1.3646208360927852,8.371041e-02,7.064188e-01,8.830000e-01,5/26,6.52%,ETS1;IL10RA;CCND2;CD37;CCSER2
prerank,heme Metabolism,0.401883624674605,1.2121081054703657,1.786492e-01,1.000000e+00,9.990000e-01,17/34,33.33%,TNRC6B;H4C3;ARL2BP;CAST;EPB41;RNF19A;ADD1;CCND3;LRP10;KLF3;FBXO7;TCEA1;RAD23A;USP15;GYPC;TOP1;BTG2
prerank,Allograft Rejection,0.36379688639078417,1.2083610786074501,1.624106e-01,1.000000e+00,9.990000e-01,22/67,26.92%,ETS1;PTPRC;CCND2;EIF3A;IL16;FGR;STAT4;LCK;HLA-E;CCND3;GZMB;ITGAL;ZAP70;HIF1A;NPM1;PRF1;ABI1;CSK;CD74;CD2;CD3G;FYB1
prerank,Pperoxisome,-0.328484882720654,-1.120381383062163,2.828947e-01,5.212014e-01,5.971074e-01,5/15,10.42%,CTBP1;GSTK1;HSD17B11;TSPO;PRDX5
prerank,Epithelial Mesenchymal Transition,-0.27761886319913986,-1.1102679784038558,2.871287e-01,4.358068e-01,6.115702e-01,5/24,9.19%,GADD45B;PPIB;CD44;EMP3;ID2
