Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Transcriptional Regulation By Small RNAs R-HSA-5578749,-0.5346691290328988,-1.7896003725876233,1.388889e-02,8.206882e-01,1.270000e-01,9/15,20.73%,POLR2J;POLR2K;H2AX;H2AZ1;RAN;POLR2G;POLR2E;H2AZ2;H3-3B
prerank,RNA Polymerase I Promoter Clearance R-HSA-73854,-0.4940075042475628,-1.7895409618953446,1.212121e-02,2.749585e-01,1.280000e-01,5/16,6.94%,CHD4;POLR2K;RBBP7;H2AX;H2AZ1
prerank,RNA Polymerase I Transcription R-HSA-73864,-0.4940075042475628,-1.7895409618953446,1.212121e-02,2.749585e-01,1.280000e-01,5/16,6.94%,CHD4;POLR2K;RBBP7;H2AX;H2AZ1
prerank,Activation Of HOX Genes During Differentiation R-HSA-5619507,-0.48897071130595066,-1.7389596017152584,1.438849e-02,2.941497e-01,1.670000e-01,6/18,6.94%,CREBBP;POLR2J;POLR2K;RBBP7;H2AX;H2AZ1
prerank,EPH-Ephrin Signaling R-HSA-2682334,-0.43328389536985484,-1.655838548897905,2.173913e-02,4.078318e-01,2.510000e-01,12/20,16.19%,ARPC3;CDC42;PKN1;AP2M1;ACTG1;ARPC1B;ROCK1;MYL6;VAV3;ARPC2;LYN;RHOA
prerank,CDC42 GTPase Cycle R-HSA-9013148,0.5320336072785079,1.6111285116361913,4.400440e-03,1.000000e+00,5.780000e-01,15/34,20.35%,CDC42SE2;TAGAP;ARHGAP45;KTN1;FNBP1;LBR;STOM;DEF6;ARHGAP30;IQGAP2;FMNL1;WIPF1;ARFGAP3;GNA13;DOCK10
prerank,Resolution Of Sister Chromatid Cohesion R-HSA-2500257,0.6189446817714084,1.5921526303555034,1.199041e-02,7.253969e-01,6.520000e-01,6/15,9.56%,KIF2A;DYNC1H1;PPP2R1A;BUB3;PPP1CC;PPP2R5C
prerank,mRNA Splicing - Minor Pathway R-HSA-72165,-0.37075484640814216,-1.5529798332570164,9.615385e-03,6.204012e-01,3.720000e-01,6/25,5.56%,SNRPF;POLR2J;POLR2K;SF3B5;SNRPE;SF3B6
prerank,Mitotic Prometaphase R-HSA-68877,0.5175608600153402,1.546980498434565,1.117318e-02,8.331947e-01,8.110000e-01,10/31,9.56%,KIF2A;TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;BUB3;CEP78;PPP1CC;PPP2R5C
prerank,Complex I Biogenesis R-HSA-6799198,-0.3666941738059454,-1.5372172578858674,3.000000e-02,5.915894e-01,3.990000e-01,9/22,23.02%,NDUFA6;NDUFS8;NDUFS6;NDUFB8;NDUFB11;NDUFA13;NDUFB9;NDUFS5;NDUFA12
