Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Aerobic Respiration (GO:0009060),-1.736353118591664,0.47177940542869456,0.001,NDUFA6;SDHC;NDUFS8;UQCRC2;NDUFS6;NDUFB8;NDUFB11;ATP5F1D;NDUFA13;NDUFB9;MDH2;NDUFS5;NDUFA12,wald_stat,GO_Biological_Process_2023
Lymphocyte Differentiation (GO:0030098),1.727653764072369,0.5177655602510975,0.002336448598130841,PTPRC;PIK3CD;KLF6;IKZF1;RHOH;LCK;PTPN22;PLCG2;ITGA4;ZAP70;ZBTB7A,wald_stat,GO_Biological_Process_2023
Regulation Of DNA Binding (GO:0051101),-1.7245466262874343,0.25269280482550627,0.025974025974025976,SIRT2;CSNK2B;NFKBIA;HMGB2;HMGB1,wald_stat,GO_Biological_Process_2023
Negative Regulation Of Wnt Signaling Pathway (GO:0030178),1.6810809057012919,0.4830550198990687,0.005787037037037037,CCDC88C;PFDN5;RNF213;STK4;TLE1;GPI;GSK3B;TLE4,wald_stat,GO_Biological_Process_2023
B Cell Activation (GO:0042113),1.676746138351945,0.3397133440008753,0.005813953488372093,PTPRC;RASGRP1;PIK3CD;KLF6;CASP8;PLCG2;ITGA4;ZAP70;HSPD1;PHB2;ZBTB7A,wald_stat,GO_Biological_Process_2023
Regulation Of Stress Fiber Assembly (GO:0051492),-1.6507390260520827,0.26712623869021973,0.001,S100A10;CDC42;RHOC;DYNLL1;ACTG1;GPR65;PFN1;ROCK1,wald_stat,GO_Biological_Process_2023
T Cell Receptor Signaling Pathway (GO:0050852),1.64760785761983,0.37217412710786524,0.007717750826901874,PTPRC;PIK3CD;FYN;BTN3A3;LCK;PTPN22;PLCG2;ZAP70;SKAP1;CSK;BTN3A2;CD3G;KHDRBS1;FYB1;RBCK1;CD8A;TXK;INPP5D,wald_stat,GO_Biological_Process_2023
Response To UV (GO:0009411),-1.6445123113617661,0.20971563981042654,0.02962962962962963,CREBBP;CDKN2D;ZBTB1;SDF4;XPA;UBE2B;ATF4;CIRBP,wald_stat,GO_Biological_Process_2023
Cilium Organization (GO:0044782),1.5980058607684247,0.5399417388093382,0.009378663540445486,EHD1;SEPTIN6;PHIP;CEP78;SEPTIN7;KIFAP3;ARF4;ABLIM1;ACTR3,wald_stat,GO_Biological_Process_2023
Regulation Of Wnt Signaling Pathway (GO:0030111),1.5745781051411627,0.5910433676609363,0.01740139211136891,CRBN;PPP2R1A;PPP1CA;CDC73;TLE1;GPI,wald_stat,GO_Biological_Process_2023
Cellular Respiration (GO:0045333),-1.5720233854203318,0.2672985781990522,0.001,NDUFA6;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;NDUFB11;COX7A2;COX8A;COX4I1;COX6C;NDUFA13,wald_stat,GO_Biological_Process_2023
Aerobic Electron Transport Chain (GO:0019646),-1.56734860486367,0.22813442481688928,0.001,NDUFA6;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;COX7A2;COX8A;COX4I1;COX6C,wald_stat,GO_Biological_Process_2023
Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),1.5581251859328644,0.6089495987949194,0.014302741358760428,TAGAP;ARHGAP25;CYRIB;ARHGEF3;ARHGAP45;ARHGEF1;ARHGAP30;ARHGAP15;GNA13,wald_stat,GO_Biological_Process_2023
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-1.5549811582224757,0.20976180217886378,0.001,NDUFA6;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;COX7A2;COX8A;COX4I1;COX6C,wald_stat,GO_Biological_Process_2023
"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",-1.5320749967166802,0.21133132270573027,0.03787878787878788,NDUFA6;NDUFS8;NDUFS6;NDUFB8,wald_stat,GO_Biological_Process_2023
NADH Dehydrogenase Complex Assembly (GO:0010257),-1.5208836016163945,0.18211977595863854,0.017094017094017096,NDUFA6;NDUFS8;NDUFB8;NDUFB11;NDUFA13;NDUFB9;NDUFS5,wald_stat,GO_Biological_Process_2023
Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),-1.5208836016163945,0.18211977595863854,0.017094017094017096,NDUFA6;NDUFS8;NDUFB8;NDUFB11;NDUFA13;NDUFB9;NDUFS5,wald_stat,GO_Biological_Process_2023
Organic Substance Transport (GO:0071702),1.5096893302181178,0.8783695072416199,0.0273972602739726,FYN;VAMP2;TPT1;MYH9;SLC3A2;CCL3;CD320;CD3G;CHMP1B;ARL6IP5,wald_stat,GO_Biological_Process_2023
Cell-Matrix Adhesion (GO:0007160),-1.509389335237385,0.1751987779562101,0.06329113924050633,CD63;ITGAM;DYNLL1;CD44;ITGAE;ITGAX;ZYX,wald_stat,GO_Biological_Process_2023
Macromolecule Biosynthetic Process (GO:0009059),1.4971447446058168,0.8819048400552524,0.03225806451612903,EEF1D;EEF1A1;FAU;MRPS6;EIF4G2;GOLPH3;EEF2;MRPS7;EEF1B2;MRPS15;MRPL10;MRPL14;ABCF1,wald_stat,GO_Biological_Process_2023
Regulation Of Actin Cytoskeleton Organization (GO:0032956),-1.486606394563364,0.1825721671693236,0.050314465408805034,CDC42;DYNLL1;ROCK1;RICTOR;RHOA;TWF2;BST2;RAC1;ARHGDIA;RHOG,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Type II Interferon Production (GO:0032729),1.4818338773857633,0.9217576826816559,0.0356718192627824,RASGRP1;CYRIB;PTPN22;HSPD1;CD2;BTN3A2;IL18R1;ISG15;IL12RB2;CD244;TXK,wald_stat,GO_Biological_Process_2023
Antigen Receptor-Mediated Signaling Pathway (GO:0050851),1.465165484761069,0.9789073602309561,0.03544575725026853,PTPRC;PIK3CD;FYN;BTN3A3;NFATC2;LCK;PTPN22;PLCG2;ZAP70;SKAP1;CSK;BTN3A2;CD3G;KHDRBS1;FYB1;RBCK1;CD8A;TXK;INPP5D;LIME1,wald_stat,GO_Biological_Process_2023
Regulation Of Tumor Necrosis Factor Production (GO:0032680),1.4312552035947093,1.0,0.0425531914893617,PTPRC;RASGRP1;CX3CR1;HLA-E;PTPN22;PLCG2;CCL3;FCGR3A;FOXP1;CD2;CYBA;FXR1;NLRC3;IFNG;SELENOS,wald_stat,GO_Biological_Process_2023
Intracellular Calcium Ion Homeostasis (GO:0006874),1.4251615300971399,1.0,0.07345971563981042,TPT1;STIM2;CCL3;PDZD8;MCUB;ANXA6;BAX;MICU2;ATP2B4;HERPUD1,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),1.4121403631460232,1.0,0.06300114547537228,RASGRP1;CCND2;ADRB2;SH2D1A;CCND3;RGCC;CIB1;CALM1;ERP29;IFNG,wald_stat,GO_Biological_Process_2023
Protein Dephosphorylation (GO:0006470),1.41064341130626,1.0,0.06292134831460675,PPP3CC;PTPRC;PPP2R1A;PPP1CA;PPP1CC;PPP2R5C;PTPN22;PPM1B;CTDSP1;PPP1R15B;PTPN1;PTPN7,wald_stat,GO_Biological_Process_2023
Regulation Of Translational Initiation (GO:0006446),1.4046085591078572,1.0,0.0515695067264574,EIF4A2;EIF3B;EIF4B;EIF4G2;UHMK1;EIF3E;NPM1;EIF5B;PPP1R15B;KHDRBS1;DNAJC3;YTHDF2,wald_stat,GO_Biological_Process_2023
Positive Regulation Of DNA Metabolic Process (GO:0051054),1.4042320461229798,1.0,0.06990521327014218,ATRX;SMCHD1;PPP1R10;SMARCA5;UCHL5;RGCC;TINF2,wald_stat,GO_Biological_Process_2023
Peptidyl-Serine Phosphorylation (GO:0018105),1.3932747319488104,1.0,0.06815642458100558,PRKCH;MAPK1;STK38;STK4;GPI;UHMK1;GSK3B;ATM;PRKDC;PAK2;SRPK2;PRKX,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Cysteine-Type Endopeptidase Activity (GO:2001056),1.391634166910684,1.0,0.07656065959952886,CYCS;FYN;REST;CYFIP2;CASP8,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760),1.3906772459643133,0.9698290262644261,0.08158508158508158,PTPRC;RASGRP1;HLA-E;PLCG2;CCL3;FCGR3A;CD2;CYBA,wald_stat,GO_Biological_Process_2023
