Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Transcriptional Regulation By Small RNAs R-HSA-5578749,-1.7896003725876233,0.820688231651579,0.013888888888888888,POLR2J;POLR2K;H2AX;H2AZ1;RAN;POLR2G;POLR2E;H2AZ2;H3-3B,wald_stat,Reactome_2022
RNA Polymerase I Promoter Clearance R-HSA-73854,-1.7895409618953446,0.27495847216898145,0.012121212121212121,CHD4;POLR2K;RBBP7;H2AX;H2AZ1,wald_stat,Reactome_2022
RNA Polymerase I Transcription R-HSA-73864,-1.7895409618953446,0.27495847216898145,0.012121212121212121,CHD4;POLR2K;RBBP7;H2AX;H2AZ1,wald_stat,Reactome_2022
Activation Of HOX Genes During Differentiation R-HSA-5619507,-1.7389596017152584,0.2941497360894052,0.014388489208633094,CREBBP;POLR2J;POLR2K;RBBP7;H2AX;H2AZ1,wald_stat,Reactome_2022
EPH-Ephrin Signaling R-HSA-2682334,-1.655838548897905,0.4078318049125704,0.021739130434782608,ARPC3;CDC42;PKN1;AP2M1;ACTG1;ARPC1B;ROCK1;MYL6;VAV3;ARPC2;LYN;RHOA,wald_stat,Reactome_2022
CDC42 GTPase Cycle R-HSA-9013148,1.6111285116361913,1.0,0.0044004400440044,CDC42SE2;TAGAP;ARHGAP45;KTN1;FNBP1;LBR;STOM;DEF6;ARHGAP30;IQGAP2;FMNL1;WIPF1;ARFGAP3;GNA13;DOCK10,wald_stat,Reactome_2022
Resolution Of Sister Chromatid Cohesion R-HSA-2500257,1.5921526303555034,0.7253968550579749,0.011990407673860911,KIF2A;DYNC1H1;PPP2R1A;BUB3;PPP1CC;PPP2R5C,wald_stat,Reactome_2022
mRNA Splicing - Minor Pathway R-HSA-72165,-1.5529798332570164,0.6204012227366104,0.009615384615384616,SNRPF;POLR2J;POLR2K;SF3B5;SNRPE;SF3B6,wald_stat,Reactome_2022
Mitotic Prometaphase R-HSA-68877,1.546980498434565,0.8331947416120865,0.0111731843575419,KIF2A;TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;BUB3;CEP78;PPP1CC;PPP2R5C,wald_stat,Reactome_2022
Complex I Biogenesis R-HSA-6799198,-1.5372172578858674,0.5915894031365975,0.03,NDUFA6;NDUFS8;NDUFS6;NDUFB8;NDUFB11;NDUFA13;NDUFB9;NDUFS5;NDUFA12,wald_stat,Reactome_2022
Mitotic Spindle Checkpoint R-HSA-69618,1.5295892291382491,0.7610530790720272,0.018823529411764704,KIF2A;DYNC1H1;PPP2R1A;BUB3;PPP1CC;PPP2R5C;ANAPC16;NUDC,wald_stat,Reactome_2022
Loss Of Nlp From Mitotic Centrosomes R-HSA-380259,1.528191229631752,0.5149974928913348,0.021303258145363407,TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;CEP78,wald_stat,Reactome_2022
AURKA Activation By TPX2 R-HSA-8854518,1.528191229631752,0.5149974928913348,0.021303258145363407,TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;CEP78,wald_stat,Reactome_2022
Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320,1.5245448977681957,0.45914792119091885,0.028708133971291867,TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;CEP78,wald_stat,Reactome_2022
