Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Regulation Of Lymphocyte Differentiation (GO:0045619),0.7327599481210504,2.1311609625474204,1.000000e-03,2.517780e-02,2.400000e-02,7/15,6.05%,ZFP36L1;NCKAP1L;TBX21;PRKDC;IKZF3;XRCC6;ZNF683
prerank,Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799),-0.6974394549798613,-2.0450842602493293,1.000000e-03,9.765556e-02,8.000000e-02,10/18,16.28%,INPP5K;DGKQ;CALM3;TGFB1;SPRY2;AXIN1;CALM1;DMTN;PRKAG2;RIPK2
prerank,Regulation Of Vasculature Development (GO:1901342),0.6532073649876174,1.9176865306539255,1.000000e-03,2.750908e-01,4.140000e-01,7/16,11.54%,ETS1;PDCD10;PIK3CG;KRIT1;EGLN1;ERBB2;HTATIP2
prerank,Positive Regulation Of Telomere Maintenance Via Telomerase (GO:0032212),0.5514487396030978,1.9132125665325634,1.000000e-03,1.911648e-01,4.280000e-01,17/28,23.64%,XRCC5;TNIP1;PRKCQ;TCP1;CCT3;NEK7;CCT6A;PARN;MAP3K4;FBXO4;CCT8;CCT7;CCT4;CCT2;ATM;CTNNB1;HMBOX1
prerank,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-0.48687641204291765,-1.8999458014790707,1.000000e-03,3.685710e-01,4.530000e-01,29/65,18.51%,NDUFB7;NDUFA1;NDUFC2;COX7B;UQCRFS1;UQCR11;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;NDUFA4;COX6A1;NDUFB1;UQCRQ;SDHAF2;NDUFA10;NDUFS6;UQCC3;NDUFA9;COX8A;NDUFS3;SDHA;COX7A2;NDUFV1;NDUFB9;UQCRC1;NDUFA5;NDUFS8
prerank,Aerobic Electron Transport Chain (GO:0019646),-0.48589479981617517,-1.888215484028169,1.000000e-03,2.894665e-01,5.050000e-01,28/63,18.51%,NDUFB7;NDUFA1;NDUFC2;COX7B;UQCRFS1;UQCR11;COX5B;NDUFB6;NDUFB8;SDHB;NDUFA4;COX6A1;NDUFB1;UQCRQ;SDHAF2;NDUFA10;NDUFS6;UQCC3;NDUFA9;COX8A;NDUFS3;SDHA;COX7A2;NDUFV1;NDUFB9;UQCRC1;NDUFA5;NDUFS8
prerank,Regulation Of Cardiac Muscle Contraction (GO:0055117),-0.6679902925118372,-1.88408465038247,1.869159e-03,2.270754e-01,5.190000e-01,8/16,10.76%,RGS2;PDE4D;CALM3;ZC3H12A;P2RX4;PRKACA;CALM1;SLC9A1
prerank,"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",-0.48000605738512875,-1.8762160206965868,1.000000e-03,1.963612e-01,5.410000e-01,23/71,9.16%,U2AF2;RBM8A;RBM3;JMJD6;MAGOH;SRSF10;RBM5;QKI;RBM38;RNPS1;SNW1;RBM39;PTBP1;TRA2B;SAP18;CIRBP;SFSWAP;SRSF9;DAZAP1;HNRNPL;PCBP4;NCBP1;LARP7
prerank,Positive Regulation Of Establishment Of Protein Localization (GO:1904951),0.6471236324195663,1.872694280949781,2.092050e-03,2.277659e-01,5.830000e-01,8/15,15.23%,TCP1;CCT3;CEP120;CCT6A;WRAP53;CCT8;CCT7;CCT4
prerank,Positive Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904358),0.5151999726730405,1.8669291737583436,1.000000e-03,1.939623e-01,6.060000e-01,19/31,23.64%,XRCC5;TNIP1;PRKCQ;TCP1;CCT3;HNRNPA2B1;NEK7;CCT6A;PARN;MAP3K4;DHX36;FBXO4;CCT8;CCT7;CCT4;CCT2;ATM;CTNNB1;HMBOX1
prerank,Positive Regulation Of DNA Biosynthetic Process (GO:2000573),0.4790362919433652,1.846826224071738,1.000000e-03,2.056187e-01,6.840000e-01,23/47,23.64%,XRCC5;TNIP1;PRKCQ;PTGES3;TCP1;CCT3;RFC5;NEK7;RFC4;CCT6A;PARN;MAP3K4;WRAP53;FBXO4;CCT8;CCT7;CCT4;PRKD2;CCT2;ATM;CTNNB1;DKC1;HMBOX1
prerank,Cellular Respiration (GO:0045333),-0.45692402291960316,-1.840555237000294,1.712329e-03,2.509643e-01,7.090000e-01,32/80,18.51%,NDUFB7;NDUFA1;NDUFC2;COX7B;UQCRFS1;NDUFA13;UQCR11;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;ME3;NDUFA4;COX6A1;NDUFB1;SURF1;UQCRQ;NDUFA10;NDUFS6;CHCHD5;NDUFB11;NDUFA9;COX8A;NDUFS3;SDHA;COX7A2;NDUFV1;NDUFB9;UQCRC1;NDUFA5;NDUFS8
prerank,Positive Regulation Of Erythrocyte Differentiation (GO:0045648),0.5900610350434858,1.8386685424044762,2.188184e-03,1.914312e-01,7.100000e-01,8/19,8.48%,MAPK14;ETS1;NCKAP1L;STAT3;PRKDC;FAM210B;HIF1A;ARNT
prerank,Negative Regulation Of RNA Splicing (GO:0033119),-0.6301767425381485,-1.7972127019322564,5.444646e-03,3.454697e-01,8.410000e-01,8/15,7.80%,U2AF2;SRSF10;RNPS1;PTBP1;SAP18;SFSWAP;SRSF9;PCBP4
prerank,"Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900151)",0.5822272466324689,1.790648593346944,6.849315e-03,2.698454e-01,8.670000e-01,9/19,16.91%,CNOT7;ZFP36L1;TOB1;HNRNPD;CSDE1;DHX36;PABPC1;SYNCRIP;YBX1
