Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Retrograde endocannabinoid signaling,-0.4778053282306066,-1.8761882858360799,1.000000e-03,9.706657e-02,7.900000e-02,30/70,18.51%,NDUFB7;NDUFA1;GNB1;NDUFC2;MAPK9;ADCY7;NDUFA13;NDUFB6;NDUFB8;NDUFA12;GNGT2;PRKACA;NDUFA4;PRKCA;NDUFB1;GNAQ;NDUFA10;PRKCB;NDUFS6;NDUFB11;NDUFA9;NDUFS3;PLCB1;ADCY9;GNAI2;NDUFV1;NDUFB9;PLCB2;NDUFA5;NDUFS8
prerank,Non-alcoholic fatty liver disease,-0.41564799989544515,-1.8229659130393079,1.000000e-03,8.824234e-02,1.360000e-01,45/120,18.51%,ATF4;CDC42;AKT1;NDUFB7;IRS2;NDUFA1;TGFB1;NDUFC2;RAC1;ERN1;MAPK9;COX7B;UQCRFS1;PRKAG1;NDUFA13;UQCR11;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;NDUFA4;COX6A1;GSK3A;CASP3;NDUFB1;PIK3R1;UQCRQ;NFKB1;NDUFA10;IKBKB;NDUFS6;NDUFB11;NDUFA9;PRKAG2;COX8A;NDUFS3;SREBF1;SDHA;COX7A2;NDUFV1;NDUFB9;UQCRC1;NDUFA5;NDUFS8
prerank,Circadian entrainment,-0.4929172919346768,-1.743439280020141,7.042254e-03,1.467029e-01,3.010000e-01,15/37,17.12%,GNAS;CALM3;GNB1;ADCY7;GNGT2;PRKACA;PER1;PRKCA;GNAQ;CALM1;PRKCB;PLCB1;ADCY9;GNAI2;PLCB2
prerank,Morphine addiction,-0.5250874153394063,-1.7182055702315804,5.328597e-03,1.378787e-01,3.500000e-01,16/29,22.52%,GRK2;PDE4D;GNAS;GNB1;GRK6;ADCY7;GNGT2;PRKACA;PRKCA;PRKCB;ADCY9;GNAI2;ARRB1;PDE4A;PDE4B;ARRB2
prerank,Spliceosome,-0.3860187363251333,-1.7082062088722496,1.000000e-03,1.253041e-01,3.770000e-01,36/128,14.84%,SF3B6;U2AF2;RBM8A;ALYREF;MAGOH;SRSF10;CRNKL1;PRPF18;SNRNP27;PHF5A;EFTUD2;U2SURP;CCDC12;SNW1;SYF2;BUD31;CWC15;SLU7;SNRPB2;TRA2B;SMNDC1;RP9;SRSF9;PQBP1;CTNNBL1;NCBP1;SNRPD1;DHX8;SNRPC;SRSF5;SRSF2;CDC5L;RBM25;PCBP1;SF3A2;HNRNPM
prerank,Pyruvate metabolism,0.4947121954491388,1.7016311409873284,1.382488e-02,4.727856e-01,3.640000e-01,10/27,15.50%,ALDH9A1;ACSS1;ME2;FH;MDH1;GLO1;ACAT1;PKM;AKR1A1;ADH5
prerank,Oxidative phosphorylation,-0.4012656548951541,-1.6983289724101787,1.000000e-03,1.147150e-01,3.990000e-01,35/100,18.51%,ATP5MC1;TCIRG1;NDUFB7;ATP6V1H;NDUFA1;NDUFC2;COX7B;UQCRFS1;NDUFA13;UQCR11;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;NDUFA4;COX6A1;ATP6V0C;NDUFB1;ATP5ME;UQCRQ;NDUFA10;NDUFS6;NDUFB11;NDUFA9;COX8A;ATP6V1G1;NDUFS3;SDHA;COX7A2;NDUFV1;NDUFB9;UQCRC1;NDUFA5;NDUFS8
prerank,Long-term depression,-0.49811740535766963,-1.6905804601986407,8.944544e-03,1.082544e-01,4.200000e-01,16/32,18.85%,NRAS;GNAS;MAP2K2;PPP2CA;GNA13;PPP2CB;PRKCA;GNAQ;PRKCB;LYN;PLCB1;BRAF;GNA12;GNAI2;PLCB2;IGF1R
prerank,"Parathyroid hormone synthesis, secretion and action",-0.448870043249694,-1.680881858938264,1.748252e-03,1.065802e-01,4.600000e-01,27/52,22.62%,ATF4;PDE4D;GNAS;EGR1;MEF2D;GATA3;GNA13;JUND;ADCY7;PRKACA;PRKCA;GNAQ;PRKCB;PLCB1;ARHGEF1;BRAF;GNA12;ADCY9;GNAI2;ARRB1;PLCB2;PDE4A;NR4A2;PDE4B;RUNX2;ARRB2;ITPR3
prerank,GnRH signaling pathway,-0.4500586471226825,-1.661356159703621,3.676471e-03,1.155730e-01,5.260000e-01,17/50,10.83%,ATF4;CDC42;NRAS;GNAS;CALM3;MAP2K2;EGR1;MAP2K3;SOS2;MAPK9;ADCY7;MAP2K7;PRKACA;PRKCA;GNAQ;CALM1;PRKCB
prerank,Protein export,-0.513763701951776,-1.621832938013012,1.754386e-02,1.503429e-01,6.600000e-01,7/23,11.07%,SEC61G;SRP72;SRP19;SEC61B;SRP54;SRP68;SPCS2
prerank,Melanogenesis,-0.44185787551445005,-1.6006649422771209,1.232394e-02,1.634489e-01,7.130000e-01,17/42,17.12%,NRAS;TCF7;GNAS;CALM3;MAP2K2;CREBBP;ADCY7;PRKACA;PRKCA;GNAQ;CALM1;PRKCB;FZD3;PLCB1;ADCY9;GNAI2;PLCB2
prerank,Starch and sucrose metabolism,0.549717392237199,1.5947942295137865,2.832244e-02,5.716021e-01,6.390000e-01,9/15,28.35%,UGP2;PGM1;HK1;GYG1;GAA;PYGB;AGL;GYS1;PGM2
prerank,Mismatch repair,0.5008422211423466,1.5927707414045074,2.564103e-02,3.881669e-01,6.440000e-01,12/20,30.12%,RPA3;RFC5;RFC4;RPA2;PMS2;LIG1;MSH3;SSBP1;MLH3;POLD3;MSH2;RPA1
prerank,Insulin signaling pathway,-0.375371310855071,-1.582117748839714,7.836991e-03,1.797938e-01,7.700000e-01,28/90,15.77%,INPP5A;NRAS;AKT1;CALM3;IRS2;MAP2K2;RAPGEF1;FLOT1;SOS2;MAPK9;FASN;PRKAG1;BAD;PRKACA;RHOQ;MKNK2;FBP1;PIK3R1;PRKAR2A;MKNK1;CALM1;IKBKB;SOCS1;PHKG2;PRKAG2;SREBF1;BRAF;EIF4E2
prerank,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,-0.5172202888155665,-1.5757933159672057,3.195489e-02,1.756362e-01,7.850000e-01,5/21,8.95%,MPPE1;PIGT;PIGH;PIGS;GPAA1
prerank,Diabetic cardiomyopathy,-0.3525086190196383,-1.568310096999323,1.628664e-03,1.738059e-01,8.020000e-01,45/137,18.51%,ATP5MC1;AKT1;NDUFB7;NDUFA1;TGFB1;NDUFC2;RAC1;SLC2A1;MAPK9;COX7B;UQCRFS1;NDUFA13;UQCR11;CTSD;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;NDUFA4;COX6A1;PRKCA;NDUFB1;PIK3R1;GAPDH;PTPA;UQCRQ;NFKB1;NDUFA10;PRKCB;NDUFS6;NDUFB11;NDUFA9;COX8A;SLC25A5;NDUFS3;SDHA;PLCB1;COX7A2;NDUFV1;NDUFB9;PLCB2;UQCRC1;NDUFA5;NDUFS8
prerank,Oocyte meiosis,0.36887427704362197,1.5603920580371193,1.333333e-02,3.724784e-01,7.300000e-01,15/70,7.25%,PPP3CB;MAPK14;PPP2R5A;PRKACB;PPP3CC;PPP2R5D;SLK;MAP2K1;PPP1CB;ANAPC10;YWHAZ;PPP2R5C;YWHAB;CDC26;YWHAH
prerank,Huntington disease,-0.3272829135523915,-1.5542681382709373,1.519757e-03,1.845000e-01,8.330000e-01,79/219,23.94%,ATP5MC1;NDUFB7;DCTN4;ULK1;NDUFA1;CLTB;NDUFC2;CREBBP;ERN1;POLR2C;MAPK9;COX7B;UQCRFS1;BBC3;NDUFA13;UQCR11;TUBB4B;POLR2D;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;MAP2K7;PSMD6;NDUFA4;PSMB6;POLR2G;DCTN3;ATG2A;COX6A1;CASP3;NDUFB1;GNAQ;BECN1;UQCRQ;NDUFA10;MAP3K10;TAF4;WIPI1;NDUFS6;NDUFB11;NDUFA9;POLR2E;COX8A;SLC25A5;NDUFS3;SDHA;PSMA1;PLCB1;ATG14;PSMB3;COX7A2;TUBA4A;NDUFV1;POLR2J;NDUFB9;PLCB2;PSMD9;UQCRC1;TBPL1;NDUFA5;AP2A1;TUBB2A;NDUFS8;RB1CC1;COX5A;PSMC2;PSMD7;PSMC3;VDAC1;AP2M1;DNAL1;AP2A2;HTT;PPIF;PSMD3;RCOR1;STX1A
prerank,Alzheimer disease,-0.3230884903688775,-1.5423638644751674,1.000000e-03,1.888938e-01,8.560000e-01,73/241,18.51%,ATF4;ATP5MC1;NRAS;AKT1;NDUFB7;CALM3;IRS2;CSNK2B;ULK1;NDUFA1;MAP2K2;NDUFC2;ERN1;MAPK9;COX7B;UQCRFS1;NDUFA13;UQCR11;TUBB4B;BAD;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;HSD17B10;MAP2K7;PSMD6;NDUFA4;PSMB6;ATG2A;COX6A1;CASP3;NDUFB1;AXIN1;GNAQ;APH1A;BECN1;PIK3R1;GAPDH;UQCRQ;NFKB1;NDUFA10;CALM1;FRAT2;CSNK2A2;IKBKB;WIPI1;NDUFS6;NDUFB11;NDUFA9;FZD3;COX8A;SLC25A5;NDUFS3;SDHA;PSMA1;PLCB1;ATG14;PSMB3;BRAF;COX7A2;CAPN2;TUBA4A;NDUFV1;CSNK1E;NDUFB9;PLCB2;PSMD9;UQCRC1;NDUFA5;TUBB2A;NDUFS8
prerank,Adherens junction,-0.42215825802334345,-1.5414502422266496,1.650165e-02,1.794693e-01,8.620000e-01,11/45,6.93%,CDC42;FARP2;TCF7;CSNK2B;CREBBP;RAC1;ACP1;YES1;AFDN;PTPRJ;ACTN4
prerank,Chemokine signaling pathway,-0.3594223364091585,-1.535456635532971,8.116883e-03,1.771588e-01,8.700000e-01,34/106,17.12%,CDC42;XCL1;NRAS;GRK2;AKT1;GNB1;PREX1;GRK6;SOS2;RAC1;ADCY7;BAD;GNGT2;PRKACA;NFKBIB;GSK3A;XCL2;GNAQ;PIK3R1;CCL4;NFKB1;PRKCB;IKBKB;CCL5;CCL4L2;LYN;VAV3;PLCB1;BRAF;DOCK2;ADCY9;GNAI2;ARRB1;PLCB2
prerank,Gastric acid secretion,-0.46531311634175987,-1.5311386484783627,3.724395e-02,1.745689e-01,8.770000e-01,13/29,17.12%,GNAS;CALM3;ADCY7;PRKACA;PRKCA;GNAQ;CALM1;SLC9A1;PRKCB;PLCB1;ADCY9;GNAI2;PLCB2
prerank,Thermogenesis,-0.32851506035091216,-1.503009557158069,1.560062e-03,2.085277e-01,9.200000e-01,48/160,19.91%,ARID1B;ATP5MC1;NRAS;NDUFB7;GNAS;NDUFA1;MAP2K3;NDUFC2;SOS2;COX7B;UQCRFS1;PRKAG1;ADCY7;NDUFA13;UQCR11;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;PRKACA;NDUFA4;COX6A1;COX19;NDUFB1;ATP5ME;UQCRQ;NDUFA10;NDUFS6;NDUFB11;NDUFA9;PRKAG2;COX8A;NDUFS3;SDHA;MLST8;COA1;COX7A2;ADCY9;NDUFV1;COX16;NDUFB9;UQCRC1;NDUFA5;NDUFS8;ARID1A;ACSL3;COX5A
prerank,Parkinson disease,-0.3211533119034394,-1.5003975854207596,4.739336e-03,2.025372e-01,9.260000e-01,61/182,20.98%,ATF4;ATP5MC1;NDUFB7;GNAS;CALM3;NDUFA1;NDUFC2;ERN1;MAPK9;COX7B;UQCRFS1;NDUFA13;UQCR11;TUBB4B;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;PSMD6;PRKACA;NDUFA4;PSMB6;COX6A1;CASP3;NDUFB1;UBE2G2;UBB;UQCRQ;NDUFA10;CALM1;NDUFS6;NDUFB11;UBA1;NDUFA9;COX8A;SLC25A5;NDUFS3;PINK1;SDHA;PSMA1;PSMB3;COX7A2;NFE2L2;GNAI2;TUBA4A;NDUFV1;NDUFB9;PSMD9;UQCRC1;NDUFA5;HTRA2;TUBB2A;NDUFS8;TXN;UBE2J1;HSPA5;COX5A;PSMC2;PSMD7;PSMC3
prerank,Galactose metabolism,0.48503423163545134,1.4968395077567354,3.926097e-02,4.702300e-01,8.630000e-01,6/18,17.70%,UGP2;PGM1;PFKP;HK1;GAA;GLB1
prerank,Apelin signaling pathway,-0.3738411809634006,-1.4949495391107739,2.291326e-02,2.021050e-01,9.350000e-01,22/69,17.12%,NRAS;AKT1;CALM3;MAP2K2;GNB1;EGR1;MEF2D;GNA13;PRKAG1;ADCY7;GNGT2;PRKACA;GABARAPL1;GNAQ;BECN1;CALM1;SLC9A1;PRKAG2;PLCB1;ADCY9;GNAI2;PLCB2
