Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,UV Response Dn,0.4165545172874225,1.8343137744414173,1.000000e-03,1.164725e-02,1.400000e-02,30/82,21.94%,TGFBR2;MAPK14;ADD3;PIK3CD;SPOP;WDR37;CDKN1B;CITED2;ERBB2;NEK7;CELF2;ATP2B4;BMPR1A;AKT3;PTPRM;ATRX;DUSP1;SIPA1L1;AGGF1;PTEN;MT1E;SMAD3;PEX14;PDLIM5;SCAF8;BCKDHB;DLG1;PIK3R3;MAP2K5;NIPBL
prerank,TNF-alpha Signaling via NF-kB,-0.40741453654503884,-1.7838003671835638,1.000000e-03,1.767346e-02,1.500000e-02,54/126,23.54%,MAP3K8;GADD45B;MAFF;BCL6;FOSL2;DUSP2;IRS2;ZC3H12A;EGR1;MAP2K3;GCH1;IER3;TIPARP;TNIP2;GPR183;SAT1;ID2;BIRC2;PFKFB3;PER1;TNFRSF9;BCL3;IER5;RNF19B;EIF1;CCL4;PMEPA1;NFKB1;IER2;IL15RA;IFIT2;DRAM1;CCL5;NFIL3;REL;NFE2L2;SLC16A6;RIPK2;IL18;RCAN1;IRF1;TRAF1;BIRC3;TUBB2A;RELB;AREG;BTG3;B4GALT1;NR4A2;PDE4B;ICAM1;NFKBIE;ATP2B1;TNFSF9
prerank,Epithelial Mesenchymal Transition,-0.4370648923449513,-1.725572995673851,1.663894e-03,2.209182e-02,3.900000e-02,20/64,20.01%,GADD45B;PPIB;VIM;SNTB1;TGFB1;LGALS1;SGCB;SAT1;TIMP1;ID2;IGFBP4;QSOX1;PMEPA1;CALU;P3H1;PCOLCE;COL6A2;PLOD1;AREG;SPARC
prerank,Myc Targets V1,0.32662691706489305,1.624588104816581,1.000000e-03,3.660566e-02,8.000000e-02,53/184,15.33%,G3BP1;KPNB1;XPO1;ODC1;PSMD1;COPS5;NOLC1;SRSF1;DDX18;PHB2;XRCC6;PTGES3;HDDC2;DUT;TCP1;PSMB2;CCT3;EIF2S1;HNRNPA2B1;TOMM70;SRPK1;RFC4;HNRNPD;PRDX4;IMPDH2;RAN;SSB;CBX3;BUB3;GLO1;CNBP;DEK;RAD23B;RRM1;EEF1B2;EPRS1;SMARCC1;NAP1L1;PABPC1;CLNS1A;LSM2;NPM1;GNL3;PRPS2;RACK1;DHX15;PRDX3;CCT7;ABCE1;FBL;SYNCRIP;CCT4;YWHAQ
prerank,PI3K/AKT/mTOR  Signaling,-0.3667556779590592,-1.5036807712548534,9.950249e-03,1.487516e-01,3.300000e-01,22/83,14.86%,ARHGDIA;ARF1;GRK2;AKT1;CSNK2B;MAP2K3;CALR;RAC1;SLC2A1;MAPK9;PIN1;PRKAG1;NFKBIB;MKNK2;RIT1;PRKAR2A;MKNK1;PRKCB;CFL1;MAPKAP1;VAV3;PLCB1
prerank,Apical Junction,0.323635759740049,1.4081381030472087,4.589372e-02,1.536328e-01,4.040000e-01,19/82,15.09%,MAPK14;TIAL1;PTPRC;ATP1A3;ARHGEF6;VCL;CERCAM;ICAM2;THBS3;PLCG1;YWHAH;AKT3;PCDH1;MAP4K2;HADH;CAP1;RASA1;VASP;PTEN
prerank,Oxidative Phosphorylation,-0.2872843422912096,-1.3434757283640895,2.756508e-02,4.503970e-01,7.920000e-01,53/197,18.51%,TIMM17A;ATP5MC1;TCIRG1;NDUFB7;TIMM8B;ATP6V1H;NDUFA1;FXN;NDUFC2;SUPV3L1;CS;COX7B;UQCRFS1;MRPS11;UQCR11;COX5B;NDUFB6;NDUFB8;SDHB;HSD17B10;TOMM22;NDUFA4;COX6A1;ECHS1;ATP6V0C;NDUFB1;ATP5ME;SURF1;UQCRQ;ISCA1;GRPEL1;NDUFS6;LRPPRC;NDUFA9;MRPS22;DLST;COX8A;SLC25A5;ATP6V1G1;LDHA;ACAA1;NDUFS3;POR;SDHA;IDH2;COX7A2;BCKDHA;NDUFV1;UQCRC1;NDUFA5;HTRA2;PMPCA;NDUFS8
prerank,E2F Targets,0.2770874558541119,1.3236931744089486,3.048780e-02,2.169301e-01,6.400000e-01,50/150,22.56%,XPO1;DCK;LBR;PPP1R8;NOLC1;SRSF1;TMPO;SMC6;PRKDC;RPA3;XRCC6;DUT;MCM3;EIF2S1;ANP32E;CDKN1B;HNRNPD;ASF1A;PRDX4;RAN;RPA2;CDKN2A;PAN2;CSE1L;CDC25B;DEK;PMS2;LIG1;PSIP1;NAP1L1;SMC1A;EXOSC8;ZW10;TUBB;SYNCRIP;POP7;RANBP1;SSRP1;MRE11;TBRG4;TIMELESS;HELLS;RAD51C;TP53;RNASEH2A;BRMS1L;GSPT1;NASP;HMGA1;NOP56
prerank,Glycolysis,0.2779068036984004,1.295032392051347,5.050505e-02,2.146423e-01,7.220000e-01,41/118,24.96%,KIF2A;ALDH9A1;PGAM1;UGP2;RPE;SOD1;ANKZF1;FAM162A;ME2;ISG20;CITED2;MDH1;HS2ST1;PFKP;SLC25A13;AK3;FKBP4;CHST12;SLC16A3;PKM;CHPF;AKR1A1;HDLBP;FUT8;COPB2;SDHC;EXT2;BPNT1;B3GAT1;CYB5A;ENO2;PYGB;ALG1;PAM;NASP;MED24;AGL;MXI1;GYS1;POLR3K;LHPP
prerank,Unfolded Protein Response,-0.303598914977463,-1.289261458104687,7.213115e-02,5.461098e-01,9.040000e-01,31/100,22.40%,ATF4;CEBPG;DDIT4;H2AX;CALR;DCP1A;TATDN2;ERN1;EXOSC10;EIF4A1;POP4;SLC7A5;TSPYL2;WIPI1;CKS1B;LSM1;BAG3;DNAJC3;PAIP1;EDC4;PDIA6;GEMIN4;TUBB2A;SHC1;HSPA5;CNOT2;HYOU1;NFYA;EXOSC1;SLC1A4;ASNS
prerank,Xenobiotic Metabolism,-0.3009374505448422,-1.2869393604904629,9.389671e-02,4.624554e-01,9.100000e-01,21/96,14.27%,DHRS1;UPP1;MARCHF6;PTS;GCH1;SLC35B1;ASL;ACP1;SERTAD1;ID2;GABARAPL1;FBP1;KARS1;IGFBP4;TPST1;AP4B1;HES6;ACOX1;PEMT;POR;PINK1
prerank,p53 Pathway,-0.2818520802386082,-1.2611990894921281,7.570978e-02,4.765521e-01,9.450000e-01,29/141,13.41%,MXD4;DNTTIP2;AEN;H2AJ;UPP1;CD81;TGFB1;DDIT4;IER3;FBXW7;NUDT15;HEXIM1;SAT1;CTSD;SERTAD3;MKNK2;TRIAP1;NOTCH1;IER5;RNF19B;CGRRF1;PIDD1;TSPYL2;DRAM1;S100A4;SOCS1;RGS16;IRAK1;S100A10
prerank,Cholesterol Homeostasis,-0.32409269888788217,-1.2275593767820179,1.367521e-01,5.238523e-01,9.700000e-01,28/53,34.96%,STX5;LGALS3;FASN;PCYT2;STARD4;MVD;ATF5;NSDHL;NFIL3;PMVK;IDI1;FABP5;PLSCR1;SC5D;CYP51A1;HMGCR;S100A11;FADS2;TM7SF2;TP53INP1;NIBAN1;ECH1;TMEM97;LDLR;HSD17B7;ERRFI1;DHCR7;CPEB2
prerank,IL-2/STAT5 Signaling,-0.2802754313578289,-1.2179359986785947,1.116279e-01,4.974341e-01,9.780000e-01,33/123,19.60%,MAP3K8;GADD45B;MAPKAPK2;MAFF;IGF2R;CD81;IFNGR1;FURIN;GLIPR2;CD79B;P2RX4;GABARAPL1;ITGAE;CASP3;TNFRSF9;ENO3;DHRS3;IL4R;SOCS1;RGS16;NFIL3;PTRH2;LRRC8C;EEF1AKMT1;TRAF1;IL2RB;NFKBIZ;PDCD2L;IGF1R;HIPK2;PLSCR1;POU2F1;PLEC
prerank,Myogenesis,-0.3014914181235784,-1.1857771659808334,1.894061e-01,5.463307e-01,9.900000e-01,20/61,23.15%,GADD45B;TGFB1;MEF2D;NCAM1;NOTCH1;ENO3;RIT1;LSP1;TPM3;SORBS3;LPIN1;DENND2B;BAG1;OCEL1;ADCY9;COL6A2;SPARC;IFRD1;DMPK;GSN
prerank,Mitotic Spindle,-0.26286842114277864,-1.1736139184744814,1.529235e-01,5.360279e-01,9.920000e-01,34/144,16.70%,ARHGAP4;MAPRE1;NCK2;ARHGDIA;CDC42;ARL8A;ARHGEF7;PLEKHG2;DYNLL2;PREX1;MYO9B;CSNK1D;FBXO5;ACTN4;LATS1;PCGF5;ARHGAP5;SEPTIN9;SMC3;YWHAE;LRPPRC;ATG4B;PKD2;ARF6;BCR;SORBS2;TAOK2;TRIO;KIF22;TUBD1;DOCK2;OPHN1;TUBA4A;CEP131
prerank,Estrogen Response Early,-0.2826130242264711,-1.1682432396112257,1.825525e-01,5.074675e-01,9.950000e-01,25/85,19.05%,SLC22A5;SYNGR1;NADSYN1;TIPARP;ITPK1;SLC2A1;FASN;MICB;ISG20L2;IGFBP4;MED13L;DHRS3;SLC7A5;SNX24;ABCA3;NXT1;BAG1;ADCY9;CLIC3;CHPT1;SLC19A2;UNC119;TBC1D30;IGF1R;AREG
prerank,Allograft Rejection,0.25326264189561337,1.16734431375528,1.593407e-01,4.266500e-01,9.390000e-01,33/124,17.49%,ST8SIA4;ETS1;EIF3A;DARS1;PTPRC;STAT4;TAP1;PRF1;CD47;GZMB;IFNG;IL27RA;MRPL3;GPR65;HIF1A;CDKN2A;NCK1;FCGR2B;KLRD1;LCK;GLMN;IFNAR2;NPM1;CD247;CD2;LTB;LCP2;F2R;ABCE1;AARS1;FAS;CSK;IL16
prerank,Inflammatory Response,-0.2799729216981018,-1.1666398813112349,1.917591e-01,4.723401e-01,9.960000e-01,33/87,24.20%,GCH1;GPR183;TIMP1;LTA;CD70;P2RX4;TNFRSF9;LY6E;IL4R;NFKB1;IL15RA;TAPBP;RGS16;CCL5;LYN;BST2;BEST1;RIPK2;IL18;IRF1;IL2RB;C3AR1;P2RX7;EIF2AK2;KIF1B;SLC4A4;PDE4B;ICAM1;ATP2B1;TNFSF9;IFITM1;RHOG;RGS1
prerank,DNA Repair,-0.2550813713342877,-1.131670025632565,2.037037e-01,5.369890e-01,9.990000e-01,44/138,23.77%,ALYREF;ELOA;NME1;TAF10;VPS37B;DCTN4;ERCC3;POLR2C;ERCC1;POLR2D;TK2;POLR1C;POLR2G;RNMT;STX3;TMED2;GUK1;AGO4;SURF1;ELL;NUDT21;EDF1;POLR2E;PDE6G;POLR3C;SMAD5;TYMS;GTF3C5;NELFCD;POLR2J;POM121;DDB1;ITPA;RAE1;BRF2;POLB;SNAPC5;NELFB;ADA;POLH;PDE4B;PCNA;HPRT1;CANT1
prerank,Hypoxia,-0.26301291109273917,-1.1236446446780102,2.321725e-01,5.232079e-01,1.000000e+00,21/110,13.60%,JMJD6;MAFF;FOSL2;IRS2;DDIT4;IER3;TIPARP;SLC2A1;PRDX5;PFKFB3;FBP1;PRKCA;ENO3;GAPDH;S100A4;B3GALT6;IDS;NOCT;EXT1;LDHA;NFIL3
prerank,Spermatogenesis,-0.30261458051988915,-1.1173700814063703,2.808219e-01,5.089403e-01,1.000000e+00,18/45,29.40%,TSN;TLE4;PRKAR2A;DBF4;CSNK2A2;LPIN1;PHKG2;BRAF;CHFR;PHF7;HSPA2;MLF1;TALDO1;COIL;CAMK4;TOPBP1;AGFG1;POMC
prerank,Notch Signaling,-0.379568420179049,-1.1051456565275413,3.292894e-01,5.126602e-01,1.000000e+00,6/18,20.49%,NOTCH1;PRKCA;APH1A;LFNG;ARRB1;SKP1
prerank,Adipogenesis,0.2320800275595874,1.1027635991839368,2.346667e-01,5.473021e-01,9.810000e-01,45/144,22.67%,ATP5PO;ARAF;PREB;CHCHD10;GHITM;SOD1;ELOVL6;TOB1;STOM;GPAT4;IMMT;STAT5A;PGM1;MRPL15;UBQLN1;GPHN;HADH;LPCAT3;ACADM;DBT;SLC66A3;PHYH;DDT;BCL2L13;PPM1B;RMDN3;PRDX3;G3BP2;CAT;SDHC;COQ5;ABCB8;PEX14;DHRS7B;ACAA2;GPD2;UBC;QDPR;RETSAT;ADIPOR2;IDH3A;COQ9;NMT1;DNAJC15;CMPK1
prerank,Protein Secretion,-0.2618004023053587,-1.0800056438889505,3.278689e-01,5.518045e-01,1.000000e+00,9/83,3.64%,NAPG;ARF1;CD63;IGF2R;TMED10;GNAS;ATP6V1H;RAB14;STAM
prerank,Bile Acid Metabolism,0.26136419616035766,1.0563562620195093,3.341346e-01,6.244800e-01,9.960000e-01,23/55,32.49%,ALDH9A1;SOD1;GCLM;LONP2;ISOC1;CROT;LCK;PHYH;FDXR;CAT;ABCA2;RETSAT;PEX19;PEX16;SLC35B2;MLYCD;ABCD3;SCP2;PEX1;PNPLA8;IDH1;ABCD2;AMACR
prerank,Fatty Acid Metabolism,0.22347944388527607,1.031597739556434,3.732194e-01,6.356073e-01,9.970000e-01,28/111,20.02%,ODC1;ALDH9A1;CRYZ;HSPH1;ACSS1;RDH11;FH;MDH1;SUCLG2;YWHAH;HSDL2;ACSL4;HADH;HMGCS1;ACADM;HPGD;ADSL;UROD;SDHC;PPARA;HCCS;CPT1A;ACAA2;GPD2;BCKDHB;ENO2;RETSAT;ADIPOR2
prerank,Apoptosis,0.2211540153049633,1.0249326970974397,3.777778e-01,5.918469e-01,9.980000e-01,16/117,6.94%,SPTAN1;SLC20A1;DPYD;TAP1;SOD1;PRF1;JUN;HSPB1;DAP3;ISG20;CDKN1B;ERBB2;MCL1;BCL2L1;ADD1;PSEN1
prerank,G2-M Checkpoint,-0.2313317956229058,-1.0209134430942073,4.158879e-01,6.982759e-01,1.000000e+00,29/143,12.39%,SRSF10;MTF2;TGFB1;H2AX;TRA2B;TNPO2;FBXO5;FOXN3;MKI67;EWSR1;CUL3;DDX39A;KMT5A;TACC3;MCM2;KPNA2;BCL3;SLC7A5;SNRPD1;DBF4;MNAT1;H2AZ1;CUL5;ATF5;CKS1B;CCNT1;HIRA;SRSF2;UBE2S
prerank,Interferon Gamma Response,-0.22561862464963706,-1.0190464531406331,4.170543e-01,6.695478e-01,1.000000e+00,44/158,23.28%,XCL1;UPP1;MX2;GCH1;ZBP1;CASP3;AUTS2;MVP;LY6E;IL4R;NFKB1;IFI44L;ISG15;IL15RA;IFIT2;USP18;TAPBP;CD38;SOCS1;CASP4;PARP12;APOL6;CCL5;TRIM25;PSME2;HLA-DRB1;BST2;RIPK2;PSME1;LAP3;IRF1;LATS2;IL2RB;WARS1;PLSCR1;VAMP5;EIF2AK2;LYSMD2;MX1;PDE4B;ICAM1;UBE2L6;HLA-B;PTPN2
prerank,UV Response Up,-0.2381990968196309,-1.0148477287014117,4.247934e-01,6.487105e-01,1.000000e+00,36/107,27.68%,GCH1;CEBPG;CLTB;H2AX;FURIN;PRKACA;CASP3;NPTXR;AGO2;PDAP1;GRPEL1;EIF5;STARD3;CDC5L;LYN;ACAA1;TUBA4A;IRF1;BAK1;BTG3;MGAT1;PSMC3;HSPA2;ICAM1;MARK2;ASNS;ARRB2;HLA-F;PPIF;ABCB1;POLG2;E2F5;BID;CDC34;HMOX1;WIZ
prerank,KRAS Signaling Up,-0.2400819814750725,-0.9848335222768272,4.936909e-01,7.046286e-01,1.000000e+00,22/82,19.95%,WDR33;GALNT3;SPRY2;USP12;ID2;TRIB2;LAT2;CTSS;GADD45G;HDAC9;RGS16;CDADC1;GYPC;PTBP2;DOCK2;TRAF1;BIRC3;DUSP6;ENG;PRELID3B;C3AR1;MMD
prerank,Complement,-0.2285861096398386,-0.9807353661431287,4.887821e-01,6.863832e-01,1.000000e+00,28/108,19.22%,MAFF;LGALS3;CALM3;RCE1;GATA3;USP16;TIMP1;CTSD;GNGT2;PPP2CB;CASP3;GMFB;VCPIP1;ITGAM;CTSS;CALM1;CSRP1;CASP4;CCL5;LYN;RABIF;GNAI2;LAP3;IRF1;DUSP6;PFN1;PLSCR1;HSPA5
prerank,heme Metabolism,-0.22200048202964096,-0.9738170522722538,5.231481e-01,6.773444e-01,1.000000e+00,26/131,18.01%,SLC25A38;RBM5;HDGF;RBM38;MAP2K3;CIR1;RAD23A;SLC2A1;GLRX5;HEBP1;TMEM9B;TENT5C;FBXO9;RIOK3;ISCA1;KDM7A;OPTN;DMTN;HBQ1;GYPC;TFDP2;TRIM58;SLC10A3;PSMD9;BACH1;HTRA2
prerank,Estrogen Response Late,-0.24379780446441338,-0.972845122090814,4.982935e-01,6.525923e-01,1.000000e+00,25/75,24.85%,SLC22A5;DUSP2;ITPK1;ID2;MICB;IGFBP4;SLC7A5;ABCA3;NXT1;IDH2;BAG1;CLIC3;CHPT1;FABP5;METTL3;DNAJC1;AREG;BTG3;SLC2A8;SLC1A4;SLC16A1;HPRT1;PPIF;SNX10;LLGL2
