Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Regulation Of Lymphocyte Differentiation (GO:0045619),2.1311609625474204,0.025177801241488083,0.001,ZFP36L1;NCKAP1L;TBX21;PRKDC;IKZF3;XRCC6;ZNF683,wald_stat,GO_Biological_Process_2023
Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799),-2.0450842602493293,0.09765555643907747,0.001,INPP5K;DGKQ;CALM3;TGFB1;SPRY2;AXIN1;CALM1;DMTN;PRKAG2;RIPK2,wald_stat,GO_Biological_Process_2023
Regulation Of Vasculature Development (GO:1901342),1.9176865306539255,0.2750907913421846,0.001,ETS1;PDCD10;PIK3CG;KRIT1;EGLN1;ERBB2;HTATIP2,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Telomere Maintenance Via Telomerase (GO:0032212),1.9132125665325634,0.191164787203891,0.001,XRCC5;TNIP1;PRKCQ;TCP1;CCT3;NEK7;CCT6A;PARN;MAP3K4;FBXO4;CCT8;CCT7;CCT4;CCT2;ATM;CTNNB1;HMBOX1,wald_stat,GO_Biological_Process_2023
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-1.8999458014790707,0.3685709710765182,0.001,NDUFB7;NDUFA1;NDUFC2;COX7B;UQCRFS1;UQCR11;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;NDUFA4;COX6A1;NDUFB1;UQCRQ;SDHAF2;NDUFA10;NDUFS6;UQCC3;NDUFA9;COX8A;NDUFS3;SDHA;COX7A2;NDUFV1;NDUFB9;UQCRC1;NDUFA5;NDUFS8,wald_stat,GO_Biological_Process_2023
Aerobic Electron Transport Chain (GO:0019646),-1.888215484028169,0.28946647016170995,0.001,NDUFB7;NDUFA1;NDUFC2;COX7B;UQCRFS1;UQCR11;COX5B;NDUFB6;NDUFB8;SDHB;NDUFA4;COX6A1;NDUFB1;UQCRQ;SDHAF2;NDUFA10;NDUFS6;UQCC3;NDUFA9;COX8A;NDUFS3;SDHA;COX7A2;NDUFV1;NDUFB9;UQCRC1;NDUFA5;NDUFS8,wald_stat,GO_Biological_Process_2023
Regulation Of Cardiac Muscle Contraction (GO:0055117),-1.88408465038247,0.22707542021452154,0.001869158878504673,RGS2;PDE4D;CALM3;ZC3H12A;P2RX4;PRKACA;CALM1;SLC9A1,wald_stat,GO_Biological_Process_2023
"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",-1.8762160206965868,0.1963611726248117,0.001,U2AF2;RBM8A;RBM3;JMJD6;MAGOH;SRSF10;RBM5;QKI;RBM38;RNPS1;SNW1;RBM39;PTBP1;TRA2B;SAP18;CIRBP;SFSWAP;SRSF9;DAZAP1;HNRNPL;PCBP4;NCBP1;LARP7,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Establishment Of Protein Localization (GO:1904951),1.872694280949781,0.22776585011975792,0.0020920502092050207,TCP1;CCT3;CEP120;CCT6A;WRAP53;CCT8;CCT7;CCT4,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904358),1.8669291737583436,0.19396232067516747,0.001,XRCC5;TNIP1;PRKCQ;TCP1;CCT3;HNRNPA2B1;NEK7;CCT6A;PARN;MAP3K4;DHX36;FBXO4;CCT8;CCT7;CCT4;CCT2;ATM;CTNNB1;HMBOX1,wald_stat,GO_Biological_Process_2023
Positive Regulation Of DNA Biosynthetic Process (GO:2000573),1.846826224071738,0.20561871013881933,0.001,XRCC5;TNIP1;PRKCQ;PTGES3;TCP1;CCT3;RFC5;NEK7;RFC4;CCT6A;PARN;MAP3K4;WRAP53;FBXO4;CCT8;CCT7;CCT4;PRKD2;CCT2;ATM;CTNNB1;DKC1;HMBOX1,wald_stat,GO_Biological_Process_2023
Cellular Respiration (GO:0045333),-1.840555237000294,0.25096427945096256,0.0017123287671232876,NDUFB7;NDUFA1;NDUFC2;COX7B;UQCRFS1;NDUFA13;UQCR11;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;ME3;NDUFA4;COX6A1;NDUFB1;SURF1;UQCRQ;NDUFA10;NDUFS6;CHCHD5;NDUFB11;NDUFA9;COX8A;NDUFS3;SDHA;COX7A2;NDUFV1;NDUFB9;UQCRC1;NDUFA5;NDUFS8,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Erythrocyte Differentiation (GO:0045648),1.8386685424044762,0.19143121896306017,0.002188183807439825,MAPK14;ETS1;NCKAP1L;STAT3;PRKDC;FAM210B;HIF1A;ARNT,wald_stat,GO_Biological_Process_2023
