Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
UV Response Dn,1.8343137744414173,0.011647254575707155,0.001,TGFBR2;MAPK14;ADD3;PIK3CD;SPOP;WDR37;CDKN1B;CITED2;ERBB2;NEK7;CELF2;ATP2B4;BMPR1A;AKT3;PTPRM;ATRX;DUSP1;SIPA1L1;AGGF1;PTEN;MT1E;SMAD3;PEX14;PDLIM5;SCAF8;BCKDHB;DLG1;PIK3R3;MAP2K5;NIPBL,wald_stat,MSigDB_Hallmark_2020
TNF-alpha Signaling via NF-kB,-1.7838003671835638,0.01767345529858474,0.001,MAP3K8;GADD45B;MAFF;BCL6;FOSL2;DUSP2;IRS2;ZC3H12A;EGR1;MAP2K3;GCH1;IER3;TIPARP;TNIP2;GPR183;SAT1;ID2;BIRC2;PFKFB3;PER1;TNFRSF9;BCL3;IER5;RNF19B;EIF1;CCL4;PMEPA1;NFKB1;IER2;IL15RA;IFIT2;DRAM1;CCL5;NFIL3;REL;NFE2L2;SLC16A6;RIPK2;IL18;RCAN1;IRF1;TRAF1;BIRC3;TUBB2A;RELB;AREG;BTG3;B4GALT1;NR4A2;PDE4B;ICAM1;NFKBIE;ATP2B1;TNFSF9,wald_stat,MSigDB_Hallmark_2020
Epithelial Mesenchymal Transition,-1.725572995673851,0.022091819123230928,0.0016638935108153079,GADD45B;PPIB;VIM;SNTB1;TGFB1;LGALS1;SGCB;SAT1;TIMP1;ID2;IGFBP4;QSOX1;PMEPA1;CALU;P3H1;PCOLCE;COL6A2;PLOD1;AREG;SPARC,wald_stat,MSigDB_Hallmark_2020
Myc Targets V1,1.624588104816581,0.036605657237936774,0.001,G3BP1;KPNB1;XPO1;ODC1;PSMD1;COPS5;NOLC1;SRSF1;DDX18;PHB2;XRCC6;PTGES3;HDDC2;DUT;TCP1;PSMB2;CCT3;EIF2S1;HNRNPA2B1;TOMM70;SRPK1;RFC4;HNRNPD;PRDX4;IMPDH2;RAN;SSB;CBX3;BUB3;GLO1;CNBP;DEK;RAD23B;RRM1;EEF1B2;EPRS1;SMARCC1;NAP1L1;PABPC1;CLNS1A;LSM2;NPM1;GNL3;PRPS2;RACK1;DHX15;PRDX3;CCT7;ABCE1;FBL;SYNCRIP;CCT4;YWHAQ,wald_stat,MSigDB_Hallmark_2020
PI3K/AKT/mTOR  Signaling,-1.5036807712548534,0.1487515820964216,0.009950248756218905,ARHGDIA;ARF1;GRK2;AKT1;CSNK2B;MAP2K3;CALR;RAC1;SLC2A1;MAPK9;PIN1;PRKAG1;NFKBIB;MKNK2;RIT1;PRKAR2A;MKNK1;PRKCB;CFL1;MAPKAP1;VAV3;PLCB1,wald_stat,MSigDB_Hallmark_2020
Apical Junction,1.4081381030472087,0.15363283416528006,0.04589371980676329,MAPK14;TIAL1;PTPRC;ATP1A3;ARHGEF6;VCL;CERCAM;ICAM2;THBS3;PLCG1;YWHAH;AKT3;PCDH1;MAP4K2;HADH;CAP1;RASA1;VASP;PTEN,wald_stat,MSigDB_Hallmark_2020
Oxidative Phosphorylation,-1.3434757283640895,0.45039696237487054,0.027565084226646247,TIMM17A;ATP5MC1;TCIRG1;NDUFB7;TIMM8B;ATP6V1H;NDUFA1;FXN;NDUFC2;SUPV3L1;CS;COX7B;UQCRFS1;MRPS11;UQCR11;COX5B;NDUFB6;NDUFB8;SDHB;HSD17B10;TOMM22;NDUFA4;COX6A1;ECHS1;ATP6V0C;NDUFB1;ATP5ME;SURF1;UQCRQ;ISCA1;GRPEL1;NDUFS6;LRPPRC;NDUFA9;MRPS22;DLST;COX8A;SLC25A5;ATP6V1G1;LDHA;ACAA1;NDUFS3;POR;SDHA;IDH2;COX7A2;BCKDHA;NDUFV1;UQCRC1;NDUFA5;HTRA2;PMPCA;NDUFS8,wald_stat,MSigDB_Hallmark_2020
E2F Targets,1.3236931744089486,0.21693011647254576,0.03048780487804878,XPO1;DCK;LBR;PPP1R8;NOLC1;SRSF1;TMPO;SMC6;PRKDC;RPA3;XRCC6;DUT;MCM3;EIF2S1;ANP32E;CDKN1B;HNRNPD;ASF1A;PRDX4;RAN;RPA2;CDKN2A;PAN2;CSE1L;CDC25B;DEK;PMS2;LIG1;PSIP1;NAP1L1;SMC1A;EXOSC8;ZW10;TUBB;SYNCRIP;POP7;RANBP1;SSRP1;MRE11;TBRG4;TIMELESS;HELLS;RAD51C;TP53;RNASEH2A;BRMS1L;GSPT1;NASP;HMGA1;NOP56,wald_stat,MSigDB_Hallmark_2020
Glycolysis,1.295032392051347,0.21464226289517474,0.050505050505050504,KIF2A;ALDH9A1;PGAM1;UGP2;RPE;SOD1;ANKZF1;FAM162A;ME2;ISG20;CITED2;MDH1;HS2ST1;PFKP;SLC25A13;AK3;FKBP4;CHST12;SLC16A3;PKM;CHPF;AKR1A1;HDLBP;FUT8;COPB2;SDHC;EXT2;BPNT1;B3GAT1;CYB5A;ENO2;PYGB;ALG1;PAM;NASP;MED24;AGL;MXI1;GYS1;POLR3K;LHPP,wald_stat,MSigDB_Hallmark_2020
Unfolded Protein Response,-1.289261458104687,0.5461097687262686,0.07213114754098361,ATF4;CEBPG;DDIT4;H2AX;CALR;DCP1A;TATDN2;ERN1;EXOSC10;EIF4A1;POP4;SLC7A5;TSPYL2;WIPI1;CKS1B;LSM1;BAG3;DNAJC3;PAIP1;EDC4;PDIA6;GEMIN4;TUBB2A;SHC1;HSPA5;CNOT2;HYOU1;NFYA;EXOSC1;SLC1A4;ASNS,wald_stat,MSigDB_Hallmark_2020
