Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Regulation Of Lymphocyte Differentiation (GO:0045619),2.1311609625474204,0.025177801241488083,0.001,ZFP36L1;NCKAP1L;TBX21;PRKDC;IKZF3;XRCC6;ZNF683,wald_stat,GO_Biological_Process_2023
Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799),-2.0450842602493293,0.09765555643907747,0.001,INPP5K;DGKQ;CALM3;TGFB1;SPRY2;AXIN1;CALM1;DMTN;PRKAG2;RIPK2,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Telomere Maintenance Via Telomerase (GO:0032212),1.9132125665325634,0.191164787203891,0.001,XRCC5;TNIP1;PRKCQ;TCP1;CCT3;NEK7;CCT6A;PARN;MAP3K4;FBXO4;CCT8;CCT7;CCT4;CCT2;ATM;CTNNB1;HMBOX1,wald_stat,GO_Biological_Process_2023
Regulation Of Cardiac Muscle Contraction (GO:0055117),-1.88408465038247,0.22707542021452154,0.001869158878504673,RGS2;PDE4D;CALM3;ZC3H12A;P2RX4;PRKACA;CALM1;SLC9A1,wald_stat,GO_Biological_Process_2023
"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",-1.8762160206965868,0.1963611726248117,0.001,U2AF2;RBM8A;RBM3;JMJD6;MAGOH;SRSF10;RBM5;QKI;RBM38;RNPS1;SNW1;RBM39;PTBP1;TRA2B;SAP18;CIRBP;SFSWAP;SRSF9;DAZAP1;HNRNPL;PCBP4;NCBP1;LARP7,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Establishment Of Protein Localization (GO:1904951),1.872694280949781,0.22776585011975792,0.0020920502092050207,TCP1;CCT3;CEP120;CCT6A;WRAP53;CCT8;CCT7;CCT4,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904358),1.8669291737583436,0.19396232067516747,0.001,XRCC5;TNIP1;PRKCQ;TCP1;CCT3;HNRNPA2B1;NEK7;CCT6A;PARN;MAP3K4;DHX36;FBXO4;CCT8;CCT7;CCT4;CCT2;ATM;CTNNB1;HMBOX1,wald_stat,GO_Biological_Process_2023
Positive Regulation Of DNA Biosynthetic Process (GO:2000573),1.846826224071738,0.20561871013881933,0.001,XRCC5;TNIP1;PRKCQ;PTGES3;TCP1;CCT3;RFC5;NEK7;RFC4;CCT6A;PARN;MAP3K4;WRAP53;FBXO4;CCT8;CCT7;CCT4;PRKD2;CCT2;ATM;CTNNB1;DKC1;HMBOX1,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Erythrocyte Differentiation (GO:0045648),1.8386685424044762,0.19143121896306017,0.002188183807439825,MAPK14;ETS1;NCKAP1L;STAT3;PRKDC;FAM210B;HIF1A;ARNT,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Telomerase Activity (GO:0051973),1.7902242546755385,0.2411059402837151,0.002288329519450801,XRCC5;TNIP1;PRKCQ;PTGES3;TCP1;NEK7;PARN;MAP3K4;WRAP53;CCT4;CCT2;CTNNB1;DKC1;HMBOX1,wald_stat,GO_Biological_Process_2023
Regulation Of Organelle Organization (GO:0033043),1.787970307863422,0.2214713998093859,0.001,UCHL5;GOLPH3;S100A8;PREB;S100A9;PDCD10;SLC30A9;DIAPH1;TECPR1;INO80D;PAK2;LMAN1;ATG5;TBC1D25;RHOT1;INO80B;CLEC16A;VPS35;RUVBL1,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Transcription By RNA Polymerase III (GO:0045945),1.774931847073077,0.22507428382542377,0.0066815144766146995,ZNF143;SMARCA5;ZC3H8;BAZ1B;DEK;ICE2;MTOR;DDX21;ICE1;ERCC6,wald_stat,GO_Biological_Process_2023
Receptor Signaling Pathway Via STAT (GO:0097696),1.7629065057229494,0.2307188021172164,0.004424778761061947,STAT3;STAT4;IFNG;STAMBP;CTR9;STAT5A;IFNAR1;IFNAR2;STAT6,wald_stat,GO_Biological_Process_2023
Establishment Of Protein Localization To Extracellular Region (GO:0035592),1.7605701713167325,0.21727509960247124,0.013574660633484163,GOLPH3;MIA3;PREB;PRF1;GSDMD;TVP23B;TMEM167A,wald_stat,GO_Biological_Process_2023
Receptor Signaling Pathway Via JAK-STAT (GO:0007259),1.7490994704778298,0.22393589358170085,0.00211864406779661,STAT3;STAT4;IFNG;STAMBP;CTR9;STAT5A;IFNAR1;IFNAR2;STAT6,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Myeloid Cell Differentiation (GO:0045639),1.7358081110615102,0.2349306441767493,0.0022371364653243847,MAPK14;ETS1;NCKAP1L;STAT3;PRKDC;FAM210B;HIF1A;ARNT,wald_stat,GO_Biological_Process_2023
Regulation Of Telomerase RNA Localization To Cajal Body (GO:1904872),1.7273943027608665,0.2371492436379977,0.006369426751592357,TNIP1;TCP1;CCT3;CCT6A;PARN;RUVBL1;CCT8;CCT7;CCT4;SHQ1;DKC1;NOP10,wald_stat,GO_Biological_Process_2023
Regulation Of Telomerase Activity (GO:0051972),1.7162185820698657,0.246731481447088,0.016317016317016316,XRCC5;TNIP1;PRKCQ;PTGES3;TCP1;PARP4;NEK7;PARN;MAP3K4;WRAP53;CCT4;CCT2;TP53;ATM;CTNNB1;DKC1;HMBOX1;MEN1;MYC;PIF1;NVL;ERCC4,wald_stat,GO_Biological_Process_2023
