Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Retrograde endocannabinoid signaling,-1.8761882858360799,0.09706657254150541,0.001,NDUFB7;NDUFA1;GNB1;NDUFC2;MAPK9;ADCY7;NDUFA13;NDUFB6;NDUFB8;NDUFA12;GNGT2;PRKACA;NDUFA4;PRKCA;NDUFB1;GNAQ;NDUFA10;PRKCB;NDUFS6;NDUFB11;NDUFA9;NDUFS3;PLCB1;ADCY9;GNAI2;NDUFV1;NDUFB9;PLCB2;NDUFA5;NDUFS8,wald_stat,KEGG_2021_Human
Non-alcoholic fatty liver disease,-1.8229659130393079,0.08824233867409582,0.001,ATF4;CDC42;AKT1;NDUFB7;IRS2;NDUFA1;TGFB1;NDUFC2;RAC1;ERN1;MAPK9;COX7B;UQCRFS1;PRKAG1;NDUFA13;UQCR11;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;NDUFA4;COX6A1;GSK3A;CASP3;NDUFB1;PIK3R1;UQCRQ;NFKB1;NDUFA10;IKBKB;NDUFS6;NDUFB11;NDUFA9;PRKAG2;COX8A;NDUFS3;SREBF1;SDHA;COX7A2;NDUFV1;NDUFB9;UQCRC1;NDUFA5;NDUFS8,wald_stat,KEGG_2021_Human
Circadian entrainment,-1.743439280020141,0.14670288804568432,0.007042253521126761,GNAS;CALM3;GNB1;ADCY7;GNGT2;PRKACA;PER1;PRKCA;GNAQ;CALM1;PRKCB;PLCB1;ADCY9;GNAI2;PLCB2,wald_stat,KEGG_2021_Human
Morphine addiction,-1.7182055702315804,0.13787865417827472,0.0053285968028419185,GRK2;PDE4D;GNAS;GNB1;GRK6;ADCY7;GNGT2;PRKACA;PRKCA;PRKCB;ADCY9;GNAI2;ARRB1;PDE4A;PDE4B;ARRB2,wald_stat,KEGG_2021_Human
Spliceosome,-1.7082062088722496,0.1253041209172161,0.001,SF3B6;U2AF2;RBM8A;ALYREF;MAGOH;SRSF10;CRNKL1;PRPF18;SNRNP27;PHF5A;EFTUD2;U2SURP;CCDC12;SNW1;SYF2;BUD31;CWC15;SLU7;SNRPB2;TRA2B;SMNDC1;RP9;SRSF9;PQBP1;CTNNBL1;NCBP1;SNRPD1;DHX8;SNRPC;SRSF5;SRSF2;CDC5L;RBM25;PCBP1;SF3A2;HNRNPM,wald_stat,KEGG_2021_Human
Oxidative phosphorylation,-1.6983289724101787,0.11471504027632458,0.001,ATP5MC1;TCIRG1;NDUFB7;ATP6V1H;NDUFA1;NDUFC2;COX7B;UQCRFS1;NDUFA13;UQCR11;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;NDUFA4;COX6A1;ATP6V0C;NDUFB1;ATP5ME;UQCRQ;NDUFA10;NDUFS6;NDUFB11;NDUFA9;COX8A;ATP6V1G1;NDUFS3;SDHA;COX7A2;NDUFV1;NDUFB9;UQCRC1;NDUFA5;NDUFS8,wald_stat,KEGG_2021_Human
Long-term depression,-1.6905804601986407,0.10825444048054257,0.008944543828264758,NRAS;GNAS;MAP2K2;PPP2CA;GNA13;PPP2CB;PRKCA;GNAQ;PRKCB;LYN;PLCB1;BRAF;GNA12;GNAI2;PLCB2;IGF1R,wald_stat,KEGG_2021_Human
"Parathyroid hormone synthesis, secretion and action",-1.680881858938264,0.10658019967980638,0.0017482517482517483,ATF4;PDE4D;GNAS;EGR1;MEF2D;GATA3;GNA13;JUND;ADCY7;PRKACA;PRKCA;GNAQ;PRKCB;PLCB1;ARHGEF1;BRAF;GNA12;ADCY9;GNAI2;ARRB1;PLCB2;PDE4A;NR4A2;PDE4B;RUNX2;ARRB2;ITPR3,wald_stat,KEGG_2021_Human
GnRH signaling pathway,-1.661356159703621,0.11557295190232274,0.003676470588235294,ATF4;CDC42;NRAS;GNAS;CALM3;MAP2K2;EGR1;MAP2K3;SOS2;MAPK9;ADCY7;MAP2K7;PRKACA;PRKCA;GNAQ;CALM1;PRKCB,wald_stat,KEGG_2021_Human
Protein export,-1.621832938013012,0.1503428845159908,0.017543859649122806,SEC61G;SRP72;SRP19;SEC61B;SRP54;SRP68;SPCS2,wald_stat,KEGG_2021_Human
