Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Protein export,-0.5114504945329055,-1.8174581499898446,1.000000e-03,1.895636e-01,8.700000e-02,9/23,11.51%,SEC61G;SRP9;SRP68;SRPRB;SEC61A1;SRP19;HSPA5;SEC63;SPCS2
prerank,Hematopoietic cell lineage,-0.4414071374953057,-1.8031823095565478,6.097561e-03,1.046549e-01,9.400000e-02,17/40,23.14%,CD7;HLA-DRB5;IL7R;CD44;CD55;CD3E;IL4R;CD38;CD2;HLA-DRB1;CD8B;CD5;ITGB3;ITGA6;HLA-DQA2;ITGA5;IL2RA
prerank,Viral protein interaction with cytokine and cytokine receptor,-0.4490669425316547,-1.7512695565535918,1.333333e-02,1.020220e-01,1.310000e-01,8/34,7.91%,XCL1;XCL2;IL18RAP;IL2RB;IL18R1;IL2RG;TNFSF14;LTA
prerank,Bladder cancer,0.5639733914115429,1.6469112441787865,6.112469e-03,5.859879e-01,4.280000e-01,10/26,23.61%,DAPK2;CDK4;ERBB2;CDKN2A;TP53;KRAS;ARAF;THBS1;BRAF;RAF1
prerank,Spliceosome,-0.3223381965242211,-1.6240322282089987,1.000000e-03,1.841333e-01,2.890000e-01,45/128,16.39%,U2AF1;MAGOH;SRSF5;SNRNP27;SNW1;SF3B6;HNRNPM;SNRPD1;TRA2B;HNRNPA1L2;SRSF9;SNRPB2;SYF2;SF3A1;SRSF2;SRSF6;LSM4;PRPF18;SRSF10;CWC15;SNRPF;SRSF7;HNRNPA1;SNU13;SNRPD2;RP9;LSM7;U2SURP;SF3B2;CCDC12;PCBP1;SLU7;PHF5A;RBMXL1;HNRNPK;PQBP1;DDX5;SNRNP40;SNRPG;SF3B1;ALYREF;BUD31;PPIE;SRSF3;WBP11
prerank,Antigen processing and presentation,-0.36173807863905183,-1.6190996146067944,1.000000e-03,1.516508e-01,2.920000e-01,14/57,10.96%,KIR3DL1;KIR3DL2;KIR2DL4;HLA-A;HLA-DRB5;CTSS;TAPBP;PDIA3;KIR2DL3;KLRC2;HLA-B;HSP90AB1;HSPA5;CALR
prerank,"Valine, leucine and isoleucine degradation",0.5138923514373915,1.5935449365605963,8.130081e-03,5.803947e-01,6.440000e-01,16/39,27.17%,MCCC2;ALDH9A1;HMGCL;ACAA1;BCKDHB;PCCB;HADH;AUH;ACAT1;ACSF3;ACADSB;MCEE;PCCA;OXCT1;AACS;HADHA
prerank,Nucleotide excision repair,0.5043927034631299,1.593432898656652,4.678363e-03,3.872167e-01,6.440000e-01,16/42,20.56%,ERCC6;RFC2;ERCC5;DDB2;ERCC4;RFC4;RAD23B;CCNH;RPA2;GTF2H3;GTF2H5;RBX1;GTF2H4;ERCC3;LIG1;CDK7
prerank,Legionellosis,-0.38237193141016257,-1.5846285584878022,7.874016e-03,1.606025e-01,3.440000e-01,7/42,3.03%,HBS1L;ARF1;SAR1A;EEF1G;HSPD1;RAB1A;NFKBIA
prerank,Graft-versus-host disease,-0.41674104487658575,-1.543534673076402,2.020202e-02,1.763054e-01,4.080000e-01,6/26,6.97%,KIR3DL1;KIR3DL2;HLA-A;HLA-DRB5;KIR2DL3;HLA-B
prerank,Biosynthesis of unsaturated fatty acids,0.5633339901697916,1.538356354268847,2.872063e-02,5.502779e-01,8.390000e-01,7/19,14.76%,SCD5;ACOT4;ACAA1;HACD2;TECR;SCP2;HACD3
prerank,Peroxisome,0.4624840057469996,1.5282527721436379,7.945516e-03,4.892698e-01,8.590000e-01,18/58,16.10%,SOD2;FAR1;ACOT8;PHYH;AGPS;ABCD3;HMGCL;MVK;ACAA1;SOD1;PEX11B;PEX14;SCP2;PEX2;PECR;MLYCD;GNPAT;MPV17
