Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Reactome_2022__RHO GTPases Activate PAKs R-HSA-5627123,-0.7124740908514262,-1.9710056220967016,1.000000e-03,1.650435e-01,1.200000e-01,7/15,10.58%,LIMK1;PKN1;CDC42;ARHGEF7;PKN2;MYL6;CALM1
prerank,Reactome_2022__Sema3A PAK Dependent Axon Repulsion R-HSA-399954,-0.7969842579372661,-1.9661681072707649,1.000000e-03,8.977029e-02,1.290000e-01,6/11,9.67%,LIMK1;PKN1;ARHGEF7;PLXNA4;PKN2;PLXNA3
prerank,Reactome_2022__Cargo Trafficking To Periciliary Membrane R-HSA-5620920,0.5210044868089705,1.8915122525710695,1.000000e-03,5.892466e-01,4.120000e-01,14/33,18.82%,ARF4;RAB11A;TCP1;ARL13B;CCT3;PTGES2;BBS2;PDE6D;CCT8;CCT4;EXOC1;PRKD2;CCT2;BBS9
prerank,Reactome_2022__Folding Of Actin By CCT/TriC R-HSA-390450,0.7806023177291794,1.8707128260534003,1.000000e-03,3.789230e-01,4.810000e-01,7/8,17.76%,TCP1;CCT3;CCT6A;CCT8;CCT7;CCT4;CCT2
prerank,Reactome_2022__SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,-0.5632785109721183,-1.860365176937651,1.724138e-03,3.077839e-01,4.640000e-01,11/28,14.28%,RPN2;SEC61G;SRP72;DDOST;SRP19;SSR4;SEC61B;SRP54;SRP68;SPCS2;RSL24D1
prerank,Reactome_2022__Regulation Of TLR By Endogenous Ligand R-HSA-5686938,0.852920983274587,1.8358979605085086,2.096436e-03,3.775039e-01,6.210000e-01,3/6,5.43%,S100A8;S100A9;GSDMD
prerank,Reactome_2022__Activation Of RAC1 R-HSA-428540,-0.8220575838769035,-1.825852745868814,1.930502e-03,3.705115e-01,6.120000e-01,5/7,7.39%,NCK2;PKN1;ARHGEF7;SOS2;PKN2
prerank,Reactome_2022__Ephrin Signaling R-HSA-3928664,-0.7765715937000207,-1.8160019838579018,1.897533e-03,3.336555e-01,6.510000e-01,5/8,7.39%,NCK2;PKN1;GIT1;ARHGEF7;PKN2
prerank,Reactome_2022__STAT3 Nuclear Events Downstream Of ALK Signaling R-HSA-9701898,0.7229590646884775,1.8144984918830145,4.201681e-03,3.527390e-01,6.930000e-01,3/9,6.95%,HDAC1;STAT3;HIF1A
prerank,Reactome_2022__COPII-mediated Vesicle Transport R-HSA-204005,-0.4791911335800852,-1.8013942538175405,5.145798e-03,3.317598e-01,7.040000e-01,16/52,12.23%,RAB1A;TFG;NAPG;TRAPPC10;STX5;SEC24C;PPP6R1;TRAPPC2L;TRAPPC6A;SEC24B;CSNK1D;TBC1D20;TMED2;SEC24A;SEC13;TRAPPC5
