Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of T Cell Chemotaxis (GO:0010820),2/12,4.94329760563244e-06,0.0002891448971084699,0,0,999.2,12207.703935625586,XCL2;XCL1
GO_Biological_Process_2023,Regulation Of T Cell Chemotaxis (GO:0010819),2/13,5.841311052696361e-06,0.0002891448971084699,0,0,908.318181818182,10945.7384718158,XCL2;XCL1
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Chemotaxis (GO:0140131),2/17,1.0179480503462376e-05,0.0003359228566142585,0,0,665.9666666666667,7655.377790553264,XCL2;XCL1
GO_Biological_Process_2023,Eosinophil Chemotaxis (GO:0048245),2/24,2.063922922489771e-05,0.0003701110212316703,0,0,453.9090909090909,4896.9151445712,XCL2;XCL1
GO_Biological_Process_2023,Eosinophil Migration (GO:0072677),2/24,2.063922922489771e-05,0.0003701110212316703,0,0,453.9090909090909,4896.9151445712,XCL2;XCL1
GO_Biological_Process_2023,Positive Regulation Of T Cell Migration (GO:2000406),2/25,2.2430970983737597e-05,0.0003701110212316703,0,0,434.1521739130435,4647.628509727224,XCL2;XCL1
GO_Biological_Process_2023,Lymphocyte Migration (GO:0072676),2/41,6.118115139831833e-05,0.0007760939313957763,0,0,255.83333333333331,2482.01093305674,XCL2;XCL1
GO_Biological_Process_2023,Monocyte Chemotaxis (GO:0002548),2/42,6.423166440534455e-05,0.0007760939313957763,0,0,249.425,2407.7030802596514,XCL2;XCL1
GO_Biological_Process_2023,Lymphocyte Chemotaxis (GO:0048247),2/44,7.055399376325239e-05,0.0007760939313957763,0,0,237.52380952380952,2270.521513056724,XCL2;XCL1
GO_Biological_Process_2023,Chemokine-Mediated Signaling Pathway (GO:0070098),2/57,0.00011882605719638104,0.0011461873463471,0,0,181.26363636363635,1638.2335266199009,XCL2;XCL1
GO_Biological_Process_2023,Cellular Response To Chemokine (GO:1990869),2/59,0.00012735414959412687,0.0011461873463471,0,0,174.8859649122807,1568.471557151653,XCL2;XCL1
GO_Biological_Process_2023,Cellular Response To Type II Interferon (GO:0071346),2/66,0.0001595090353130553,0.0013159495413327,0,0,155.703125,1361.3762585389682,XCL2;XCL1
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),2/70,0.0001794913683411133,0.0013668958050592,0,0,146.51470588235293,1263.745517603841,XCL2;XCL1
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),2/73,0.0001952441783803584,0.0013806552614039,0,0,140.30281690140845,1198.3627797911197,XCL2;XCL1
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),2/77,0.00021726782324248188,0.0014002987180082,0,0,132.79333333333332,1120.0294025235596,XCL2;XCL1
GO_Biological_Process_2023,Response To Type II Interferon (GO:0034341),2/80,0.00023454944800385772,0.0014002987180082,0,0,127.66666666666669,1067.018100165012,XCL2;XCL1
GO_Biological_Process_2023,Cellular Response To Interleukin-1 (GO:0071347),2/81,0.0002404553354155533,0.0014002987180082,0,0,126.04430379746836,1050.3241838403158,XCL2;XCL1
GO_Biological_Process_2023,Response To Interleukin-1 (GO:0070555),2/85,0.00026480482854578146,0.0014564265570017,0,0,119.94578313253012,987.9355417477028,XCL2;XCL1
GO_Biological_Process_2023,Response To Tumor Necrosis Factor (GO:0034612),2/108,0.0004272697218479748,0.0022263001296289,0,0,93.811320754717,727.7971457198595,XCL2;XCL1
GO_Biological_Process_2023,Cellular Response To Tumor Necrosis Factor (GO:0071356),2/119,0.0005184246151249471,0.0025662018448684,0,0,84.94444444444444,642.5805921535773,XCL2;XCL1
GO_Biological_Process_2023,Positive Regulation Of Hydrolase Activity (GO:0051345),2/176,0.0011284919947954,0.0052512056423755,0,0,56.95402298850575,386.5397240173212,XCL2;XCL1
GO_Biological_Process_2023,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),2/179,0.0011669345871945,0.0052512056423755,0,0,55.98022598870057,378.0554575306027,XCL2;XCL1
GO_Biological_Process_2023,Positive Regulation Of T-helper 1 Cell Cytokine Production (GO:2000556),1/5,0.0014992198216206,0.0061842817641853,0,0,999.5,6499.559019889724,XCL1
GO_Biological_Process_2023,Regulation Of T-helper 1 Cell Cytokine Production (GO:2000554),1/5,0.0014992198216206,0.0061842817641853,0,0,999.5,6499.559019889724,XCL1
GO_Biological_Process_2023,Regulation Of GTPase Activity (GO:0043087),2/214,0.0016616233036049,0.0065800282822757,0,0,46.655660377358494,298.59437235191905,XCL2;XCL1
GO_Biological_Process_2023,"Negative Regulation Of CD4-positive, Alpha-Beta T Cell Proliferation (GO:2000562)",1/6,0.0017988408901478,0.0065941121653763,0,0,799.56,5053.709147518722,XCL1
GO_Biological_Process_2023,Regulation Of Natural Killer Cell Chemotaxis (GO:2000501),1/6,0.0017988408901478,0.0065941121653763,0,0,799.56,5053.709147518722,XCL1
GO_Biological_Process_2023,Positive Regulation Of GTPase Activity (GO:0043547),2/234,0.0019822014122499,0.0065941121653763,0,0,42.59051724137931,265.0640954964839,XCL2;XCL1
