Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Aerobic Respiration (GO:0009060),-0.4039231709732031,-1.7390943835202566,1.000000e-03,4.577148e-01,2.740000e-01,13/27,23.02%,NDUFA6;SDHC;NDUFS8;UQCRC2;NDUFS6;NDUFB8;NDUFB11;ATP5F1D;NDUFA13;NDUFB9;MDH2;NDUFS5;NDUFA12
prerank,Lymphocyte Differentiation (GO:0030098),0.6388202074788507,1.7359214749512168,2.314815e-03,4.531468e-01,3.360000e-01,11/18,22.12%,PTPRC;PIK3CD;KLF6;IKZF1;RHOH;LCK;PTPN22;PLCG2;ITGA4;ZAP70;ZBTB7A
prerank,Regulation Of DNA Binding (GO:0051101),-0.49912978854827145,-1.724553492368995,2.597403e-02,2.501916e-01,2.990000e-01,5/17,4.86%,SIRT2;CSNK2B;NFKBIA;HMGB2;HMGB1
prerank,Negative Regulation Of Wnt Signaling Pathway (GO:0030178),0.6223826999294408,1.6810852609006184,5.787037e-03,4.859276e-01,5.500000e-01,8/18,21.31%,CCDC88C;PFDN5;RNF213;STK4;TLE1;GPI;GSK3B;TLE4
prerank,B Cell Activation (GO:0042113),0.6129183829851444,1.6767589554558457,5.813953e-03,3.413063e-01,5.680000e-01,11/19,22.12%,PTPRC;RASGRP1;PIK3CD;KLF6;CASP8;PLCG2;ITGA4;ZAP70;HSPD1;PHB2;ZBTB7A
prerank,Regulation Of Stress Fiber Assembly (GO:0051492),-0.4284883570897846,-1.6507612091920045,1.000000e-03,2.685088e-01,4.170000e-01,8/20,10.47%,S100A10;CDC42;RHOC;DYNLL1;ACTG1;GPR65;PFN1;ROCK1
prerank,Response To UV (GO:0009411),-0.4289646449056994,-1.644504502590625,2.962963e-02,2.123719e-01,4.300000e-01,8/19,14.58%,CREBBP;CDKN2D;ZBTB1;SDF4;XPA;UBE2B;ATF4;CIRBP
prerank,T Cell Receptor Signaling Pathway (GO:0050852),0.5461918671440448,1.636810857558232,7.812500e-03,4.297663e-01,7.450000e-01,18/31,34.40%,PTPRC;PIK3CD;FYN;BTN3A3;LCK;PTPN22;PLCG2;ZAP70;SKAP1;CSK;BTN3A2;CD3G;KHDRBS1;FYB1;RBCK1;CD8A;TXK;INPP5D
prerank,Cilium Organization (GO:0044782),0.5962061064821965,1.59915279560613,9.345794e-03,5.462829e-01,8.570000e-01,9/16,29.11%,EHD1;SEPTIN6;PHIP;CEP78;SEPTIN7;KIFAP3;ARF4;ABLIM1;ACTR3
prerank,Regulation Of Wnt Signaling Pathway (GO:0030111),0.6001262972179731,1.5605671396651166,1.647059e-02,7.017348e-01,9.350000e-01,6/16,13.19%,CRBN;PPP2R1A;PPP1CA;CDC73;TLE1;GPI
prerank,Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),0.5621732959334863,1.55812340529923,1.430274e-02,6.158113e-01,9.410000e-01,9/20,18.91%,TAGAP;ARHGAP25;CYRIB;ARHGEF3;ARHGAP45;ARHGEF1;ARHGAP30;ARHGAP15;GNA13
prerank,Aerobic Electron Transport Chain (GO:0019646),-0.334525639224706,-1.5439520628382326,1.000000e-03,3.227277e-01,6.260000e-01,13/39,16.35%,NDUFA6;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;COX7A2;COX8A;COX4I1;COX6C
prerank,Cellular Respiration (GO:0045333),-0.3097438319495513,-1.529453415824056,1.000000e-03,2.919979e-01,6.510000e-01,15/45,16.77%,NDUFA6;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;NDUFB11;COX7A2;COX8A;COX4I1;COX6C;NDUFA13
prerank,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",-0.41373615714777184,-1.5261848379309766,3.571429e-02,2.561947e-01,6.600000e-01,4/17,11.22%,NDUFA6;NDUFS8;NDUFS6;NDUFB8
prerank,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-0.3292919743309083,-1.5211148086389876,1.000000e-03,2.307969e-01,6.710000e-01,13/40,16.35%,NDUFA6;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;COX7A2;COX8A;COX4I1;COX6C
prerank,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),-0.39797824886648286,-1.5208664333709891,1.709402e-02,1.848961e-01,6.710000e-01,7/18,21.90%,NDUFA6;NDUFS8;NDUFB8;NDUFB11;NDUFA13;NDUFB9;NDUFS5
prerank,NADH Dehydrogenase Complex Assembly (GO:0010257),-0.39797824886648286,-1.5208664333709891,1.709402e-02,1.848961e-01,6.710000e-01,7/18,21.90%,NDUFA6;NDUFS8;NDUFB8;NDUFB11;NDUFA13;NDUFB9;NDUFS5
prerank,Organic Substance Transport (GO:0071702),0.5490648590654494,1.509719364713582,2.739726e-02,8.914699e-01,9.900000e-01,10/19,29.27%,FYN;VAMP2;TPT1;MYH9;SLC3A2;CCL3;CD320;CD3G;CHMP1B;ARL6IP5
prerank,Cell-Matrix Adhesion (GO:0007160),-0.4209161240904315,-1.5093920707624167,6.329114e-02,1.779610e-01,6.890000e-01,7/16,16.72%,CD63;ITGAM;DYNLL1;CD44;ITGAE;ITGAX;ZYX
prerank,Macromolecule Biosynthetic Process (GO:0009059),0.5300699768451576,1.4971574198685145,3.225806e-02,8.920457e-01,9.940000e-01,13/21,30.24%,EEF1D;EEF1A1;FAU;MRPS6;EIF4G2;GOLPH3;EEF2;MRPS7;EEF1B2;MRPS15;MRPL10;MRPL14;ABCF1
prerank,Regulation Of Actin Cytoskeleton Organization (GO:0032956),-0.4319209427372117,-1.4865763141604367,5.031447e-02,1.870510e-01,7.230000e-01,10/16,24.68%,CDC42;DYNLL1;ROCK1;RICTOR;RHOA;TWF2;BST2;RAC1;ARHGDIA;RHOG
prerank,Positive Regulation Of Type II Interferon Production (GO:0032729),0.5724999402468808,1.4818259250834238,3.567182e-02,9.297222e-01,9.990000e-01,11/15,33.92%,RASGRP1;CYRIB;PTPN22;HSPD1;CD2;BTN3A2;IL18R1;ISG15;IL12RB2;CD244;TXK
prerank,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),0.4681890405924289,1.4530979424061448,3.934426e-02,1.000000e+00,1.000000e+00,20/38,35.74%,PTPRC;PIK3CD;FYN;BTN3A3;NFATC2;LCK;PTPN22;PLCG2;ZAP70;SKAP1;CSK;BTN3A2;CD3G;KHDRBS1;FYB1;RBCK1;CD8A;TXK;INPP5D;LIME1
prerank,Regulation Of Tumor Necrosis Factor Production (GO:0032680),0.4932347774008323,1.4326052349244165,4.040404e-02,1.000000e+00,1.000000e+00,15/27,33.12%,PTPRC;RASGRP1;CX3CR1;HLA-E;PTPN22;PLCG2;CCL3;FCGR3A;FOXP1;CD2;CYBA;FXR1;NLRC3;IFNG;SELENOS
prerank,Intracellular Calcium Ion Homeostasis (GO:0006874),0.546101876615669,1.4252153382926829,7.345972e-02,1.000000e+00,1.000000e+00,10/15,42.15%,TPT1;STIM2;CCL3;PDZD8;MCUB;ANXA6;BAX;MICU2;ATP2B4;HERPUD1
prerank,Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),0.4991129026798267,1.4121531079051148,6.300115e-02,1.000000e+00,1.000000e+00,10/21,32.43%,RASGRP1;CCND2;ADRB2;SH2D1A;CCND3;RGCC;CIB1;CALM1;ERP29;IFNG
prerank,Protein Dephosphorylation (GO:0006470),0.5029510364247023,1.4106476930061462,6.292135e-02,1.000000e+00,1.000000e+00,12/23,29.33%,PPP3CC;PTPRC;PPP2R1A;PPP1CA;PPP1CC;PPP2R5C;PTPN22;PPM1B;CTDSP1;PPP1R15B;PTPN1;PTPN7
