Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cytosolic DNA-sensing pathway,-0.5551539741945091,-1.9275674420566162,1.000000e-03,5.759162e-02,2.006018e-02,3/15,5.34%,NFKBIA;POLR2K;CCL4L2
prerank,Oxidative phosphorylation,-0.34275472479909574,-1.838839375917018,1.000000e-03,5.633963e-02,4.012036e-02,21/62,16.83%,NDUFA6;COX17;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;ATP6V0C;NDUFS6;TCIRG1;COX6A1;NDUFB8;ATP5F1C;ATP5PF;NDUFB11;COX7A2;COX8A;COX4I1;ATP5F1D;COX6C;NDUFA13
prerank,Cardiac muscle contraction,-0.4492802708134882,-1.8068146173582282,1.000000e-03,4.924501e-02,4.914744e-02,9/21,16.40%,UQCRFS1;COX5B;UQCRC2;TPM3;COX6A1;COX7A2;COX8A;COX4I1;COX6C
prerank,Huntington disease,-0.307857577533257,-1.7814125561077245,1.000000e-03,4.694969e-02,6.218656e-02,33/100,16.83%,VDAC1;PSMB1;NDUFA6;CREBBP;UQCRFS1;VDAC2;POLR2J;SDHC;POLR2K;TUBB4B;NDUFS8;COX5B;UQCRC2;ADRM1;PSMB4;NDUFS6;AP2M1;COX6A1;PSMA1;NDUFB8;PSMD7;ATP5F1C;ATP5PF;NDUFB11;COX7A2;PSMA6;COX8A;PSMA3;COX4I1;POLR2G;ATP5F1D;COX6C;NDUFA13
prerank,Thermogenesis,-0.3263353855472439,-1.6931755354083828,1.000000e-03,6.610517e-02,1.003009e-01,24/72,16.83%,NDUFA6;COX17;UQCRFS1;ACTB;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;ACTG1;SMARCE1;COX6A1;NDUFB8;SMARCA2;ATP5F1C;ATP5PF;NDUFB11;COX7A2;COX8A;PRKAG1;COX4I1;ATP5F1D;COX6C;NDUFA13
prerank,Oocyte meiosis,0.5898062960914155,1.6191221593938478,1.039261e-02,5.358703e-01,3.590000e-01,7/20,16.24%,PPP3CC;PPP2R1A;MAPK1;PPP1CA;PPP1CC;PPP2R5C;YWHAZ
prerank,Parkinson disease,-0.2752602587178523,-1.5816601085838684,1.000000e-03,1.135139e-01,1.905717e-01,33/106,16.83%,VDAC1;PSMB1;NDUFA6;UQCRFS1;VDAC2;UBB;GNAI2;SDHC;TUBB4B;NDUFS8;COX5B;UQCRC2;ADRM1;PSMB4;NDUFS6;COX6A1;PSMA1;PARK7;NDUFB8;ATF4;PSMD7;ATP5F1C;ATP5PF;NDUFB11;COX7A2;PSMA6;COX8A;PSMA3;COX4I1;ATP5F1D;COX6C;TXN;NDUFA13
prerank,Amyotrophic lateral sclerosis,-0.2661656205894139,-1.539810740451217,1.000000e-03,1.284186e-01,2.377131e-01,30/116,13.30%,VDAC1;PSMB1;NDUFA6;SRSF3;UQCRFS1;ACTB;SDHC;TUBB4B;NDUFS8;GABARAPL2;NXT1;COX5B;UQCRC2;ADRM1;PSMB4;NDUFS6;ACTG1;PFN1;COX6A1;PSMA1;ATXN2L;NDUFB8;ATF4;PSMD7;ATP5F1C;ATP5PF;NDUFB11;COX7A2;PSMA6;COX8A
prerank,Cellular senescence,0.4886881950991028,1.535440688890921,1.388889e-02,7.496305e-01,6.490000e-01,14/40,16.19%,ETS1;PPP3CC;PIK3CD;CCND2;MAPK1;CAPN2;PPP1CA;RBL2;PPP1CC;NFATC2;ZFP36L1;HLA-E;CCND3;ATM
prerank,Lysosome,-0.40812267809038494,-1.5325310062284128,4.294479e-02,1.183132e-01,2.467402e-01,6/18,13.35%,CD63;M6PR;LAPTM4A;ATP6V0C;TCIRG1;CD164
prerank,Phospholipase D signaling pathway,0.5445308436890649,1.492949439707561,4.393064e-02,7.858872e-01,7.690000e-01,7/19,18.91%,PIK3CD;FYN;CYTH1;MAPK1;DGKD;PLCG2;GNA13
prerank,Vascular smooth muscle contraction,0.525492998279235,1.4351115714372855,4.312354e-02,1.000000e+00,8.920000e-01,6/19,10.20%,PRKCH;MAPK1;PPP1CA;MYH9;PPP1CC;ARHGEF1
prerank,Adherens junction,-0.38957446489790953,-1.4326724878291113,5.035971e-02,1.808433e-01,3.671013e-01,6/17,8.71%,CSNK2B;CREBBP;ACTB;CDC42;ACP1;ACTG1
prerank,Alzheimer disease,-0.2311875089012957,-1.4206544276164028,1.000000e-03,1.737765e-01,3.831494e-01,26/108,13.30%,VDAC1;PSMB1;CSNK2B;NDUFA6;UQCRFS1;VDAC2;SDHC;TUBB4B;NDUFS8;GAPDH;COX5B;UQCRC2;ADRM1;PSMB4;NDUFS6;COX6A1;PSMA1;NDUFB8;ATF4;PSMD7;ATP5F1C;ATP5PF;NDUFB11;COX7A2;PSMA6;COX8A
prerank,PI3K-Akt signaling pathway,0.4457091134885477,1.391270550883044,5.042017e-02,1.000000e+00,9.510000e-01,15/42,18.54%,PIK3CD;CDKN1B;CCND2;MCL1;GNG2;PPP2R1A;MAPK1;RBL2;PPP2R5C;CCND3;EIF4B;GSK3B;YWHAZ;COL6A2;ITGA4
prerank,Pertussis,-0.39342599833206304,-1.3883609953274287,9.150327e-02,1.905304e-01,4.262788e-01,7/16,18.00%,ITGAM;GNAI2;CFL1;FOS;IRF1;RHOA;CALM3
prerank,VEGF signaling pathway,0.5434062951368457,1.3831103965767253,8.495146e-02,1.000000e+00,9.620000e-01,6/15,18.48%,PPP3CC;PIK3CD;SH2D2A;MAPK1;NFATC2;PLCG2
