Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,UV Response Dn,0.6450262409786026,1.805293242746717,1.000000e-03,1.043361e-02,1.200000e-02,10/21,14.16%,ATRX;SYNE1;PIK3CD;CDKN1B;FYN;CITED2;ADD3;CELF2;NIPBL;PHF3
prerank,Reactive Oxygen Species Pathway,-0.4458774549141452,-1.5390712781365015,5.555556e-02,1.912732e-01,7.555089e-02,4/15,2.30%,NDUFA6;LAMTOR5;LSP1;CDKN2D
prerank,IL-2/STAT5 Signaling,0.47483064713053263,1.5142035346652507,8.412198e-03,2.564930e-01,4.320000e-01,14/49,14.64%,CDC42SE2;PRKCH;IL10RA;EOMES;CCND2;CST7;ODC1;PTGER2;SLC2A3;RORA;KLF6;PIM1;RHOH;CCND3
prerank,Oxidative Phosphorylation,-0.2672136627415781,-1.488336233687402,6.250000e-02,1.374776e-01,1.091291e-01,20/80,13.30%,VDAC1;NDUFA6;COX17;UQCRFS1;VDAC2;SDHC;NDUFS8;ACAA2;COX5B;UQCRC2;ATP6V0C;NDUFS6;LDHA;TCIRG1;COX6A1;NDUFB8;ATP5F1C;ATP5PF;COX7A2;COX8A
prerank,DNA Repair,-0.30799735085809105,-1.393950256395824,1.369863e-02,1.554094e-01,1.825813e-01,6/37,6.41%,COX17;POLR2J;NT5C;POLR2K;GTF2A2;ADRM1
prerank,KRAS Signaling Up,0.4759617258592469,1.3640812441784516,7.909605e-02,7.115144e-01,9.060000e-01,5/26,6.46%,ETS1;IL10RA;CCND2;CD37;CCSER2
prerank,heme Metabolism,0.4029939748514769,1.2249721687219985,1.902174e-01,1.000000e+00,9.980000e-01,17/34,33.33%,TNRC6B;H4C3;ARL2BP;CAST;EPB41;RNF19A;ADD1;CCND3;LRP10;KLF3;FBXO7;TCEA1;RAD23A;USP15;GYPC;TOP1;BTG2
prerank,Allograft Rejection,0.3643493798789877,1.1907032029571751,1.857585e-01,1.000000e+00,1.000000e+00,22/67,26.87%,ETS1;PTPRC;CCND2;EIF3A;IL16;FGR;STAT4;LCK;HLA-E;CCND3;GZMB;ITGAL;ZAP70;HIF1A;NPM1;PRF1;ABI1;CSK;CD74;CD2;CD3G;FYB1
prerank,Epithelial Mesenchymal Transition,-0.2756833065257505,-1.1403445273923885,1.626016e-01,4.333533e-01,5.131165e-01,5/24,9.24%,GADD45B;CD44;PPIB;EMP3;ID2
prerank,Pperoxisome,-0.3266325286908759,-1.1055900812045356,3.125000e-01,4.265392e-01,5.855194e-01,5/15,10.42%,CTBP1;GSTK1;HSD17B11;TSPO;PRDX5
