Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Transcriptional Regulation By Small RNAs R-HSA-5578749,-0.5348840763803004,-1.8595199845096049,2.027027e-02,4.898345e-01,8.100000e-02,9/15,20.57%,POLR2J;POLR2K;H2AX;H2AZ1;RAN;POLR2G;POLR2E;H2AZ2;H3-3B
prerank,Activation Of HOX Genes During Differentiation R-HSA-5619507,-0.4876285157597166,-1.807829918227824,1.000000e-03,3.576226e-01,1.090000e-01,6/18,6.94%,CREBBP;POLR2J;POLR2K;RBBP7;H2AX;H2AZ1
prerank,RNA Polymerase I Promoter Clearance R-HSA-73854,-0.49257029299322896,-1.6920620247443163,6.493506e-03,3.868826e-01,2.050000e-01,5/16,6.94%,CHD4;POLR2K;RBBP7;H2AX;H2AZ1
prerank,RNA Polymerase I Transcription R-HSA-73864,-0.49257029299322896,-1.6920620247443163,6.493506e-03,3.868826e-01,2.050000e-01,5/16,6.94%,CHD4;POLR2K;RBBP7;H2AX;H2AZ1
prerank,EPH-Ephrin Signaling R-HSA-2682334,-0.4309126078113368,-1.6667460131132943,1.000000e-03,3.545882e-01,2.240000e-01,12/20,16.19%,ARPC3;CDC42;PKN1;AP2M1;ACTG1;ARPC1B;ROCK1;MYL6;VAV3;ARPC2;LYN;RHOA
prerank,CDC42 GTPase Cycle R-HSA-9013148,0.5331296181354734,1.6361841781675028,6.659267e-03,8.672240e-01,5.050000e-01,15/34,20.30%,CDC42SE2;TAGAP;ARHGAP45;KTN1;FNBP1;LBR;STOM;DEF6;ARHGAP30;IQGAP2;FMNL1;WIPF1;ARFGAP3;GNA13;DOCK10
prerank,Resolution Of Sister Chromatid Cohesion R-HSA-2500257,0.6201934345072738,1.6067485016324272,1.309524e-02,6.464520e-01,6.180000e-01,6/15,9.56%,KIF2A;DYNC1H1;PPP2R1A;BUB3;PPP1CC;PPP2R5C
prerank,Mitotic Prometaphase R-HSA-68877,0.5181930850103912,1.5658248179348333,1.320132e-02,6.817051e-01,7.700000e-01,10/31,9.56%,KIF2A;TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;BUB3;CEP78;PPP1CC;PPP2R5C
prerank,AURKA Activation By TPX2 R-HSA-8854518,0.5741184062760802,1.540100059849839,2.533172e-02,5.356695e-01,8.480000e-01,6/17,8.87%,TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;CEP78
prerank,Loss Of Nlp From Mitotic Centrosomes R-HSA-380259,0.5741184062760802,1.540100059849839,2.533172e-02,5.356695e-01,8.480000e-01,6/17,8.87%,TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;CEP78
prerank,Mitotic Spindle Checkpoint R-HSA-69618,0.5831969339669777,1.539961179107052,1.877934e-02,4.468319e-01,8.480000e-01,8/17,20.14%,KIF2A;DYNC1H1;PPP2R1A;BUB3;PPP1CC;PPP2R5C;ANAPC16;NUDC
prerank,Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320,0.5540267389373248,1.5286500056369385,3.069658e-02,4.336120e-01,8.720000e-01,6/19,8.87%,TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;CEP78
