Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Regulation Of DNA Binding (GO:0051101),-1.8216248487420585,0.28181929033044756,0.006802721088435374,SIRT2;CSNK2B;HMGB2;NFKBIA;HMGB1,wald_stat,GO_Biological_Process_2023
Lymphocyte Differentiation (GO:0030098),1.7324747847880826,0.45406511791108056,0.0023612750885478157,PTPRC;PIK3CD;KLF6;IKZF1;LCK;RHOH;PTPN22;PLCG2;ITGA4;ZAP70;ZBTB7A,wald_stat,GO_Biological_Process_2023
Aerobic Respiration (GO:0009060),-1.7015155827086157,0.31342519204975006,0.009708737864077669,NDUFA6;SDHC;NDUFS8;UQCRC2;NDUFS6;NDUFB8;NDUFB11;ATP5F1D;NDUFA13;NDUFB9;MDH2;NDUFS5;NDUFA12,wald_stat,GO_Biological_Process_2023
Negative Regulation Of Wnt Signaling Pathway (GO:0030178),1.6983248383732459,0.34728285501250017,0.0034965034965034965,CCDC88C;PFDN5;RNF213;STK4;TLE1;GPI;GSK3B;TLE4,wald_stat,GO_Biological_Process_2023
B Cell Activation (GO:0042113),1.6761176078242543,0.3142541070288552,0.010380622837370242,PTPRC;RASGRP1;PIK3CD;KLF6;CASP8;PLCG2;ITGA4;ZAP70;HSPD1;PHB2;ZBTB7A,wald_stat,GO_Biological_Process_2023
Response To UV (GO:0009411),-1.6361966260728444,0.319131813193513,0.009174311926605505,CREBBP;CDKN2D;ZBTB1;SDF4;XPA;UBE2B;ATF4;CIRBP,wald_stat,GO_Biological_Process_2023
T Cell Receptor Signaling Pathway (GO:0050852),1.6159492472136954,0.5266962967294844,0.007575757575757576,PTPRC;PIK3CD;FYN;BTN3A3;LCK;PTPN22;PLCG2;ZAP70;SKAP1;CSK;BTN3A2;CD3G;KHDRBS1;FYB1;RBCK1;CD8A;TXK;INPP5D,wald_stat,GO_Biological_Process_2023
Aerobic Electron Transport Chain (GO:0019646),-1.6112363744326108,0.27161321790025605,0.001,NDUFA6;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;COX7A2;COX8A;COX4I1;COX6C,wald_stat,GO_Biological_Process_2023
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-1.6060077878250911,0.22203145957810025,0.001,NDUFA6;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;COX7A2;COX8A;COX4I1;COX6C,wald_stat,GO_Biological_Process_2023
Regulation Of Stress Fiber Assembly (GO:0051492),-1.5997244146661853,0.191171808316059,0.03125,S100A10;CDC42;RHOC;DYNLL1;ACTG1;GPR65;PFN1;ROCK1,wald_stat,GO_Biological_Process_2023
Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),1.5826991800633012,0.6208763286012954,0.009650180940892641,TAGAP;ARHGAP25;CYRIB;ARHGEF3;ARHGAP45;ARHGEF1;ARHGAP30;ARHGAP15;GNA13,wald_stat,GO_Biological_Process_2023
