Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
UV Response Dn,1.805293242746717,0.010433611936949572,0.001,ATRX;SYNE1;PIK3CD;CDKN1B;FYN;CITED2;ADD3;CELF2;NIPBL;PHF3,wald_stat,MSigDB_Hallmark_2020
Reactive Oxygen Species Pathway,-1.5390712781365015,0.19127316198445907,0.05555555555555555,NDUFA6;LAMTOR5;LSP1;CDKN2D,wald_stat,MSigDB_Hallmark_2020
IL-2/STAT5 Signaling,1.5142035346652507,0.256492960116677,0.008412197686645636,CDC42SE2;PRKCH;IL10RA;EOMES;CCND2;CST7;ODC1;PTGER2;SLC2A3;RORA;KLF6;PIM1;RHOH;CCND3,wald_stat,MSigDB_Hallmark_2020
Oxidative Phosphorylation,-1.488336233687402,0.13747758517632994,0.0625,VDAC1;NDUFA6;COX17;UQCRFS1;VDAC2;SDHC;NDUFS8;ACAA2;COX5B;UQCRC2;ATP6V0C;NDUFS6;LDHA;TCIRG1;COX6A1;NDUFB8;ATP5F1C;ATP5PF;COX7A2;COX8A,wald_stat,MSigDB_Hallmark_2020
DNA Repair,-1.393950256395824,0.15540944411237298,0.0136986301369863,COX17;POLR2J;NT5C;POLR2K;GTF2A2;ADRM1,wald_stat,MSigDB_Hallmark_2020
KRAS Signaling Up,1.3640812441784516,0.7115143695892,0.07909604519774012,ETS1;IL10RA;CCND2;CD37;CCSER2,wald_stat,MSigDB_Hallmark_2020
heme Metabolism,1.2249721687219985,1.0,0.19021739130434784,TNRC6B;H4C3;ARL2BP;CAST;EPB41;RNF19A;ADD1;CCND3;LRP10;KLF3;FBXO7;TCEA1;RAD23A;USP15;GYPC;TOP1;BTG2,wald_stat,MSigDB_Hallmark_2020
Allograft Rejection,1.1907032029571751,1.0,0.18575851393188855,ETS1;PTPRC;CCND2;EIF3A;IL16;FGR;STAT4;LCK;HLA-E;CCND3;GZMB;ITGAL;ZAP70;HIF1A;NPM1;PRF1;ABI1;CSK;CD74;CD2;CD3G;FYB1,wald_stat,MSigDB_Hallmark_2020
Epithelial Mesenchymal Transition,-1.1403445273923885,0.43335325762104004,0.16260162601626016,GADD45B;CD44;PPIB;EMP3;ID2,wald_stat,MSigDB_Hallmark_2020
Pperoxisome,-1.1055900812045356,0.4265391512253437,0.3125,CTBP1;GSTK1;HSD17B11;TSPO;PRDX5,wald_stat,MSigDB_Hallmark_2020
Myogenesis,-1.0933552404987656,0.3817493524606495,0.3333333333333333,SIRT2;LSP1;GADD45B;GABARAPL2,wald_stat,MSigDB_Hallmark_2020
Mitotic Spindle,1.0474772073347176,1.0,0.4190064794816415,ARHGEF3;DYNC1H1;SPTAN1;MYH9;EPB41;SUN2;UXT;KIFAP3;ABI1;CAPZB,wald_stat,MSigDB_Hallmark_2020
Hypoxia,1.0446768212629012,1.0,0.4204425711275026,ETS1;CDKN1B;ISG20;CITED2;MYH9;SLC2A3;RORA;KLF6;PIM1;GPI,wald_stat,MSigDB_Hallmark_2020
