Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Transcriptional Regulation By Small RNAs R-HSA-5578749,-1.8595199845096049,0.48983454423346967,0.02027027027027027,POLR2J;POLR2K;H2AX;H2AZ1;RAN;POLR2G;POLR2E;H2AZ2;H3-3B,wald_stat,Reactome_2022
Activation Of HOX Genes During Differentiation R-HSA-5619507,-1.807829918227824,0.357622565480188,0.001,CREBBP;POLR2J;POLR2K;RBBP7;H2AX;H2AZ1,wald_stat,Reactome_2022
RNA Polymerase I Promoter Clearance R-HSA-73854,-1.6920620247443163,0.38688259356493065,0.006493506493506494,CHD4;POLR2K;RBBP7;H2AX;H2AZ1,wald_stat,Reactome_2022
RNA Polymerase I Transcription R-HSA-73864,-1.6920620247443163,0.38688259356493065,0.006493506493506494,CHD4;POLR2K;RBBP7;H2AX;H2AZ1,wald_stat,Reactome_2022
EPH-Ephrin Signaling R-HSA-2682334,-1.6667460131132943,0.3545881921973258,0.001,ARPC3;CDC42;PKN1;AP2M1;ACTG1;ARPC1B;ROCK1;MYL6;VAV3;ARPC2;LYN;RHOA,wald_stat,Reactome_2022
CDC42 GTPase Cycle R-HSA-9013148,1.6361841781675028,0.8672240117675536,0.006659267480577136,CDC42SE2;TAGAP;ARHGAP45;KTN1;FNBP1;LBR;STOM;DEF6;ARHGAP30;IQGAP2;FMNL1;WIPF1;ARFGAP3;GNA13;DOCK10,wald_stat,Reactome_2022
Resolution Of Sister Chromatid Cohesion R-HSA-2500257,1.6067485016324272,0.646452045357216,0.013095238095238096,KIF2A;DYNC1H1;PPP2R1A;BUB3;PPP1CC;PPP2R5C,wald_stat,Reactome_2022
Mitotic Prometaphase R-HSA-68877,1.5658248179348333,0.6817050539656532,0.013201320132013201,KIF2A;TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;BUB3;CEP78;PPP1CC;PPP2R5C,wald_stat,Reactome_2022
AURKA Activation By TPX2 R-HSA-8854518,1.540100059849839,0.5356694658052024,0.025331724969843185,TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;CEP78,wald_stat,Reactome_2022
Loss Of Nlp From Mitotic Centrosomes R-HSA-380259,1.540100059849839,0.5356694658052024,0.025331724969843185,TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;CEP78,wald_stat,Reactome_2022
Mitotic Spindle Checkpoint R-HSA-69618,1.539961179107052,0.44683188411194075,0.018779342723004695,KIF2A;DYNC1H1;PPP2R1A;BUB3;PPP1CC;PPP2R5C;ANAPC16;NUDC,wald_stat,Reactome_2022
Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320,1.5286500056369385,0.43361200588377674,0.030696576151121605,TUBA1A;DYNC1H1;SSNA1;PPP2R1A;AKAP9;CEP78,wald_stat,Reactome_2022
