Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Regulation Of Ruffle Assembly (GO:1900027),0.9966798796494513,2.4503886988913353,1.361868e-02,6.197940e-01,4.350000e-01,1/15,0.08%,RDX
prerank,"Alternative mRNA Splicing, Via Spliceosome (GO:0000380)",0.9867663855060864,2.396679802221229,7.581967e-02,8.989173e-01,7.890000e-01,1/15,0.32%,RBM17
prerank,ncRNA-mediated Post-Transcriptional Gene Silencing (GO:0035194),0.9833830000312956,2.389217208849847,8.350305e-02,7.083360e-01,8.390000e-01,1/15,0.36%,CNOT7
prerank,Positive Regulation Of Signaling (GO:0023056),0.9765423899205453,2.3814033698960335,1.234818e-01,6.284323e-01,8.800000e-01,1/15,0.49%,ANXA2
prerank,protein-DNA Complex Disassembly (GO:0032986),0.9969643004595296,2.3614626894460655,6.109980e-03,7.908312e-01,9.620000e-01,1/15,0.06%,HMGA1
prerank,Positive Regulation Of Mitochondrial Fission (GO:0090141),0.9966812541159311,2.3588140681768763,1.050420e-02,6.944788e-01,9.690000e-01,1/16,0.07%,RALA
prerank,Neutral Amino Acid Transport (GO:0015804),0.9898486645316598,2.355708992872764,5.590062e-02,6.322886e-01,9.770000e-01,1/15,0.24%,SLC6A6
prerank,Regulation Of Necroptotic Process (GO:0060544),0.9965762312249072,2.3483817040062487,1.417004e-02,6.407148e-01,9.880000e-01,1/15,0.09%,PELI1
prerank,Positive Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901021),0.9963689343758194,2.347845977330264,1.807229e-02,5.744432e-01,9.880000e-01,1/15,0.11%,GSTO1
prerank,Organelle Fission (GO:0048285),0.9847155233117333,2.345776416483652,9.453782e-02,5.396743e-01,9.910000e-01,1/17,0.33%,CORO1C
prerank,Regulation Of Neutrophil Chemotaxis (GO:0090022),0.9950948508131677,2.3433918733611714,1.698514e-02,5.129939e-01,9.930000e-01,1/15,0.13%,MPP1
prerank,Regulation Of Cell-Substrate Junction Assembly (GO:0090109),0.985846935888107,2.336827896909999,6.530612e-02,5.330516e-01,9.940000e-01,1/15,0.33%,CORO1C
prerank,Negative Regulation Of Cation Channel Activity (GO:2001258),0.9963689343758194,2.3319754444047796,3.099174e-02,5.370662e-01,9.970000e-01,1/15,0.11%,GSTO1
