Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Regulation Of Organelle Organization (GO:0033043),0.5021479675133542,2.0973882678036553,1.000000e-03,5.098052e-02,4.400000e-02,24/78,11.69%,S100A8;S100A9;RDX;PDE4DIP;UCHL5;SQSTM1;PAK2;LMAN1;PDCD10;GOLPH3;SLC30A9;TAOK1;PREB;TECPR1;ATG5;VPS35;RHOT1;TBC1D25;CLEC16A;SCARB2;ZEB2;YY1;INO80D;RUVBL1
prerank,fatty-acyl-CoA Biosynthetic Process (GO:0046949),0.6897167291272365,2.0446625725451946,1.000000e-03,5.873843e-02,9.700000e-02,7/16,16.82%,ACSL1;ACSL4;ELOVL6;HACD2;ACAT1;HSD17B12;ELOVL5
prerank,Response To Molecule Of Bacterial Origin (GO:0002237),0.5697560680965537,2.004882790913206,1.000000e-03,6.354094e-02,1.460000e-01,9/34,5.75%,S100A8;S100A9;AHR;PELI1;ERBIN;IFNAR1;ADAM17;FCGR2B;CD6
prerank,Positive Regulation Of Establishment Of Protein Localization (GO:1904951),0.6977347417035804,1.9874785596649769,1.000000e-03,6.427979e-02,1.880000e-01,13/15,27.17%,TNF;TCP1;CCT3;CCT6A;WRAP53;CCT8;CHP1;CEP120;CCT4;CCT7;CEP135;CCT5;DKC1
prerank,Positive Regulation Of ERBB Signaling Pathway (GO:1901186),0.7012317809037207,1.9825076670165103,1.000000e-03,5.474865e-02,2.000000e-01,5/15,6.86%,RALA;NUP62;PLAUR;RTN4;RALB
prerank,Positive Regulation Of Inflammatory Response (GO:0050729),0.5142262640539813,1.9593391859159588,1.000000e-03,6.169382e-02,2.600000e-01,11/50,4.03%,S100A8;S100A9;TNIP1;CCL3;GRN;NINJ1;NFKBIZ;DDT;CASP1;TNF;CD47
prerank,Negative Regulation Of T Cell Activation (GO:0050868),0.631997419338992,1.9248919240495497,1.000000e-03,8.106220e-02,3.680000e-01,11/20,21.03%,LAX1;CEBPB;NCKAP1L;RIPOR2;LAPTM5;FCGR2B;GLMN;HAVCR2;PAG1;LILRB1;HLA-DRB1
prerank,Regulation Of Autophagy Of Mitochondrion (GO:1903146),-0.6597518135055812,-1.8666881478124022,2.079002e-03,9.971474e-01,6.010000e-01,11/16,24.52%,FBXW7;CSNK2A2;GSK3A;PINK1;HTT;SREBF1;HTRA2;USP36;PARK7;SREBF2;FKBP8
prerank,TOR Signaling (GO:0031929),-0.5879638396291655,-1.8500876126556725,1.000000e-03,6.092678e-01,6.660000e-01,12/23,21.16%,CARD11;LAMTOR4;LAMTOR1;MLST8;PINK1;GATA3;PRR5;TIPRL;MAPKAP1;FNIP1;LAMTOR3;LAMTOR5
prerank,Regulation Of Cytoplasmic Translation (GO:2000765),0.6231778024290912,1.821372901781628,6.134969e-03,2.382785e-01,7.760000e-01,6/16,12.11%,PKM;CSDE1;SYNCRIP;PABPC1;YBX1;DHX36
prerank,Mitochondrial Cytochrome C Oxidase Assembly (GO:0033617),-0.5805473675003383,-1.8152633449673976,1.153846e-02,5.825692e-01,7.910000e-01,11/22,26.99%,PET100;SURF1;FASTKD3;COX19;TIMM21;COX20;COX16;COA1;SCO1;COA8;PET117
prerank,Positive Regulation Of Defense Response (GO:0031349),0.45188406302834394,1.7978187301992707,1.000000e-03,2.705416e-01,8.440000e-01,12/63,4.03%,S100A8;S100A9;TNIP1;CCL3;GRN;NINJ1;NFKBIZ;DDT;CASP1;GBP5;TNF;CD47
prerank,Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799),-0.580361149219166,-1.7718017834463302,7.797271e-03,6.749644e-01,9.030000e-01,9/19,12.73%,DGKQ;INPP5K;TGFB1;AXIN1;CALM3;CALM1;SPRY2;DMTN;CALM2
prerank,Regulation Of Adaptive Immune Response (GO:0002819),0.6329553886065222,1.769771515771804,1.276596e-02,3.258320e-01,9.050000e-01,4/15,7.42%,AHR;TRIM27;FCGR2B;SAMSN1
prerank,Positive Regulation Of DNA Biosynthetic Process (GO:2000573),0.46808585293818966,1.7632780477039554,1.000000e-03,3.157568e-01,9.170000e-01,20/47,17.13%,TNIP1;XRCC5;PRKCQ;MYC;TCP1;PTGES3;RFC5;PARN;RGCC;CCT3;MAP3K4;CTNNB1;RFC4;CCT2;NEK7;HNRNPA1;CCT6A;WRAP53;FBXO4;CCT8
prerank,Establishment Of Protein Localization To Extracellular Region (GO:0035592),0.5488673176424447,1.7597026935687319,2.087683e-03,2.999724e-01,9.250000e-01,9/24,15.51%,MIA3;ARFGAP3;GOLPH3;TMEM167A;PREB;TVP23B;GSDMD;CANX;ARL4D
prerank,Proton Motive Force-Driven ATP Synthesis (GO:0015986),-0.45514029312647675,-1.7551133678884276,1.000000e-03,6.364464e-01,9.310000e-01,25/58,24.21%,ATP5MC1;NDUFB7;ATP5ME;NDUFB6;NDUFC2;NDUFA9;NDUFA1;NDUFA13;NDUFS6;SDHB;NDUFB1;NDUFB8;NDUFA10;NDUFA12;NDUFS3;NDUFS8;VPS9D1;NDUFV1;SDHA;NDUFA7;SDHD;NDUFB2;NDUFA11;NDUFAB1;NDUFA5
prerank,Positive Regulation Of Telomerase Activity (GO:0051973),0.5446780448301903,1.7525698742766904,8.213552e-03,2.961644e-01,9.390000e-01,11/25,10.87%,TNIP1;XRCC5;PRKCQ;MYC;TCP1;PTGES3;PARN;MAP3K4;CTNNB1;CCT2;NEK7
prerank,Positive Regulation Of Lymphocyte Activation (GO:0051251),0.5575041413998942,1.728525715079085,6.160164e-03,3.448310e-01,9.700000e-01,9/22,9.38%,HLA-DQA1;PRKCQ;PRKDC;NCKAP1L;XRCC6;CD47;TICAM1;HLA-DPA1;FCHO1
prerank,GPI Anchor Biosynthetic Process (GO:0006506),-0.5476205932159202,-1.7278621560445662,5.859375e-03,6.857638e-01,9.690000e-01,5/24,7.79%,PIGT;MPPE1;PIGH;PIGS;GPAA1
prerank,Negative Regulation Of Protein Localization To Plasma Membrane (GO:1903077),0.6003139109108755,1.724392491180435,1.212121e-02,3.351415e-01,9.750000e-01,7/15,9.88%,NUMB;RHOQ;PPFIA1;DAB2;GBP1;TMBIM1;CLTC
prerank,Neutrophil Migration (GO:1990266),0.518980230083089,1.7215188537992756,6.465517e-03,3.224380e-01,9.790000e-01,11/29,12.24%,S100A8;S100A9;CCL3;NCKAP1L;PIK3CD;PIKFYVE;IRAK4;PIK3CG;PECAM1;CXCR2;PDE4B
prerank,Positive Regulation Of Telomere Maintenance Via Telomerase (GO:0032212),0.524547411580597,1.7212740879908874,1.276596e-02,3.039274e-01,9.790000e-01,17/28,22.85%,TNIP1;XRCC5;PRKCQ;TCP1;PARN;CCT3;MAP3K4;CTNNB1;CCT2;NEK7;HNRNPA1;CCT6A;FBXO4;CCT8;CCT4;HMBOX1;CCT7
prerank,Aerobic Electron Transport Chain (GO:0019646),-0.43394681755801456,-1.7203480538327969,1.000000e-03,6.280383e-01,9.780000e-01,35/63,27.98%,NDUFB7;COX6A1;NDUFB6;NDUFC2;NDUFA9;NDUFA1;NDUFS6;SDHB;UQCRFS1;COX5B;UQCRQ;NDUFB1;UQCR11;NDUFA4;NDUFB8;NDUFA10;COX8A;UQCC3;NDUFS3;COX7B;NDUFS8;SDHAF2;NDUFV1;SDHA;UQCRC1;COX5A;NDUFA7;SDHD;NDUFB2;NDUFAB1;NDUFA5;NDUFA3;COX7A2;NDUFB9;COX6C
prerank,Receptor Signaling Pathway Via JAK-STAT (GO:0007259),0.5476464701776887,1.719436333498663,7.692308e-03,2.913525e-01,9.800000e-01,11/22,19.94%,STAT3;IFNAR1;STAT1;STAT4;CTR9;STAT2;STAT6;STAMBP;STAT5A;IFNAR2;IFNG
prerank,Regulation Of Inflammatory Response (GO:0050727),0.38426336097907765,1.7175300024867128,2.188184e-03,2.815595e-01,9.830000e-01,27/115,11.88%,S100A8;S100A9;AHR;SLC39A8;TNIP1;STAT3;SNX6;CCL3;GRN;NINJ1;NFKBIZ;DDT;CARD16;CASP1;TNF;CD47;SELENOS;UFL1;VPS35;IL10RA;ANXA1;TNFRSF1B;SEMA7A;ARNT;NFKBIA;PIK3AP1;GSDMD
prerank,Receptor Signaling Pathway Via STAT (GO:0097696),0.5581562844437438,1.716640434584177,5.671078e-03,2.694210e-01,9.830000e-01,11/20,19.94%,STAT3;IFNAR1;STAT1;STAT4;CTR9;STAT2;STAT6;STAMBP;STAT5A;IFNAR2;IFNG
prerank,Negative Regulation Of Programmed Cell Death (GO:0043069),0.3444183527374746,1.71445563416167,1.000000e-03,2.613939e-01,9.860000e-01,60/228,12.51%,SERPINB9;GPX4;ARF4;NUP62;MAP4K4;TMBIM6;HDAC1;CD44;SETX;PSEN1;ATF5;NOTCH2;PAK2;TM7SF3;TSC22D1;PLAUR;YWHAZ;BNIP3L;YME1L1;HIGD2A;PDCD10;PRKDC;NCKAP1L;GOLPH3;ARAF;MYC;HNRNPK;HSPA5;PHB2;TNFAIP8;COPS5;LAPTM5;HSP90B1;MTDH;ZFAND6;HSPB1;ATG5;ANXA5;FCMR;APIP;ZNF830;NFKB1;GLO1;RASA1;ANXA1;PRDX2;DAB2;TPT1;BNIP3;NPM1;CITED2;DNAJC3;EVI2B;NAA35;CTNNB1;MDM2;PSMD10;NTRK1;MCL1;HIPK3
prerank,Negative Regulation Of Protein Localization To Cell Periphery (GO:1904376),0.6013026891249341,1.7104602820909334,1.452282e-02,2.583786e-01,9.880000e-01,7/15,9.88%,NUMB;RHOQ;PPFIA1;DAB2;GBP1;TMBIM1;CLTC
prerank,Regulation Of Telomerase RNA Localization To Cajal Body (GO:1904872),0.5694751287362495,1.6895007777809796,1.600000e-02,2.986071e-01,9.930000e-01,13/17,29.55%,TNIP1;TCP1;PARN;CCT3;NOP10;RUVBL1;CCT6A;CCT8;CCT4;CCT7;CCT5;DKC1;SHQ1
prerank,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),-0.4504172539420751,-1.6882052509414627,1.915709e-03,7.345862e-01,9.910000e-01,23/52,24.21%,NDUFB7;ATP5ME;NDUFB6;NDUFC2;NDUFA9;NDUFA1;NDUFA13;NDUFS6;SDHB;NDUFB1;NDUFB8;NDUFA10;NDUFA12;NDUFS3;NDUFS8;NDUFV1;SDHA;NDUFA7;SDHD;NDUFB2;NDUFA11;NDUFAB1;NDUFA5
prerank,Regulation Of Vasculature Development (GO:1901342),0.5825489962879192,1.6841813146274773,1.757812e-02,2.992797e-01,9.950000e-01,8/16,25.12%,PDCD10;KRIT1;PIK3CG;CTNNB1;SP100;HTATIP2;EGLN1;ERBB2
prerank,Granulocyte Chemotaxis (GO:0071621),0.49982351567022965,1.6818244623338656,1.521739e-02,2.923179e-01,9.950000e-01,10/30,12.24%,S100A8;S100A9;CCL3;NCKAP1L;PIK3CD;PIKFYVE;PIK3CG;ANXA1;CXCR2;PDE4B
prerank,Histone H2A Acetylation (GO:0043968),0.5429247726358128,1.6792625729200195,1.574803e-02,2.864458e-01,9.950000e-01,7/20,11.69%,MORF4L1;MORF4L2;BRD8;MSL3;TRRAP;EP400;RUVBL1
prerank,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-0.4219507495908381,-1.6790306725033735,1.000000e-03,7.074627e-01,9.960000e-01,32/65,24.21%,NDUFB7;COX6A1;NDUFB6;NDUFC2;NDUFA9;NDUFA1;NDUFS6;SDHB;UQCRFS1;COX5B;UQCRQ;NDUFB1;UQCR11;NDUFA4;NDUFB8;NDUFA10;COX8A;NDUFA12;UQCC3;NDUFS3;COX7B;NDUFS8;SDHAF2;NDUFV1;SDHA;UQCRC1;COX5A;NDUFA7;SDHD;NDUFB2;NDUFAB1;NDUFA5
prerank,Regulation Of Protein Autophosphorylation (GO:0031952),-0.5682040465644702,-1.6779264379749521,1.134216e-02,6.431960e-01,9.960000e-01,9/18,17.05%,RAP2C;CALM3;CALM1;MVP;TESK1;CALM2;RAP2A;TAOK2;PDGFD
prerank,Positive Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904358),0.497386309763103,1.6747445192869883,1.276596e-02,2.873298e-01,9.960000e-01,18/31,20.83%,TNIP1;XRCC5;PRKCQ;HNRNPA2B1;TCP1;PARN;CCT3;MAP3K4;CTNNB1;CCT2;NEK7;HNRNPA1;DHX36;CCT6A;FBXO4;CCT8;CCT4;HMBOX1
prerank,Modulation By Host Of Viral Process (GO:0044788),-0.6007872376263831,-1.6702721498907536,2.439024e-02,6.239125e-01,9.990000e-01,6/15,7.45%,IGF2R;CDC42;FASN;CFL1;PPIB;PAIP1
prerank,Positive Regulation Of Notch Signaling Pathway (GO:0045747),0.5771555034188464,1.6700461998372167,1.066098e-02,2.872800e-01,9.980000e-01,10/15,34.45%,STAT3;PDCD10;ZMIZ1;TSPAN5;EPN2;TSPAN14;MESP1;WNT1;POGLUT1;TM2D3
prerank,Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919),0.43420254829489185,1.6689420582277237,6.147541e-03,2.800872e-01,9.980000e-01,12/49,9.82%,S100A8;S100A9;BID;CYCS;TNF;ANP32B;LAPTM5;DYNLL1;FAM162A;RACK1;VCP;IFT57
