Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Circadian entrainment,-0.4898943449400327,-1.7636775662780593,2.036660e-03,4.027670e-01,2.680000e-01,18/37,21.40%,GNAS;GNB1;CALM3;PRKACA;ADCY7;GNGT2;PER1;GNAQ;PRKCA;PRKCB;ADCY9;CALM1;PLCB1;PLCB2;GUCY1A1;PER2;GNAI2;ITPR3
prerank,Morphine addiction,-0.5137759017364573,-1.736957958795667,5.952381e-03,2.644542e-01,3.320000e-01,16/29,21.78%,GRK2;PDE4D;GNAS;GNB1;GRK6;PRKACA;ADCY7;GNGT2;PRKCA;PRKCB;ADCY9;ARRB1;PDE4A;GNAI2;PDE4B;ARRB2
prerank,Long-term depression,-0.4970580199974937,-1.7108249131201148,8.316008e-03,2.249889e-01,3.970000e-01,18/32,21.40%,NRAS;GNAS;MAP2K2;PPP2CA;GNA13;PPP2CB;GNAQ;PRKCA;PRKCB;LYN;GNA12;PLCB1;BRAF;IGF1R;PLCB2;GUCY1A1;GNAI2;ITPR3
prerank,Pyruvate metabolism,0.5020303240585011,1.6688702518977292,5.617978e-03,7.717009e-01,4.930000e-01,10/27,16.25%,ALDH9A1;ACSS1;ME2;FH;MDH1;GLO1;ACAT1;PKM;AKR1A1;ADH5
prerank,Retrograde endocannabinoid signaling,-0.40921015942680644,-1.6681411098988497,4.098361e-03,2.384514e-01,5.030000e-01,30/70,21.40%,GNB1;NDUFB7;NDUFA1;MAPK9;NDUFC2;PRKACA;ADCY7;NDUFA13;GNGT2;GNAQ;PRKCA;NDUFB6;NDUFB1;NDUFA12;NDUFB8;NDUFA4;PRKCB;NDUFA10;ADCY9;NDUFB11;NDUFS6;NDUFA9;PLCB1;NDUFS3;PLCB2;GNAI2;NDUFB9;NDUFA5;NDUFS8;ITPR3
prerank,"Parathyroid hormone synthesis, secretion and action",-0.43056639391644785,-1.6567539052529134,4.201681e-03,2.080225e-01,5.360000e-01,27/52,21.99%,ATF4;PDE4D;GNAS;EGR1;MEF2D;GNA13;GATA3;JUND;PRKACA;ADCY7;GNAQ;PRKCA;PRKCB;ADCY9;GNA12;PLCB1;BRAF;ARRB1;PLCB2;PDE4A;ARHGEF1;GNAI2;PDE4B;RUNX2;ITPR3;ARRB2;NR4A2
prerank,GnRH signaling pathway,-0.43173840523907026,-1.6483059240671616,4.149378e-03,1.833106e-01,5.550000e-01,15/50,6.83%,ATF4;CDC42;NRAS;GNAS;EGR1;MAP2K2;CALM3;SOS2;MAP2K3;MAPK9;PRKACA;ADCY7;MAP2K7;GNAQ;PRKCA
prerank,Non-alcoholic fatty liver disease,-0.36081377534849657,-1.6302558552484965,2.105263e-03,1.832053e-01,6.080000e-01,37/122,14.82%,ATF4;CDC42;AKT1;IRS2;NDUFB7;TGFB1;ERN1;NDUFA1;MAPK9;RAC1;NDUFC2;UQCR11;UQCRFS1;PRKAG1;NDUFA13;COX7B;SDHB;NDUFB6;CASP3;NDUFB1;NDUFA12;NDUFB8;COX5B;GSK3A;NDUFA4;COX6A1;PIK3R1;NFKB1;UQCRQ;PRKAG2;NDUFA10;IKBKB;SREBF1;NDUFB11;NDUFS6;COX8A;NDUFA9
prerank,Oocyte meiosis,0.3956449967859665,1.6151443773952303,7.843137e-03,6.085258e-01,6.420000e-01,19/70,13.67%,PPP3CB;MAPK14;PPP2R5A;PRKACB;PPP3CC;SLK;PPP2R5D;MAP2K1;YWHAZ;PPP1CB;PPP2R5C;ANAPC10;PPP3R1;YWHAH;CDC26;YWHAB;SMC1A;YWHAQ;PPP1CC
prerank,Spliceosome,-0.3556802544517063,-1.6150149941904246,4.089980e-03,1.827113e-01,6.420000e-01,33/128,13.03%,U2AF2;SF3B6;RBM8A;ALYREF;CRNKL1;SRSF10;MAGOH;PRPF18;SNRNP27;PHF5A;SNW1;CWC15;BUD31;U2SURP;SYF2;EFTUD2;TRA2B;SLU7;CCDC12;RP9;SNRPB2;SMNDC1;PQBP1;CTNNBL1;NCBP1;SRSF9;DHX8;SNRPD1;SRSF5;SRSF2;SNRPC;CDC5L;PCBP1
prerank,Mismatch repair,0.5042647409558231,1.5492629167453469,3.345725e-02,7.025844e-01,8.270000e-01,12/20,31.50%,RPA3;RFC5;RFC4;PMS2;RPA2;LIG1;MSH3;SSBP1;MLH3;RPA1;MSH2;POLD3
prerank,Starch and sucrose metabolism,0.545237691866119,1.5467116383623167,4.826255e-02,5.386580e-01,8.320000e-01,9/15,30.20%,UGP2;PGM1;GYG1;HK1;PYGB;GAA;AGL;GYS1;PGM2
prerank,Protein export,-0.4735471915044238,-1.5402493541409825,3.225806e-02,2.945756e-01,8.210000e-01,7/23,14.48%,SEC61G;SRP72;SRP19;SRP68;SRP54;SEC61B;SPCS2
prerank,Insulin signaling pathway,-0.3505039347533478,-1.5204999176281846,1.050420e-02,3.050628e-01,8.570000e-01,28/90,16.37%,INPP5A;NRAS;AKT1;IRS2;MAP2K2;RAPGEF1;CALM3;SOS2;MAPK9;FASN;FLOT1;RHOQ;PRKACA;PRKAG1;BAD;FBP1;MKNK2;MKNK1;PRKAR2A;PIK3R1;SOCS1;PRKAG2;IKBKB;SREBF1;PHKG2;CALM1;BRAF;EIF4E2
prerank,Melanogenesis,-0.41343985481266965,-1.5160571494465394,2.123142e-02,2.876907e-01,8.620000e-01,15/42,14.94%,NRAS;GNAS;TCF7;MAP2K2;CREBBP;CALM3;PRKACA;ADCY7;GNAQ;PRKCA;PRKCB;FZD3;ADCY9;CALM1;PLCB1
prerank,Vibrio cholerae infection,-0.41843610291738476,-1.5151378539064602,2.500000e-02,2.655607e-01,8.650000e-01,11/35,14.23%,ARF1;TCIRG1;GNAS;ATP6V1H;PRKACA;SEC61G;PRKCA;ATP6V0C;SEC61B;ADCY9;ATP6V1G1
