Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cargo Trafficking To Periciliary Membrane R-HSA-5620920,0.5353646259004212,1.8989008152889248,3.831418e-03,2.769297e-01,2.020000e-01,15/33,21.06%,ARF4;TCP1;RAB11A;ARL13B;CCT3;PTGES2;BBS2;CCT4;PDE6D;CCT8;CCT2;PRKD2;EXOC1;BBS9;EXOC2
prerank,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,-0.546443372122488,-1.8821423747248496,2.070393e-03,4.618395e-01,2.860000e-01,11/28,14.70%,RPN2;SEC61G;SRP72;SRP19;SRP68;DDOST;SRP54;SEC61B;SSR4;SPCS2;RSL24D1
prerank,Semaphorin Interactions R-HSA-373755,-0.5080660625950958,-1.8512338024362716,1.000000e-03,3.266541e-01,3.740000e-01,12/38,13.05%,LIMK1;PKN1;FARP2;ARHGEF7;RHOC;PLXNA4;RNMT;PKN2;PLXNA3;TYROBP;MYL6;CD72
prerank,E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654,0.48264796056083054,1.8324070638628223,1.000000e-03,3.078583e-01,3.820000e-01,29/47,28.48%,UBE2D2;SHPRH;H2BC15;PAF1;RRAGA;PRKDC;RNF20;CTR9;UBE2B;VCP;CDC73;UBC;PEX14;SELENOS;LEO1;UBE2D3;RAD18;UBE2J2;H2BC9;H2BC12;HLTF;UBE2L3;UBE2E1;UBA52;TMEM129;HLA-A;PEX2;UBE2V2;UBE2A
prerank,RHO GTPases Activate PAKs R-HSA-5627123,-0.6322234264823625,-1.8105319278626486,1.000000e-03,3.208680e-01,4.940000e-01,7/15,14.93%,LIMK1;PKN1;CDC42;ARHGEF7;PKN2;MYL6;CALM1
prerank,TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008,-0.5203182290730022,-1.7791379490728851,2.008032e-03,3.295472e-01,5.970000e-01,7/28,8.86%,BCL6;RABGGTA;CREBBP;FASN;BBC3;TRIAP1;PIDD1
prerank,CD28 Co-Stimulation R-HSA-389356,-0.5108377133141755,-1.763027598830292,2.155172e-03,3.061396e-01,6.550000e-01,11/28,14.03%,MAP3K8;PKN1;CDC42;AKT1;ARHGEF7;YES1;PKN2;PIK3R1;LYN;MAPKAP1;MLST8
prerank,COPII-mediated Vesicle Transport R-HSA-204005,-0.4432146224184969,-1.7407870895628137,2.074689e-03,3.161339e-01,7.200000e-01,15/53,10.76%,RAB1A;TFG;NAPG;TRAPPC10;SEC24C;STX5;PPP6R1;TRAPPC2L;TRAPPC6A;SEC24B;CSNK1D;TBC1D20;SEC24A;TMED2;TRAPPC5
prerank,Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,0.5900240930568935,1.7352689760300044,4.040404e-03,5.535422e-01,6.980000e-01,10/16,17.64%,TUBA1A;TCP1;CCT3;CCT6A;CCT4;CCT8;CCT2;CCT7;TUBB;TUBA1C
prerank,Interleukin-12 Family Signaling R-HSA-447115,0.4681674987072286,1.727695844557577,8.213552e-03,4.463231e-01,7.270000e-01,12/41,10.22%,STAT3;HNRNPF;STAT4;S100A9;CAPZA1;TCP1;SOD1;IFNG;HNRNPA2B1;IL27RA;RALA;RAP1B
prerank,G0 And Early G1 R-HSA-1538133,0.5934286248428381,1.698617453289546,1.512287e-02,4.731596e-01,8.080000e-01,5/16,7.47%,HDAC1;RBL2;RBBP4;MAX;E2F4
prerank,mRNA 3-End Processing R-HSA-72187,-0.4258650597118611,-1.6935067547956084,4.175365e-03,4.164521e-01,8.480000e-01,17/56,11.70%,U2AF2;RBM8A;ALYREF;MAGOH;WDR33;SLU7;CPSF7;SARNP;DDX39A;RNPS1;THOC7;NCBP1;SRSF9;PABPN1;NUDT21;SRSF5;SRSF2
prerank,Collagen Formation R-HSA-1474290,-0.5369423461466107,-1.6912012788842368,1.084599e-02,3.712337e-01,8.540000e-01,9/21,19.19%,PPIB;CTSS;CD151;P4HB;PCOLCE;P3H1;COL6A2;PLEC;PLOD1
prerank,EPH-Ephrin Signaling R-HSA-2682334,-0.4396215226387022,-1.6900820841796007,6.036217e-03,3.324403e-01,8.550000e-01,15/51,14.49%,NCK2;LIMK1;PKN1;CDC42;GIT1;ARHGEF7;CLTB;YES1;PKN2;EPHA4;APH1A;LYN;MYL6;ARPC2;VAV3
prerank,Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471,0.49405337738085203,1.6856376555636574,5.703422e-03,4.463231e-01,8.420000e-01,13/31,15.20%,USP11;STAT3;TCP1;LONP2;CCT3;CCT6A;DCAF7;WRAP53;CCT4;CCT8;CCT2;FBXO4;CCT7
prerank,Nuclear Events Stimulated By ALK Signaling In Cancer R-HSA-9725371,0.5818294971491274,1.6763229953994678,1.380671e-02,4.191332e-01,8.630000e-01,6/15,15.38%,STAT3;CLTC;MECP2;STAT5A;NPM1;RBX1
prerank,Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505,0.4841689516859643,1.67600625266107,1.229508e-02,3.679311e-01,8.630000e-01,10/30,10.22%,HNRNPF;STAT4;S100A9;CAPZA1;TCP1;SOD1;IFNG;HNRNPA2B1;RALA;RAP1B
prerank,Nonhomologous End-Joining (NHEJ) R-HSA-5693571,0.4601801579812097,1.6755962118111412,1.145038e-02,3.275785e-01,8.630000e-01,24/40,33.93%,XRCC5;TDP2;H2BC15;PRKDC;XRCC6;HERC2;TDP1;MDC1;MRE11;ATM;RNF8;POLM;LRIF1;POLL;H2BC9;NSD2;H2BC12;UBE2V2;RAD50;H2BC11;ABRAXAS1;TP53BP1;BARD1;KAT5
prerank,NR1H2 And NR1H3-mediated Signaling R-HSA-9024446,-0.49912917461857814,-1.6568461283831128,8.492569e-03,3.990335e-01,9.120000e-01,9/28,14.71%,FASN;NCOA1;MYLIP;TNRC6A;AGO4;AGO2;ARL4C;SREBF1;TBL1X
prerank,Extracellular Matrix Organization R-HSA-1474244,-0.3825317899245687,-1.6399546611784528,4.106776e-03,4.140201e-01,9.370000e-01,28/80,19.20%,CAPN15;PPIB;FURIN;TGFB1;TIMP1;CAPN12;CTSD;PRKCA;ITGAE;CASP3;NCAM1;CTSS;ITGAM;CASK;ITGAD;LMNB2;CD151;P4HB;PCOLCE;P3H1;CAPN2;COL6A2;PLEC;SPARC;ADAMTS1;ICAM1;PLOD1;ICAM3
prerank,Degradation Of Extracellular Matrix R-HSA-1474228,-0.48149990725136665,-1.6211619256464598,1.467505e-02,4.422893e-01,9.550000e-01,7/28,8.65%,CAPN15;FURIN;TIMP1;CAPN12;CTSD;CASP3;CTSS
prerank,Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,-0.5528195524278445,-1.6210309310241948,2.036660e-02,4.088336e-01,9.550000e-01,6/16,19.19%,PPIB;P4HB;PCOLCE;P3H1;COL6A2;PLOD1
prerank,VEGFR2 Mediated Vascular Permeability R-HSA-5218920,-0.5167217032594804,-1.6127031082820389,1.724138e-02,4.038278e-01,9.640000e-01,8/20,14.93%,PKN1;AKT1;ARHGEF7;PKN2;MAPKAP1;MLST8;VAV3;CALM1
prerank,CD209 (DC-SIGN) Signaling R-HSA-5621575,-0.5550752786477975,-1.6109962294171358,1.855670e-02,3.825869e-01,9.680000e-01,10/16,19.20%,PKN1;NRAS;CREBBP;ARHGEF7;PRKCA;PKN2;NFKB1;LYN;RELB;ICAM3
prerank,RHOJ GTPase Cycle R-HSA-9013409,-0.4436670092178725,-1.6099148174198792,1.461378e-02,3.613052e-01,9.690000e-01,16/38,15.94%,PKN1;CDC42;GIT1;ARHGAP21;ARHGEF7;CPNE8;LAMTOR1;PREX1;PKN2;ARHGAP5;ARHGAP26;PIK3R1;WIPF2;TRIO;OPHN1;VANGL1
prerank,HIV Elongation Arrest And Recovery R-HSA-167287,-0.4638289067028209,-1.6040149552795546,6.097561e-03,3.559562e-01,9.740000e-01,14/32,22.81%,ELOA;POLR2C;POLR2D;ELOB;POLR2G;ELL;CCNT1;POLR2E;CCNT2;NELFCD;NELFA;POLR2J;CDK9;NELFB
prerank,Costimulation By CD28 Family R-HSA-388841,-0.4164806826522147,-1.6035354615616906,1.290323e-02,3.375251e-01,9.750000e-01,16/49,14.03%,MAP3K8;PKN1;CDC42;AKT1;HLA-DRB5;ARHGEF7;PPP2CA;PPP2CB;YES1;CD3D;PKN2;PIK3R1;LYN;HLA-DRB1;MAPKAP1;MLST8
