Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Circadian entrainment,-1.7636775662780593,0.40276703085827475,0.002036659877800407,GNAS;GNB1;CALM3;PRKACA;ADCY7;GNGT2;PER1;GNAQ;PRKCA;PRKCB;ADCY9;CALM1;PLCB1;PLCB2;GUCY1A1;PER2;GNAI2;ITPR3,wald_stat,KEGG_2021_Human
Morphine addiction,-1.736957958795667,0.26445417685474637,0.005952380952380952,GRK2;PDE4D;GNAS;GNB1;GRK6;PRKACA;ADCY7;GNGT2;PRKCA;PRKCB;ADCY9;ARRB1;PDE4A;GNAI2;PDE4B;ARRB2,wald_stat,KEGG_2021_Human
Long-term depression,-1.7108249131201148,0.2249889091790729,0.008316008316008316,NRAS;GNAS;MAP2K2;PPP2CA;GNA13;PPP2CB;GNAQ;PRKCA;PRKCB;LYN;GNA12;PLCB1;BRAF;IGF1R;PLCB2;GUCY1A1;GNAI2;ITPR3,wald_stat,KEGG_2021_Human
Pyruvate metabolism,1.6688702518977292,0.7717008671760969,0.0056179775280898875,ALDH9A1;ACSS1;ME2;FH;MDH1;GLO1;ACAT1;PKM;AKR1A1;ADH5,wald_stat,KEGG_2021_Human
Retrograde endocannabinoid signaling,-1.6681411098988497,0.238451360302083,0.004098360655737705,GNB1;NDUFB7;NDUFA1;MAPK9;NDUFC2;PRKACA;ADCY7;NDUFA13;GNGT2;GNAQ;PRKCA;NDUFB6;NDUFB1;NDUFA12;NDUFB8;NDUFA4;PRKCB;NDUFA10;ADCY9;NDUFB11;NDUFS6;NDUFA9;PLCB1;NDUFS3;PLCB2;GNAI2;NDUFB9;NDUFA5;NDUFS8;ITPR3,wald_stat,KEGG_2021_Human
"Parathyroid hormone synthesis, secretion and action",-1.6567539052529134,0.20802253242130675,0.004201680672268907,ATF4;PDE4D;GNAS;EGR1;MEF2D;GNA13;GATA3;JUND;PRKACA;ADCY7;GNAQ;PRKCA;PRKCB;ADCY9;GNA12;PLCB1;BRAF;ARRB1;PLCB2;PDE4A;ARHGEF1;GNAI2;PDE4B;RUNX2;ITPR3;ARRB2;NR4A2,wald_stat,KEGG_2021_Human
GnRH signaling pathway,-1.6483059240671616,0.183310635839343,0.004149377593360996,ATF4;CDC42;NRAS;GNAS;EGR1;MAP2K2;CALM3;SOS2;MAP2K3;MAPK9;PRKACA;ADCY7;MAP2K7;GNAQ;PRKCA,wald_stat,KEGG_2021_Human
Non-alcoholic fatty liver disease,-1.6302558552484965,0.1832052546172451,0.002105263157894737,ATF4;CDC42;AKT1;IRS2;NDUFB7;TGFB1;ERN1;NDUFA1;MAPK9;RAC1;NDUFC2;UQCR11;UQCRFS1;PRKAG1;NDUFA13;COX7B;SDHB;NDUFB6;CASP3;NDUFB1;NDUFA12;NDUFB8;COX5B;GSK3A;NDUFA4;COX6A1;PIK3R1;NFKB1;UQCRQ;PRKAG2;NDUFA10;IKBKB;SREBF1;NDUFB11;NDUFS6;COX8A;NDUFA9,wald_stat,KEGG_2021_Human
Oocyte meiosis,1.6151443773952303,0.6085258006353568,0.00784313725490196,PPP3CB;MAPK14;PPP2R5A;PRKACB;PPP3CC;SLK;PPP2R5D;MAP2K1;YWHAZ;PPP1CB;PPP2R5C;ANAPC10;PPP3R1;YWHAH;CDC26;YWHAB;SMC1A;YWHAQ;PPP1CC,wald_stat,KEGG_2021_Human
Spliceosome,-1.6150149941904246,0.18271128013866106,0.00408997955010225,U2AF2;SF3B6;RBM8A;ALYREF;CRNKL1;SRSF10;MAGOH;PRPF18;SNRNP27;PHF5A;SNW1;CWC15;BUD31;U2SURP;SYF2;EFTUD2;TRA2B;SLU7;CCDC12;RP9;SNRPB2;SMNDC1;PQBP1;CTNNBL1;NCBP1;SRSF9;DHX8;SNRPD1;SRSF5;SRSF2;SNRPC;CDC5L;PCBP1,wald_stat,KEGG_2021_Human
Mismatch repair,1.5492629167453469,0.702584356486649,0.03345724907063197,RPA3;RFC5;RFC4;PMS2;RPA2;LIG1;MSH3;SSBP1;MLH3;RPA1;MSH2;POLD3,wald_stat,KEGG_2021_Human
Starch and sucrose metabolism,1.5467116383623167,0.5386580235253714,0.04826254826254826,UGP2;PGM1;GYG1;HK1;PYGB;GAA;AGL;GYS1;PGM2,wald_stat,KEGG_2021_Human
Protein export,-1.5402493541409825,0.29457564283773696,0.03225806451612903,SEC61G;SRP72;SRP19;SRP68;SRP54;SEC61B;SPCS2,wald_stat,KEGG_2021_Human
Insulin signaling pathway,-1.5204999176281846,0.3050628307901823,0.01050420168067227,INPP5A;NRAS;AKT1;IRS2;MAP2K2;RAPGEF1;CALM3;SOS2;MAPK9;FASN;FLOT1;RHOQ;PRKACA;PRKAG1;BAD;FBP1;MKNK2;MKNK1;PRKAR2A;PIK3R1;SOCS1;PRKAG2;IKBKB;SREBF1;PHKG2;CALM1;BRAF;EIF4E2,wald_stat,KEGG_2021_Human
Melanogenesis,-1.5160571494465394,0.2876907363273391,0.021231422505307854,NRAS;GNAS;TCF7;MAP2K2;CREBBP;CALM3;PRKACA;ADCY7;GNAQ;PRKCA;PRKCB;FZD3;ADCY9;CALM1;PLCB1,wald_stat,KEGG_2021_Human
Vibrio cholerae infection,-1.5151378539064602,0.2655606796867746,0.025,ARF1;TCIRG1;GNAS;ATP6V1H;PRKACA;SEC61G;PRKCA;ATP6V0C;SEC61B;ADCY9;ATP6V1G1,wald_stat,KEGG_2021_Human
Shigellosis,1.5077556635975262,0.5843650725508716,0.001893939393939394,CYTH1;MAPK14;UBE2D4;CYTH2;UBE2D2;PIK3CD;TNIP1;RRAGA;CYCS;PRKCQ;DIAPH1;ARHGEF2;JUN;CAST;FNBP1;CRK;VCL;ACTR3;TECPR1;ATG5;PLCG1;MYL12A;AKT3;SEPTIN2;BNIP3;ACTR3B;BCL2L1;RIPK1;CBX3;WASF2;STING1;GLMN;ACTR2;CYTH4;HK1;PIK3CA;IRF3;SHARPIN;UBC;ILK;RBX1;AKT1S1;PIK3R4;MTOR;ATM;CALCOCO2;SEPTIN7;RRAGB;PIK3R2;MALT1;CAPN1;SQSTM1;UBE2D3;MAPK8;PIK3R3;TIFA;TP53;ROCK2;ROCK1;ARPC1A;MAP3K7,wald_stat,KEGG_2021_Human
PD-L1 expression and PD-1 checkpoint pathway in cancer,1.4963278932177755,0.5297930797630291,0.018281535648994516,PPP3CB;MAPK14;PPP3CC;PIK3CD;RASGRP1;STAT3;PRKCQ;KRAS;MAP2K1;JUN;NFATC2;IFNG;PLCG1;PPP3R1;AKT3;HIF1A;NFATC3;LCK;PIK3CA;PTEN,wald_stat,KEGG_2021_Human
VEGF signaling pathway,1.4948409617657195,0.45835837554735126,0.0341726618705036,PPP3CB;MAPK14;PPP3CC;PIK3CD;KRAS;MAP2K1;NFATC2;SH2D2A;HSPB1;PLCG1;PPP3R1;AKT3,wald_stat,KEGG_2021_Human
Cytosolic DNA-sensing pathway,-1.4931321609577666,0.2899888575938593,0.02631578947368421,ZBP1;POLR1C;NFKBIB;CCL5;CCL4;POLR3F;NFKB1;IKBKB;CCL4L2;RIPK3;POLR3C;IL18;POLR2E,wald_stat,KEGG_2021_Human
Gastric acid secretion,-1.4882314985180987,0.27804835450537885,0.041928721174004195,GNAS;CALM3;PRKACA;ADCY7;GNAQ;PRKCA;PRKCB;SLC9A1;ADCY9;CALM1;PLCB1;PLCB2;GNAI2;ITPR3;ATP1B1,wald_stat,KEGG_2021_Human
Th17 cell differentiation,1.4776134543144772,0.4600004292950975,0.0325497287522604,PPP3CB;TGFBR2;MAPK14;PPP3CC;STAT3;PRKCQ;JUN;NFATC2;TBX21;IFNG;IL27RA;PLCG1;PPP3R1;STAT5A;HIF1A;NFATC3;LCK;STAT6;CD247;RORA;IL1RAP;MTOR;SMAD3;RXRB,wald_stat,KEGG_2021_Human
Chemokine signaling pathway,-1.4727364439952595,0.28968244142498994,0.012658227848101266,XCL1;CDC42;NRAS;GRK2;AKT1;GNB1;GRK6;PREX1;SOS2;RAC1;PRKACA;ADCY7;BAD;GNGT2;GNAQ;NFKBIB;XCL2;CCL5;GSK3A;PIK3R1;CCL4;NFKB1;CCL3L3;PRKCB;IKBKB;CCL4L2;LYN;ADCY9;VAV3;PLCB1;BRAF;DOCK2;ARRB1;PLCB2;PAK1;CXCR3;GNAI2;SHC1,wald_stat,KEGG_2021_Human
Vasopressin-regulated water reabsorption,-1.462679473575799,0.29177096552044324,0.05555555555555555,RAB5C;ARHGDIA;GNAS;DCTN4;DYNLL2;PRKACA;DYNC1LI1;DYNC1LI2,wald_stat,KEGG_2021_Human
Olfactory transduction,-1.457624408293924,0.2845664930369065,0.06694560669456066,RGS2;GRK2;GNB1;CALM3;PRKACA,wald_stat,KEGG_2021_Human
"Alanine, aspartate and glutamate metabolism",1.4540882177385401,0.4867204716522137,0.07003891050583658,NIT2;GLS;ADSS2;ADSL;GLUD1;ABAT,wald_stat,KEGG_2021_Human
Oxidative phosphorylation,-1.4494639434378305,0.28547773066328264,0.008830022075055188,TCIRG1;ATP5MC1;ATP6V1H;NDUFB7;NDUFA1;NDUFC2;UQCR11;UQCRFS1;NDUFA13;COX7B;SDHB;NDUFB6;NDUFB1;NDUFA12;NDUFB8;ATP6V0C;COX5B;NDUFA4;COX6A1;ATP5ME;UQCRQ;NDUFA10;NDUFB11;ATP6V1G1;NDUFS6;COX8A;NDUFA9;NDUFS3;SDHA;UQCRC1;COX7A2;NDUFB9;NDUFA5;NDUFS8,wald_stat,KEGG_2021_Human
Adherens junction,-1.44685664860923,0.27499507225459424,0.033264033264033266,CDC42;FARP2;TCF7;CREBBP;CSNK2B;RAC1;YES1;AFDN;PTPRJ;ACP1;CSNK2A2;ACTN4,wald_stat,KEGG_2021_Human
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,-1.4435131666820091,0.2669991333684113,0.05668016194331984,MPPE1;PIGT;PIGH;PIGS;GPAA1,wald_stat,KEGG_2021_Human
