Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Cargo Trafficking To Periciliary Membrane R-HSA-5620920,1.8989008152889248,0.2769296953421372,0.0038314176245210726,ARF4;TCP1;RAB11A;ARL13B;CCT3;PTGES2;BBS2;CCT4;PDE6D;CCT8;CCT2;PRKD2;EXOC1;BBS9;EXOC2,wald_stat,Reactome_2022
SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,-1.8821423747248496,0.46183950288255177,0.002070393374741201,RPN2;SEC61G;SRP72;SRP19;SRP68;DDOST;SRP54;SEC61B;SSR4;SPCS2;RSL24D1,wald_stat,Reactome_2022
Semaphorin Interactions R-HSA-373755,-1.8512338024362716,0.32665413586567726,0.001,LIMK1;PKN1;FARP2;ARHGEF7;RHOC;PLXNA4;RNMT;PKN2;PLXNA3;TYROBP;MYL6;CD72,wald_stat,Reactome_2022
E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654,1.8324070638628223,0.3078582695641972,0.001,UBE2D2;SHPRH;H2BC15;PAF1;RRAGA;PRKDC;RNF20;CTR9;UBE2B;VCP;CDC73;UBC;PEX14;SELENOS;LEO1;UBE2D3;RAD18;UBE2J2;H2BC9;H2BC12;HLTF;UBE2L3;UBE2E1;UBA52;TMEM129;HLA-A;PEX2;UBE2V2;UBE2A,wald_stat,Reactome_2022
RHO GTPases Activate PAKs R-HSA-5627123,-1.8105319278626486,0.32086799175211456,0.001,LIMK1;PKN1;CDC42;ARHGEF7;PKN2;MYL6;CALM1,wald_stat,Reactome_2022
TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008,-1.7791379490728851,0.3295472079224587,0.002008032128514056,BCL6;RABGGTA;CREBBP;FASN;BBC3;TRIAP1;PIDD1,wald_stat,Reactome_2022
CD28 Co-Stimulation R-HSA-389356,-1.763027598830292,0.3061396249175913,0.0021551724137931034,MAP3K8;PKN1;CDC42;AKT1;ARHGEF7;YES1;PKN2;PIK3R1;LYN;MAPKAP1;MLST8,wald_stat,Reactome_2022
COPII-mediated Vesicle Transport R-HSA-204005,-1.7407870895628137,0.31613387384101777,0.002074688796680498,RAB1A;TFG;NAPG;TRAPPC10;SEC24C;STX5;PPP6R1;TRAPPC2L;TRAPPC6A;SEC24B;CSNK1D;TBC1D20;SEC24A;TMED2;TRAPPC5,wald_stat,Reactome_2022
Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,1.7352689760300044,0.5535421745384072,0.00404040404040404,TUBA1A;TCP1;CCT3;CCT6A;CCT4;CCT8;CCT2;CCT7;TUBB;TUBA1C,wald_stat,Reactome_2022
Interleukin-12 Family Signaling R-HSA-447115,1.727695844557577,0.44632311723526574,0.008213552361396304,STAT3;HNRNPF;STAT4;S100A9;CAPZA1;TCP1;SOD1;IFNG;HNRNPA2B1;IL27RA;RALA;RAP1B,wald_stat,Reactome_2022
