Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Ferroptosis,2.1143485326985214,0.0036680853064967435,0.001,SLC39A8;ACSL1;GPX4;ACSL4;GSS;ATG5;MAP1LC3A;PCBP2;SLC11A2;GCLM;NCOA4,wald_stat,KEGG_2021_Human
ECM-receptor interaction,2.0018433702987406,0.01100425591949023,0.001,ITGAV;CD44;ITGA4;CD47;THBS3;ITGB1;ITGA6;COL6A3,wald_stat,KEGG_2021_Human
Circadian entrainment,-1.8588520143870682,0.10748658185598213,0.001,GNAS;PRKCB;CALM3;ADCY7;CALM1;PLCB1;GNB1;PER1;PRKACA;GNGT2;PRKCA;PLCB2;ADCY9;PER2;GNAI2;CALM2,wald_stat,KEGG_2021_Human
Gastric acid secretion,-1.8331459172781313,0.07362830857134776,0.0018867924528301887,GNAS;PRKCB;CALM3;ADCY7;CALM1;PLCB1;PRKACA;PRKCA;PLCB2;ADCY9;GNAI2;SLC9A1;CALM2;ACTB;ITPR3,wald_stat,KEGG_2021_Human
Retrograde endocannabinoid signaling,-1.8308491109270566,0.051235270684684815,0.001,NDUFB7;PRKCB;ADCY7;NDUFB6;PLCB1;NDUFC2;GNB1;NDUFA9;NDUFA1;PRKACA;MAPK9;NDUFA13;GNGT2;NDUFS6;PRKCA;NDUFB1;PLCB2;NDUFA4;NDUFB8;ADCY9;NDUFA10;GNAI2;NDUFA12;NDUFS3;NDUFS8;ITPR3;NDUFV1;GNG2;NDUFA7;MAPK1;MAPK3;NDUFB2;NDUFA11;NDUFAB1;NDUFA5,wald_stat,KEGG_2021_Human
Morphine addiction,-1.7956613662350855,0.06099863520326986,0.007575757575757576,GNAS;GRK2;GRK6;PDE4D;PRKCB;ADCY7;GNB1;PRKACA;GNGT2;PRKCA;ADCY9;GNAI2;PDE4A;ARRB1,wald_stat,KEGG_2021_Human
Melanogenesis,-1.7459570014328505,0.07975504373713874,0.003629764065335753,GNAS;MAP2K2;PRKCB;CALM3;TCF7;ADCY7;CALM1;NRAS;CREBBP;PLCB1;PRKACA;PRKCA;PLCB2;ADCY9;GNAI2;CALM2;FZD3,wald_stat,KEGG_2021_Human
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,-1.728251658244166,0.08043579208889329,0.005859375,PIGT;MPPE1;PIGH;PIGS;GPAA1,wald_stat,KEGG_2021_Human
Rap1 signaling pathway,-1.72005244173575,0.0752406072991875,0.0018796992481203006,AKT1;GNAS;MAP2K2;PRKCB;CALM3;ITGAM;VEGFB;VAV3;RAPGEF1;CDC42;ADCY7;ITGAL;CALM1;NRAS;PARD6G;SIPA1;PLCB1;AFDN;MAP2K3;ITGB2;PIK3R1;PFN1;FARP2;PRKCA;PLCB2;RASSF5;EVL;ADCY9;GNAI2;IGF1R;CALM2,wald_stat,KEGG_2021_Human
GnRH signaling pathway,-1.7156527687447394,0.0691944870697885,0.0037735849056603774,GNAS;MAP2K2;PRKCB;CALM3;SOS2;CDC42;ADCY7;CALM1;NRAS;PLCB1;PRKACA;MAPK9;MAP2K3;PRKCA;PLCB2;ATF4;ADCY9;CALM2;MAP2K7,wald_stat,KEGG_2021_Human
