Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,"Positive Regulation Of mRNA Splicing, Via Spliceosome (GO:0048026)",-0.8431072877781309,-1.95777097637275,1.000000e-03,1.216564e-01,8.500000e-02,6/17,5.49%,SNW1;RBM3;NUP98;TRA2B;CIRBP;WDR77
prerank,Chemokine-Mediated Signaling Pathway (GO:0070098),-0.7683149284133072,-1.8136046406818944,1.000000e-03,4.527624e-01,4.510000e-01,2/18,0.05%,XCL1;XCL2
prerank,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),-0.7511148407167743,-1.7210394590779978,1.000000e-03,7.190686e-01,7.380000e-01,5/15,13.44%,HLA-DRB5;CTSS;DNM2;HLA-DRB1;FCER1G
prerank,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),-0.7257600674407807,-1.699431964074616,1.500000e-02,6.537462e-01,7.980000e-01,5/16,13.44%,HLA-DRB5;CTSS;DNM2;HLA-DRB1;FCER1G
prerank,Response To Type II Interferon (GO:0034341),-0.6005117498386554,-1.6729646750946408,1.000000e-03,6.469109e-01,8.560000e-01,10/40,8.91%,XCL1;XCL2;NUB1;GCH1;IFITM3;IFITM2;LGALS9;IRF8;EPRS1;SHFL
prerank,Positive Regulation Of RNA Splicing (GO:0033120),-0.6666435681510381,-1.6496745555302352,2.777778e-02,6.456985e-01,8.960000e-01,7/29,5.49%,SNW1;PIK3R1;RBM3;NUP98;TRA2B;CIRBP;WDR77
prerank,Positive Regulation Of Immunoglobulin Production (GO:0002639),-0.6508181399853884,-1.63263661922429,5.988024e-03,6.278114e-01,9.270000e-01,5/24,7.50%,XCL1;DNAJB9;VAMP3;PHB1;SHLD1
prerank,Positive Regulation Of T Cell Migration (GO:2000406),-0.7129056979681544,-1.6223651073817824,3.381643e-02,5.905664e-01,9.360000e-01,2/16,0.05%,XCL1;XCL2
prerank,Actomyosin Structure Organization (GO:0031032),0.7711840373316933,1.6032636714878794,1.000000e-03,8.508524e-01,5.490000e-01,14/30,18.46%,F11R;WDR1;PDLIM1;EPB41L4A;FLII;ALKBH4;MYH9;ARRB1;EPB41;ITGB1;ROCK1;KCTD13;ZYX;RHOA
prerank,Positive Regulation Of Leukocyte Chemotaxis (GO:0002690),-0.656051316298333,-1.6007693927251927,1.570681e-02,6.089786e-01,9.520000e-01,7/22,12.29%,XCL1;HMGB1;LGALS9;VEGFB;CALR;NEDD9;C1QBP
prerank,Interstrand Cross-Link Repair (GO:0036297),0.7822404527247266,1.5969906827415248,1.000000e-03,4.901025e-01,5.940000e-01,8/26,10.74%,FANCA;RNF8;FAAP20;DCLRE1C;ERCC6L2;ERCC4;RFWD3;NUCKS1
prerank,Cellular Response To Type II Interferon (GO:0071346),-0.5982049535465283,-1.5955769917918334,8.264463e-03,5.683986e-01,9.570000e-01,8/33,8.31%,XCL1;XCL2;JAK1;IFNGR1;LGALS9;IRF8;EPRS1;IRF1
prerank,Positive Regulation Of T Cell Cytokine Production (GO:0002726),-0.6938570037938412,-1.594979025113414,2.475248e-02,5.187783e-01,9.580000e-01,7/15,6.43%,XCL1;HLA-A;CD81;IL18R1;CD55;DENND1B;MALT1
prerank,Positive Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002702),-0.6695158646820099,-1.5925342463667433,2.185792e-02,4.845352e-01,9.640000e-01,6/20,8.35%,XCL1;SLC7A5;DNAJB9;VAMP3;PHB1;PTPN22
prerank,Protein Secretion (GO:0009306),0.7512793707989168,1.590154836217231,1.000000e-03,3.813505e-01,6.490000e-01,12/38,11.71%,PORCN;PCSK5;TVP23B;PRF1;MIA2;TANGO2;NAGPA;TVP23C;TMEM167A;PREB;MEN1;AP1B1
prerank,Response To Tumor Necrosis Factor (GO:0034612),-0.5421651361033178,-1.5789923469872056,1.000000e-03,4.900021e-01,9.750000e-01,13/56,8.39%,XCL1;XCL2;NUB1;GATA3;NFKBIA;GCH1;NFE2L2;CHUK;ZC3H12A;INPP5K;YTHDC2;ZFP36L2;ZFP36
prerank,Cellular Response To Chemokine (GO:1990869),-0.6622168923812187,-1.563679940447522,2.484472e-02,5.056175e-01,9.870000e-01,4/22,5.87%,XCL1;XCL2;OXSR1;ZC3H12A
prerank,Mitochondrial Calcium Ion Homeostasis (GO:0051560),-0.6652824084348619,-1.5413556660310455,3.827751e-02,5.484988e-01,9.910000e-01,4/16,8.95%,MCUB;PDZD8;MAIP1;ANXA6
prerank,Positive Regulation Of Cytokine Production Involved In Immune Response (GO:0002720),-0.6344116172256922,-1.5366679868749726,3.061224e-02,5.307573e-01,9.920000e-01,6/20,6.43%,XCL1;KIR2DL4;HLA-A;SLC7A5;CD55;MALT1
prerank,"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",-0.4862243782156609,-1.5315377286508483,1.000000e-03,5.164309e-01,9.950000e-01,19/73,6.30%,SRRM1;MAGOH;SAP18;SNW1;RBM3;NUP98;JMJD6;TRA2B;SRSF9;RBM38;CIRBP;RBM39;SRSF6;HNRNPA0;WDR77;SRSF10;SRSF7;HNRNPA1;WTAP
prerank,Regulation Of Necroptotic Process (GO:0060544),-0.6578290361381313,-1.5280382548383775,6.666667e-02,4.995158e-01,9.950000e-01,6/16,9.08%,BIRC2;CYLD;CFLAR;ITCH;PARP1;OGT
prerank,Amino Acid Transport (GO:0006865),-0.6538091768353541,-1.5249533300639007,3.960396e-02,4.834570e-01,9.950000e-01,4/18,7.08%,SLC7A5;SLC1A5;SLC38A1;SLC3A2
prerank,Arachidonic Acid Metabolic Process (GO:0019369),0.8202652172820105,1.5241552608098936,1.273885e-03,1.000000e+00,9.680000e-01,1/15,0.01%,PTGDS
prerank,Regulation Of Type II Interferon Production (GO:0032649),-0.5005515921003375,-1.5173783034004842,1.000000e-03,4.821731e-01,9.960000e-01,20/54,13.14%,XCL1;HLA-A;MYDGF;SLC7A5;HSPD1;HMGB1;PDE4D;IL18R1;CRTAM;LGALS9;ZC3H12A;PTPN22;SLAMF6;BTN3A1;ISG15;CD2;LGALS9B;C1QBP;HLA-DRB1;ZFPM1
prerank,Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279),-0.6364572936581515,-1.5162166930529408,3.553299e-02,4.626764e-01,9.960000e-01,3/20,3.16%,XCL1;CALM3;PDE4D
prerank,Regulation Of Defense Response (GO:0031347),-0.5272181114462723,-1.5134528652417845,1.000000e-03,4.493418e-01,9.970000e-01,9/57,8.35%,XCL1;CARD16;BIRC2;CYLD;CASP4;NFE2L2;LETMD1;IRF1;PTPN22
prerank,Proteoglycan Biosynthetic Process (GO:0030166),0.7686700162865878,1.5131536904983305,8.760951e-03,1.000000e+00,9.880000e-01,4/21,3.45%,CHST12;B3GAT1;EXTL3;BMPR2
prerank,Bile Acid Metabolic Process (GO:0008206),0.8262683967645318,1.503013874662452,4.914005e-03,1.000000e+00,9.940000e-01,6/15,8.50%,OSBPL3;ACOT8;ABCD3;GBA2;ACAA1;SCP2
prerank,Monocarboxylic Acid Biosynthetic Process (GO:0072330),0.726520837138947,1.4990267849388836,4.469274e-03,1.000000e+00,9.940000e-01,7/32,15.77%,OSBPL3;CHST12;ACOT8;ABCD3;SCP2;MLYCD;ACSF3
prerank,Regulation Of Filopodium Assembly (GO:0051489),-0.6132673137118051,-1.4952320955863467,4.191617e-02,4.812270e-01,9.990000e-01,3/25,1.10%,CDC42;PIK3R1;ARF6
prerank,Cellular Response To Interleukin-1 (GO:0071347),-0.538605389129223,-1.4811010168630057,2.564103e-02,5.030867e-01,9.990000e-01,3/39,0.66%,XCL1;XCL2;EGR1
prerank,Cytokine-Mediated Signaling Pathway (GO:0019221),-0.4241067466686784,-1.4716298743935479,1.000000e-03,5.143180e-01,9.990000e-01,15/128,4.66%,XCL1;XCL2;SOCS1;EGR1;IL7R;BIRC2;JAK1;IL18RAP;IL2RB;NFKBIA;IL18R1;CSNK2B;COMMD7;IL2RG;IL21R
prerank,Establishment Of Protein Localization To Extracellular Region (GO:0035592),0.7326776385673562,1.4695330077332596,7.117438e-03,1.000000e+00,9.990000e-01,8/26,11.38%,TVP23B;PRF1;MIA2;TANGO2;TVP23C;TMEM167A;PREB;MEN1
prerank,Organelle Fusion (GO:0048284),0.7370461991972882,1.4679963761701977,1.322115e-02,1.000000e+00,9.990000e-01,7/21,11.26%,CIDEB;RCC1L;VPS11;MFN1;EEA1;MFN2;MIGA2
prerank,Activation Of GTPase Activity (GO:0090630),0.6635706045056733,1.4626930824063786,7.743363e-03,1.000000e+00,1.000000e+00,10/52,5.34%,AGAP2;AGAP1;TBC1D25;TBC1D14;TBC1D10B;TBC1D7;RANGAP1;TBC1D10C;ARHGAP25;RALGAPB
prerank,Negative Regulation Of Transport (GO:0051051),0.7552388121032068,1.453612775456778,1.234568e-02,1.000000e+00,1.000000e+00,5/21,8.85%,RUBCN;LILRB1;ARL6IP5;NDFIP1;SNX12
prerank,Peptide Metabolic Process (GO:0006518),0.7006343228382946,1.4480247021998214,1.654846e-02,1.000000e+00,1.000000e+00,11/31,18.02%,PCSK5;PSEN1;CPD;SPPL3;CARNMT1;SPCS1;LNPEP;NPEPPS;THOP1;SEC11C;SPCS3
prerank,Amino Acid Catabolic Process (GO:0009063),0.7422975740108366,1.4410841988448782,2.453988e-02,1.000000e+00,1.000000e+00,5/21,8.13%,BLMH;MCCC2;CARNS1;BCKDHB;CARNMT1
