Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Viral protein interaction with cytokine and cytokine receptor,-0.6760092441746204,-1.8696560714460362,1.000000e-03,4.404585e-02,2.800000e-02,7/36,5.18%,XCL1;XCL2;IL18RAP;IL2RB;IL18R1;IL2RG;TNFSF14
prerank,Hematopoietic cell lineage,-0.6649565895185651,-1.819665922261216,1.000000e-03,4.176762e-02,4.800000e-02,12/41,14.72%,CD7;HLA-DRB5;IL7R;CD44;CD55;CD3E;CD38;CD2;HLA-DRB1;CD8B;CD5;ITGA6
prerank,Antigen processing and presentation,-0.5745910851156326,-1.7384859960835182,1.000000e-03,6.429682e-02,1.050000e-01,11/58,6.07%,KIR3DL1;KIR3DL2;KIR2DL4;HLA-A;HLA-DRB5;CTSS;TAPBP;PDIA3;KIR2DL3;KLRC2;HLA-B
prerank,Cytokine-cytokine receptor interaction,-0.554750959039891,-1.731368192099055,1.000000e-03,4.936173e-02,1.070000e-01,10/87,5.18%,XCL1;XCL2;IL7R;IFNGR1;IL18RAP;IL2RB;IL18R1;IL2RG;IL21R;TNFSF14
prerank,Graft-versus-host disease,-0.6404089054630334,-1.64206828862754,6.097561e-03,8.444653e-02,2.130000e-01,4/27,0.94%,KIR3DL1;KIR3DL2;HLA-A;HLA-DRB5
prerank,Systemic lupus erythematosus,-0.5142632050399782,-1.5539944085057766,1.000000e-03,1.356815e-01,3.550000e-01,9/63,7.78%,H3-3B;H2BC12;HLA-DRB5;H2AX;H2AJ;SNRPD1;H4C3;H2AC17;H2AZ1
prerank,Protein export,-0.6146562972497838,-1.5081830324132035,3.684211e-02,1.568727e-01,4.430000e-01,9/23,9.24%,SEC61G;SRP9;SRP68;SRPRB;SEC61A1;SRP19;SEC63;HSPA5;SPCS2
prerank,Legionellosis,-0.5203256068029608,-1.4651167523445594,1.000000e-03,1.756139e-01,5.180000e-01,7/42,2.75%,HBS1L;ARF1;SAR1A;EEF1G;HSPD1;RAB1A;NFKBIA
prerank,Peroxisome,0.6269944521345245,1.4108530331195457,9.988901e-03,1.000000e+00,9.310000e-01,17/58,15.07%,FAR1;SOD2;ACOT8;AGPS;ABCD3;HMGCL;MVK;ACAA1;SOD1;PEX14;PEX11B;SCP2;PEX2;PECR;MLYCD;GNPAT;MPV17
prerank,"Valine, leucine and isoleucine degradation",0.6651614949678818,1.3999722378314086,1.828571e-02,1.000000e+00,9.520000e-01,14/39,24.72%,MCCC2;ALDH9A1;HMGCL;ACAA1;BCKDHB;PCCB;HADH;AUH;ACAT1;ACSF3;ACADSB;PCCA;OXCT1;HADHA
prerank,Arachidonic acid metabolism,0.7488968088981383,1.3819072151613014,5.384615e-02,1.000000e+00,9.730000e-01,3/15,10.66%,PTGDS;PTGES2;GPX7
