Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,TNF-alpha Signaling via NF-kB,-0.5728657793811333,-1.924723800687448,1.000000e-03,1.000000e-03,1.000000e-03,26/143,5.87%,MAP3K8;DUSP2;MAFF;IER3;GADD45B;REL;EGR1;B4GALT1;IL7R;BIRC2;TGIF1;ATP2B1;IER2;CD69;SAT1;IRS2;CFLAR;NFKBIA;CD44;ID2;GCH1;TIPARP;FOSL2;NFE2L2;KLF10;ZC3H12A
prerank,Apical Surface,-0.6548923041513642,-1.5613209298958706,3.351955e-02,4.609929e-02,2.693966e-02,5/19,4.54%,CRYBG1;B4GALT1;GATA3;IL2RB;IL2RG
prerank,Hedgehog Signaling,0.7685261715198132,1.4521078836822165,1.376721e-02,1.480301e-01,1.630000e-01,4/17,10.50%,ADGRG1;PTCH1;NF1;MYH9
prerank,Apical Junction,0.5606609566041046,1.2979131289340093,4.636459e-02,8.175299e-01,8.550000e-01,28/90,24.57%,ATP1A3;INPPL1;PCDH1;CAP1;MAPK14;CERCAM;NF1;MAPK13;ADAM15;PLCG1;MYH9;SHC1;PIK3R3;MYL12B;HADH;ITGB1;DHX16;NF2;VASP;ARPC2;ZYX;SYMPK;CTNNA1;AKT3;GNAI2;MAP4K2;ACTG1;LIMA1
prerank,UV Response Dn,0.5532772903113008,1.2896269728805916,5.345912e-02,6.072598e-01,8.960000e-01,35/89,27.06%,RUNX1;PDGFRB;MAPK14;ADD3;GRK5;CDK13;MTA1;MT1E;ERBB2;PTPRM;WDR37;BCKDHB;PEX14;TOGARAM1;CDKN1B;NR1D2;PIK3R3;SPOP;CITED2;SCAF8;PDLIM5;ATP2C1;MGMT;MAP2K5;DMAC2L;NEK7;SLC22A18;AKT3;ANXA2;SYNJ2;GCNT1;ATP2B4;DBP;MIOS;SRI
prerank,IL-6/JAK/STAT3 Signaling,-0.451275388914368,-1.2624853509712253,9.876543e-02,2.494090e-01,2.047414e-01,6/50,4.54%,MAP3K8;SOCS1;IFNGR1;CD44;IL18R1;IL2RG
prerank,Pperoxisome,0.5518713661956837,1.258540377222736,8.200213e-02,6.556220e-01,9.530000e-01,24/76,20.43%,SOD2;ACOT8;RDH11;ALDH9A1;ABCD3;SLC35B2;HMGCL;ACAA1;FDPS;CNBP;SOD1;PEX14;PEX11B;SCP2;CADM1;PEX2;MLYCD;GNPAT;ERCC3;ACSL5;CDK7;HSD17B11;ACSL4;ABCC5
prerank,IL-2/STAT5 Signaling,-0.33707884501630364,-1.1520781208250281,5.555556e-02,4.352837e-01,4.116379e-01,20/133,6.88%,MAP3K8;SOCS1;MAFF;GADD45B;IFNGR1;ITGAE;SELL;ABCB1;SLC1A5;IL2RB;HOPX;CD44;NFKBIZ;CD81;IL18R1;IFITM3;GPR65;HUWE1;IRF8;P4HA1
prerank,Inflammatory Response,-0.34969515211191904,-1.147656259441063,1.395349e-01,3.574468e-01,4.191810e-01,13/108,5.27%,IL7R;ATP2B1;RGS1;SELL;IL18RAP;CD69;IL2RB;TAPBP;NFKBIA;GCH1;IL18R1;CD55;GNAI3
prerank,Xenobiotic Metabolism,0.4857715901498931,1.131191410228335,2.245322e-01,1.000000e+00,1.000000e+00,22/100,18.26%,PTGDS;TMBIM6;ATP2A2;MCCC2;PSMB10;ALDH9A1;CYFIP2;MAN1A1;TNFRSF1A;GCLC;CYB5A;CES1;PINK1;DHRS7;GSS;PMM1;PDLIM5;COMT;ALAS1;GSTM4;CBR1;MTHFD1
