Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Chemokine Receptors Bind Chemokines R-HSA-380108,-0.8030824667592327,-1.9483530511823437,1.000000e-03,8.316760e-02,3.600000e-02,2/18,0.05%,XCL1;XCL2
prerank,Peptide Ligand-Binding Receptors R-HSA-375276,-0.7209896242966256,-1.9214116173197935,1.000000e-03,7.651419e-02,6.800000e-02,2/31,0.05%,XCL1;XCL2
prerank,DNA Methylation R-HSA-5334118,-0.7330354667221892,-1.8185864891671064,5.154639e-03,1.663352e-01,2.020000e-01,8/22,12.60%,H3-3B;H2BC12;H2AX;H2AJ;DNMT1;H2AZ1;H2AC20;H2AZ2
prerank,Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886,-0.7086216882299329,-1.7621029249451607,1.000000e-03,2.079190e-01,3.130000e-01,5/24,1.33%,H3-3B;H2BC12;PKN1;H2AX;H2AJ
prerank,Defective Pyroptosis R-HSA-9710421,-0.6622246769143939,-1.7283017637160487,1.000000e-03,2.242199e-01,3.940000e-01,7/30,10.29%,H3-3B;H2BC12;H2AX;H2AJ;DNMT1;H2AZ1;H2AC20
prerank,Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,-0.5749817001303896,-1.6878891711629136,1.000000e-03,2.655819e-01,5.010000e-01,16/62,6.41%,KIR3DL1;KIR3DL2;KIR2DL4;HLA-A;LAIR2;KLRF1;CD96;SELL;SH2D1A;HCST;CD81;KIR2DL3;CRTAM;HLA-B;ICAM3;CD3E
prerank,PRC2 Methylates Histones And DNA R-HSA-212300,-0.6261210357617613,-1.6554018989036852,2.684564e-02,2.937004e-01,5.710000e-01,9/31,12.60%,H3-3B;H2BC12;H2AX;H2AJ;DNMT1;H2AZ1;H2AC20;PHF1;H2AZ2
prerank,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,-0.5312468242995461,-1.6057349398893688,1.000000e-03,3.717592e-01,6.990000e-01,2/54,0.05%,XCL1;XCL2
prerank,RNA Polymerase I Promoter Opening R-HSA-73728,-0.6559321603308214,-1.5941064781742211,3.645833e-02,3.565118e-01,7.270000e-01,4/22,1.33%,H3-3B;H2BC12;H2AX;H2AJ
prerank,Condensation Of Prophase Chromosomes R-HSA-2299718,-0.6048691998995184,-1.5801985768701716,1.685393e-02,3.486386e-01,7.470000e-01,10/29,12.60%,H3-3B;H2BC12;H2AX;H2AJ;SET;H2AZ1;H2AC20;SMC4;PHF8;H2AZ2
prerank,Complement Cascade R-HSA-166658,-0.6929144688842552,-1.5799404007834084,3.463203e-02,3.175490e-01,7.480000e-01,4/15,5.74%,GZMM;CD81;CD55;CPNE1
prerank,Peroxisomal Lipid Metabolism R-HSA-390918,0.8115342415834566,1.5775257484564273,2.490660e-03,6.391321e-01,3.900000e-01,5/20,13.26%,ACOT8;ACOT4;ACAA1;PECR;MLYCD
prerank,Keratan Sulfate Biosynthesis R-HSA-2022854,-0.709354137923439,-1.5765664978297727,6.486486e-02,2.989875e-01,7.640000e-01,5/16,6.74%,B3GNT7;B4GALT1;B4GALT4;SLC35D2;B3GNT2
prerank,CD28 Co-Stimulation R-HSA-389356,-0.5885265302503481,-1.538102771791834,1.851852e-02,3.569809e-01,8.450000e-01,4/28,0.95%,MAP3K8;CDC42;PIK3R1;PKN1
prerank,Bile Acid And Bile Salt Metabolism R-HSA-194068,0.8227454756578592,1.5235705858061612,7.500000e-03,1.000000e+00,7.700000e-01,2/16,1.96%,OSBPL3;ACOT8
prerank,RHO GTPases Activate NADPH Oxidases R-HSA-5668599,0.8212027743446211,1.516488762445843,1.275510e-02,7.907444e-01,8.170000e-01,6/15,10.06%,S100A9;S100A8;MAPK14;PIK3C3;PRKCZ;CYBA
prerank,Fatty Acid Metabolism R-HSA-8978868,0.6443129163483101,1.5133791549321514,1.036269e-03,6.280108e-01,8.330000e-01,24/99,21.66%,PTGDS;SCD5;SLC25A1;ACBD6;ACOT8;PRKAB2;ACOT4;ACAA1;HACD2;TECR;PTGES2;PCCB;PECR;HADH;MLYCD;HACD3;ACOT13;ACSF3;CBR1;SLC27A3;ACSL5;ACSL4;PCCA;HPGD
prerank,Assembly Of ORC Complex At Origin Of Replication R-HSA-68616,-0.6025016342776528,-1.5100208405023297,4.000000e-02,3.993233e-01,8.890000e-01,4/26,1.33%,H3-3B;H2BC12;H2AX;H2AJ
prerank,Synthesis Of Bile Acids And Bile Salts R-HSA-192105,0.8227473733727517,1.5092816263388347,8.760951e-03,5.410834e-01,8.620000e-01,2/15,1.96%,OSBPL3;ACOT8
prerank,Meiotic Synapsis R-HSA-1221632,-0.5522899508848572,-1.5083543178603145,1.612903e-02,3.763611e-01,8.910000e-01,11/41,12.60%,H2BC12;H2AX;H2AJ;TERF1;SMC3;RAD21;H2AZ1;TERF2IP;H2AC20;SMC1A;H2AZ2
prerank,Reproduction R-HSA-1474165,-0.4951202079336686,-1.4873787071668065,1.111111e-02,4.015956e-01,9.200000e-01,12/63,10.29%,H3-3B;H2BC12;B4GALT1;H2AX;H2AJ;TERF1;SMC3;RAD21;H2AZ1;TERF2IP;BLM;H2AC20
