Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,-0.4518310081131458,-1.9944483019219028,1.000000e-03,1.625436e-01,7.400000e-02,26/62,14.93%,KIR3DL1;KIR3DL2;KIR2DL4;HLA-A;LAIR2;KLRF1;CD96;SELL;SH2D1A;HCST;CD81;KIR2DL3;CRTAM;TREML1;HLA-B;CD3E;ICAM3;SH2D1B;CD160;LAIR1;NPDC1;SLAMF6;ICAM1;KLRG1;CD300A;B2M
prerank,Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886,-0.5207371132178444,-1.8412699076917818,4.926108e-03,3.439686e-01,2.660000e-01,5/24,1.46%,H3-3B;H2BC12;PKN1;H2AX;H2AJ
prerank,DNA Methylation R-HSA-5334118,-0.5311163882443968,-1.8398250683931616,4.830918e-03,2.315015e-01,2.680000e-01,8/22,15.72%,H3-3B;H2BC12;H2AX;H2AJ;DNMT1;H2AZ1;H2AC20;H2AZ2
prerank,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,-0.4766113028740503,-1.740445693391811,1.000000e-03,3.727010e-01,4.880000e-01,15/28,18.21%,SEC61G;TRAM1;RSL24D1;SRP68;SSR4;SRPRB;SEC61A1;SRP19;RPN2;SPCS2;SSR2;SRP14;SSR3;DDOST;FAU
prerank,Meiotic Synapsis R-HSA-1221632,-0.42211215329891194,-1.6968873749987488,7.812500e-03,4.009409e-01,5.750000e-01,15/41,16.93%,H2BC12;H2AX;H2AJ;TERF1;SMC3;RAD21;H2AZ1;TERF2IP;PMEPA1;H2AC20;REC8;SUN1;SMC1A;H2AZ2;POT1
prerank,RHO GTPases Activate NADPH Oxidases R-HSA-5668599,0.6636197065152283,1.6902790680945443,1.000000e-03,1.000000e+00,6.940000e-01,6/15,10.50%,S100A9;S100A8;MAPK14;PRKCZ;PIK3C3;CYBA
prerank,Inhibition Of DNA Recombination At Telomere R-HSA-9670095,-0.412459497136594,-1.6667022635798732,6.134969e-03,4.167575e-01,6.420000e-01,12/38,12.50%,H3-3B;H2BC12;H2AX;H2AJ;TERF1;POLR2G;POLR2L;POLR2J;H2AZ1;TERF2IP;POLR2F;H2AC20
prerank,mRNA 3-End Processing R-HSA-72187,-0.3676021825281295,-1.6578588065992639,1.000000e-03,3.792685e-01,6.630000e-01,16/56,9.27%,SRRM1;U2AF1;MAGOH;SRSF5;PAPOLA;ZC3H11A;SRSF9;SRSF2;FYTTD1;CPSF1;SRSF6;CPSF6;SRSF7;POLDIP3;THOC7;RNPS1
prerank,Peroxisomal Lipid Metabolism R-HSA-390918,0.5971126558280602,1.6442145693118522,6.281407e-03,1.000000e+00,8.560000e-01,6/20,13.88%,ACOT8;PHYH;ACOT4;ACAA1;PECR;MLYCD
prerank,RNA Polymerase II Transcription Termination R-HSA-73856,-0.3634201797287735,-1.6316771630456035,1.000000e-03,3.919928e-01,7.100000e-01,18/64,9.27%,SRRM1;U2AF1;MAGOH;SRSF5;PAPOLA;ZC3H11A;SRSF9;SRSF2;FYTTD1;CPSF1;SRSF6;CPSF6;SLBP;SNRPF;SRSF7;POLDIP3;THOC7;RNPS1
prerank,Complement Cascade R-HSA-166658,-0.5105156898383458,-1.6161176165858981,2.892562e-02,3.836467e-01,7.370000e-01,4/15,6.50%,GZMM;CD81;CD55;CPNE1
prerank,RNA Polymerase I Promoter Opening R-HSA-73728,-0.4602650741622757,-1.615805927087099,3.111111e-02,3.464314e-01,7.370000e-01,4/22,1.46%,H3-3B;H2BC12;H2AX;H2AJ
prerank,Chemokine Receptors Bind Chemokines R-HSA-380108,-0.49551182685223916,-1.6086933272157875,2.439024e-02,3.258335e-01,7.450000e-01,2/18,0.06%,XCL1;XCL2
prerank,"Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170",-0.447520463576529,-1.5937296388005644,2.617801e-02,3.309706e-01,7.750000e-01,14/26,18.87%,HLA-A;SEC24C;TAPBP;PDIA3;HLA-B;SAR1B;CALR;HSPA5;ATG14;SEC24A;B2M;SEC13;CANX;SEC24D
prerank,PRC2 Methylates Histones And DNA R-HSA-212300,-0.424870183947071,-1.5870735494867643,1.724138e-02,3.207932e-01,7.950000e-01,9/31,15.72%,H3-3B;H2BC12;H2AX;H2AJ;DNMT1;H2AZ1;H2AC20;PHF1;H2AZ2
prerank,Condensation Of Prophase Chromosomes R-HSA-2299718,-0.42381901000855293,-1.5671712562065971,1.829268e-02,3.420922e-01,8.400000e-01,10/29,15.72%,H3-3B;H2BC12;H2AX;H2AJ;SET;H2AZ1;H2AC20;SMC4;PHF8;H2AZ2
prerank,NGF-stimulated Transcription R-HSA-9031628,-0.47465195932927845,-1.5664277077043485,2.463054e-02,3.207090e-01,8.400000e-01,9/20,16.17%,EGR1;RNASEH2A;ID2;CDK5;DNM2;JUND;MEF2D;CHD4;ID1
prerank,Defective Pyroptosis R-HSA-9710421,-0.41372501353555646,-1.5647282485108516,1.648352e-02,3.037431e-01,8.420000e-01,7/30,12.50%,H3-3B;H2BC12;H2AX;H2AJ;DNMT1;H2AZ1;H2AC20
prerank,Lysosome Vesicle Biogenesis R-HSA-432720,0.5310785899394523,1.5329096441045449,1.719902e-02,1.000000e+00,9.970000e-01,11/26,20.53%,HGS;BLOC1S1;HSPA8;CLTC;VAMP8;ARRB1;AP1B1;VAMP2;AP1S1;AP4M1;GNS
prerank,Transcriptional Regulation Of White Adipocyte Differentiation R-HSA-381340,0.4571144719712654,1.5274507129884478,8.888889e-03,1.000000e+00,9.980000e-01,18/64,17.36%,MED27;SREBF2;FAM120B;MED24;MED12;MED25;HELZ2;CDK4;NCOA6;MED7;MED17;MBD4;CCND3;NCOR1;CDK19;MED8;NCOA3;TNF
prerank,Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,0.5761388397677876,1.5222235489913014,1.572739e-02,1.000000e+00,9.980000e-01,5/18,8.15%,COL13A1;P3H1;COLGALT2;PLOD1;PLOD3
prerank,Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471,0.5092674197925356,1.5182540826305684,1.463415e-02,1.000000e+00,9.990000e-01,22/31,36.35%,STAT3;USP11;WRAP53;FBXW4;CCT7;TP53;AP3M1;CCT3;FBXO4;CCT5;ARFGEF2;SKIC2;CCT2;XRN2;FBXW2;KIFC3;FBXL5;DCAF7;FBXW5;FBXL3;LONP2;NOP56
prerank,Formation Of A Pool Of Free 40S Subunits R-HSA-72689,-0.46457050827353946,-1.513176420859833,4.382470e-02,3.900854e-01,9.070000e-01,5/18,5.49%,EIF3G;RSL24D1;EIF3J;EIF3E;EIF3M
prerank,Interleukin-7 Signaling R-HSA-1266695,-0.46361310397451594,-1.5123188344361254,3.906250e-02,3.707855e-01,9.090000e-01,6/18,5.17%,SOCS1;PIK3R1;IL7R;JAK1;IRS2;IL2RG
prerank,Transport Of Mature mRNA Derived From An Intron-Containing Transcript R-HSA-159236,-0.32401133775304336,-1.511675625742506,1.111111e-02,3.528260e-01,9.100000e-01,18/71,9.27%,SRRM1;U2AF1;MAGOH;SRSF5;ZC3H11A;NUP98;SRSF9;TPR;SRSF2;FYTTD1;SRSF6;SEH1L;NUP155;SRSF7;POLDIP3;THOC7;NXT1;RNPS1
prerank,Transport Of Mature Transcript To Cytoplasm R-HSA-72202,-0.31372444324178766,-1.5109445504369938,1.000000e-03,3.371549e-01,9.100000e-01,20/80,9.27%,SRRM1;U2AF1;MAGOH;SRSF5;ZC3H11A;NUP98;SRSF9;TPR;SRSF2;FYTTD1;CPSF1;SRSF6;SEH1L;NUP155;SLBP;SRSF7;POLDIP3;THOC7;NXT1;RNPS1
prerank,Keratan Sulfate Biosynthesis R-HSA-2022854,-0.4830220524460668,-1.5018978855687652,4.979253e-02,3.397858e-01,9.170000e-01,5/16,7.63%,B3GNT7;B4GALT1;B4GALT4;SLC35D2;B3GNT2
prerank,Assembly Of ORC Complex At Origin Of Replication R-HSA-68616,-0.4073618787656444,-1.5010612017344669,3.349282e-02,3.262813e-01,9.170000e-01,4/26,1.46%,H3-3B;H2BC12;H2AX;H2AJ
prerank,Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927,0.5075714467647173,1.4960301310735478,3.147700e-02,1.000000e+00,1.000000e+00,16/29,25.54%,STAT3;CRK;DOK1;CDK4;ERBB2;CDKN1B;PTPN1;HIF1A;PELP1;NRG2;ARHGAP35;UBA52;RHOA;UBC;KHDRBS1;CBL
prerank,Reproduction R-HSA-1474165,-0.3356836974624516,-1.4949781458208975,1.851852e-02,3.245876e-01,9.260000e-01,18/63,16.93%,H3-3B;H2BC12;B4GALT1;H2AX;H2AJ;TERF1;SMC3;RAD21;H2AZ1;TERF2IP;BLM;PMEPA1;H2AC20;REC8;SUN1;SMC1A;H2AZ2;POT1
prerank,TRAF6 Mediated IRF7 Activation R-HSA-933541,0.5648273875524559,1.4646857418085357,4.855643e-02,1.000000e+00,1.000000e+00,10/15,29.30%,TRIM4;TRAF6;TBK1;MAVS;SIKE1;IRF3;TRIM25;RIGI;IRF7;TANK
prerank,Energy Dependent Regulation Of mTOR By LKB1-AMPK R-HSA-380972,0.4997918345915066,1.4646733646365513,4.767726e-02,1.000000e+00,1.000000e+00,11/26,23.07%,STRADA;PRKAB2;RRAGC;TSC2;PPM1A;SLC38A9;STK11;RPTOR;CAB39;RRAGB;MTOR
prerank,Processing Of SMDT1 R-HSA-8949664,-0.47004451460351887,-1.4596562600377117,5.384615e-02,3.817996e-01,9.550000e-01,5/16,9.87%,MCUB;AFG3L2;STOML2;PHB1;MAIP1
prerank,mRNA Splicing - Major Pathway R-HSA-72163,-0.2726844062047169,-1.4586773343527666,1.000000e-03,3.688263e-01,9.560000e-01,61/177,16.85%,SRRM1;U2AF1;MAGOH;SRSF5;SNW1;SNRNP27;SF3B6;HNRNPM;PAPOLA;POLR2G;TRA2B;SNRPB2;SYF2;SRSF9;SF3A1;SRSF2;HNRNPH1;HNRNPUL1;CPSF1;SRSF6;CPSF6;POLR2L;HNRNPA0;LSM4;POLR2J;SNRPF;SRSF10;CWC15;SRSF7;HNRNPA1;SNU13;SNRPD2;RNPS1;LSM7;U2SURP;SF3B2;PCBP1;POLR2F;HNRNPK;MTREX;PHF5A;SLU7;PQBP1;ELAVL1;CCAR1;DDX5;DNAJC8;SNRPG;SNRNP40;ALYREF;SF3B1;BUD31;PCBP2;TFIP11;SRSF3;PPIE;WBP11;CWC25;SNRPC;DDX46;RBM5
prerank,Interferon Alpha/Beta Signaling R-HSA-909733,-0.32858407751879287,-1.44936416433472,3.361345e-02,3.742166e-01,9.620000e-01,17/57,12.81%,SOCS1;HLA-A;EGR1;JAK1;IFI6;IFITM3;IFITM2;HLA-B;IP6K2;IRF8;IRF1;OAS1;MX2;OAS2;SOCS3;ISG15;IFIT2
