Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Reactome_2022__RMTs Methylate Histone Arginines R-HSA-3214858,-0.7175791847622366,-2.0015167135950853,1.000000e-03,8.397568e-01,2.500000e-01,5/9,11.59%,RBBP7;H2AX;H2AZ1;SMARCE1;SMARCA2
prerank,Reactome_2022__RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243,-0.7804474665524197,-1.9521441878130996,1.123596e-02,6.464315e-01,3.360000e-01,4/6,11.59%,CSNK2B;CBX4;SMARCE1;SMARCA2
prerank,Reactome_2022__ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,-0.6614765677688853,-1.9063629077505229,4.237288e-03,6.162244e-01,4.230000e-01,4/9,6.94%,CHD4;RBBP7;H2AX;H2AZ1
prerank,Reactome_2022__Amino Acids Regulate mTORC1 R-HSA-9639288,-0.7324839063348727,-1.8952732408228725,1.000000e-03,5.064720e-01,4.480000e-01,4/7,9.03%,LAMTOR5;ATP6V0C;LAMTOR1;TCIRG1
prerank,Reactome_2022__EPHB-mediated Forward Signaling R-HSA-3928662,-0.5535566102134657,-1.8752581669689359,5.813953e-03,4.696194e-01,5.050000e-01,9/13,16.19%,ARPC3;CDC42;PKN1;ACTG1;ARPC1B;ROCK1;ARPC2;LYN;RHOA
prerank,Reactome_2022__Transcriptional Regulation By Small RNAs R-HSA-5578749,-0.5348840763803004,-1.8595199845096049,2.027027e-02,4.457222e-01,5.430000e-01,9/15,20.57%,POLR2J;POLR2K;H2AX;H2AZ1;RAN;POLR2G;POLR2E;H2AZ2;H3-3B
prerank,Reactome_2022__Activation Of HOX Genes During Differentiation R-HSA-5619507,-0.4876285157597166,-1.807829918227824,1.000000e-03,5.425766e-01,6.550000e-01,6/18,6.94%,CREBBP;POLR2J;POLR2K;RBBP7;H2AX;H2AZ1
prerank,Reactome_2022__Sphingolipid Metabolism R-HSA-428157,-0.7804332619302727,-1.7363565282362179,2.580645e-02,7.388148e-01,7.780000e-01,3/5,5.88%,ESYT2;SPTSSB;GLTP
prerank,Reactome_2022__RNA Polymerase I Promoter Clearance R-HSA-73854,-0.49257029299322896,-1.6920620247443163,6.493506e-03,7.656487e-01,8.510000e-01,5/16,6.94%,CHD4;POLR2K;RBBP7;H2AX;H2AZ1
prerank,Reactome_2022__RNA Polymerase I Transcription R-HSA-73864,-0.49257029299322896,-1.6920620247443163,6.493506e-03,7.656487e-01,8.510000e-01,5/16,6.94%,CHD4;POLR2K;RBBP7;H2AX;H2AZ1
prerank,Reactome_2022__EPH-Ephrin Signaling R-HSA-2682334,-0.4309126078113368,-1.6667460131132943,1.000000e-03,7.908762e-01,8.780000e-01,12/20,16.19%,ARPC3;CDC42;PKN1;AP2M1;ACTG1;ARPC1B;ROCK1;MYL6;VAV3;ARPC2;LYN;RHOA
prerank,Reactome_2022__CDC42 GTPase Cycle R-HSA-9013148,0.5331296181354734,1.6361841781675028,6.659267e-03,1.000000e+00,8.430000e-01,15/34,20.30%,CDC42SE2;TAGAP;ARHGAP45;KTN1;FNBP1;LBR;STOM;DEF6;ARHGAP30;IQGAP2;FMNL1;WIPF1;ARFGAP3;GNA13;DOCK10
prerank,Reactome_2022__Translocation Of SLC2A4 (GLUT4) To Plasma Membrane R-HSA-1445148,0.6755370373192241,1.6123444795284239,1.608911e-02,1.000000e+00,9.020000e-01,6/10,17.63%,RAB14;VAMP2;LNPEP;MYH9;YWHAZ;KIFAP3
prerank,Reactome_2022__Diseases Of Mitotic Cell Cycle R-HSA-9675126,0.7138825185900094,1.6086743319279546,5.069708e-03,1.000000e+00,9.100000e-01,5/9,16.77%,ATRX;CDKN1B;CCND2;CCND3;ANAPC16
prerank,Reactome_2022__Resolution Of Sister Chromatid Cohesion R-HSA-2500257,0.6201934345072738,1.6067485016324272,1.309524e-02,1.000000e+00,9.180000e-01,6/15,9.56%,KIF2A;DYNC1H1;PPP2R1A;BUB3;PPP1CC;PPP2R5C
prerank,Reactome_2022__Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,0.6401852146981982,1.5963499114864403,8.557457e-03,9.839630e-01,9.410000e-01,6/13,9.56%,KIF2A;DYNC1H1;PPP2R1A;BUB3;PPP1CC;PPP2R5C
prerank,Reactome_2022__MicroRNA (miRNA) Biogenesis R-HSA-203927,-0.5855952710806878,-1.5952454820706599,6.113537e-02,1.000000e+00,9.440000e-01,5/8,17.74%,POLR2J;POLR2K;RAN;POLR2G;POLR2E
