Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	mTORC1 Signaling	122/200	1.239086e-19	6.195428e-18	0	0	3.679587e+00	1.601899e+02	ERO1A;TES;TFRC;PITPNB;TMEM97;RRP9;FADS2;PNP;FADS1;PDK1;STARD4;G6PD;IFRD1;ACSL3;TUBA4A;SYTL2;ACLY;DDX39A;MTHFD2;PPA1;DDIT3;PSME3;MTHFD2L;TRIB3;HPRT1;SQSTM1;PPIA;IDI1;NUP205;PSMD12;PSMD14;SHMT2;INSIG1;RPN1;GMPS;PIK3R3;SLC1A4;SLC1A5;ADIPOR2;HSP90B1;STIP1;PGK1;SSR1;LTA4H;HSPA9;NIBAN1;XBP1;HSPA5;GOT1;PNO1;HSPA4;SRD5A1;EDEM1;ASNS;DHCR24;DHFR;MLLT11;CCT6A;QDPR;SQLE;SLC6A6;GCLC;EPRS1;P4HA1;BHLHE40;NMT1;CALR;DHCR7;NFKBIB;GPI;GSK3B;BTG2;GBE1;ITGB2;SLC2A1;ATP2A2;SLC2A3;PGM1;ACTR3;ACTR2;HMGCS1;ELOVL5;ELOVL6;UCHL5;SLC7A5;CANX;MCM4;ETF1;ALDOA;EEF1E1;PPP1R15A;RAB1A;TOMM40;NUFIP1;USO1;CXCR4;HMGCR;ADD3;UNG;HSPD1;GGA2;PSMB5;NFIL3;SC5D;ABCF2;YKT6;LDLR;RRM2;NFYC;TXNRD1;GSR;CYP51A1;RPA1;IMMT;GTF2H1;HSPE1;RIT1;UFM1;PFKL;PSMC6;CCNG1;TCEA1
MSigDB_Hallmark_2020	Myc Targets V1	119/200	5.711181e-18	1.427795e-16	0	0	3.453675e+00	1.371251e+02	HNRNPU;HNRNPR;PWP1;PHB2;RRP9;EEF1B2;FBL;PSMD7;TRIM28;PSMD3;PSMD1;TXNL4A;KPNA2;SMARCC1;STARD7;EIF1AX;IFRD1;MRPS18B;ILF2;CLNS1A;SRSF2;HPRT1;PPIA;SRSF7;SNRPA;KPNB1;SET;PSMD14;CSTF2;CUL1;NOLC1;GSPT1;PRDX3;PCBP1;G3BP1;ORC2;PGK1;XRCC6;NOP16;GOT2;EIF2S1;SRPK1;AIMP2;EPRS1;CDK4;HNRNPD;UBA2;HNRNPC;EIF4G2;YWHAE;SLC25A3;HSP90AB1;MCM7;SYNCRIP;XPO1;YWHAQ;C1QBP;RACK1;DHX15;TOMM70;CCT2;RFC4;NCBP1;PABPC4;CAD;CTPS1;RAD23B;TFDP1;CANX;TCP1;MCM4;SNRPA1;MCM5;ETF1;PABPC1;MCM6;PRPS2;HDAC2;SF3B3;ODC1;SRSF1;DDX21;U2AF1;HSPD1;SRM;PPM1G;EXOSC7;FAM120A;POLD2;USP1;EIF4H;BUB3;IARS1;CCT7;EIF4E;CCT4;NPM1;SF3A1;DUT;HNRNPA3;RRM1;SSB;PTGES3;CNBP;NAP1L1;HSPE1;RSL1D1;PSMC6;XPOT;APEX1;IMPDH2;HNRNPA2B1;SERBP1;HDGF;TARDBP;ABCE1;EIF3D;RAN;EIF3B
MSigDB_Hallmark_2020	Unfolded Protein Response	74/113	8.466797e-15	1.411133e-13	0	0	4.440204e+00	1.438743e+02	EIF4A2;ERO1A;H2AX;EIF4A3;RRP9;EDC4;TATDN2;KHSRP;KIF5B;MTREX;TSPYL2;SLC30A5;DDX10;PDIA6;YWHAZ;ARFGAP1;DNAJC3;SLC7A5;MTHFD2;DKC1;GEMIN4;PREB;ATF6;TARS1;ATF3;DCP2;EXOC2;SHC1;DCTN1;CEBPG;PARN;CXXC1;NOLC1;SLC1A4;SDAD1;HSP90B1;EXOSC5;EXOSC4;EXOSC10;EXOSC9;SSR1;DNAJB9;IARS1;EXOSC2;EIF4E;SEC31A;PAIP1;HSPA9;ZBTB17;XBP1;NOP14;NPM1;HSPA5;NFYA;NFYB;EDEM1;EIF2AK3;ASNS;EEF2;EIF2S1;CNOT4;SPCS3;CNOT6;XPOT;DNAJA4;CNOT2;SRPRA;SRPRB;NABP1;HYOU1;CALR;ALDH18A1;DCP1A;EIF4G1
MSigDB_Hallmark_2020	Mitotic Spindle	110/199	1.178095e-13	1.472619e-12	0	0	2.899419e+00	8.631487e+01	SMC3;SMC4;PREX1;PPP4R2;KIF5B;ARHGDIA;CDC27;ARFIP2;CEP250;KNTC1;FBXO5;KIFAP3;CDK5RAP2;MAP1S;CSNK1D;TSC1;ACTN4;TUBA4A;CD2AP;BCR;CLIP1;GEMIN4;KIF20B;EZR;LLGL1;ARL8A;VCL;NOTCH2;EPB41;PXN;KLC1;ABR;RHOT2;BCL2L11;KIF3B;ABL1;STK38L;CEP192;MARK4;SPTBN1;TBCD;ARHGAP27;HOOK3;SSH2;DLG1;SASS6;NF1;TUBGCP6;TUBGCP3;CEP57;YWHAE;NUMA1;WASL;ARHGAP5;ARHGAP4;LMNB1;AKAP13;PCM1;CNTRL;NCK2;TLK1;KIF1B;SPTAN1;SUN2;ARHGEF12;PLEKHG2;RFC1;KIF22;SMC1A;DYNLL2;CKAP5;LATS1;ARHGAP10;INCENP;PALLD;RASA1;RASA2;ARHGEF3;MYH9;ARHGEF2;ARHGEF7;SOS1;DOCK2;RAPGEF6;PAFAH1B1;RABGAP1;STAU1;NEDD9;KATNB1;HDAC6;KATNA1;FLNA;FLNB;PCNT;PDLIM5;WASF2;CLASP1;ARFGEF1;DYNC1H1;PCGF5;RANBP9;MYO9B;SEPTIN9;MYO1E;NIN;APC;CENPJ;ALMS1;TAOK2;ABI1
MSigDB_Hallmark_2020	Protein Secretion	63/96	7.147365e-13	7.147365e-12	0	0	4.461160e+00	1.247646e+02	ARF1;CLTC;CLTA;RAB22A;GOLGA4;SCRN1;AP1G1;LAMP2;KIF1B;ARFIP1;ATP7A;DNM1L;RAB2A;TPD52;STX7;COG2;ADAM10;AP3B1;SCAMP1;ARFGAP3;SCAMP3;TMX1;ZW10;VAMP4;VAMP3;NAPA;COPB2;STX12;TMED10;TSG101;SGMS1;STX16;COPB1;VPS4B;USO1;ATP1A1;CLCN3;NAPG;LMAN1;SNX2;MAPK1;YKT6;SEC31A;ARFGEF1;ARFGEF2;MON2;BNIP3;GBF1;AP2B1;STAM;IGF2R;ARCN1;GALC;RAB14;DOP1A;PPT1;GNAS;ANP32E;VPS45;SEC24D;PAM;RAB5A;BET1
MSigDB_Hallmark_2020	G2-M Checkpoint	108/200	1.485621e-12	1.238018e-11	0	0	2.752350e+00	7.496077e+01	CCNT1;HNRNPU;ARID4A;SMC4;PTTG1;KIF5B;CDC27;FBXO5;KMT5A;KPNA2;TMPO;SMARCC1;SLC38A1;HUS1;LIG3;PRPF4B;CDC25B;SAP30;ILF3;DDX39A;EWSR1;DKC1;NCL;SRSF2;NUP98;KIF20B;ATF5;KPNB1;NOTCH2;CUL5;YTHDC1;CUL3;CUL1;NOLC1;PDS5B;HIF1A;GSPT1;ORC5;RAD21;G3BP1;ABL1;HSPA8;DR1;TGFB1;SMAD3;ODF2;HMGA1;CDC7;FOXN3;SQLE;STAG1;UCK2;POLA2;UBE2S;CDK4;BCL3;HNRNPD;H2AX;CDKN1B;NUMA1;SUV39H1;AMD1;CTCF;LMNB1;SYNCRIP;CHAF1A;XPO1;LBR;POLE;TNPO2;UPF1;SS18;ATRX;KIF22;SMC1A;RAD23B;H2BC12;SLC7A5;SFPQ;DBF4;TFDP1;RBL1;INCENP;NUP50;CKS2;MCM3;MCM5;MCM6;TOP1;PAFAH1B1;PRIM2;ODC1;SRSF1;SLC7A1;HIRA;PURA;WRN;KATNA1;NSD2;E2F3;BUB3;E2F4;SRSF10;SLC12A2;CASP8AP2;MAPK14;PML;CUL4A
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	62/105	7.327764e-10	5.234117e-09	0	0	3.366355e+00	7.080852e+01	ATF1;GSK3B;ARF1;CDKN1B;YWHAB;CLTC;PTEN;SLC2A1;FASLG;ECSIT;RPTOR;PPP2R1B;ARHGDIA;AKT1;MAP3K7;HRAS;PDK1;ACTR3;VAV3;ACTR2;PLA2G12A;PRKCB;TRAF2;IRAK4;LCK;DDIT3;CSNK2B;AKT1S1;TRIB3;RAF1;PLCB1;SQSTM1;CAB39;MAPKAP1;PIK3R3;ITPR2;CXCR4;NOD1;IL2RG;HSP90B1;MAPK9;MAPK8;GRK2;PRKAR2A;MKNK2;THEM4;MAPK1;RIPK1;PLCG1;EIF4E;MAP2K6;SMAD2;STAT2;PTPN11;PIKFYVE;RIT1;CDK4;UBE2N;GRB2;CALR;MYD88;NFKBIB
MSigDB_Hallmark_2020	Myc Targets V2	39/58	5.990012e-09	3.743758e-08	0	0	4.782162e+00	9.054150e+01	NIP7;NOP2;PPAN;NOLC1;NOC4L;TMEM97;RABEPK;WDR43;RRP9;SRM;TBRG4;HSPD1;UNG;EXOSC5;TCOF1;PES1;UTP20;MAP3K6;DUSP2;NPM1;NOP16;PRMT3;WDR74;IMP4;TFB2M;PPRC1;HSPE1;SUPV3L1;RCL1;AIMP2;MYBBP1A;LAS1L;CDK4;GRWD1;NDUFAF4;MRTO4;MCM4;MCM5;FARSA
MSigDB_Hallmark_2020	E2F Targets	98/200	1.523412e-08	8.463399e-08	0	0	2.247231e+00	4.044954e+01	NUP107;MRE11;TFRC;CSE1L;CCP110;SMC6;SMC3;SMC4;IPO7;PTTG1;NBN;KPNA2;TMPO;LIG1;HUS1;CDC25B;ILF3;DDX39A;MSH2;MTHFD2;ZW10;TIMELESS;SRSF2;ASF1A;SLBP;NUP205;DNMT1;RNASEH2A;PRKDC;SHMT1;NOLC1;PDS5B;GSPT1;UBR7;RAD21;ORC2;XRCC6;CBX5;HMGA1;NUP153;PAICS;EIF2S1;PAN2;POLA2;STAG1;UBE2S;CDK4;ANP32E;HNRNPD;CNOT9;H2AX;CDKN1B;MCM7;SUV39H1;PSIP1;CTCF;LMNB1;SYNCRIP;XPO1;ING3;POLE;LBR;TCF19;HELLS;RFC1;EED;TUBB;CTPS1;KIF22;SMC1A;CKS2;MCM3;MCM4;MCM5;MCM6;PRIM2;PRPS1;SRSF1;PPM1D;UNG;TBRG4;POLD3;POLD2;USP1;RBBP7;DUT;RRM2;CDKN2A;ATAD2;RPA1;NAP1L1;SSRP1;MLH1;NUDT21;RAD50;WEE1;NCAPD2;RAN
MSigDB_Hallmark_2020	heme Metabolism	95/200	1.656736e-07	8.283678e-07	0	0	2.114669e+00	3.301685e+01	ISCA1;BTG2;NARF;TFRC;PIGQ;SLC2A1;NR3C1;BACH1;NUDT4;CCDC28A;ALAD;HEBP1;RNF19A;CDC27;LAMP2;ACP5;BTRC;FBXO7;H4C3;RBM5;FBXO9;CAST;BNIP3L;ARHGEF12;KHNYN;SLC11A2;NCOA4;PPP2R5B;SLC30A1;RAD23A;VEZF1;GAPVD1;TENT5C;RNF123;KAT2B;MINPP1;DAAM1;TFDP2;CAT;TRIM58;ATG4A;TOP1;OPTN;KDM7A;MARCHF2;USP15;FECH;EPB41;DCUN1D1;ENDOD1;GMPS;HTRA2;FOXO3;ADIPOR1;PPOX;CLCN3;ADD1;TRAK2;MXI1;MARCHF8;TSPAN5;DCAF10;CDR2;MPP1;RBM38;RIOK3;EIF2AK1;SLC10A3;NEK7;FOXJ2;XPO7;ASNS;FBXO34;ELL2;KLF3;UBAC1;RCL1;SLC25A38;MFHAS1;SLC25A37;ALDH6A1;GCLC;ARL2BP;SYNJ1;MKRN1;TCEA1;HDGF;YPEL5;GCLM;LRP10;LPIN2;EZH1;NFE2L1;PICALM;TNRC6B
