Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Oxidative Phosphorylation	63/200	2.915338e-46	1.341055e-44	0	0	1.612504e+01	1.690694e+03	COX7B;MRPS11;MRPS12;MRPL34;COX6A1;MPC1;ATP6V1E1;ACAA1;COX8A;ATP6V0B;ATP6V0E1;ECH1;NDUFC2;SDHC;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS2;SLC25A11;NDUFB8;ECHS1;NDUFB7;MGST3;NDUFB4;COX17;NDUFB3;TIMM13;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;PDHB;COX5B;COX5A;HSD17B10;UQCRH;ATP5MC1;POLR2F;ATP5MG;ATP5MF;DECR1;ATP6V1F;ATP5ME;TIMM8B;ATP5PF;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;ATP5F1D;ATP5F1E;UQCRQ;CYCS;BAX
MSigDB_Hallmark_2020	DNA Repair	21/150	6.354265e-09	1.461481e-07	0	0	5.304883e+00	1.001251e+02	TAF12;MPG;CETN2;COX17;SUPT4H1;RPA2;EDF1;GTF2H5;RBX1;POLE4;DGUOK;GUK1;POLR2C;BOLA2;TMED2;POLR2F;POLR2G;POLR2I;POLR2J;VPS28;POLR2K
MSigDB_Hallmark_2020	Interferon Gamma Response	23/200	5.420210e-08	8.310989e-07	0	0	4.238276e+00	7.090867e+01	GZMA;UBE2L6;ISG15;IFI35;BPGM;SRI;PSMB10;PSMB9;BST2;VAMP8;MT2A;PSMB2;PSMA2;CCL5;CASP4;PSME1;CASP1;PSME2;B2M;VAMP5;IRF9;PTPN2;LY6E
MSigDB_Hallmark_2020	Interferon Alpha Response	13/97	8.020351e-06	9.223403e-05	0	0	4.987519e+00	5.852119e+01	IFITM1;UBE2L6;ISG15;IFI35;TENT5A;PSMB9;BST2;PSME1;CASP1;PSME2;B2M;IRF9;LY6E
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	9/49	1.525994e-05	1.403914e-04	0	0	7.219403e+00	8.006520e+01	NDUFA6;SELENOS;NDUFB4;NDUFS2;GLRX;TXN;ATOX1;FTL;LAMTOR5
MSigDB_Hallmark_2020	Myc Targets V1	18/200	4.558049e-05	3.494504e-04	0	0	3.197802e+00	3.196533e+01	RANBP1;HDDC2;MRPL23;COX5A;PSMA7;UBE2L3;PSMA6;LSM7;PSMA4;PSMA1;PSMB2;PSMA2;PSMB3;SRSF3;ERH;SNRPB2;AP3S1;HNRNPA1
MSigDB_Hallmark_2020	Adipogenesis	17/200	1.483628e-04	9.749553e-04	0	0	2.998439e+00	2.643379e+01	COX8A;COX7B;ECHS1;NDUFB7;NDUFA5;MGST3;ECH1;CHCHD10;UQCR11;ATP1B3;SDHC;UQCR10;COX6A1;SCP2;UQCRQ;DDT;DECR1
MSigDB_Hallmark_2020	Fatty Acid Metabolism	12/158	3.464325e-03	1.991987e-02	0	0	2.635890e+00	1.493295e+01	LGALS1;ECHS1;UROS;ECH1;PSME1;UBE2L6;SDHC;MIF;PDHB;ACAA1;HSD17B10;DECR1
MSigDB_Hallmark_2020	Complement	13/200	8.801436e-03	4.353273e-02	0	0	2.228429e+00	1.054680e+01	CEBPB;FCER1G;APOBEC3G;GZMA;GZMB;ATOX1;PSMB9;GNGT2;CCL5;CASP4;CASP1;S100A9;CTSC
MSigDB_Hallmark_2020	UV Response Up	11/158	9.463637e-03	4.353273e-02	0	0	2.395678e+00	1.116458e+01	CYB5B;KLHDC3;PSMC3;BSG;CLTB;AP2S1;PDAP1;ACAA1;MRPL23;BID;ATP6V1F
MSigDB_Hallmark_2020	Pperoxisome	8/104	1.451523e-02	6.070007e-02	0	0	2.661700e+00	1.126579e+01	FIS1;FDPS;PRDX5;SCP2;ECH1;TSPO;ITGB1BP1;ACAA1
MSigDB_Hallmark_2020	Unfolded Protein Response	8/113	2.279220e-02	8.737010e-02	0	0	2.432419e+00	9.197795e+00	CEBPB;LSM1;BANF1;ATP6V0D1;LSM4;SEC11A;EXOSC1;ATF4
MSigDB_Hallmark_2020	Protein Secretion	7/96	2.790124e-02	9.872745e-02	0	0	2.508924e+00	8.979650e+00	CD63;AP2S1;TMED2;AP3S1;AP2M1;CTSC;COPE
MSigDB_Hallmark_2020	mTORC1 Signaling	11/200	4.425956e-02	1.357293e-01	0	0	1.859238e+00	5.796517e+00	CYB5B;EBP;TBK1;TPI1;PSMA4;SDF2L1;PDAP1;GLRX;SEC11A;CTSC;ATP5MC1
MSigDB_Hallmark_2020	Xenobiotic Metabolism	11/200	4.425956e-02	1.357293e-01	0	0	1.859238e+00	5.796517e+00	HES6;MT2A;GSTO1;IGFBP4;DDT;ID2;ECH1;AKR1C3;PTGDS;COMT;PSMB10
MSigDB_Hallmark_2020	Apoptosis	9/161	5.967248e-02	1.715584e-01	0	0	1.888845e+00	5.324436e+00	EBP;FEZ1;CASP4;PSEN2;CASP1;TSPO;BAX;BID;SAT1
MSigDB_Hallmark_2020	Notch Signaling	3/32	7.347410e-02	1.947180e-01	0	0	3.288432e+00	8.585512e+00	PSENEN;PSEN2;RBX1
MSigDB_Hallmark_2020	Cholesterol Homeostasis	5/74	7.619401e-02	1.947180e-01	0	0	2.306306e+00	5.937520e+00	FDPS;EBP;ECH1;FBXO6;S100A11
MSigDB_Hallmark_2020	Androgen Response	6/100	8.640331e-02	2.026535e-01	0	0	2.032231e+00	4.976383e+00	UBE2I;DBI;SAT1;B2M;SLC38A2;MYL12A
MSigDB_Hallmark_2020	E2F Targets	10/200	8.811023e-02	2.026535e-01	0	0	1.678440e+00	4.077211e+00	POLE4;JPT1;RANBP1;POP7;DONSON;RPA2;NAA38;LYAR;MXD3;SNRPB
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	6/105	1.031431e-01	2.259324e-01	0	0	1.929093e+00	4.382201e+00	TBK1;ARPC3;PRKAG1;PIN1;AP2M1;PPP1CA
