Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Oxidative Phosphorylation,63/200,2.915337625090114e-46,1.3410553075414525e-44,0,0,16.125044872561926,1690.6936791805565,COX7B;MRPS11;MRPS12;MRPL34;COX6A1;MPC1;ATP6V1E1;ACAA1;COX8A;ATP6V0B;ATP6V0E1;ECH1;NDUFC2;SDHC;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS2;SLC25A11;NDUFB8;ECHS1;NDUFB7;MGST3;NDUFB4;COX17;NDUFB3;TIMM13;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;PDHB;COX5B;COX5A;HSD17B10;UQCRH;ATP5MC1;POLR2F;ATP5MG;ATP5MF;DECR1;ATP6V1F;ATP5ME;TIMM8B;ATP5PF;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;ATP5F1D;ATP5F1E;UQCRQ;CYCS;BAX
MSigDB_Hallmark_2020,DNA Repair,21/150,6.354264860053408e-09,1.461480917812284e-07,0,0,5.304883327430843,100.12510857902848,TAF12;MPG;CETN2;COX17;SUPT4H1;RPA2;EDF1;GTF2H5;RBX1;POLE4;DGUOK;GUK1;POLR2C;BOLA2;TMED2;POLR2F;POLR2G;POLR2I;POLR2J;VPS28;POLR2K
MSigDB_Hallmark_2020,Interferon Gamma Response,23/200,5.4202101746377687e-08,8.310988934444578e-07,0,0,4.238276116754434,70.9086741747714,GZMA;UBE2L6;ISG15;IFI35;BPGM;SRI;PSMB10;PSMB9;BST2;VAMP8;MT2A;PSMB2;PSMA2;CCL5;CASP4;PSME1;CASP1;PSME2;B2M;VAMP5;IRF9;PTPN2;LY6E
MSigDB_Hallmark_2020,Interferon Alpha Response,13/97,8.020350525994741e-06,9.223403104893951e-05,0,0,4.98751888067414,58.52119458433391,IFITM1;UBE2L6;ISG15;IFI35;TENT5A;PSMB9;BST2;PSME1;CASP1;PSME2;B2M;IRF9;LY6E
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,9/49,1.525993844471125e-05,0.0001403914336913435,0,0,7.219402985074627,80.06519740325062,NDUFA6;SELENOS;NDUFB4;NDUFS2;GLRX;TXN;ATOX1;FTL;LAMTOR5
MSigDB_Hallmark_2020,Myc Targets V1,18/200,4.558049086563845e-05,0.0003494504299698948,0,0,3.197802197802198,31.96532914924445,RANBP1;HDDC2;MRPL23;COX5A;PSMA7;UBE2L3;PSMA6;LSM7;PSMA4;PSMA1;PSMB2;PSMA2;PSMB3;SRSF3;ERH;SNRPB2;AP3S1;HNRNPA1
MSigDB_Hallmark_2020,Adipogenesis,17/200,0.00014836275609921273,0.0009749552543662552,0,0,2.998438719750195,26.433786672386177,COX8A;COX7B;ECHS1;NDUFB7;NDUFA5;MGST3;ECH1;CHCHD10;UQCR11;ATP1B3;SDHC;UQCR10;COX6A1;SCP2;UQCRQ;DDT;DECR1
MSigDB_Hallmark_2020,Fatty Acid Metabolism,12/158,0.0034643249822512,0.0199198686479448,0,0,2.635890410958904,14.932945137832265,LGALS1;ECHS1;UROS;ECH1;PSME1;UBE2L6;SDHC;MIF;PDHB;ACAA1;HSD17B10;DECR1
MSigDB_Hallmark_2020,Complement,13/200,0.0088014360037432,0.0435327304370309,0,0,2.2284288430807138,10.546798031580485,CEBPB;FCER1G;APOBEC3G;GZMA;GZMB;ATOX1;PSMB9;GNGT2;CCL5;CASP4;CASP1;S100A9;CTSC
MSigDB_Hallmark_2020,UV Response Up,11/158,0.0094636370515284,0.0435327304370309,0,0,2.39567840447327,11.164576483166153,CYB5B;KLHDC3;PSMC3;BSG;CLTB;AP2S1;PDAP1;ACAA1;MRPL23;BID;ATP6V1F
