Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Aerobic Respiration (GO:0009060),-1.7390943835202566,0.45771477827794277,0.001,NDUFA6;SDHC;NDUFS8;UQCRC2;NDUFS6;NDUFB8;NDUFB11;ATP5F1D;NDUFA13;NDUFB9;MDH2;NDUFS5;NDUFA12,wald_stat,GO_Biological_Process_2023
Lymphocyte Differentiation (GO:0030098),1.7359214749512168,0.45314679576598016,0.0023148148148148147,PTPRC;PIK3CD;KLF6;IKZF1;RHOH;LCK;PTPN22;PLCG2;ITGA4;ZAP70;ZBTB7A,wald_stat,GO_Biological_Process_2023
Regulation Of DNA Binding (GO:0051101),-1.724553492368995,0.2501915525332823,0.025974025974025976,SIRT2;CSNK2B;NFKBIA;HMGB2;HMGB1,wald_stat,GO_Biological_Process_2023
Negative Regulation Of Wnt Signaling Pathway (GO:0030178),1.6810852609006184,0.4859276278001149,0.005787037037037037,CCDC88C;PFDN5;RNF213;STK4;TLE1;GPI;GSK3B;TLE4,wald_stat,GO_Biological_Process_2023
B Cell Activation (GO:0042113),1.6767589554558457,0.34130631000246164,0.005813953488372093,PTPRC;RASGRP1;PIK3CD;KLF6;CASP8;PLCG2;ITGA4;ZAP70;HSPD1;PHB2;ZBTB7A,wald_stat,GO_Biological_Process_2023
Regulation Of Stress Fiber Assembly (GO:0051492),-1.6507612091920045,0.2685087635283977,0.001,S100A10;CDC42;RHOC;DYNLL1;ACTG1;GPR65;PFN1;ROCK1,wald_stat,GO_Biological_Process_2023
Response To UV (GO:0009411),-1.644504502590625,0.21237189924336752,0.02962962962962963,CREBBP;CDKN2D;ZBTB1;SDF4;XPA;UBE2B;ATF4;CIRBP,wald_stat,GO_Biological_Process_2023
T Cell Receptor Signaling Pathway (GO:0050852),1.636810857558232,0.42976634938869285,0.0078125,PTPRC;PIK3CD;FYN;BTN3A3;LCK;PTPN22;PLCG2;ZAP70;SKAP1;CSK;BTN3A2;CD3G;KHDRBS1;FYB1;RBCK1;CD8A;TXK;INPP5D,wald_stat,GO_Biological_Process_2023
Cilium Organization (GO:0044782),1.59915279560613,0.5462829244276689,0.009345794392523364,EHD1;SEPTIN6;PHIP;CEP78;SEPTIN7;KIFAP3;ARF4;ABLIM1;ACTR3,wald_stat,GO_Biological_Process_2023
Regulation Of Wnt Signaling Pathway (GO:0030111),1.5605671396651166,0.7017347720248353,0.01647058823529412,CRBN;PPP2R1A;PPP1CA;CDC73;TLE1;GPI,wald_stat,GO_Biological_Process_2023
Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),1.55812340529923,0.6158113446412454,0.014302741358760428,TAGAP;ARHGAP25;CYRIB;ARHGEF3;ARHGAP45;ARHGEF1;ARHGAP30;ARHGAP15;GNA13,wald_stat,GO_Biological_Process_2023
Aerobic Electron Transport Chain (GO:0019646),-1.5439520628382326,0.3227277080739393,0.001,NDUFA6;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;COX7A2;COX8A;COX4I1;COX6C,wald_stat,GO_Biological_Process_2023
Cellular Respiration (GO:0045333),-1.529453415824056,0.29199789292213396,0.001,NDUFA6;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;NDUFB11;COX7A2;COX8A;COX4I1;COX6C;NDUFA13,wald_stat,GO_Biological_Process_2023
"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",-1.5261848379309766,0.25619467210311003,0.03571428571428571,NDUFA6;NDUFS8;NDUFS6;NDUFB8,wald_stat,GO_Biological_Process_2023
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-1.5211148086389876,0.23079685853845416,0.001,NDUFA6;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;COX7A2;COX8A;COX4I1;COX6C,wald_stat,GO_Biological_Process_2023
Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),-1.5208664333709891,0.18489608275069438,0.017094017094017096,NDUFA6;NDUFS8;NDUFB8;NDUFB11;NDUFA13;NDUFB9;NDUFS5,wald_stat,GO_Biological_Process_2023
NADH Dehydrogenase Complex Assembly (GO:0010257),-1.5208664333709891,0.18489608275069438,0.017094017094017096,NDUFA6;NDUFS8;NDUFB8;NDUFB11;NDUFA13;NDUFB9;NDUFS5,wald_stat,GO_Biological_Process_2023
Organic Substance Transport (GO:0071702),1.509719364713582,0.8914699064577007,0.0273972602739726,FYN;VAMP2;TPT1;MYH9;SLC3A2;CCL3;CD320;CD3G;CHMP1B;ARL6IP5,wald_stat,GO_Biological_Process_2023
Cell-Matrix Adhesion (GO:0007160),-1.5093920707624167,0.17796101035254375,0.06329113924050633,CD63;ITGAM;DYNLL1;CD44;ITGAE;ITGAX;ZYX,wald_stat,GO_Biological_Process_2023
Macromolecule Biosynthetic Process (GO:0009059),1.4971574198685145,0.8920457135563395,0.03225806451612903,EEF1D;EEF1A1;FAU;MRPS6;EIF4G2;GOLPH3;EEF2;MRPS7;EEF1B2;MRPS15;MRPL10;MRPL14;ABCF1,wald_stat,GO_Biological_Process_2023
