Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ferroptosis,0.6258580412127439,2.1143485326985214,1.000000e-03,3.668085e-03,4.000000e-03,11/30,8.34%,SLC39A8;ACSL1;GPX4;ACSL4;GSS;ATG5;MAP1LC3A;PCBP2;SLC11A2;GCLM;NCOA4
prerank,ECM-receptor interaction,0.6882954560706642,2.0018433702987406,1.000000e-03,1.100426e-02,2.200000e-02,8/16,8.01%,ITGAV;CD44;ITGA4;CD47;THBS3;ITGB1;ITGA6;COL6A3
prerank,Circadian entrainment,-0.5358622378388593,-1.8588520143870682,1.000000e-03,1.074866e-01,8.200000e-02,16/37,12.73%,GNAS;PRKCB;CALM3;ADCY7;CALM1;PLCB1;GNB1;PER1;PRKACA;GNGT2;PRKCA;PLCB2;ADCY9;PER2;GNAI2;CALM2
prerank,Gastric acid secretion,-0.555109607207265,-1.8331459172781313,1.886792e-03,7.362831e-02,1.080000e-01,15/29,17.14%,GNAS;PRKCB;CALM3;ADCY7;CALM1;PLCB1;PRKACA;PRKCA;PLCB2;ADCY9;GNAI2;SLC9A1;CALM2;ACTB;ITPR3
prerank,Retrograde endocannabinoid signaling,-0.4632357280690591,-1.8308491109270566,1.000000e-03,5.123527e-02,1.120000e-01,35/70,24.21%,NDUFB7;PRKCB;ADCY7;NDUFB6;PLCB1;NDUFC2;GNB1;NDUFA9;NDUFA1;PRKACA;MAPK9;NDUFA13;GNGT2;NDUFS6;PRKCA;NDUFB1;PLCB2;NDUFA4;NDUFB8;ADCY9;NDUFA10;GNAI2;NDUFA12;NDUFS3;NDUFS8;ITPR3;NDUFV1;GNG2;NDUFA7;MAPK1;MAPK3;NDUFB2;NDUFA11;NDUFAB1;NDUFA5
prerank,Morphine addiction,-0.5511824385563711,-1.7956613662350855,7.575758e-03,6.099864e-02,1.650000e-01,14/29,14.74%,GNAS;GRK2;GRK6;PDE4D;PRKCB;ADCY7;GNB1;PRKACA;GNGT2;PRKCA;ADCY9;GNAI2;PDE4A;ARRB1
prerank,Melanogenesis,-0.48209409635376926,-1.7459570014328505,3.629764e-03,7.975504e-02,2.560000e-01,17/42,14.40%,GNAS;MAP2K2;PRKCB;CALM3;TCF7;ADCY7;CALM1;NRAS;CREBBP;PLCB1;PRKACA;PRKCA;PLCB2;ADCY9;GNAI2;CALM2;FZD3
prerank,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,-0.5711568478552993,-1.728251658244166,5.859375e-03,8.043579e-02,2.980000e-01,5/21,7.79%,PIGT;MPPE1;PIGH;PIGS;GPAA1
prerank,Rap1 signaling pathway,-0.4038500304603062,-1.72005244173575,1.879699e-03,7.524061e-02,3.150000e-01,31/98,12.73%,AKT1;GNAS;MAP2K2;PRKCB;CALM3;ITGAM;VEGFB;VAV3;RAPGEF1;CDC42;ADCY7;ITGAL;CALM1;NRAS;PARD6G;SIPA1;PLCB1;AFDN;MAP2K3;ITGB2;PIK3R1;PFN1;FARP2;PRKCA;PLCB2;RASSF5;EVL;ADCY9;GNAI2;IGF1R;CALM2
prerank,GnRH signaling pathway,-0.46522142271307426,-1.7156527687447394,3.773585e-03,6.919449e-02,3.270000e-01,19/50,13.06%,GNAS;MAP2K2;PRKCB;CALM3;SOS2;CDC42;ADCY7;CALM1;NRAS;PLCB1;PRKACA;MAPK9;MAP2K3;PRKCA;PLCB2;ATF4;ADCY9;CALM2;MAP2K7
prerank,Pyruvate metabolism,0.5177343711375316,1.7087906966417712,1.026694e-02,1.653695e-01,3.560000e-01,12/27,22.27%,PKM;ALDH9A1;ME2;GLO1;FH;LDHB;MDH1;ACAT1;ACSS1;AKR1A1;PCK2;ADH5
prerank,Long-term depression,-0.4996573848647515,-1.675863746314387,1.158301e-02,9.208017e-02,4.490000e-01,18/32,22.84%,GNAS;MAP2K2;PPP2CA;PRKCB;GNA13;NRAS;PLCB1;PRKCA;PLCB2;PPP2CB;GNAI2;IGF1R;BRAF;ITPR3;MAPK1;HRAS;MAPK3;GUCY1A1
prerank,GnRH secretion,-0.5032754477283718,-1.6373680785341505,7.518797e-03,1.152256e-01,5.380000e-01,15/28,22.12%,AKT1;MAP2K2;PRKCB;NRAS;PLCB1;PIK3R1;PRKCA;PLCB2;ARRB1;ITPR3;ESR2;MAPK1;HRAS;MAPK3;ARRB2
prerank,IL-17 signaling pathway,0.4180271421047901,1.5910233580395674,1.666667e-02,3.399857e-01,6.610000e-01,10/50,6.99%,S100A8;S100A9;MAPK6;CEBPB;SRSF1;JUN;TNF;MAPK14;HSP90B1;NFKB1
prerank,Starch and sucrose metabolism,0.559441262053748,1.566033635101696,3.600000e-02,3.350796e-01,7.310000e-01,8/15,26.51%,UGP2;PGM1;HK1;AGL;GAA;PYGB;GYS1;GYG1
prerank,Gap junction,-0.4399192758014904,-1.5628607105097507,1.651376e-02,2.001205e-01,7.780000e-01,21/44,22.84%,GNAS;MAP2K2;TUBB4B;PRKCB;SOS2;CSNK1D;ADCY7;NRAS;PLCB1;PRKACA;PRKCA;PLCB2;ADCY9;GNAI2;PDGFD;ITPR3;TUBA1B;MAPK1;HRAS;MAPK3;GUCY1A1
prerank,Insulin secretion,-0.47631520044911474,-1.5586527914216592,2.962963e-02,1.910574e-01,7.870000e-01,12/27,17.14%,GNAS;PRKCB;SLC2A1;ADCY7;PLCB1;PRKACA;PRKCA;PLCB2;ATF4;ADCY9;VAMP2;ITPR3
prerank,Shigellosis,0.32267992970016873,1.544718001699444,4.434590e-03,3.344071e-01,7.840000e-01,42/185,12.97%,UBE2D4;TNIP1;SQSTM1;UBE2D2;CD44;CYTH2;PRKCQ;ARHGEF2;CYCS;CRK;ACTR3;RRAGA;CYTH1;JUN;CASP1;CAST;TNF;MAPK14;ACTN1;TECPR1;PIK3CD;UBE2D3;ATG5;ACTR3B;WASF2;CBX3;ITGB1;NFKB1;HK1;FNBP1;GLMN;BNIP3;ACTR2;GABARAPL2;ROCK1;NFKBIA;MDM2;PLCG1;AKT1S1;SEPTIN2;VCL;ARPC5
prerank,Dopaminergic synapse,-0.384518339109331,-1.5398540511003929,7.561437e-03,2.070357e-01,8.340000e-01,20/69,12.73%,AKT1;GNAS;PPP2CA;PRKCB;CALM3;CALM1;PLCB1;GNB1;PRKACA;MAPK9;GNGT2;GSK3A;PPP2R2D;PRKCA;PLCB2;ATF4;PPP2CB;PPP2R3C;GNAI2;CALM2
prerank,beta-Alanine metabolism,0.5380625977594709,1.538739771129296,4.081633e-02,2.997350e-01,7.980000e-01,5/15,10.21%,ALDH9A1;DPYD;HADHA;CNDP2;ABAT
prerank,Mismatch repair,0.5117199198352014,1.5363195858368226,3.933747e-02,2.670825e-01,8.040000e-01,12/20,29.50%,RFC5;RPA3;PMS2;RFC4;LIG1;MSH3;RPA2;POLD3;RPA1;SSBP1;MLH3;MSH2
prerank,Huntington disease,-0.3176845157032987,-1.5356168950537676,1.000000e-03,1.991573e-01,8.480000e-01,92/219,28.67%,TUBB4B;DCTN4;ATP5MC1;ERN1;NDUFB7;ATG2A;CLTB;COX6A1;BBC3;CREBBP;NDUFB6;PLCB1;NDUFC2;NDUFA9;NDUFA1;MAPK9;NDUFA13;POLR2D;NDUFS6;SDHB;UQCRFS1;COX5B;PSMD6;PSMB6;MAP3K10;POLR2G;UQCRQ;TAF4;NDUFB1;PLCB2;UQCR11;DCTN3;NDUFA4;CASP3;PSMD9;NDUFB8;POLR2C;POLR2E;HTT;NDUFA10;COX8A;NDUFA12;ULK1;MAP2K7;NDUFS3;WIPI1;CASP8;ATG14;AP2A1;COX7B;POLR2J;NDUFS8;PSMA1;PSMB3;NDUFV1;SDHA;UQCRC1;PSMA2;BECN1;COX5A;PSMD3;AP2A2;NDUFA7;TUBA1B;PSMC2;PPIF;SDHD;NDUFB2;ACTR1A;DNAL1;BAX;POLR2A;NDUFA11;DCTN1;NDUFAB1;NDUFA5;TUBA4A;SLC25A5;TUBB4A;NDUFA3;STX1A;PSMD14;DNAH10;ADRM1;DNAH1;PSMC3;COX7A2;NDUFB9;COX6C;SEM1;PSMD7;ATP5F1E
